context: Autumn, it is the season for maidens. response:	That goes for earthworms, mole crickets,
context: Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there! response:	I said, stop!
context: Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop! response:	Oh, no, it's heading towards the town!
context: Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town! response:	No!
context: There aren't so many of them today,\so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town!\No! response:	Luna! No!
context: so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town!\No!\Luna! No! response:	Luna!
context: Oh, ouch!\The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town!\No!\Luna! No!\Luna! response:	No, no, no, no! No! Please stay there!
context: The last rainbow crystal is mine. Good-bye.\Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town!\No!\Luna! No!\Luna!\No, no, no, no! No! Please stay there! response:	I'll get you back to the way you were soon, I promise!
context: Damn you, Tuxedo Mask! Stop right there!\I said, stop!\Oh, no, it's heading towards the town!\No!\Luna! No!\Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise! response:	Luna!
context: I said, stop!\Oh, no, it's heading towards the town!\No!\Luna! No!\Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna! response:	Rhett Butler...
context: Oh, no, it's heading towards the town!\No!\Luna! No!\Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler... response:	Don't worry.
context: No!\Luna! No!\Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler...\Don't worry. response:	Usagi will restore you to the way you were.
context: Luna! No!\Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler...\Don't worry.\Usagi will restore you to the way you were. response:	So, they are lovers, just as I thought.
context: Luna!\No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler...\Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought. response:	Bubble
context: No, no, no, no! No! Please stay there!\I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler...\Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble response:	Spray!
context: I'll get you back to the way you were soon, I promise!\Luna!\Rhett Butler...\Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble\Spray! response:	No! How could she ruin the mood?!
context: Luna!\Rhett Butler...\Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble\Spray!\No! How could she ruin the mood?! response:	Sailor Jupiter!
context: Rhett Butler...\Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble\Spray!\No! How could she ruin the mood?!\Sailor Jupiter! response:	Thank you for waiting!
context: Don't worry.\Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble\Spray!\No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting! response:	What were you doing?! You're late!
context: Usagi will restore you to the way you were.\So, they are lovers, just as I thought.\Bubble\Spray!\No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late! response:	I'm sorry, it's because I wasn't paying attention.
context: So, they are lovers, just as I thought.\Bubble\Spray!\No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention. response:	Oh, it has nothing to do with the fact
context: Bubble\Spray!\No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact response:	that Usagi was playing a video game!
context: Spray!\No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game! response:	That's right! It wasn't Usagi's fault at all!
context: No! How could she ruin the mood?!\Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all! response:	Oh, boy. You're not helping at all.
context: Sailor Jupiter!\Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all. response:	Hey, this is no time for stand-up comedy!
context: Thank you for waiting!\What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy! response:	Oh, right. Okay!
context: What were you doing?! You're late!\I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay! response:	Moon Healing Escalation!
context: I'm sorry, it's because I wasn't paying attention.\Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation! response:	Refresh!
context: Oh, it has nothing to do with the fact\that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation!\Refresh! response:	Good grief.
context: that Usagi was playing a video game!\That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation!\Refresh!\Good grief. response:	I was so worried about you, Rhett Butler!
context: That's right! It wasn't Usagi's fault at all!\Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation!\Refresh!\Good grief.\I was so worried about you, Rhett Butler! response:	She looks so happy. I was so worried about you, Rhett Butler!
context: Oh, boy. You're not helping at all.\Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation!\Refresh!\Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler! response:	She looks so happy.
context: Hey, this is no time for stand-up comedy!\Oh, right. Okay!\Moon Healing Escalation!\Refresh!\Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy. response:	Luna, are you sure you don't need to say good-bye to your boyfriend?
context: Oh, right. Okay!\Moon Healing Escalation!\Refresh!\Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend? response:	What?! Luna has hooked up with that cat?!
context: Moon Healing Escalation!\Refresh!\Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?! response:	Don't be ridiculous!
context: Refresh!\Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous! response:	Woohoo! You go, Luna!
context: Good grief.\I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna! response:	Honestly! Not you, too, Usagi.
context: I was so worried about you, Rhett Butler!\She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi. response:	Don't just make things up, okay?
context: She looks so happy. I was so worried about you, Rhett Butler!\She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay? response:	Hey, now...
context: She looks so happy.\Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now... response:	During the day, the fragrance of flowers
context: Luna, are you sure you don't need to say good-bye to your boyfriend?\What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers response:	During the night, the twinkle of the stars
context: What?! Luna has hooked up with that cat?!\Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars response:	It's a world no one knows about
context: Don't be ridiculous!\Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about response:	With white shoes clicking
context: Woohoo! You go, Luna!\Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking response:	Cross the white moon bridge
context: Honestly! Not you, too, Usagi.\Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge response:	And there lives a princess, dreaming of a sweet kiss
context: Don't just make things up, okay?\Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss response:	Offer a prayer to the moon
context: Hey, now...\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon response:	It will surely bring you happiness
context: During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness response:	Go round and round, the moon's merry-go-round
context: During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round response:	Make that serene dress made of glass flutter in the wind
context: It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind response:	She's always watching over us
context: With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind\She's always watching over us response:	Moon, moon princess
