context: Impossible... The Chancellor is one of those monsters? response:	Orders, ma'am? What about the attack?
context: We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history!\I'll do it!\Plu!\It's all over!\Cain! Cain!\Plu... response:	Haruto Tokishima!
context: I mean...\You stupid boy who knows nothing of history!\I'll do it!\Plu!\It's all over!\Cain! Cain!\Plu...\Haruto Tokishima! response:	We've done it! We've won!
context: You stupid boy who knows nothing of history!\I'll do it!\Plu!\It's all over!\Cain! Cain!\Plu...\Haruto Tokishima!\We've done it! We've won! response:	Haruto? Is that my name?
context: I'll do it!\Plu!\It's all over!\Cain! Cain!\Plu...\Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name? response:	He used up all his Runes.
context: Plu!\It's all over!\Cain! Cain!\Plu...\Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes. response:	I don't understand any of this.
context: It's all over!\Cain! Cain!\Plu...\Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this. response:	Where am I?
context: Cain! Cain!\Plu...\Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this.\Where am I? response:	Who are you?
context: Plu...\Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this.\Where am I?\Who are you? response:	You don't remember? Anything at all?
context: Haruto Tokishima!\We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this.\Where am I?\Who are you?\You don't remember? Anything at all? response:	Not even our pact?
context: We've done it! We've won!\Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this.\Where am I?\Who are you?\You don't remember? Anything at all?\Not even our pact? response:	Our fight on the Moon?
context: Haruto? Is that my name?\He used up all his Runes.\I don't understand any of this.\Where am I?\Who are you?\You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon? response:	Sorry.
context: He used up all his Runes.\I don't understand any of this.\Where am I?\Who are you?\You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon?\Sorry. response:	You and I, we...
context: I don't understand any of this.\Where am I?\Who are you?\You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon?\Sorry.\You and I, we... response:	You know me, don't you?
context: Where am I?\Who are you?\You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon?\Sorry.\You and I, we...\You know me, don't you? response:	You know who I am?
context: Who are you?\You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon?\Sorry.\You and I, we...\You know me, don't you?\You know who I am? response:	Yes, you're...
context: You don't remember? Anything at all?\Not even our pact?\Our fight on the Moon?\Sorry.\You and I, we...\You know me, don't you?\You know who I am?\Yes, you're... response:	You are my friend.
context: Not even our pact?\Our fight on the Moon?\Sorry.\You and I, we...\You know me, don't you?\You know who I am?\Yes, you're...\You are my friend. response:	Imperial Calendar, year 0.
context: Our fight on the Moon?\Sorry.\You and I, we...\You know me, don't you?\You know who I am?\Yes, you're...\You are my friend.\Imperial Calendar, year 0. response:	This would later be known as the year the Third Galactic Empire began,
context: Sorry.\You and I, we...\You know me, don't you?\You know who I am?\Yes, you're...\You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began, response:	but it goes without saying that we never could have imagined that at the time.
context: You and I, we...\You know me, don't you?\You know who I am?\Yes, you're...\You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time. response:	Afterwards, pandemonium broke out across the world.
context: You know me, don't you?\You know who I am?\Yes, you're...\You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world. response:	Seeing monsters everywhere, people sought out Magiuses all over the world,
context: You know who I am?\Yes, you're...\You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world, response:	and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.
context: Yes, you're...\You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden. response:	- They found the Magiuses! - They're for real this time, right?
context: You are my friend.\Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right? response:	I think it was because the world had become too connected for secrets to be kept.
context: Imperial Calendar, year 0.\This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept. response:	Shoko-chan cried her eyes out. For what seemed like forever.
context: This would later be known as the year the Third Galactic Empire began,\but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever. response:	After a while, she went back to being her usual self.
context: but it goes without saying that we never could have imagined that at the time.\Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self. response:	But every once in a while...
context: Afterwards, pandemonium broke out across the world.\Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while... response:	In any case, we found ourselves a place to call home.
context: Seeing monsters everywhere, people sought out Magiuses all over the world,\and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home. response:	Our Galactic Empire started from such a tiny country?
context: and eventually, neither the Council of 101 nor the existence of Magiuses could remain hidden.\- They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country? response:	Historical beginnings are often surprisingly humble.
context: - They found the Magiuses! - They're for real this time, right?\I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble. response:	T-There's an emergency!
context: I think it was because the world had become too connected for secrets to be kept.\Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency! response:	There's an intruder in the Memorial Core! It's thought to be lifeform 53s!
context: Shoko-chan cried her eyes out. For what seemed like forever.\After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s! response:	What were you expecting, a secret weapon?
context: After a while, she went back to being her usual self.\But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s!\What were you expecting, a secret weapon? response:	These are the statues of the heroes we call The First Knights.
context: But every once in a while...\In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s!\What were you expecting, a secret weapon?\These are the statues of the heroes we call The First Knights. response:	People who were dear to me who died one by one when we founded this country.
context: In any case, we found ourselves a place to call home.\Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s!\What were you expecting, a secret weapon?\These are the statues of the heroes we call The First Knights.\People who were dear to me who died one by one when we founded this country. response:	Let's try to be friends.
context: Our Galactic Empire started from such a tiny country?\Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s!\What were you expecting, a secret weapon?\These are the statues of the heroes we call The First Knights.\People who were dear to me who died one by one when we founded this country.\Let's try to be friends. response:	I won't pretend that that will suddenly solve everything.
context: Historical beginnings are often surprisingly humble.\T-There's an emergency!\There's an intruder in the Memorial Core! It's thought to be lifeform 53s!\What were you expecting, a secret weapon?\These are the statues of the heroes we call The First Knights.\People who were dear to me who died one by one when we founded this country.\Let's try to be friends.\I won't pretend that that will suddenly solve everything. response:	But if we do, we'll be able to take all our pain and joy and go halfsies!
