context: Roar! response:	Roar!
context: Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right?\Come on, buck up.\Here you go.\Mom.\I'm here to see you.\She's probably there with you about now. response:	Sorry I couldn't be there.
context: That means\you took what your mom told you to heart, right?\Come on, buck up.\Here you go.\Mom.\I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there. response:	I decided to let Nonoka go instead this year.
context: you took what your mom told you to heart, right?\Come on, buck up.\Here you go.\Mom.\I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year. response:	My name is Komiya Nonoka.
context: Come on, buck up.\Here you go.\Mom.\I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka. response:	Please be my friend!
context: Here you go.\Mom.\I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend! response:	This is from Dad.
context: Mom.\I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend!\This is from Dad. response:	He couldn't make it this year because of work.
context: I'm here to see you.\She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend!\This is from Dad.\He couldn't make it this year because of work. response:	Happy birthday.
context: She's probably there with you about now.\Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend!\This is from Dad.\He couldn't make it this year because of work.\Happy birthday. response:	I'll be back again.
context: Sorry I couldn't be there.\I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend!\This is from Dad.\He couldn't make it this year because of work.\Happy birthday.\I'll be back again. response:	Thanks, Mom.
context: I decided to let Nonoka go instead this year.\My name is Komiya Nonoka.\Please be my friend!\This is from Dad.\He couldn't make it this year because of work.\Happy birthday.\I'll be back again.\Thanks, Mom. response:	Thank you.
context: My name is Komiya Nonoka.\Please be my friend!\This is from Dad.\He couldn't make it this year because of work.\Happy birthday.\I'll be back again.\Thanks, Mom.\Thank you. response:	Hey, I...
context: Please be my friend!\This is from Dad.\He couldn't make it this year because of work.\Happy birthday.\I'll be back again.\Thanks, Mom.\Thank you.\Hey, I... response:	We'll catch up to you.
context: This is from Dad.\He couldn't make it this year because of work.\Happy birthday.\I'll be back again.\Thanks, Mom.\Thank you.\Hey, I...\We'll catch up to you. response:	Hello.
context: He couldn't make it this year because of work.\Happy birthday.\I'll be back again.\Thanks, Mom.\Thank you.\Hey, I...\We'll catch up to you.\Hello. response:	Noel?
context: Happy birthday.\I'll be back again.\Thanks, Mom.\Thank you.\Hey, I...\We'll catch up to you.\Hello.\Noel? response:	What happened?
context: I'll be back again.\Thanks, Mom.\Thank you.\Hey, I...\We'll catch up to you.\Hello.\Noel?\What happened? response:	I'm thanking Souta.
context: Thanks, Mom.\Thank you.\Hey, I...\We'll catch up to you.\Hello.\Noel?\What happened?\I'm thanking Souta. response:	Hey, you're back.
context: Thank you.\Hey, I...\We'll catch up to you.\Hello.\Noel?\What happened?\I'm thanking Souta.\Hey, you're back. response:	What's that?
context: Hey, I...\We'll catch up to you.\Hello.\Noel?\What happened?\I'm thanking Souta.\Hey, you're back.\What's that? response:	Oh, that.
context: We'll catch up to you.\Hello.\Noel?\What happened?\I'm thanking Souta.\Hey, you're back.\What's that?\Oh, that. response:	We worked hard together.
context: Hello.\Noel?\What happened?\I'm thanking Souta.\Hey, you're back.\What's that?\Oh, that.\We worked hard together. response:	It might not be exactly the same, but
context: Noel?\What happened?\I'm thanking Souta.\Hey, you're back.\What's that?\Oh, that.\We worked hard together.\It might not be exactly the same, but response:	Monster-san is all better now.
context: What happened?\I'm thanking Souta.\Hey, you're back.\What's that?\Oh, that.\We worked hard together.\It might not be exactly the same, but\Monster-san is all better now. response:	Yeah, this might work.
context: I'm thanking Souta.\Hey, you're back.\What's that?\Oh, that.\We worked hard together.\It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work. response:	What? This?
context: Hey, you're back.\What's that?\Oh, that.\We worked hard together.\It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work.\What? This? response:	I said it's fine, does it matter?
context: What's that?\Oh, that.\We worked hard together.\It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work.\What? This?\I said it's fine, does it matter? response:	But...
context: Oh, that.\We worked hard together.\It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work.\What? This?\I said it's fine, does it matter?\But... response:	I'm the poster girl, after all.
context: We worked hard together.\It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work.\What? This?\I said it's fine, does it matter?\But...\I'm the poster girl, after all. response:	Meteor shower?
context: It might not be exactly the same, but\Monster-san is all better now.\Yeah, this might work.\What? This?\I said it's fine, does it matter?\But...\I'm the poster girl, after all.\Meteor shower? response:	Yeah.
context: Monster-san is all better now.\Yeah, this might work.\What? This?\I said it's fine, does it matter?\But...\I'm the poster girl, after all.\Meteor shower?\Yeah. response:	Not just yet, but we'll see a lot of shooting stars on that night.
context: Yeah, this might work.\What? This?\I said it's fine, does it matter?\But...\I'm the poster girl, after all.\Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night. response:	Would you like to see, too, Shione-chan?
context: What? This?\I said it's fine, does it matter?\But...\I'm the poster girl, after all.\Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan? response:	It's pretty.
context: I said it's fine, does it matter?\But...\I'm the poster girl, after all.\Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty. response:	Are shooting stars even more sparkly?
context: But...\I'm the poster girl, after all.\Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly? response:	Yeah.
context: I'm the poster girl, after all.\Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly?\Yeah. response:	Let's watch together when it comes.
context: Meteor shower?\Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes. response:	Okay.
context: Yeah.\Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes.\Okay. response:	The stars are watching you, too.
context: Not just yet, but we'll see a lot of shooting stars on that night.\Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes.\Okay.\The stars are watching you, too. response:	It's like they're smiling.
context: Would you like to see, too, Shione-chan?\It's pretty.\Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes.\Okay.\The stars are watching you, too.\It's like they're smiling. response:	It must be because you're both smiling.
context: It's pretty.\Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes.\Okay.\The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling. response:	Nonoka!
context: Are shooting stars even more sparkly?\Yeah.\Let's watch together when it comes.\Okay.\The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling.\Nonoka! response:	Noel.
context: Yeah.\Let's watch together when it comes.\Okay.\The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling.\Nonoka!\Noel. response:	Is Shione here?
context: Let's watch together when it comes.\Okay.\The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling.\Nonoka!\Noel.\Is Shione here? response:	Nope.
context: Okay.\The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling.\Nonoka!\Noel.\Is Shione here?\Nope. response:	Oh.
context: The stars are watching you, too.\It's like they're smiling.\It must be because you're both smiling.\Nonoka!\Noel.\Is Shione here?\Nope.\Oh. response:	Shione told me to tell you, Nonoka.
context: It's like they're smiling.\It must be because you're both smiling.\Nonoka!\Noel.\Is Shione here?\Nope.\Oh.\Shione told me to tell you, Nonoka. response:	That she wanted to watch the meteor shower with you.
context: It must be because you're both smiling.\Nonoka!\Noel.\Is Shione here?\Nope.\Oh.\Shione told me to tell you, Nonoka.\That she wanted to watch the meteor shower with you. response:	I wanted to watch the meteor shower with her.
context: Nonoka!\Noel.\Is Shione here?\Nope.\Oh.\Shione told me to tell you, Nonoka.\That she wanted to watch the meteor shower with you.\I wanted to watch the meteor shower with her. response:	What She Believes.
context: Noel.\Is Shione here?\Nope.\Oh.\Shione told me to tell you, Nonoka.\That she wanted to watch the meteor shower with you.\I wanted to watch the meteor shower with her.\What She Believes. response:	Enjoy.
context: Is Shione here?\Nope.\Oh.\Shione told me to tell you, Nonoka.\That she wanted to watch the meteor shower with you.\I wanted to watch the meteor shower with her.\What She Believes.\Enjoy. response:	What She Believes
