context: Good morning. response:	The karuta club is looking for more members!
context: Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping response:	But at some point, I started playing to win.
context: for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win. response:	National Champion or Bust
context: for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win.\National Champion or Bust response:	And then...
context: Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win.\National Champion or Bust\And then... response:	He showed me what a difference talent made.
context: You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win.\National Champion or Bust\And then...\He showed me what a difference talent made. response:	That's why I ran away.
context: First, you'll need to win the national tournament.\I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win.\National Champion or Bust\And then...\He showed me what a difference talent made.\That's why I ran away. response:	Ran away from karuta...
context: I started playing karuta because it was fun.\Big Helping\But at some point, I started playing to win.\National Champion or Bust\And then...\He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta... response:	Chihaya-chan took another card!
context: Big Helping\But at some point, I started playing to win.\National Champion or Bust\And then...\He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card! response:	Nishida-kun has 17 cards left.
context: But at some point, I started playing to win.\National Champion or Bust\And then...\He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left. response:	Ayase has 15 left.
context: National Champion or Bust\And then...\He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left. response:	When did I fall two cards behind?
context: And then...\He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind? response:	burning brightly by night, yet extinguished by day
context: He showed me what a difference talent made.\That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day response:	No, I need to focus!
context: That's why I ran away.\Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus! response:	Turn the tide!
context: Ran away from karuta...\Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide! response:	Since I could not hide...
context: Chihaya-chan took another card!\Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide!\Since I could not hide... response:	He's good.
context: Nishida-kun has 17 cards left.\Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide!\Since I could not hide...\He's good. response:	He targeted a card on the opponent's side to turn things around.
context: Ayase has 15 left.\When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide!\Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around. response:	Now, which card will he send?
context: When did I fall two cards behind?\burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide!\Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send? response:	He's going to send a card.
context: burning brightly by night, yet extinguished by day\No, I need to focus!\Turn the tide!\Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card. response:	Yes.
context: No, I need to focus!\Turn the tide!\Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card.\Yes. response:	is that I have no way to tell you in person
context: Turn the tide!\Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card.\Yes.\is that I have no way to tell you in person response:	is that I have no way to tell you in person After I determined
context: Since I could not hide...\He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card.\Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined response:	She's worried about the like cards?
context: He's good.\He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card.\Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards? response:	on a long September night, and then I saw a dawn moon
context: He targeted a card on the opponent's side to turn things around.\Now, which card will he send?\He's going to send a card.\Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon response:	on a long September night, and then I saw a dawn moon After I heard
context: Now, which card will he send?\He's going to send a card.\Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard response:	Okay!
context: He's going to send a card.\Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay! response:	on a long September night, and then I saw a dawn moon
context: Yes.\is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon response:	Chihaya is too obvious.
context: is that I have no way to tell you in person\is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious. response:	He read her like a book.
context: is that I have no way to tell you in person After I determined\She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book. response:	Huh?
context: She's worried about the like cards?\on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book.\Huh? response:	Chihaya-chan was ready to take the like cards
context: on a long September night, and then I saw a dawn moon\on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards response:	After I determined and After I heard together.
context: on a long September night, and then I saw a dawn moon After I heard\Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together. response:	Oh, I see.
context: Okay!\on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see. response:	The technique he just showed us.
context: on a long September night, and then I saw a dawn moon\Chihaya is too obvious.\He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see.\The technique he just showed us. response:	people would always ask if I was pining for someone
context: Chihaya is too obvious.\He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone response:	Though my hatred...
context: He read her like a book.\Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred... response:	Since the dew atop...
context: Huh?\Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred...\Since the dew atop... response:	Chihaya-chan...
context: Chihaya-chan was ready to take the like cards\After I determined and After I heard together.\Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred...\Since the dew atop...\Chihaya-chan... response:	Nishida-kun is making a comeback.
context: After I determined and After I heard together.\Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred...\Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback. response:	He's up one card.
context: Oh, I see.\The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred...\Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card. response:	Chihaya is usually better towards the end of a match,
context: The technique he just showed us.\people would always ask if I was pining for someone\Though my hatred...\Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match, response:	and she's still losing.
context: people would always ask if I was pining for someone\Though my hatred...\Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing. response:	I'm starting to remember how this works.
context: Though my hatred...\Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works. response:	Everything feels so familiar.
context: Since the dew atop...\Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar. response:	I'm so glad!
context: Chihaya-chan...\Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad! response:	You don't hate karuta!
context: Nishida-kun is making a comeback.\He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad!\You don't hate karuta! response:	Don't forget your promise!
context: He's up one card.\Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad!\You don't hate karuta!\Don't forget your promise! response:	Uh-huh!
context: Chihaya is usually better towards the end of a match,\and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad!\You don't hate karuta!\Don't forget your promise!\Uh-huh! response:	So I'm not going to lose!
context: and she's still losing.\I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad!\You don't hate karuta!\Don't forget your promise!\Uh-huh!\So I'm not going to lose! response:	it is as though pearls have been strung across the autumn plain
context: I'm starting to remember how this works.\Everything feels so familiar.\I'm so glad!\You don't hate karuta!\Don't forget your promise!\Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain response:	Look
context: Everything feels so familiar.\I'm so glad!\You don't hate karuta!\Don't forget your promise!\Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look response:	for the sound...
context: I'm so glad!\You don't hate karuta!\Don't forget your promise!\Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look\for the sound... response:	Impassioned was your...
context: You don't hate karuta!\Don't forget your promise!\Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look\for the sound...\Impassioned was your... response:	She's fast!
context: Don't forget your promise!\Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look\for the sound...\Impassioned was your...\She's fast! response:	Incredible!
context: Uh-huh!\So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look\for the sound...\Impassioned was your...\She's fast!\Incredible! response:	In th
context: So I'm not going to lose!\it is as though pearls have been strung across the autumn plain\Look\for the sound...\Impassioned was your...\She's fast!\Incredible!\In th response:	e sleepy spring sunlight,
context: it is as though pearls have been strung across the autumn plain\Look\for the sound...\Impassioned was your...\She's fast!\Incredible!\In th\e sleepy spring sunlight, response:	Isn't that a two-syllable card?!
context: Look\for the sound...\Impassioned was your...\She's fast!\Incredible!\In th\e sleepy spring sunlight,\Isn't that a two-syllable card?! response:	Were you camping it?!
context: for the sound...\Impassioned was your...\She's fast!\Incredible!\In th\e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?! response:	She wasn't.
context: Impassioned was your...\She's fast!\Incredible!\In th\e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?!\She wasn't. response:	Then how did she move so fast?!
context: She's fast!\Incredible!\In th\e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?!\She wasn't.\Then how did she move so fast?! response:	There are cards where Chihaya can hear the next syllable.
context: Incredible!\In th\e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?!\She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable. response:	She has incredible senses.
context: In th\e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?!\She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses. response:	Hear the next syllable?
context: e sleepy spring sunlight,\Isn't that a two-syllable card?!\Were you camping it?!\She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable? response:	Five cards left on my side.
context: Isn't that a two-syllable card?!\Were you camping it?!\She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable?\Five cards left on my side. response:	Four cards left on the opponent's side.
context: Were you camping it?!\She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side. response:	Those After I cards I split should be read soon...
context: She wasn't.\Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon... response:	is that I have no way to tell you in person After I determined
context: Then how did she move so fast?!\There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined response:	One on the opponent's side.
context: There are cards where Chihaya can hear the next syllable.\She has incredible senses.\Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side. response:	on a long September night, and then I saw a dawn moon After I heard
context: She has incredible senses.\Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard response:	One on my side.
context: Hear the next syllable?\Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side. response:	Time to get pumped!
context: Five cards left on my side.\Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped! response:	Read the one on my side!
context: Four cards left on the opponent's side.\Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped!\Read the one on my side! response:	Read the one on my side! The one on my side!
context: Those After I cards I split should be read soon...\is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side! response:	After I determined to abandon...
context: is that I have no way to tell you in person After I determined\One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon... response:	That's it!
context: One on the opponent's side.\on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon...\That's it! response:	What?!
context: on a long September night, and then I saw a dawn moon After I heard\One on my side.\Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon...\That's it!\What?! response:	She got it!
context: One on my side.\Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon...\That's it!\What?!\She got it! response:	I was camping the card,
context: Time to get pumped!\Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon...\That's it!\What?!\She got it!\I was camping the card, response:	and I still couldn't take it.
context: Read the one on my side!\Read the one on my side! The one on my side!\After I determined to abandon...\That's it!\What?!\She got it!\I was camping the card,\and I still couldn't take it. response:	Damn.
context: Read the one on my side! The one on my side!\After I determined to abandon...\That's it!\What?!\She got it!\I was camping the card,\and I still couldn't take it.\Damn. response:	She's this much better than me now?
context: After I determined to abandon...\That's it!\What?!\She got it!\I was camping the card,\and I still couldn't take it.\Damn.\She's this much better than me now? response:	She just happens to really like karuta...
context: That's it!\What?!\She got it!\I was camping the card,\and I still couldn't take it.\Damn.\She's this much better than me now?\She just happens to really like karuta... response:	Was this how I used to play karuta?
context: What?!\She got it!\I was camping the card,\and I still couldn't take it.\Damn.\She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta? response:	Were my eyes so focused?
context: She got it!\I was camping the card,\and I still couldn't take it.\Damn.\She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused? response:	Good practice!
context: I was camping the card,\and I still couldn't take it.\Damn.\She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused?\Good practice! response:	Yes. Good practice, everyone.
context: and I still couldn't take it.\Damn.\She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused?\Good practice!\Yes. Good practice, everyone. response:	Thank you very much!
context: Damn.\She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused?\Good practice!\Yes. Good practice, everyone.\Thank you very much! response:	That was an incredible match!
context: She's this much better than me now?\She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused?\Good practice!\Yes. Good practice, everyone.\Thank you very much!\That was an incredible match! response:	I learned a lot!
context: She just happens to really like karuta...\Was this how I used to play karuta?\Were my eyes so focused?\Good practice!\Yes. Good practice, everyone.\Thank you very much!\That was an incredible match!\I learned a lot! response:	You're so good, Porky!
context: Was this how I used to play karuta?\Were my eyes so focused?\Good practice!\Yes. Good practice, everyone.\Thank you very much!\That was an incredible match!\I learned a lot!\You're so good, Porky! response:	Bye.
context: Were my eyes so focused?\Good practice!\Yes. Good practice, everyone.\Thank you very much!\That was an incredible match!\I learned a lot!\You're so good, Porky!\Bye. response:	Huh?
context: Good practice!\Yes. Good practice, everyone.\Thank you very much!\That was an incredible match!\I learned a lot!\You're so good, Porky!\Bye.\Huh? response:	Nishida.
context: Yes. Good practice, everyone.\Thank you very much!\That was an incredible match!\I learned a lot!\You're so good, Porky!\Bye.\Huh?\Nishida. response:	Hey, why don't you join our karuta club?
context: Thank you very much!\That was an incredible match!\I learned a lot!\You're so good, Porky!\Bye.\Huh?\Nishida.\Hey, why don't you join our karuta club? response:	To be honest, I'm not good enough to practice with Chihaya.
context: That was an incredible match!\I learned a lot!\You're so good, Porky!\Bye.\Huh?\Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya. response:	We need someone as strong as you.
context: I learned a lot!\You're so good, Porky!\Bye.\Huh?\Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you. response:	Hey!
context: You're so good, Porky!\Bye.\Huh?\Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey! response:	Taichi, it's okay.
context: Bye.\Huh?\Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey!\Taichi, it's okay. response:	Sorry, Porky.
context: Huh?\Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey!\Taichi, it's okay.\Sorry, Porky. response:	I'll stop pestering you about joining.
context: Nishida.\Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey!\Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining. response:	But this was a lot of fun!
context: Hey, why don't you join our karuta club?\To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey!\Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun! response:	Thanks for playing karuta with me!
context: To be honest, I'm not good enough to practice with Chihaya.\We need someone as strong as you.\Hey!\Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me! response:	Nishida-kun!
context: We need someone as strong as you.\Hey!\Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun! response:	Huh?
context: Hey!\Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun!\Huh? response:	I thought you went home?
context: Taichi, it's okay.\Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun!\Huh?\I thought you went home? response:	What are you doing here?
context: Sorry, Porky.\I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun!\Huh?\I thought you went home?\What are you doing here? response:	Don't tell me that you were skipping practice?
context: I'll stop pestering you about joining.\But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun!\Huh?\I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice? response:	Uh-oh.
context: But this was a lot of fun!\Thanks for playing karuta with me!\Nishida-kun!\Huh?\I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh. response:	Nishida-kun, explain yourself.
context: Thanks for playing karuta with me!\Nishida-kun!\Huh?\I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself. response:	Coach, I'm...
context: Nishida-kun!\Huh?\I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm... response:	quitting the tennis team.
context: Huh?\I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team. response:	Huh?
context: I thought you went home?\What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team.\Huh? response:	You're quitting?
context: What are you doing here?\Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team.\Huh?\You're quitting? response:	I want to play karuta!
context: Don't tell me that you were skipping practice?\Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team.\Huh?\You're quitting?\I want to play karuta! response:	Porky...
context: Uh-oh.\Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team.\Huh?\You're quitting?\I want to play karuta!\Porky... response:	Nishida-kun, are you serious?
context: Nishida-kun, explain yourself.\Coach, I'm...\quitting the tennis team.\Huh?\You're quitting?\I want to play karuta!\Porky...\Nishida-kun, are you serious? response:	Yes.
context: Coach, I'm...\quitting the tennis team.\Huh?\You're quitting?\I want to play karuta!\Porky...\Nishida-kun, are you serious?\Yes. response:	These guys are telling me that they need me to start the club.
context: quitting the tennis team.\Huh?\You're quitting?\I want to play karuta!\Porky...\Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club. response:	And karuta is still...
context: Huh?\You're quitting?\I want to play karuta!\Porky...\Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club.\And karuta is still... response:	Tennis can never replace karuta!
context: You're quitting?\I want to play karuta!\Porky...\Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta! response:	I understand.
context: I want to play karuta!\Porky...\Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta!\I understand. response:	I expect you to submit your resignation shortly.
context: Porky...\Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly. response:	We finally have our last member!
context: Nishida-kun, are you serious?\Yes.\These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly.\We finally have our last member! response:	Thank you, Nishida!
context: Yes.\These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida! response:	But in return for joining, Mashima...
context: These guys are telling me that they need me to start the club.\And karuta is still...\Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima... response:	Make her stop calling me Porky!
context: And karuta is still...\Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky! response:	Huh? Why do you want me to stop, Porky?
context: Tennis can never replace karuta!\I understand.\I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky? response:	Stop calling me Porky!
context: I understand.\I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky! response:	Fine, Porky.
context: I expect you to submit your resignation shortly.\We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky. response:	Let's play another match!
context: We finally have our last member!\Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky.\Let's play another match! response:	Bring it!
context: Thank you, Nishida!\But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky.\Let's play another match!\Bring it! response:	I'm gonna get revenge!
context: But in return for joining, Mashima...\Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky.\Let's play another match!\Bring it!\I'm gonna get revenge! response:	Wait! Stop calling me Porky!
context: Make her stop calling me Porky!\Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky.\Let's play another match!\Bring it!\I'm gonna get revenge!\Wait! Stop calling me Porky! response:	Okay.
context: Huh? Why do you want me to stop, Porky?\Stop calling me Porky!\Fine, Porky.\Let's play another match!\Bring it!\I'm gonna get revenge!\Wait! Stop calling me Porky!\Okay. response:	The karuta club...
context: Stop calling me Porky!\Fine, Porky.\Let's play another match!\Bring it!\I'm gonna get revenge!\Wait! Stop calling me Porky!\Okay.\The karuta club... response:	My fellow players...
context: Fine, Porky.\Let's play another match!\Bring it!\I'm gonna get revenge!\Wait! Stop calling me Porky!\Okay.\The karuta club...\My fellow players... response:	Ms. Miyauchi, We have 5 Karuta Club Members!! Captain 1-2 Ayase Chihaya Vice Captain 1-1 Mashima Taichi Secretary 1-2 Komachi Tsutomu Equipment Manager 1-8 Nishida Yusei Treasurer 1-6 Oe Kanade
context: Let's play another match!\Bring it!\I'm gonna get revenge!\Wait! Stop calling me Porky!\Okay.\The karuta club...\My fellow players...\Ms. Miyauchi, We have 5 Karuta Club Members!! Captain 1-2 Ayase Chihaya Vice Captain 1-1 Mashima Taichi Secretary 1-2 Komachi Tsutomu Equipment Manager 1-8 Nishida Yusei Treasurer 1-6 Oe Kanade response:	I'm...
