context: True Calendar, year 71. response:	JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,
context: I have to get away! Right now!\What?\Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair.\Pair?\Haruto! I have to help him!\Why am I shaking like this? response:	I'm scared...
context: What?\Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair.\Pair?\Haruto! I have to help him!\Why am I shaking like this?\I'm scared... response:	Even though I'm immortal?
context: Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair.\Pair?\Haruto! I have to help him!\Why am I shaking like this?\I'm scared...\Even though I'm immortal? response:	The green one is just sitting there!
context: Miss Rukino, stay back!\Valvrave... There's a pair.\Pair?\Haruto! I have to help him!\Why am I shaking like this?\I'm scared...\Even though I'm immortal?\The green one is just sitting there! response:	What's it doing?
context: Valvrave... There's a pair.\Pair?\Haruto! I have to help him!\Why am I shaking like this?\I'm scared...\Even though I'm immortal?\The green one is just sitting there!\What's it doing? response:	Fight!
context: Pair?\Haruto! I have to help him!\Why am I shaking like this?\I'm scared...\Even though I'm immortal?\The green one is just sitting there!\What's it doing?\Fight! response:	Trade places with me, you chicken!
context: Haruto! I have to help him!\Why am I shaking like this?\I'm scared...\Even though I'm immortal?\The green one is just sitting there!\What's it doing?\Fight!\Trade places with me, you chicken! response:	Miss Rukino...
context: Why am I shaking like this?\I'm scared...\Even though I'm immortal?\The green one is just sitting there!\What's it doing?\Fight!\Trade places with me, you chicken!\Miss Rukino... response:	I'm sorry, are you oka...?
context: I'm scared...\Even though I'm immortal?\The green one is just sitting there!\What's it doing?\Fight!\Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...? response:	Senpai?
context: Even though I'm immortal?\The green one is just sitting there!\What's it doing?\Fight!\Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...?\Senpai? response:	Are you all right?
context: The green one is just sitting there!\What's it doing?\Fight!\Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...?\Senpai?\Are you all right? response:	Hey, watch where you're going!
context: What's it doing?\Fight!\Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...?\Senpai?\Are you all right?\Hey, watch where you're going! response:	Takahi-senpai, why are you dressed like that?
context: Fight!\Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...?\Senpai?\Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that? response:	This? Um, I... was asked to cheer them on, so I...
context: Trade places with me, you chicken!\Miss Rukino...\I'm sorry, are you oka...?\Senpai?\Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I... response:	I can't get anywhere near them!
context: Miss Rukino...\I'm sorry, are you oka...?\Senpai?\Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them! response:	At this rate...
context: I'm sorry, are you oka...?\Senpai?\Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate... response:	I won't let you do your harakiri thing this time!
context: Senpai?\Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time! response:	The instant you stop, I'm gonna grab you!
context: Are you all right?\Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you! response:	Why?
context: Hey, watch where you're going!\Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why? response:	Why...?
context: Takahi-senpai, why are you dressed like that?\This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why?\Why...? response:	Pull yourself together, Saki Rukino!
context: This? Um, I... was asked to cheer them on, so I...\I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why?\Why...?\Pull yourself together, Saki Rukino! response:	You're the only one who can save Haruto and us!
context: I can't get anywhere near them!\At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why?\Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us! response:	Sashinami, you can't just
context: At this rate...\I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why?\Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just response:	The eyes of the entire school are on you.
context: I won't let you do your harakiri thing this time!\The instant you stop, I'm gonna grab you!\Why?\Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you. response:	Are you going to act that pathetic when everyone's watching?
context: The instant you stop, I'm gonna grab you!\Why?\Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching? response:	You're putting on a show!
context: Why?\Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show! response:	Saki Rukino is a star, isn't she?!
context: Why...?\Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?! response:	A star...
context: Pull yourself together, Saki Rukino!\You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?!\A star... response:	It's not enough.
context: You're the only one who can save Haruto and us!\Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?!\A star...\It's not enough. response:	This audience is way too small.
context: Sashinami, you can't just\The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?!\A star...\It's not enough.\This audience is way too small. response:	After all, I'm gonna be the biggest star in the world!
context: The eyes of the entire school are on you.\Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?!\A star...\It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world! response:	Miss Rukino...
context: Are you going to act that pathetic when everyone's watching?\You're putting on a show!\Saki Rukino is a star, isn't she?!\A star...\It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino... response:	Stream this battle to the wired.
context: You're putting on a show!\Saki Rukino is a star, isn't she?!\A star...\It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired. response:	The feed from my cockpit, too!
context: Saki Rukino is a star, isn't she?!\A star...\It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too! response:	Look, it's that robot!
context: A star...\It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot! response:	It's fighting again?
context: It's not enough.\This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot!\It's fighting again? response:	It's a girl this time!
context: This audience is way too small.\After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot!\It's fighting again?\It's a girl this time! response:	Hey, she's cute!
context: After all, I'm gonna be the biggest star in the world!\Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot!\It's fighting again?\It's a girl this time!\Hey, she's cute! response:	Don't I know her?
context: Miss Rukino...\Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot!\It's fighting again?\It's a girl this time!\Hey, she's cute!\Don't I know her? response:	She's that former idol. From JIOR.
context: Stream this battle to the wired.\The feed from my cockpit, too!\Look, it's that robot!\It's fighting again?\It's a girl this time!\Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR. response:	That girl who retired?
context: The feed from my cockpit, too!\Look, it's that robot!\It's fighting again?\It's a girl this time!\Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR.\That girl who retired? response:	Miss Rukino, stay back!
context: Look, it's that robot!\It's fighting again?\It's a girl this time!\Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back! response:	Leave this to me! I just had an idea!
context: It's fighting again?\It's a girl this time!\Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea! response:	It will be the same.
context: It's a girl this time!\Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same. response:	No matter how many they send out.
context: Hey, she's cute!\Don't I know her?\She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out. response:	Let's try this!
context: Don't I know her?\She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out.\Let's try this! response:	Not yet!
context: She's that former idol. From JIOR.\That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out.\Let's try this!\Not yet! response:	Becoming famous is the only way!
context: That girl who retired?\Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out.\Let's try this!\Not yet!\Becoming famous is the only way! response:	Miss Rukino!
context: Miss Rukino, stay back!\Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out.\Let's try this!\Not yet!\Becoming famous is the only way!\Miss Rukino! response:	She's no match for them!
context: Leave this to me! I just had an idea!\It will be the same.\No matter how many they send out.\Let's try this!\Not yet!\Becoming famous is the only way!\Miss Rukino!\She's no match for them! response:	We have to get someone else!
context: It will be the same.\No matter how many they send out.\Let's try this!\Not yet!\Becoming famous is the only way!\Miss Rukino!\She's no match for them!\We have to get someone else! response:	But she's doing
context: No matter how many they send out.\Let's try this!\Not yet!\Becoming famous is the only way!\Miss Rukino!\She's no match for them!\We have to get someone else!\But she's doing response:	Look, they have her on the defensive!
context: Let's try this!\Not yet!\Becoming famous is the only way!\Miss Rukino!\She's no match for them!\We have to get someone else!\But she's doing\Look, they have her on the defensive! response:	We don't know that yet!
context: Not yet!\Becoming famous is the only way!\Miss Rukino!\She's no match for them!\We have to get someone else!\But she's doing\Look, they have her on the defensive!\We don't know that yet! response:	They took out that ARUS ship in the blink of an eye!
context: Becoming famous is the only way!\Miss Rukino!\She's no match for them!\We have to get someone else!\But she's doing\Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye! response:	Who are you saying should pilot it, then?
context: Miss Rukino!\She's no match for them!\We have to get someone else!\But she's doing\Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then? response:	You can do it, Saki Rukino!
context: She's no match for them!\We have to get someone else!\But she's doing\Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino! response:	You can do it! You can do it!
context: We have to get someone else!\But she's doing\Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it! response:	You can do it!
context: But she's doing\Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it!\You can do it! response:	Shoko?
context: Look, they have her on the defensive!\We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it!\You can do it!\Shoko? response:	Don't give up, Saki Rukino!
context: We don't know that yet!\They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it!\You can do it!\Shoko?\Don't give up, Saki Rukino! response:	Sashinami, what are you doing?
context: They took out that ARUS ship in the blink of an eye!\Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it!\You can do it!\Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing? response:	Cheering her on.
context: Who are you saying should pilot it, then?\You can do it, Saki Rukino!\You can do it! You can do it!\You can do it!\Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on. response:	You said it yourself earlier, remember, senpai?
context: You can do it, Saki Rukino!\You can do it! You can do it!\You can do it!\Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai? response:	I meant
context: You can do it! You can do it!\You can do it!\Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai?\I meant response:	Miss Rukino, fight!
context: You can do it!\Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight! response:	You, too, Ma'am?
context: Shoko?\Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight!\You, too, Ma'am? response:	It's the same thing in sports!
context: Don't give up, Saki Rukino!\Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports! response:	Having a cheering section gives players a huge boost!
context: Sashinami, what are you doing?\Cheering her on.\You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost! response:	This is hardly the time!
context: Cheering her on.\You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time! response:	What a bunch of nonsense!
context: You said it yourself earlier, remember, senpai?\I meant\Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense! response:	If that's all it took to win, we'd
context: I meant\Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd response:	Keep it together, Saki Rukino!
context: Miss Rukino, fight!\You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino! response:	You join in, too!
context: You, too, Ma'am?\It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too! response:	No way...
context: It's the same thing in sports!\Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too!\No way... response:	Don't let em beat ya, Saki Rukino!
context: Having a cheering section gives players a huge boost!\This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too!\No way...\Don't let em beat ya, Saki Rukino! response:	Hey, what are
context: This is hardly the time!\What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too!\No way...\Don't let em beat ya, Saki Rukino!\Hey, what are response:	Um, go for it... go for it...
context: What a bunch of nonsense!\If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too!\No way...\Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it... response:	You can do it, Saki-chan!
context: If that's all it took to win, we'd\Keep it together, Saki Rukino!\You join in, too!\No way...\Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan! response:	- Don't lose!
context: Keep it together, Saki Rukino!\You join in, too!\No way...\Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose! response:	- Fighting women are so cool!
context: You join in, too!\No way...\Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool! response:	- It's like a dance!
context: No way...\Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool!\- It's like a dance! response:	- You're great!
context: Don't let em beat ya, Saki Rukino!\Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool!\- It's like a dance!\- You're great! response:	Don't get shown up by that boy!
context: Hey, what are\Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool!\- It's like a dance!\- You're great!\Don't get shown up by that boy! response:	The world... is watching.
context: Um, go for it... go for it...\You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool!\- It's like a dance!\- You're great!\Don't get shown up by that boy!\The world... is watching. response:	You hurt me.
context: You can do it, Saki-chan!\- Don't lose!\- Fighting women are so cool!\- It's like a dance!\- You're great!\Don't get shown up by that boy!\The world... is watching.\You hurt me. response:	Mocked me.
context: - Don't lose!\- Fighting women are so cool!\- It's like a dance!\- You're great!\Don't get shown up by that boy!\The world... is watching.\You hurt me.\Mocked me. response:	How can it be so manoeuvrable?!
context: - Fighting women are so cool!\- It's like a dance!\- You're great!\Don't get shown up by that boy!\The world... is watching.\You hurt me.\Mocked me.\How can it be so manoeuvrable?! response:	That's impossible!
context: - It's like a dance!\- You're great!\Don't get shown up by that boy!\The world... is watching.\You hurt me.\Mocked me.\How can it be so manoeuvrable?!\That's impossible! response:	The world that tried to kill me is now...
context: - You're great!\Don't get shown up by that boy!\The world... is watching.\You hurt me.\Mocked me.\How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now... response:	NOTICE OF CONTRACT TERMINATION
context: Don't get shown up by that boy!\The world... is watching.\You hurt me.\Mocked me.\How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION response:	It's beautiful...
context: The world... is watching.\You hurt me.\Mocked me.\How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful... response:	I won't be killed...
context: You hurt me.\Mocked me.\How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed... response:	It's closed the gap!
context: Mocked me.\How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed...\It's closed the gap! response:	X-eins!
context: How can it be so manoeuvrable?!\That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed...\It's closed the gap!\X-eins! response:	What is that thing?!
context: That's impossible!\The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed...\It's closed the gap!\X-eins!\What is that thing?! response:	Damn it!
context: The world that tried to kill me is now...\NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed...\It's closed the gap!\X-eins!\What is that thing?!\Damn it! response:	Wait! Retreat!
context: NOTICE OF CONTRACT TERMINATION\It's beautiful...\I won't be killed...\It's closed the gap!\X-eins!\What is that thing?!\Damn it!\Wait! Retreat! response:	Why?!
context: It's beautiful...\I won't be killed...\It's closed the gap!\X-eins!\What is that thing?!\Damn it!\Wait! Retreat!\Why?! response:	All forces, retreat to L2!
context: I won't be killed...\It's closed the gap!\X-eins!\What is that thing?!\Damn it!\Wait! Retreat!\Why?!\All forces, retreat to L2! response:	I repeat, all forces, retreat!
context: It's closed the gap!\X-eins!\What is that thing?!\Damn it!\Wait! Retreat!\Why?!\All forces, retreat to L2!\I repeat, all forces, retreat! response:	Is this an order, too?!
context: X-eins!\What is that thing?!\Damn it!\Wait! Retreat!\Why?!\All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?! response:	We're running away?
context: What is that thing?!\Damn it!\Wait! Retreat!\Why?!\All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?!\We're running away? response:	You heard her!
context: Damn it!\Wait! Retreat!\Why?!\All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?!\We're running away?\You heard her! response:	Bring X-eins' escape pod into hangar 2.
context: Wait! Retreat!\Why?!\All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?!\We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2. response:	Yes, ma'am.
context: Why?!\All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?!\We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am. response:	You have the bridge.
context: All forces, retreat to L2!\I repeat, all forces, retreat!\Is this an order, too?!\We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge. response:	You're all right with this, sir?
context: I repeat, all forces, retreat!\Is this an order, too?!\We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge.\You're all right with this, sir? response:	I have another plan in motion.
context: Is this an order, too?!\We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge.\You're all right with this, sir?\I have another plan in motion. response:	L-elf...
context: We're running away?\You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge.\You're all right with this, sir?\I have another plan in motion.\L-elf... response:	For the sake of our friendship...
context: You heard her!\Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge.\You're all right with this, sir?\I have another plan in motion.\L-elf...\For the sake of our friendship... response:	Perish.
context: Bring X-eins' escape pod into hangar 2.\Yes, ma'am.\You have the bridge.\You're all right with this, sir?\I have another plan in motion.\L-elf...\For the sake of our friendship...\Perish. response:	Next time, episode 7.
context: Yes, ma'am.\You have the bridge.\You're all right with this, sir?\I have another plan in motion.\L-elf...\For the sake of our friendship...\Perish.\Next time, episode 7. response:	Haruto Under the Rubble.
context: You have the bridge.\You're all right with this, sir?\I have another plan in motion.\L-elf...\For the sake of our friendship...\Perish.\Next time, episode 7.\Haruto Under the Rubble. response:	Valvrave the Liberator...
context: You're all right with this, sir?\I have another plan in motion.\L-elf...\For the sake of our friendship...\Perish.\Next time, episode 7.\Haruto Under the Rubble.\Valvrave the Liberator... response:	The system that will expose the truth of the world.
