context: This world is filled with dungeons. response:	It is said that some of them even have perilous labyrinths that thwart adventurers.
context: Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask. response:	Also, you seem a bit different today.
context: I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today. response:	Y-You think so?
context: Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today.\Y-You think so? response:	You're usually more reserved.
context: The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today.\Y-You think so?\You're usually more reserved. response:	Well, everyone's always staring at my chest!
context: Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today.\Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest! response:	Of course I'd want to hide it.
context: S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today.\Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it. response:	I'm not sure if that outfit is helping...
context: No, it's fine. What did you want to talk about?\I have a favor to ask.\Also, you seem a bit different today.\Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping... response:	Well, that's because today's supposed to be special!
context: I have a favor to ask.\Also, you seem a bit different today.\Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special! response:	Noir, you doofus.
context: Also, you seem a bit different today.\Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus. response:	Sorry! I was just worried.
context: Y-You think so?\You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried. response:	I've known you forever, and you're important to me.
context: You're usually more reserved.\Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me. response:	Just saying that I'm important to you isn't enough!
context: Well, everyone's always staring at my chest!\Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough! response:	Th-Then... can I hug you?
context: Of course I'd want to hide it.\I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you? response:	Sure...
context: I'm not sure if that outfit is helping...\Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure... response:	Okay... here I go.
context: Well, that's because today's supposed to be special!\Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure...\Okay... here I go. response:	Your scent is so calming.
context: Noir, you doofus.\Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure...\Okay... here I go.\Your scent is so calming. response:	Not to mention...
context: Sorry! I was just worried.\I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure...\Okay... here I go.\Your scent is so calming.\Not to mention... response:	Noir Stardia
context: I've known you forever, and you're important to me.\Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure...\Okay... here I go.\Your scent is so calming.\Not to mention...\Noir Stardia response:	A few hours prior
context: Just saying that I'm important to you isn't enough!\Th-Then... can I hug you?\Sure...\Okay... here I go.\Your scent is so calming.\Not to mention...\Noir Stardia\A few hours prior response:	So, Olivia...
context: Th-Then... can I hug you?\Sure...\Okay... here I go.\Your scent is so calming.\Not to mention...\Noir Stardia\A few hours prior\So, Olivia... response:	You hear somethin'?
context: Sure...\Okay... here I go.\Your scent is so calming.\Not to mention...\Noir Stardia\A few hours prior\So, Olivia...\You hear somethin'? response:	M-Master...
context: Okay... here I go.\Your scent is so calming.\Not to mention...\Noir Stardia\A few hours prior\So, Olivia...\You hear somethin'?\M-Master... response:	Yes?
context: Your scent is so calming.\Not to mention...\Noir Stardia\A few hours prior\So, Olivia...\You hear somethin'?\M-Master...\Yes? response:	I was hoping I could make a skill that would help me
context: Not to mention...\Noir Stardia\A few hours prior\So, Olivia...\You hear somethin'?\M-Master...\Yes?\I was hoping I could make a skill that would help me response:	with the Hero Academy exam.
context: Noir Stardia\A few hours prior\So, Olivia...\You hear somethin'?\M-Master...\Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam. response:	This calls for cheating!
context: A few hours prior\So, Olivia...\You hear somethin'?\M-Master...\Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating! response:	You're awful, you know that?
context: So, Olivia...\You hear somethin'?\M-Master...\Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating!\You're awful, you know that? response:	And you're too much of a goody two shoes.
context: You hear somethin'?\M-Master...\Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes. response:	That's exactly why they took your job.
context: M-Master...\Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job. response:	It takes 300 LP to use, but I've got just the skill for you.
context: Yes?\I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you. response:	You interested?
context: I was hoping I could make a skill that would help me\with the Hero Academy exam.\This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested? response:	Yes, please!
context: with the Hero Academy exam.\This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please! response:	In that case...
context: This calls for cheating!\You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please!\In that case... response:	Discerning Eye
context: You're awful, you know that?\And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please!\In that case...\Discerning Eye response:	Have a peek into information about any living creature or object.
context: And you're too much of a goody two shoes.\That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please!\In that case...\Discerning Eye\Have a peek into information about any living creature or object. response:	The Discerning Eye!
context: That's exactly why they took your job.\It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please!\In that case...\Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye! response:	With this, you're good to go on your exam!
context: It takes 300 LP to use, but I've got just the skill for you.\You interested?\Yes, please!\In that case...\Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam! response:	Thanks, Emma.
context: You interested?\Yes, please!\In that case...\Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma. response:	It's fine. This is basically a greeting.
context: Yes, please!\In that case...\Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting. response:	Okay, now to Get Creative and create the Discerning Eye skill.
context: In that case...\Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill. response:	Noir Stardia LP. 950
context: Discerning Eye\Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950 response:	Skills Skill h Skill h Skill h
context: Have a peek into information about any living creature or object.\The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h response:	Noir Stardia LP. 650
context: The Discerning Eye!\With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650 response:	Let's try it out.
context: With this, you're good to go on your exam!\Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out. response:	Emma Brightness Lv. 17
context: Thanks, Emma.\It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17 response:	Species Occupation Skills
context: It's fine. This is basically a greeting.\Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills response:	I see it!
context: Okay, now to Get Creative and create the Discerning Eye skill.\Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills\I see it! response:	This means I'll pass for sure!
context: Noir Stardia LP. 950\Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills\I see it!\This means I'll pass for sure! response:	I need to make sure I thank Emma properly.
context: Skills Skill h Skill h Skill h\Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills\I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly. response:	Man, my shoulders are so stiff.
context: Noir Stardia LP. 650\Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills\I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff. response:	My chest is way too heavy.
context: Let's try it out.\Emma Brightness Lv. 17\Species Occupation Skills\I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy. response:	All right!
context: Emma Brightness Lv. 17\Species Occupation Skills\I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy.\All right! response:	Skill
context: Species Occupation Skills\I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy.\All right!\Skill response:	Small Boobs
context: I see it!\This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy.\All right!\Skill\Small Boobs response:	I'll use Get Creative and give Emma Small Boobs.
context: This means I'll pass for sure!\I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy.\All right!\Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs. response:	I'll need a total of 80 LP to do this, but...
context: I need to make sure I thank Emma properly.\Man, my shoulders are so stiff.\My chest is way too heavy.\All right!\Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but... response:	Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50
context: Man, my shoulders are so stiff.\My chest is way too heavy.\All right!\Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50 response:	There!
context: My chest is way too heavy.\All right!\Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There! response:	Wh-What just happened?!
context: All right!\Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?! response:	Wh-What? Why?!
context: Skill\Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?!\Wh-What? Why?! response:	Now your shoulders won't be so stiff.
context: Small Boobs\I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff. response:	Don't worry, plenty of people love small boobs. Isn't that great?
context: I'll use Get Creative and give Emma Small Boobs.\I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great? response:	Are you being serious right now?
context: I'll need a total of 80 LP to do this, but...\Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now? response:	Yup!
context: Needed to Get Creative LP. 30 Needed to Bestow to Emma LP. 50\There!\Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup! response:	Though I definitely prefer them big.
context: There!\Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup!\Though I definitely prefer them big. response:	Gimme back my boobs, you doofus!
context: Wh-What just happened?!\Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus! response:	I ended up having to use Editor to give her boobs back.
context: Wh-What? Why?!\Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back. response:	Talk about a waste of LP.
context: Now your shoulders won't be so stiff.\Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP. response:	Hero Academy The Day of the Exam
context: Don't worry, plenty of people love small boobs. Isn't that great?\Are you being serious right now?\Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam response:	Feeling confident?
context: Are you being serious right now?\Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident? response:	But of course.
context: Yup!\Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident?\But of course. response:	Barons and viscounts...
context: Though I definitely prefer them big.\Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident?\But of course.\Barons and viscounts... response:	They're totally different from a baronet like me.
context: Gimme back my boobs, you doofus!\I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident?\But of course.\Barons and viscounts...\They're totally different from a baronet like me. response:	We will now begin the entrance exam.
context: I ended up having to use Editor to give her boobs back.\Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident?\But of course.\Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam. response:	Your task is to collect raw materials from monsters.
context: Talk about a waste of LP.\Hero Academy The Day of the Exam\Feeling confident?\But of course.\Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters. response:	You'll be judged on how much you bring in and how rare the materials are.
context: Hero Academy The Day of the Exam\Feeling confident?\But of course.\Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are. response:	This will be a team effort in which you split up into groups of three.
context: Feeling confident?\But of course.\Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three. response:	Return empty-handed, and you fail!
context: But of course.\Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail! response:	That is all!
context: Barons and viscounts...\They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all! response:	We have to make a team?
context: They're totally different from a baronet like me.\We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all!\We have to make a team? response:	No one told us that before.
context: We will now begin the entrance exam.\Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all!\We have to make a team?\No one told us that before. response:	I'd better hurry up and find people.
context: Your task is to collect raw materials from monsters.\You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all!\We have to make a team?\No one told us that before.\I'd better hurry up and find people. response:	E-Excuse me. Would you like to...
context: You'll be judged on how much you bring in and how rare the materials are.\This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all!\We have to make a team?\No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to... response:	Hm? You reek of baronet stench.
context: This will be a team effort in which you split up into groups of three.\Return empty-handed, and you fail!\That is all!\We have to make a team?\No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench. response:	Um...
context: Return empty-handed, and you fail!\That is all!\We have to make a team?\No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um... response:	Yeah, I don't associate with trash.
context: That is all!\We have to make a team?\No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash. response:	Trash, huh?
context: We have to make a team?\No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash.\Trash, huh? response:	Hey, wanna team up?
context: No one told us that before.\I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up? response:	Heya, Noir!
context: I'd better hurry up and find people.\E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up?\Heya, Noir! response:	E-Emma? What are you doing here?
context: E-Excuse me. Would you like to...\Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here? response:	What about your librarian job?
context: Hm? You reek of baronet stench.\Um...\Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job? response:	I quit. I figured I'd give the Hero Academy a shot, too.
context: Um...\Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too. response:	I-I can't believe you quit that easily...
context: Yeah, I don't associate with trash.\Trash, huh?\Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily... response:	Well, I didn't get to be with you.
context: Trash, huh?\Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you. response:	Huh?
context: Hey, wanna team up?\Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh? response:	Noir, you doofus. Come on, let's team up.
context: Heya, Noir!\E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up. response:	Hey, want to team up?
context: E-Emma? What are you doing here?\What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up? response:	I'm Lenore Bludon.
context: What about your librarian job?\I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon. response:	You don't need to be formal with me. The more casual, the better.
context: I quit. I figured I'd give the Hero Academy a shot, too.\I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better. response:	I'm Emma Brightness, my la... Lenore.
context: I-I can't believe you quit that easily...\Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore. response:	Brightness? Ah, a barony.
context: Well, I didn't get to be with you.\Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony. response:	I'm Noir Stardia.
context: Huh?\Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia. response:	I didn't ask for your name.
context: Noir, you doofus. Come on, let's team up.\Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name. response:	Why would I bother remembering the name of a baronet?
context: Hey, want to team up?\I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet? response:	Huh?
context: I'm Lenore Bludon.\You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh? response:	Now, then...
context: You don't need to be formal with me. The more casual, the better.\I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh?\Now, then... response:	Gather as many materials as you can by noon tomorrow.
context: I'm Emma Brightness, my la... Lenore.\Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh?\Now, then...\Gather as many materials as you can by noon tomorrow. response:	You can obtain them in any way you'd like.
context: Brightness? Ah, a barony.\I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh?\Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like. response:	Begin!
context: I'm Noir Stardia.\I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh?\Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin! response:	The marketplace!
context: I didn't ask for your name.\Why would I bother remembering the name of a baronet?\Huh?\Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin!\The marketplace! response:	I'm buying everything!
context: Why would I bother remembering the name of a baronet?\Huh?\Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin!\The marketplace!\I'm buying everything! response:	Y-You can buy the materials, too?
context: Huh?\Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin!\The marketplace!\I'm buying everything!\Y-You can buy the materials, too? response:	I guess so. He never said you had to actually defeat any monsters, so...
context: Now, then...\Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin!\The marketplace!\I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so... response:	Let's split up.
context: Gather as many materials as you can by noon tomorrow.\You can obtain them in any way you'd like.\Begin!\The marketplace!\I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up. response:	Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.
context: You can obtain them in any way you'd like.\Begin!\The marketplace!\I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain. response:	I guess the rich definitely have the upper hand.
context: Begin!\The marketplace!\I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand. response:	Yeah...
context: The marketplace!\I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah... response:	What are you going to do, Noir?
context: I'm buying everything!\Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir? response:	If you're going to hunt for your materials, I'll come with you.
context: Y-You can buy the materials, too?\I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you. response:	No, you wait here, Emma.
