context: Ah! It's pudding!!! response:	Since no one's home, Sakura's left me
context: TIME!\It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry\I wonder if they're ok?\I'll go look for them.\Everyone else, wait here.\Sakura-chan! response:	Hiiragizawa-kun is with her, too!
context: It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry\I wonder if they're ok?\I'll go look for them.\Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too! response:	Are you ok?
context: I have to hurry!\Fi' ire' ry\I wonder if they're ok?\I'll go look for them.\Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok? response:	Yeaaah'
context: Fi' ire' ry\I wonder if they're ok?\I'll go look for them.\Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah' response:	What happened??
context: I wonder if they're ok?\I'll go look for them.\Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah'\What happened?? response:	Sakura-chan!
context: I'll go look for them.\Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah'\What happened??\Sakura-chan! response:	She seems to have tired herself out. We should let her rest.
context: Everyone else, wait here.\Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah'\What happened??\Sakura-chan!\She seems to have tired herself out. We should let her rest. response:	Yeah.
context: Sakura-chan!\Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah'\What happened??\Sakura-chan!\She seems to have tired herself out. We should let her rest.\Yeah. response:	What I'm afraid of is
context: Hiiragizawa-kun is with her, too!\Are you ok?\Yeaaah'\What happened??\Sakura-chan!\She seems to have tired herself out. We should let her rest.\Yeah.\What I'm afraid of is response:	causing you pain'
context: Are you ok?\Yeaaah'\What happened??\Sakura-chan!\She seems to have tired herself out. We should let her rest.\Yeah.\What I'm afraid of is\causing you pain' response:	But it seems I can't help that, can I?
