context: The 88 Stars of the Heavens. response:	Shine!
context: And that's why I released the seal... To destroy it completely.\To destroy Nirvana?\I've already set up the magic circle of self-destruction.\Nirvana will shortly destroy itself.\What the heck is this high-level magic circle?\At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza... response:	I can feel the kindness from that name...
context: To destroy Nirvana?\I've already set up the magic circle of self-destruction.\Nirvana will shortly destroy itself.\What the heck is this high-level magic circle?\At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name... response:	I can feel kindness, cheerfulness, and warmth...
context: I've already set up the magic circle of self-destruction.\Nirvana will shortly destroy itself.\What the heck is this high-level magic circle?\At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth... response:	I'm sure you'll continue to hate me...
context: Nirvana will shortly destroy itself.\What the heck is this high-level magic circle?\At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me... response:	But I can't help that... It's only natural.
context: What the heck is this high-level magic circle?\At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural. response:	But hatred will steal the freedom from your heart.
context: At this rate, Nirvana will be destroyed!\Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart. response:	It will eat away at you from within...
context: Jellal! Spit out the cancellation code!\Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within... response:	You...
context: Erza...\I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within...\You... response:	I can't go that far...
context: I can feel the kindness from that name...\I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within...\You...\I can't go that far... response:	I can't go before you!
context: I can feel kindness, cheerfulness, and warmth...\I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within...\You...\I can't go that far...\I can't go before you! response:	He's...
context: I'm sure you'll continue to hate me...\But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within...\You...\I can't go that far...\I can't go before you!\He's... response:	You will be free from Jellal...
context: But I can't help that... It's only natural.\But hatred will steal the freedom from your heart.\It will eat away at you from within...\You...\I can't go that far...\I can't go before you!\He's...\You will be free from Jellal... response:	I will take your hatred and sadness... with me...
context: But hatred will steal the freedom from your heart.\It will eat away at you from within...\You...\I can't go that far...\I can't go before you!\He's...\You will be free from Jellal...\I will take your hatred and sadness... with me... response:	He's attached a magic circle of self-destruction to his own body?!
context: It will eat away at you from within...\You...\I can't go that far...\I can't go before you!\He's...\You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?! response:	You are... free!
context: You...\I can't go that far...\I can't go before you!\He's...\You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free! response:	Jellal!
context: I can't go that far...\I can't go before you!\He's...\You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal! response:	What'll we do? Nirvana has been resurrected!
context: I can't go before you!\He's...\You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal!\What'll we do? Nirvana has been resurrected! response:	And it's got legs!
context: He's...\You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs! response:	So Nirvana was actually an octopus?
context: You will be free from Jellal...\I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus? response:	It's not an octopus, duh!
context: I will take your hatred and sadness... with me...\He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh! response:	Then, a squid?
context: He's attached a magic circle of self-destruction to his own body?!\You are... free!\Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid? response:	Fine, squid, whatever.
context: You are... free!\Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever. response:	Can we stop squidding around and go already?
context: Jellal!\What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already? response:	Happy...
context: What'll we do? Nirvana has been resurrected!\And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already?\Happy... response:	I think you got the wrong show!
context: And it's got legs!\So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already?\Happy...\I think you got the wrong show! response:	Huh?
context: So Nirvana was actually an octopus?\It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already?\Happy...\I think you got the wrong show!\Huh? response:	Next time: March of Destruction!
context: It's not an octopus, duh!\Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already?\Happy...\I think you got the wrong show!\Huh?\Next time: March of Destruction! response:	That's not what I was trying to...
context: Then, a squid?\Fine, squid, whatever.\Can we stop squidding around and go already?\Happy...\I think you got the wrong show!\Huh?\Next time: March of Destruction!\That's not what I was trying to... response:	Don't deny it!
context: Fine, squid, whatever.\Can we stop squidding around and go already?\Happy...\I think you got the wrong show!\Huh?\Next time: March of Destruction!\That's not what I was trying to...\Don't deny it! response:	I thought it was awesome!
context: Can we stop squidding around and go already?\Happy...\I think you got the wrong show!\Huh?\Next time: March of Destruction!\That's not what I was trying to...\Don't deny it!\I thought it was awesome! response:	I think I'll leave him here and go by myself.
