context: Subaru-kun! response:	Wh-What happened? What the hell is going on?!
context: Rem?\You, too?\You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come. response:	I'll gladly give you my beating heart!
context: You, too?\You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart! response:	Emilia...
context: You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia... response:	Yes?
context: Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia...\Yes? response:	I can use Return by Death to
context: Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia...\Yes?\I can use Return by Death to response:	What was that about?
context: If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia...\Yes?\I can use Return by Death to\What was that about? response:	Usually...
context: I'd rather expose everything and end up vomiting blood!\If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia...\Yes?\I can use Return by Death to\What was that about?\Usually... response:	Huh?
context: If you're coming for me, then come.\I'll gladly give you my beating heart!\Emilia...\Yes?\I can use Return by Death to\What was that about?\Usually...\Huh? response:	Emilia?
context: I'll gladly give you my beating heart!\Emilia...\Yes?\I can use Return by Death to\What was that about?\Usually...\Huh?\Emilia? response:	Don't... Wha Huh?
context: Emilia...\Yes?\I can use Return by Death to\What was that about?\Usually...\Huh?\Emilia?\Don't... Wha Huh? response:	You have the look of someone who believes he's the world's most unfortunate soul.
context: Yes?\I can use Return by Death to\What was that about?\Usually...\Huh?\Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul. response:	Beatrice...
context: I can use Return by Death to\What was that about?\Usually...\Huh?\Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice... response:	Bubby won't come out, I suppose.
context: What was that about?\Usually...\Huh?\Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose. response:	Don't worry. Bubby won't die, I suppose.
context: Usually...\Huh?\Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose. response:	He just returned to his original form for now.
context: Huh?\Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now. response:	You have something you want to say, I suppose?
context: Emilia?\Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose? response:	Please kill me. Right here.
context: Don't... Wha Huh?\You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here. response:	You would ask me to kill you?
context: You have the look of someone who believes he's the world's most unfortunate soul.\Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you? response:	That's too cruel, I suppose.
context: Beatrice...\Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose. response:	You understand nothing.
context: Bubby won't come out, I suppose.\Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing. response:	You understand nothing at all.
context: Don't worry. Bubby won't die, I suppose.\He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing.\You understand nothing at all. response:	Huh? Beatrice?
context: He just returned to his original form for now.\You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing.\You understand nothing at all.\Huh? Beatrice? response:	I won't grant any of your wishes, I suppose.
context: You have something you want to say, I suppose?\Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing.\You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose. response:	If you want to die, then die on your own.
context: Please kill me. Right here.\You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing.\You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own. response:	Betty wants no part of it, I suppose.
context: You would ask me to kill you?\That's too cruel, I suppose.\You understand nothing.\You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose. response:	What are you...
context: That's too cruel, I suppose.\You understand nothing.\You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you... response:	Everything is already hopeless,
context: You understand nothing.\You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless, response:	but your staying here is a problem.
context: You understand nothing at all.\Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless,\but your staying here is a problem. response:	I will, at least, protect the mansion, I suppose.
context: Huh? Beatrice?\I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose. response:	Beatrice?
context: I won't grant any of your wishes, I suppose.\If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice? response:	Betty is not like Roswaal.
context: If you want to die, then die on your own.\Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal. response:	Even if it would secure a future for me,
context: Betty wants no part of it, I suppose.\What are you...\Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me, response:	I've had enough of pain, suffering, fear...
context: What are you...\Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear... response:	Everything, I suppose!
context: Everything is already hopeless,\but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose! response:	At least die where I can't see you, I suppose.
context: but your staying here is a problem.\I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose. response:	Emilia...
context: I will, at least, protect the mansion, I suppose.\Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia... response:	Sorry... I'm sorry.
context: Beatrice?\Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry. response:	I'm sorry.
context: Betty is not like Roswaal.\Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry.\I'm sorry. response:	I'm so sorry...
context: Even if it would secure a future for me,\I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry.\I'm sorry.\I'm so sorry... response:	Someone... Anyone...
context: I've had enough of pain, suffering, fear...\Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry.\I'm sorry.\I'm so sorry...\Someone... Anyone... response:	Please kill me!
context: Everything, I suppose!\At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry.\I'm sorry.\I'm so sorry...\Someone... Anyone...\Please kill me! response:	I've been waiting for you, believer in love.
context: At least die where I can't see you, I suppose.\Emilia...\Sorry... I'm sorry.\I'm sorry.\I'm so sorry...\Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love. response:	Betelgeuse...
context: Emilia...\Sorry... I'm sorry.\I'm sorry.\I'm so sorry...\Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love.\Betelgeuse... response:	My, my, my...
context: Sorry... I'm sorry.\I'm sorry.\I'm so sorry...\Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love.\Betelgeuse...\My, my, my... response:	The one you clutch to your chest there
context: I'm sorry.\I'm so sorry...\Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love.\Betelgeuse...\My, my, my...\The one you clutch to your chest there response:	wouldn't be the half-devil girl, would it?
context: I'm so sorry...\Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love.\Betelgeuse...\My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it? response:	How diligent you are!
context: Someone... Anyone...\Please kill me!\I've been waiting for you, believer in love.\Betelgeuse...\My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are! response:	Before we could even act,
context: Please kill me!\I've been waiting for you, believer in love.\Betelgeuse...\My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act, response:	you took the half-devil's life, in the Ordeal's name!
context: I've been waiting for you, believer in love.\Betelgeuse...\My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name! response:	I'm diligent?
context: Betelgeuse...\My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent? response:	That's right!
context: My, my, my...\The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right! response:	You are diligent! Fantastic!
context: The one you clutch to your chest there\wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right!\You are diligent! Fantastic! response:	Still...
context: wouldn't be the half-devil girl, would it?\How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right!\You are diligent! Fantastic!\Still... response:	Unable to overcome even one Ordeal,
context: How diligent you are!\Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right!\You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal, response:	much less to confront one of the sins,
context: Before we could even act,\you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right!\You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins, response:	and after all that waiting...
context: you took the half-devil's life, in the Ordeal's name!\I'm diligent?\That's right!\You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting... response:	She trips over the first pebble in her path, and it's over...
context: I'm diligent?\That's right!\You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over... response:	Ah, you are
context: That's right!\You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are response:	truly slothful...
context: You are diligent! Fantastic!\Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful... response:	You saw the Unseen Hand just now?
context: Still...\Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful...\You saw the Unseen Hand just now? response:	No...
context: Unable to overcome even one Ordeal,\much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful...\You saw the Unseen Hand just now?\No... response:	That's bad.
context: much less to confront one of the sins,\and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful...\You saw the Unseen Hand just now?\No...\That's bad. response:	This isn't right! It's all wrong!
context: and after all that waiting...\She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful...\You saw the Unseen Hand just now?\No...\That's bad.\This isn't right! It's all wrong! response:	It's a mistake! A mistake!
context: She trips over the first pebble in her path, and it's over...\Ah, you are\truly slothful...\You saw the Unseen Hand just now?\No...\That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake! response:	My Authority...
context: Ah, you are\truly slothful...\You saw the Unseen Hand just now?\No...\That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority... response:	The Authority of Sloth...
context: truly slothful...\You saw the Unseen Hand just now?\No...\That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority...\The Authority of Sloth... response:	My Unseen Hand, which love granted to me...
context: You saw the Unseen Hand just now?\No...\That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me... response:	No other can be allowed to see it!
context: No...\That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it! response:	You held her, as if she were terribly precious to you...
context: That's bad.\This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you... response:	But when the half-devil's body is torn apart, how beautifully will you cry?
context: This isn't right! It's all wrong!\It's a mistake! A mistake!\My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry? response:	Stop...
context: It's a mistake! A mistake!\My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop... response:	Stop!
context: My Authority...\The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop...\Stop! response:	Please stop!
context: The Authority of Sloth...\My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop...\Stop!\Please stop! response:	What are you doing?
context: My Unseen Hand, which love granted to me...\No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop...\Stop!\Please stop!\What are you doing? response:	What are you doing to my daughter,
context: No other can be allowed to see it!\You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop...\Stop!\Please stop!\What are you doing?\What are you doing to my daughter, response:	you scum?
context: You held her, as if she were terribly precious to you...\But when the half-devil's body is torn apart, how beautifully will you cry?\Stop...\Stop!\Please stop!\What are you doing?\What are you doing to my daughter,\you scum? response:	Dis grace in the Extreme
