context: Fifty years earlier, falling right into a trap laid by Naraku, response:	Inuyasha and Kikyo ended up hating and trying to kill each other.
context: Yourprotective mask won't work against this poison!\Kirara!\Take Kagome!\Leave it to me!\Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier? response:	Yes.
context: Kirara!\Take Kagome!\Leave it to me!\Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes. response:	Enju was the one who created the puppet soldiers.
context: Take Kagome!\Leave it to me!\Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers. response:	But she ran away.
context: Leave it to me!\Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers.\But she ran away. response:	She didn't want to make any more killing machines.
context: Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines. response:	After she made so many! And only now she's sick of it?
context: Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it? response:	Isn't that convenient?!
context: - Couldn't you tell?! - Sorry!\So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?! response:	Inuyasha!
context: So... The one with Sango is thatgirl from earlier?\Yes.\Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha! response:	Kill me. That's what I've wanted all along.
context: Yes.\Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along. response:	That's why I ran away from you.
context: Enju was the one who created the puppet soldiers.\But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you. response:	Enju.
context: But she ran away.\She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju. response:	We are the reborn dead.
context: She didn't want to make any more killing machines.\After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju.\We are the reborn dead. response:	There is no place on earth forus!
context: After she made so many! And only now she's sick of it?\Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju.\We are the reborn dead.\There is no place on earth forus! response:	Don't make me laugh!
context: Isn't that convenient?!\Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju.\We are the reborn dead.\There is no place on earth forus!\Don't make me laugh! response:	Then why were we resurrected?!
context: Inuyasha!\Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju.\We are the reborn dead.\There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?! response:	Was it just Mother's whim?
context: Kill me. That's what I've wanted all along.\That's why I ran away from you.\Enju.\We are the reborn dead.\There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim? response:	Why won't you help me, Enju?!
context: That's why I ran away from you.\Enju.\We are the reborn dead.\There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?! response:	If we exterminate the living,
context: Enju.\We are the reborn dead.\There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living, response:	you can find peace as a reborn dead!
context: We are the reborn dead.\There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead! response:	Don't you understand why Enju tried to die all alone?!
context: There is no place on earth forus!\Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?! response:	She doesn't want you to kill anymore!
context: Don't make me laugh!\Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore! response:	You the living would neverunderstand what we feel!
context: Then why were we resurrected?!\Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel! response:	Damn! Fools like you are better off dead!
context: Was it just Mother's whim?\Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead! response:	Don't kid yourself!
context: Why won't you help me, Enju?!\If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself! response:	We have been reborn!
context: If we exterminate the living,\you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn! response:	We'll do as we please!
context: you can find peace as a reborn dead!\Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn!\We'll do as we please! response:	Arise from the depths of the earth!
context: Don't you understand why Enju tried to die all alone?!\She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn!\We'll do as we please!\Arise from the depths of the earth! response:	Demon of Hell!
context: She doesn't want you to kill anymore!\You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn!\We'll do as we please!\Arise from the depths of the earth!\Demon of Hell! response:	Oh, Demon of Hell... Awakened with the secret magic of my mother!
context: You the living would neverunderstand what we feel!\Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn!\We'll do as we please!\Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother! response:	Destroy them!
context: Damn! Fools like you are better off dead!\Don't kid yourself!\We have been reborn!\We'll do as we please!\Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them! response:	Just try it!
context: Don't kid yourself!\We have been reborn!\We'll do as we please!\Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it! response:	Inuyasha!
context: We have been reborn!\We'll do as we please!\Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it!\Inuyasha! response:	He'll squeeze the life out of you!
context: We'll do as we please!\Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it!\Inuyasha!\He'll squeeze the life out of you! response:	I'll use my Wind Tunnel!
context: Arise from the depths of the earth!\Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it!\Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel! response:	Get away from there!
context: Demon of Hell!\Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it!\Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there! response:	Don't meddle, Miroku!
context: Oh, Demon of Hell... Awakened with the secret magic of my mother!\Destroy them!\Just try it!\Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku! response:	I'll take care of him!
context: Destroy them!\Just try it!\Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku!\I'll take care of him! response:	Get back!
context: Just try it!\Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku!\I'll take care of him!\Get back! response:	- Kagome! - Right!
context: Inuyasha!\He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku!\I'll take care of him!\Get back!\- Kagome! - Right! response:	Enju!
context: He'll squeeze the life out of you!\I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku!\I'll take care of him!\Get back!\- Kagome! - Right!\Enju! response:	Unforgivable! How dare you play around with human souls!
context: I'll use my Wind Tunnel!\Get away from there!\Don't meddle, Miroku!\I'll take care of him!\Get back!\- Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls! response:	Take this!
context: Get away from there!\Don't meddle, Miroku!\I'll take care of him!\Get back!\- Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls!\Take this! response:	W-What...!
context: Don't meddle, Miroku!\I'll take care of him!\Get back!\- Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls!\Take this!\W-What...! response:	The power of the Wind Scar
context: I'll take care of him!\Get back!\- Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls!\Take this!\W-What...!\The power of the Wind Scar response:	blasted the miasma and Kawaramaru into ashes.
context: Get back!\- Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls!\Take this!\W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes. response:	Kawaramaru...
context: - Kagome! - Right!\Enju!\Unforgivable! How dare you play around with human souls!\Take this!\W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru... response:	You sure this is okay?
context: Enju!\Unforgivable! How dare you play around with human souls!\Take this!\W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay? response:	Uh-huh...
context: Unforgivable! How dare you play around with human souls!\Take this!\W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay?\Uh-huh... response:	Even we don't know why we were born, yet we live.
context: Take this!\W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live. response:	That's why it's interesting.
context: W-What...!\The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting. response:	No telling what tomorrow will bring.
context: The power of the Wind Scar\blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring. response:	Say... I wonderhow she's doing?
context: blasted the miasma and Kawaramaru into ashes.\Kawaramaru...\You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing? response:	She's probably feeding a fire.
context: Kawaramaru...\You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire. response:	Kikyo bade you to come?
context: You sure this is okay?\Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come? response:	I promised Kagome... to give life a chance.
context: Uh-huh...\Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance. response:	Give life a chance, huh?
context: Even we don't know why we were born, yet we live.\That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh? response:	Why are villagers coming after Miroku?
context: That's why it's interesting.\No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku? response:	Knowing Miroku, he probably made trouble long ago.
context: No telling what tomorrow will bring.\Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago. response:	Still, they were awfully angry.
context: Say... I wonderhow she's doing?\She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry. response:	I have no idea what it is.
context: She's probably feeding a fire.\Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry.\I have no idea what it is. response:	But there's no sense in brooding over it.
context: Kikyo bade you to come?\I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry.\I have no idea what it is.\But there's no sense in brooding over it. response:	You were in so many fixes, you can't remember which is which!
context: I promised Kagome... to give life a chance.\Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry.\I have no idea what it is.\But there's no sense in brooding over it.\You were in so many fixes, you can't remember which is which! response:	Everyone, I think you misunderstand me.
context: Give life a chance, huh?\Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry.\I have no idea what it is.\But there's no sense in brooding over it.\You were in so many fixes, you can't remember which is which!\Everyone, I think you misunderstand me. response:	Next on Inuyasha: The Mysterious, Lecherous Monk!
context: Why are villagers coming after Miroku?\Knowing Miroku, he probably made trouble long ago.\Still, they were awfully angry.\I have no idea what it is.\But there's no sense in brooding over it.\You were in so many fixes, you can't remember which is which!\Everyone, I think you misunderstand me.\Next on Inuyasha: The Mysterious, Lecherous Monk! response:	Well then, let's get to the bottom of this!
