context: The Principality of Pastillage response:	The opening of the joint event
context: should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again! response:	It seems he is repenting his wicked ways.
context: in an hour of need.\I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways. response:	Please find it in your heart to forgive him.
context: I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him. response:	Um...
context: Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um... response:	Well, as long as he doesn't do it again.
context: Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again. response:	Then the two of us will return to our slumber.
context: Yeah, yeah. I did.\Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber. response:	That means you, too.
context: Once again, I am so deeply sorry!\I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too. response:	Damn, I wanted to have some more fun.
context: I won't do it again!\It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun. response:	Hero Sleep Routine, restarted.
context: It seems he is repenting his wicked ways.\Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted. response:	Couverte, couldn't we keep the Hero King
context: Please find it in your heart to forgive him.\Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King response:	and that Demon King a little longer?
context: Um...\Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer? response:	It would be nice if the Hero King could stay a bit
context: Well, as long as he doesn't do it again.\Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit response:	and see our current world after all this...
context: Then the two of us will return to our slumber.\That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this... response:	It looks like the Demon King isn't so evil after all.
context: That means you, too.\Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all. response:	And then...
context: Damn, I wanted to have some more fun.\Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then... response:	More than anything...
context: Hero Sleep Routine, restarted.\Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then...\More than anything... response:	After everything, you're still the cutest...
context: Couverte, couldn't we keep the Hero King\and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then...\More than anything...\After everything, you're still the cutest... response:	Which of your tongues is speaking?
context: and that Demon King a little longer?\It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then...\More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking? response:	Which?!
context: It would be nice if the Hero King could stay a bit\and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then...\More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking?\Which?! response:	I really want to know what kind of
context: and see our current world after all this...\It looks like the Demon King isn't so evil after all.\And then...\More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking?\Which?!\I really want to know what kind of response:	relationship those two have.
context: It looks like the Demon King isn't so evil after all.\And then...\More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking?\Which?!\I really want to know what kind of\relationship those two have. response:	You two don't have to be in such a hurry to get back.
context: And then...\More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking?\Which?!\I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back. response:	We're too old to stay long
context: More than anything...\After everything, you're still the cutest...\Which of your tongues is speaking?\Which?!\I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long response:	in the country of young people.
context: After everything, you're still the cutest...\Which of your tongues is speaking?\Which?!\I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people. response:	This old man and old lady are signing out.
context: Which of your tongues is speaking?\Which?!\I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people.\This old man and old lady are signing out. response:	It made me really happy to see
context: Which?!\I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people.\This old man and old lady are signing out.\It made me really happy to see response:	my cute descendants and princesses,
context: I really want to know what kind of\relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people.\This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses, response:	as well as the new crop of healthy, young Heroes...
context: relationship those two have.\You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people.\This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes... response:	Okay, farewell.
context: You two don't have to be in such a hurry to get back.\We're too old to stay long\in the country of young people.\This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell. response:	Huh?
context: We're too old to stay long\in the country of young people.\This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh? response:	Problem identified in Hero Sleep Routine's magic circuitry.
context: in the country of young people.\This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry. response:	Repairi- repai- re- re- re
context: This old man and old lady are signing out.\It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re response:	Did it... break?
context: It made me really happy to see\my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break? response:	Looks like it.
context: my cute descendants and princesses,\as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break?\Looks like it. response:	What?
context: as well as the new crop of healthy, young Heroes...\Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break?\Looks like it.\What? response:	Well, looky here.
context: Okay, farewell.\Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break?\Looks like it.\What?\Well, looky here. response:	Now what do we do?
context: Huh?\Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break?\Looks like it.\What?\Well, looky here.\Now what do we do? response:	So, how is it?
context: Problem identified in Hero Sleep Routine's magic circuitry.\Repairi- repai- re- re- re\Did it... break?\Looks like it.\What?\Well, looky here.\Now what do we do?\So, how is it? response:	Apparently the wear and tear
context: Repairi- repai- re- re- re\Did it... break?\Looks like it.\What?\Well, looky here.\Now what do we do?\So, how is it?\Apparently the wear and tear response:	of the many years have left their mark.
context: Did it... break?\Looks like it.\What?\Well, looky here.\Now what do we do?\So, how is it?\Apparently the wear and tear\of the many years have left their mark. response:	I heard that the repairs will take quite a long time.
context: Looks like it.\What?\Well, looky here.\Now what do we do?\So, how is it?\Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time. response:	What about those two?
context: What?\Well, looky here.\Now what do we do?\So, how is it?\Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two? response:	They'll be staying in Pastillage for a while.
context: Well, looky here.\Now what do we do?\So, how is it?\Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while. response:	Even the Demon King agreed to be on his best behavior.
context: Now what do we do?\So, how is it?\Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior. response:	I'm so glad I was able to meet my ancestor.
context: So, how is it?\Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor. response:	It's good that she's such a nice person.
context: Apparently the wear and tear\of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person. response:	Yeah.
context: of the many years have left their mark.\I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah. response:	I have to thank Sink later.
context: I heard that the repairs will take quite a long time.\What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah.\I have to thank Sink later. response:	He was pretty cool today.
context: What about those two?\They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah.\I have to thank Sink later.\He was pretty cool today. response:	Maybe just a little.
context: They'll be staying in Pastillage for a while.\Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah.\I have to thank Sink later.\He was pretty cool today.\Maybe just a little. response:	Sink, you really are my Hero!
context: Even the Demon King agreed to be on his best behavior.\I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah.\I have to thank Sink later.\He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero! response:	I love you!
context: I'm so glad I was able to meet my ancestor.\It's good that she's such a nice person.\Yeah.\I have to thank Sink later.\He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero!\I love you! response:	Th-Thank you, Princess.
context: It's good that she's such a nice person.\Yeah.\I have to thank Sink later.\He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero!\I love you!\Th-Thank you, Princess. response:	I wonder why the princess is so happy.
context: Yeah.\I have to thank Sink later.\He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero!\I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy. response:	I'm glad, but I don't get the reason.
context: I have to thank Sink later.\He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero!\I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason. response:	Oh well, whatever. She's cute.
context: He was pretty cool today.\Maybe just a little.\Sink, you really are my Hero!\I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute. response:	There, there.
context: Maybe just a little.\Sink, you really are my Hero!\I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there. response:	I am the Demon King!
context: Sink, you really are my Hero!\I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there.\I am the Demon King! response:	I can't see anything!
context: I love you!\Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there.\I am the Demon King!\I can't see anything! response:	Cou-sama, you mustn't look!
context: Th-Thank you, Princess.\I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there.\I am the Demon King!\I can't see anything!\Cou-sama, you mustn't look! response:	Battle at the Cave of Sealing!
context: I wonder why the princess is so happy.\I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there.\I am the Demon King!\I can't see anything!\Cou-sama, you mustn't look!\Battle at the Cave of Sealing! response:	Let's fully charge our hearts with courage again, next time!
context: I'm glad, but I don't get the reason.\Oh well, whatever. She's cute.\There, there.\I am the Demon King!\I can't see anything!\Cou-sama, you mustn't look!\Battle at the Cave of Sealing!\Let's fully charge our hearts with courage again, next time! response:	Okay?
