context: Ladies and gentlemen, good evening. response:	When he learned something of his mother's past,
context: He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on? response:	Something that Maximilien said.
context: The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said. response:	Is it true that you don't love your fiancee?
context: He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee? response:	Oh.
context: Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh. response:	Do you, Albert?
context: Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh.\Do you, Albert? response:	You and I... are childhood friends, right?
context: You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh.\Do you, Albert?\You and I... are childhood friends, right? response:	You and Franz have changed.
context: Tell me, what kind of relationship do you and I have?\What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh.\Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed. response:	In the old days, the three of us would always have fun together.
context: What brought this on?\Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh.\Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together. response:	But now, the two of you sneak off on trips by yourselves...
context: Something that Maximilien said.\Is it true that you don't love your fiancee?\Oh.\Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves... response:	Everybody is changing.
context: Is it true that you don't love your fiancee?\Oh.\Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing. response:	Do you know why Maximilien was so angry?
context: Oh.\Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry? response:	You honestly don't know?
context: Do you, Albert?\You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know? response:	Well, if you say so.
context: You and I... are childhood friends, right?\You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so. response:	What's that supposed to mean?!
context: You and Franz have changed.\In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so.\What's that supposed to mean?! response:	I guess no one can do anything to stop it...
context: In the old days, the three of us would always have fun together.\But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it... response:	I didn't mean to keep you waiting, Eugenie.
context: But now, the two of you sneak off on trips by yourselves...\Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie. response:	I'm sorry. It took a long time to get ready.
context: Everybody is changing.\Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready. response:	That's all right.
context: Do you know why Maximilien was so angry?\You honestly don't know?\Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right. response:	Oh, my. Albert, is something the matter? You look so grim.
context: You honestly don't know?\Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim. response:	Stay safe.
context: Well, if you say so.\What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe. response:	Hey! Albert!
context: What's that supposed to mean?!\I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe.\Hey! Albert! response:	Albert!
context: I guess no one can do anything to stop it...\I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe.\Hey! Albert!\Albert! response:	She and her father. And her mother.
context: I didn't mean to keep you waiting, Eugenie.\I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe.\Hey! Albert!\Albert!\She and her father. And her mother. response:	The specter of uncertainty sneaks up on them through their conflicting emotions.
context: I'm sorry. It took a long time to get ready.\That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe.\Hey! Albert!\Albert!\She and her father. And her mother.\The specter of uncertainty sneaks up on them through their conflicting emotions. response:	Act 6: Her Melancholy, My Melancholy
context: That's all right.\Oh, my. Albert, is something the matter? You look so grim.\Stay safe.\Hey! Albert!\Albert!\She and her father. And her mother.\The specter of uncertainty sneaks up on them through their conflicting emotions.\Act 6: Her Melancholy, My Melancholy response:	Bide your time, and hold out hope!
