context: You came after all. response:	Amber...
context: I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it!\This is...\BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately! response:	Hurry up!
context: A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it!\This is...\BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up! response:	It's useless.
context: It's growing by the second!\Find out what's causing it!\This is...\BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up!\It's useless. response:	Useless? Why?
context: Find out what's causing it!\This is...\BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up!\It's useless.\Useless? Why? response:	The anti-gate particles within the system have been completely altered
context: This is...\BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up!\It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered response:	by the special particle light emitted from BK201's electric current.
context: BK201!\Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up!\It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current. response:	His electric current isn't one made up of mere electromagnetic waves.
context: Take him down! Shoot him now!\Prepare for the second emission immediately!\Hurry up!\It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves. response:	It's capable of altering substances at a quantum level.
context: Prepare for the second emission immediately!\Hurry up!\It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level. response:	Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.
context: Hurry up!\It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of. response:	I thought the same incident that took place in South America would happen again,
context: It's useless.\Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again, response:	where the altered substance would saturate the gate and create a neutral territory.
context: Useless? Why?\The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory. response:	Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?
context: The anti-gate particles within the system have been completely altered\by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy? response:	He really outdid us this time!
context: by the special particle light emitted from BK201's electric current.\His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time! response:	Somebody take this man away!
context: His electric current isn't one made up of mere electromagnetic waves.\It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away! response:	Manager!
context: It's capable of altering substances at a quantum level.\Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away!\Manager! response:	How could the syndicate terminate me?
context: Granting the abilities of a contractor to an ordinary human being is an example of what BK201 is capable of.\I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away!\Manager!\How could the syndicate terminate me? response:	We've been conducting undercover investigations on a suspect, namely Eric Nishijima,
context: I thought the same incident that took place in South America would happen again,\where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away!\Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima, response:	on charges of conspiracy and violation of United Nation laws.
context: where the altered substance would saturate the gate and create a neutral territory.\Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away!\Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws. response:	The perfect scapegoat, isn't he?
context: Who would have thought he'd attack the Saturn Ring with pinpoint accuracy?\He really outdid us this time!\Somebody take this man away!\Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he? response:	Is this your... the syndicate's method of handling things?
context: He really outdid us this time!\Somebody take this man away!\Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things? response:	I need not remind you about how Intelligence is supposed to act.
context: Somebody take this man away!\Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act. response:	Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors
context: Manager!\How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors response:	despite the fact that the threat of an explosion didn't exist.
context: How could the syndicate terminate me?\We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist. response:	Weren't you the ones who instigated all this, not the E.P.R.,
context: We've been conducting undercover investigations on a suspect, namely Eric Nishijima,\on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R., response:	in an effort to eradicate them?
context: on charges of conspiracy and violation of United Nation laws.\The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them? response:	Do you have any evidence?
context: The perfect scapegoat, isn't he?\Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence? response:	Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.
context: Is this your... the syndicate's method of handling things?\I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions. response:	Don't think you can get away with it at that time.
context: I need not remind you about how Intelligence is supposed to act.\Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time. response:	The existence of the syndicate or the relationship I maintained with it,
context: Manager Hourai, you and Eric Nishijima, who you just killed, attempted to eliminate all contractors\despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it, response:	you can't prove either.
context: despite the fact that the threat of an explosion didn't exist.\Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either. response:	You have no idea how influential the syndicate is.
context: Weren't you the ones who instigated all this, not the E.P.R.,\in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is. response:	However, due to this disturbance,
context: in an effort to eradicate them?\Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance, response:	knowledge about the existence of contractors will inevitably become known to the public.
context: Do you have any evidence?\Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public. response:	We should have eliminated information about them before it came to that,
context: Eventually, the time will come when the truth is disclosed. History will be the judge of your actions.\Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that, response:	while they were still a nameless cluster of stars.
context: Don't think you can get away with it at that time.\The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars. response:	That will be enough.
context: The existence of the syndicate or the relationship I maintained with it,\you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough. response:	Enough?
context: you can't prove either.\You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough.\Enough? response:	I've recorded this conversation. Please come with me.
context: You have no idea how influential the syndicate is.\However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough.\Enough?\I've recorded this conversation. Please come with me. response:	So you opted for a third route, huh?
context: However, due to this disturbance,\knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough.\Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh? response:	Why don't you understand?
context: knowledge about the existence of contractors will inevitably become known to the public.\We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough.\Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand? response:	The path you've chosen is one of massive conflict.
context: We should have eliminated information about them before it came to that,\while they were still a nameless cluster of stars.\That will be enough.\Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict. response:	The human race will abhor contractors all the more,
context: while they were still a nameless cluster of stars.\That will be enough.\Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more, response:	and contractors will act in kind.
context: That will be enough.\Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind. response:	What do you think will be the end result of that?
context: Enough?\I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that? response:	You advocate peace,
context: I've recorded this conversation. Please come with me.\So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace, response:	so there isn't any reason why you shouldn't understand what I'm trying to say.
context: So you opted for a third route, huh?\Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say. response:	No!
context: Why don't you understand?\The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No! response:	Wait!
context: The path you've chosen is one of massive conflict.\The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait! response:	Wait, Li-kun!
context: The human race will abhor contractors all the more,\and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait!\Wait, Li-kun! response:	The man you once knew as Li no longer exists.
context: and contractors will act in kind.\What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists. response:	Boss!
context: What do you think will be the end result of that?\You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss! response:	Boss!
context: You advocate peace,\so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss!\Boss! response:	Are you all right?
context: so there isn't any reason why you shouldn't understand what I'm trying to say.\No!\Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss!\Boss!\Are you all right? response:	Yes.
context: No!\Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss!\Boss!\Are you all right?\Yes. response:	This is awful. What the hell happened?
context: Wait!\Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss!\Boss!\Are you all right?\Yes.\This is awful. What the hell happened? response:	Manager?
context: Wait, Li-kun!\The man you once knew as Li no longer exists.\Boss!\Boss!\Are you all right?\Yes.\This is awful. What the hell happened?\Manager? response:	Saitou, arrest the manager
context: The man you once knew as Li no longer exists.\Boss!\Boss!\Are you all right?\Yes.\This is awful. What the hell happened?\Manager?\Saitou, arrest the manager response:	on charges of homicide.
context: Boss!\Boss!\Are you all right?\Yes.\This is awful. What the hell happened?\Manager?\Saitou, arrest the manager\on charges of homicide. response:	Roger!
context: Boss!\Are you all right?\Yes.\This is awful. What the hell happened?\Manager?\Saitou, arrest the manager\on charges of homicide.\Roger! response:	He might try to commit suicide, so be alert.
context: Are you all right?\Yes.\This is awful. What the hell happened?\Manager?\Saitou, arrest the manager\on charges of homicide.\Roger!\He might try to commit suicide, so be alert. response:	Understood!
context: Yes.\This is awful. What the hell happened?\Manager?\Saitou, arrest the manager\on charges of homicide.\Roger!\He might try to commit suicide, so be alert.\Understood! response:	In any case, let's get out of here.
context: This is awful. What the hell happened?\Manager?\Saitou, arrest the manager\on charges of homicide.\Roger!\He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here. response:	Okay.
context: Manager?\Saitou, arrest the manager\on charges of homicide.\Roger!\He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here.\Okay. response:	Our lives returned to normal shortly after that incident.
context: Saitou, arrest the manager\on charges of homicide.\Roger!\He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident. response:	As the manager had predicted,
context: on charges of homicide.\Roger!\He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted, response:	contractor-related incidents were on the rise.
context: Roger!\He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise. response:	Freeze! Slowly raise your hands and turn toward me!
context: He might try to commit suicide, so be alert.\Understood!\In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me! response:	2048 hours, suspect detained.
context: Understood!\In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained. response:	Roger.
context: In any case, let's get out of here.\Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger. response:	There wasn't a single trace of the syndicate.
context: Okay.\Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate. response:	However, it was only a matter of time until the existence of contractors became known to the public.
context: Our lives returned to normal shortly after that incident.\As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public. response:	One day, in the near future, our moment of truth will come.
context: As the manager had predicted,\contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come. response:	That's it,
context: contractor-related incidents were on the rise.\Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it, response:	take them with you.
context: Freeze! Slowly raise your hands and turn toward me!\2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it,\take them with you. response:	The stars that have fallen,
context: 2048 hours, suspect detained.\Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it,\take them with you.\The stars that have fallen, response:	the stars that are falling,
context: Roger.\There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it,\take them with you.\The stars that have fallen,\the stars that are falling, response:	every single one of them...
context: There wasn't a single trace of the syndicate.\However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it,\take them with you.\The stars that have fallen,\the stars that are falling,\every single one of them... response:	Yes. Far, far,
context: However, it was only a matter of time until the existence of contractors became known to the public.\One day, in the near future, our moment of truth will come.\That's it,\take them with you.\The stars that have fallen,\the stars that are falling,\every single one of them...\Yes. Far, far, response:	far, far away, to a future nobody has ever seen.
context: One day, in the near future, our moment of truth will come.\That's it,\take them with you.\The stars that have fallen,\the stars that are falling,\every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen. response:	Yeah, it was really sudden.
context: That's it,\take them with you.\The stars that have fallen,\the stars that are falling,\every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden. response:	Why would they deport such a nice man?
context: take them with you.\The stars that have fallen,\the stars that are falling,\every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man? response:	There are so many Japanese who are much worse than he was.
context: The stars that have fallen,\the stars that are falling,\every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was. response:	Would we have chosen the same path,
context: the stars that are falling,\every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path, response:	a path of coexistence?
context: every single one of them...\Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence? response:	Wait!
context: Yes. Far, far,\far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence?\Wait! response:	I wanted to hear his answer with my own ears.
context: far, far away, to a future nobody has ever seen.\Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence?\Wait!\I wanted to hear his answer with my own ears. response:	What is it?
context: Yeah, it was really sudden.\Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence?\Wait!\I wanted to hear his answer with my own ears.\What is it? response:	Understood. I'll be there soon.
context: Why would they deport such a nice man?\There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence?\Wait!\I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon. response:	Episode Twenty-Five
context: There are so many Japanese who are much worse than he was.\Would we have chosen the same path,\a path of coexistence?\Wait!\I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon.\Episode Twenty-Five response:	Does the Reaper Dream of Darkness, Darker Than Black?
context: Would we have chosen the same path,\a path of coexistence?\Wait!\I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black? response:	Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.
context: a path of coexistence?\Wait!\I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4. response:	I was sure that this was the last episode,
context: Wait!\I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode, response:	but actually, there appears to be one more.
context: I wanted to hear his answer with my own ears.\What is it?\Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more. response:	Now, in the spring comes flower-viewing.
context: What is it?\Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing. response:	The other day, even Section 4 went out to see them.
context: Understood. I'll be there soon.\Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them. response:	There, a young lady of ours, named Otsuka-kun,
context: Episode Twenty-Five\Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun, response:	started going on about what she liked. She says,
context: Does the Reaper Dream of Darkness, Darker Than Black?\Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun,\started going on about what she liked. She says, response:	I prefer men, like you, Matsumoto-san, rather than younger men.
context: Ah, hello there. Matsumoto, Public Security Bureau, Foreign Affairs Section 4.\I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun,\started going on about what she liked. She says,\I prefer men, like you, Matsumoto-san, rather than younger men. response:	What was I saying? Oh yes, the preview.
context: I was sure that this was the last episode,\but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun,\started going on about what she liked. She says,\I prefer men, like you, Matsumoto-san, rather than younger men.\What was I saying? Oh yes, the preview. response:	Episode Twenty-Six
context: but actually, there appears to be one more.\Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun,\started going on about what she liked. She says,\I prefer men, like you, Matsumoto-san, rather than younger men.\What was I saying? Oh yes, the preview.\Episode Twenty-Six response:	Beneath Cherry Blossoms in Full Bloom...
context: Now, in the spring comes flower-viewing.\The other day, even Section 4 went out to see them.\There, a young lady of ours, named Otsuka-kun,\started going on about what she liked. She says,\I prefer men, like you, Matsumoto-san, rather than younger men.\What was I saying? Oh yes, the preview.\Episode Twenty-Six\Beneath Cherry Blossoms in Full Bloom... response:	Huh? Time's up? Well, if you'll excuse me...
