context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu! response:	The Pikachu again.
context: -Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again. response:	I feel sorry for it, being raised by such a weak Pokemon trainer.
context: Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer. response:	Pikachu, now's our chance to show him how weak we are!
context: Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are! response:	Pikachu!
context: Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu! response:	Pikachu, nice going.
context: Pidgeotto, return!\-Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going. response:	Return, Geodude.
context: -Are you giving up again, Ash? -No way.\-Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going.\Return, Geodude. response:	It looks like you've trained it better. But still, it's no match for Onix!
context: -Pikachu, I choose you! -Chu!\The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix! response:	Go!
context: The Pikachu again.\I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go! response:	Pika!
context: I feel sorry for it, being raised by such a weak Pokemon trainer.\Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika! response:	Hey, Pikachu, watch where you're aiming, huh?
context: Pikachu, now's our chance to show him how weak we are!\Pikachu!\Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh? response:	-Chu! -Oh, Pikachu, give it a Thunderbolt!
context: Pikachu!\Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt! response:	Hang in there, Pikachu! It's working!
context: Pikachu, nice going.\Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working! response:	Onix, bind it!
context: Return, Geodude.\It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it! response:	-Chu! -Pikachu.
context: It looks like you've trained it better. But still, it's no match for Onix!\Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu. response:	- Onix, stop! -Huh?
context: Go!\Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh? response:	No, Brock, I want to play this match to the end.
context: Pika!\Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end. response:	There's no point in going on.
context: Hey, Pikachu, watch where you're aiming, huh?\-Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on. response:	I really don't want to hurt your Pokemon.
context: -Chu! -Oh, Pikachu, give it a Thunderbolt!\Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon. response:	- Ash! -Ah. Huh?
context: Hang in there, Pikachu! It's working!\Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh? response:	Rock Pokemon are weakened by water!
context: Onix, bind it!\-Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water! response:	-Pikachu! -Chu!
context: -Chu! -Pikachu.\- Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu! response:	Onix!
context: - Onix, stop! -Huh?\No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix! response:	Pikachu, finish it off!
context: No, Brock, I want to play this match to the end.\There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix!\Pikachu, finish it off! response:	My conscience is holding me back. I can't bring myself to beat Brock.
context: There's no point in going on.\I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock. response:	I'm imagining his little brothers and sisters
context: I really don't want to hurt your Pokemon.\- Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters response:	stopping me from beating the one person they love.
context: - Ash! -Ah. Huh?\Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love. response:	Ash, I think you'd better open your eyes.
context: Rock Pokemon are weakened by water!\-Pikachu! -Chu!\Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes. response:	-Huh? -You leave Onix alone!
context: -Pikachu! -Chu!\Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone! response:	Our brother worked hard to raise him, you big bully.
context: Onix!\Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully. response:	Believe me, kid, I'm no bully.
context: Pikachu, finish it off!\My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully. response:	Stop it. Get off, all of you!
context: My conscience is holding me back. I can't bring myself to beat Brock.\I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you! response:	This is an official match and we're going to finish it no matter what!
context: I'm imagining his little brothers and sisters\stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what! response:	But, Brock, we know that you love your Pokemon so much.
context: stopping me from beating the one person they love.\Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much. response:	That's why we can't watch Onix suffer from another attack!
context: Ash, I think you'd better open your eyes.\-Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack! response:	Onix, stop!
context: -Huh? -You leave Onix alone!\Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop! response:	-Pikachu, return! -Chu?
context: Our brother worked hard to raise him, you big bully.\Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu? response:	What do you think you're doing? This match isn't over yet, Ash.
context: Believe me, kid, I'm no bully.\Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash. response:	Those sprinklers going off was just an accident.
context: Stop it. Get off, all of you!\This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident. response:	Winning the match because of that wouldn't have proved anything.
context: This is an official match and we're going to finish it no matter what!\But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything. response:	Next time we meet, I'll beat you my way, fair and square.
context: But, Brock, we know that you love your Pokemon so much.\That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square. response:	Maybe.
context: That's why we can't watch Onix suffer from another attack!\Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe. response:	Just when he finally gets a lucky break,
context: Onix, stop!\-Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break, response:	he decides to be a nice guy too.
context: -Pikachu, return! -Chu?\What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too. response:	I'm sorry if I was too tough on you, Pikachu.
context: What do you think you're doing? This match isn't over yet, Ash.\Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu. response:	But you really did a great job.
context: Those sprinklers going off was just an accident.\Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job. response:	Pikachu.
context: Winning the match because of that wouldn't have proved anything.\Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu. response:	Sounds like you feel just the way I do.
context: Next time we meet, I'll beat you my way, fair and square.\Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu.\Sounds like you feel just the way I do. response:	Hey, hey, wait up! Ash!
context: Maybe.\Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash! response:	Huh? Brock?
context: Just when he finally gets a lucky break,\he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock? response:	Ash, you forgot this.
context: he decides to be a nice guy too.\I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this. response:	A badge for defeating a Gym Trainer.
context: I'm sorry if I was too tough on you, Pikachu.\But you really did a great job.\Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer. response:	I can't accept that. I didn't beat you.
context: But you really did a great job.\Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you. response:	-I gave up. -Nah.
context: Pikachu.\Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah. response:	I lost to you.
context: Sounds like you feel just the way I do.\Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you. response:	You beat me in battle and in being kind to all Pokemon.
context: Hey, hey, wait up! Ash!\Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon. response:	But...
context: Huh? Brock?\Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon.\But... response:	To tell you the truth, I get more pleasure from raising Pokemon
context: Ash, you forgot this.\A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon response:	than from making them battle.
context: A badge for defeating a Gym Trainer.\I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle. response:	I don't care about being a great Pokemon trainer.
context: I can't accept that. I didn't beat you.\-I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer. response:	I want to become the world's best breeder
context: -I gave up. -Nah.\I lost to you.\You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder response:	but I can't leave here because I have to look after my brothers and sisters.
context: I lost to you.\You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters. response:	Ash, I want you to take this and fulfill my dream.
context: You beat me in battle and in being kind to all Pokemon.\But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream. response:	-Will you do that for me? -I will.
context: But...\To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will. response:	And I'll do my best to deserve this too!
context: To tell you the truth, I get more pleasure from raising Pokemon\than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too! response:	Brock, you go follow your own dreams.
context: than from making them battle.\I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams. response:	Flint!
context: I don't care about being a great Pokemon trainer.\I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint! response:	-My father. -Huh?
context: I want to become the world's best breeder\but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint!\-My father. -Huh? response:	You mean you're the good-for-nothing father who left home and never came back?
context: but I can't leave here because I have to look after my brothers and sisters.\Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back? response:	That's right. It was me.
context: Ash, I want you to take this and fulfill my dream.\-Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me. response:	I couldn't become the great Pokemon trainer I wanted to
context: -Will you do that for me? -I will.\And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to response:	and because I was such a failure,
context: And I'll do my best to deserve this too!\Brock, you go follow your own dreams.\Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure, response:	I was too embarrassed and ashamed to go back to my family.
context: Brock, you go follow your own dreams.\Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family. response:	But why did you help me instead of Brock?
context: Flint!\-My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock? response:	You reminded me of myself.
context: -My father. -Huh?\You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself. response:	-You didn't seem to have a chance. -Oh!
context: You mean you're the good-for-nothing father who left home and never came back?\That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh! response:	Its time I started taking care of my family.
context: That's right. It was me.\I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family. response:	You go fulfill your dreams and mine.
context: I couldn't become the great Pokemon trainer I wanted to\and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine. response:	First, there are some things I have to tell you.
context: and because I was such a failure,\I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you. response:	After all these years, I understand how you must feel about me
context: I was too embarrassed and ashamed to go back to my family.\But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me response:	so I want you to get everything off your chest. Here.
context: But why did you help me instead of Brock?\You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here. response:	Uh...
context: You reminded me of myself.\-You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh... response:	Suzy always rips her dresses so you better learn how to sew.
context: -You didn't seem to have a chance. -Oh!\Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew. response:	And Timmy only eats cold spaghetti for breakfast.
context: Its time I started taking care of my family.\You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast. response:	Tommy likes corn flakes for dinner-
context: You go fulfill your dreams and mine.\First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner- response:	Slow down, slow down. I can't write that fast!
context: First, there are some things I have to tell you.\After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast! response:	Cindy sleepwalks so you have to tie a bell on her wrist.
context: After all these years, I understand how you must feel about me\so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist. response:	The twins never want to take a bath so you have to...
context: so I want you to get everything off your chest. Here.\Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to... response:	Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?
context: Uh...\Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey? response:	Sure I'm sure.
context: Suzy always rips her dresses so you better learn how to sew.\And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure. response:	The more the merrier and it's good to have somebody to talk with.
context: And Timmy only eats cold spaghetti for breakfast.\Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with. response:	Well, what about that girl who keeps following you?
context: Tommy likes corn flakes for dinner-\Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you? response:	Don't forget about my bike, Ash Ketchum!
context: Slow down, slow down. I can't write that fast!\Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum! response:	I'm going to follow you till you pay me back!
context: Cindy sleepwalks so you have to tie a bell on her wrist.\The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back! response:	I know, I know!
context: The twins never want to take a bath so you have to...\Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know! response:	-Pikachu, let's try to lose her. -Chu!
context: Hey, Ash, are you sure it's okay if I go with you on your Pokemon journey?\Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu! response:	-Wait up, Ash! -You won't get away!
context: Sure I'm sure.\The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away! response:	And so with a new friend and ally and Misty close behind
