context: It was a story of two queens. response:	It was a story of death and rebirth.
context: but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san...\Yes! response:	Hakua-chan,
context: This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san...\Yes!\Hakua-chan, response:	I'm sorry!
context: but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san...\Yes!\Hakua-chan,\I'm sorry! response:	We didn't notice you felt that way...
context: their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san...\Yes!\Hakua-chan,\I'm sorry!\We didn't notice you felt that way... response:	And then we dragged you out here...
context: I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san...\Yes!\Hakua-chan,\I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here... response:	I'm sorry.
context: than be sad and depressed.\Souta-san...\Yes!\Hakua-chan,\I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry. response:	It's okay.
context: Souta-san...\Yes!\Hakua-chan,\I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry.\It's okay. response:	I'm very happy you're so concerned about me, I am!
context: Yes!\Hakua-chan,\I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am! response:	Hakua-chan!
context: Hakua-chan,\I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan! response:	Everyone!
context: I'm sorry!\We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone! response:	I'm so glad that everyone who loves Sou-kun has gotten closer!
context: We didn't notice you felt that way...\And then we dragged you out here...\I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer! response:	So I'm a member, too, am I?
context: And then we dragged you out here...\I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I? response:	Of course!
context: I'm sorry.\It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course! response:	As long as you have feelings for Souta!
context: It's okay.\I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta! response:	This is what it means to have a close friendship!
context: I'm very happy you're so concerned about me, I am!\Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship! response:	Would you all like to give a cheer?
context: Hakua-chan!\Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer? response:	Yes or no?
context: Everyone!\I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no? response:	That's a good idea.
context: I'm so glad that everyone who loves Sou-kun has gotten closer!\So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no?\That's a good idea. response:	Hooray! Hooray! Souta-kun!
context: So I'm a member, too, am I?\Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun! response:	You can do it, Souta-kun!
context: Of course!\As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun! response:	You can do it, Souta-kun!
context: As long as you have feelings for Souta!\This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun! response:	Why are they cheering for me and not Hakua?
context: This is what it means to have a close friendship!\Would you all like to give a cheer?\Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua? response:	Thanks for helping Hakua.
context: Would you all like to give a cheer?\Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua. response:	I didn't really do anything on my own.
context: Yes or no?\That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own. response:	I guess we're headed back to Japan tomorrow.
context: That's a good idea.\Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow. response:	A lot happened,
context: Hooray! Hooray! Souta-kun!\You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened, response:	but I guess it was a fun summer vacation.
context: You can do it, Souta-kun!\You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation. response:	This is...
context: You can do it, Souta-kun!\Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation.\This is... response:	Are you interested in that inscription?
context: Why are they cheering for me and not Hakua?\Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription? response:	You're...
context: Thanks for helping Hakua.\I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription?\You're... response:	I guess I haven't told you my name, yet.
context: I didn't really do anything on my own.\I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet. response:	I am Number Zero.
context: I guess we're headed back to Japan tomorrow.\A lot happened,\but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet.\I am Number Zero. response:	Number Zero...
context: A lot happened,\but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero... response:	Number Seven,
context: but I guess it was a fun summer vacation.\This is...\Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero...\Number Seven, response:	Daimyouzamurai Mei's, former superior.
context: This is...\Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior. response:	Huh?
context: Are you interested in that inscription?\You're...\I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior.\Huh? response:	This inscription is a fairy tale,
context: You're...\I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale, response:	told in the lands from which Bladefield's founding queen hailed.
context: I guess I haven't told you my name, yet.\I am Number Zero.\Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed. response:	A fairy tale.
context: I am Number Zero.\Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale. response:	It was the tale of two queens.
context: Number Zero...\Number Seven,\Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens. response:	As the heroes fell, one by one,
context: Number Seven,\Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one, response:	a royal flag was raised aloft by
context: Daimyouzamurai Mei's, former superior.\Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by response:	the last survivor, a golden haired princess.
context: Huh?\This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess. response:	The demons fled,
context: This inscription is a fairy tale,\told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled, response:	and the kingdom regained the light,
context: told in the lands from which Bladefield's founding queen hailed.\A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light, response:	but with the last arrow fired by the demons,
context: A fairy tale.\It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons, response:	the princess lost her life.
context: It was the tale of two queens.\As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life. response:	The boy of the flag had received a blessing from the goddess.
context: As the heroes fell, one by one,\a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess. response:	But the boy used that blessing
context: a royal flag was raised aloft by\the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing response:	to revive the princess and
context: the last survivor, a golden haired princess.\The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and response:	the others instead of healing his own illness.
context: The demons fled,\and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and\the others instead of healing his own illness. response:	He remained in the shape of the royal flag, never to return to normal.
context: and the kingdom regained the light,\but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal. response:	The princesses and her comrades made this
context: but with the last arrow fired by the demons,\the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this response:	torn flag the symbol of the country.
context: the princess lost her life.\The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country. response:	It is the story of a boy with no name.
context: The boy of the flag had received a blessing from the goddess.\But the boy used that blessing\to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name. response:	It is the story of hope and despair.
context: But the boy used that blessing\to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair. response:	It is the tragic story of a young man,
context: to revive the princess and\the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man, response:	the hero who turned into a strange flag and saved a country.
context: the others instead of healing his own illness.\He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country. response:	It can't be...
context: He remained in the shape of the royal flag, never to return to normal.\The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be... response:	It matches up too closely with my past...
context: The princesses and her comrades made this\torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past... response:	If this fairy tale is a metaphor for my life,
context: torn flag the symbol of the country.\It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life, response:	then that means I will only meet
context: It is the story of a boy with no name.\It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet response:	Is everything I do pointless?
context: It is the story of hope and despair.\It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless? response:	Is the light I've finally found meaningless?
context: It is the tragic story of a young man,\the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless? response:	What is the world to you?
context: the hero who turned into a strange flag and saved a country.\It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you? response:	Why are you...
context: It can't be...\It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you?\Why are you... response:	Is it a symbol of hatred?
context: It matches up too closely with my past...\If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you?\Why are you...\Is it a symbol of hatred? response:	Or do you
context: If this fairy tale is a metaphor for my life,\then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you?\Why are you...\Is it a symbol of hatred?\Or do you response:	love it so much you'd sacrifice anything to protect it?
context: then that means I will only meet\Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you?\Why are you...\Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it? response:	It won't go away...
context: Is everything I do pointless?\Is the light I've finally found meaningless?\What is the world to you?\Why are you...\Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away... response:	I've triggered every flag I can think of that can get around a death flag!
context: Is the light I've finally found meaningless?\What is the world to you?\Why are you...\Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag! response:	But it still won't go away!
context: What is the world to you?\Why are you...\Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away! response:	It won't go away! It won't go away!
context: Why are you...\Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away! response:	It won't go away!
context: Is it a symbol of hatred?\Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away!\It won't go away! response:	Are you embarrassed that you were the only one who survived?
context: Or do you\love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived? response:	You're the one who killed him!
context: love it so much you'd sacrifice anything to protect it?\It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him! response:	Give them back! You murderer!
context: It won't go away...\I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer! response:	No,
context: I've triggered every flag I can think of that can get around a death flag!\But it still won't go away!\It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer!\No, response:	the death flag is gathering everyone's anger and trying to kill me...
context: But it still won't go away!\It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me... response:	Die.
context: It won't go away! It won't go away!\It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me...\Die. response:	No one really wants that.
context: It won't go away!\Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that. response:	Die.
context: Are you embarrassed that you were the only one who survived?\You're the one who killed him!\Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that.\Die. response:	No. No.
context: You're the one who killed him!\Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that.\Die.\No. No. response:	Die. Die.
context: Give them back! You murderer!\No,\the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that.\Die.\No. No.\Die. Die. response:	No. No. No.
context: No,\the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that.\Die.\No. No.\Die. Die.\No. No. No. response:	Die. Die. Die. Die. Die.
context: the death flag is gathering everyone's anger and trying to kill me...\Die.\No one really wants that.\Die.\No. No.\Die. Die.\No. No. No.\Die. Die. Die. Die. Die. response:	No!
context: Die.\No one really wants that.\Die.\No. No.\Die. Die.\No. No. No.\Die. Die. Die. Die. Die.\No! response:	I'll take it with me...
context: No one really wants that.\Die.\No. No.\Die. Die.\No. No. No.\Die. Die. Die. Die. Die.\No!\I'll take it with me... response:	I'll take the hatred caused by this flag...
context: Die.\No. No.\Die. Die.\No. No. No.\Die. Die. Die. Die. Die.\No!\I'll take it with me...\I'll take the hatred caused by this flag... response:	This world...
context: No. No.\Die. Die.\No. No. No.\Die. Die. Die. Die. Die.\No!\I'll take it with me...\I'll take the hatred caused by this flag...\This world... response:	I'll...
context: Die. Die.\No. No. No.\Die. Die. Die. Die. Die.\No!\I'll take it with me...\I'll take the hatred caused by this flag...\This world...\I'll... response:	I love the world.
context: No. No. No.\Die. Die. Die. Die. Die.\No!\I'll take it with me...\I'll take the hatred caused by this flag...\This world...\I'll...\I love the world. response:	I would easily kill a single princess for the sake of world.
context: Die. Die. Die. Die. Die.\No!\I'll take it with me...\I'll take the hatred caused by this flag...\This world...\I'll...\I love the world.\I would easily kill a single princess for the sake of world. response:	You couldn't...
context: No!\I'll take it with me...\I'll take the hatred caused by this flag...\This world...\I'll...\I love the world.\I would easily kill a single princess for the sake of world.\You couldn't... response:	Yes, I was behind that assassination attempt.
context: I'll take it with me...\I'll take the hatred caused by this flag...\This world...\I'll...\I love the world.\I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt. response:	I wanted to see how capable the succeeding princesses would be,
context: I'll take the hatred caused by this flag...\This world...\I'll...\I love the world.\I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be, response:	and get rid of the opposition in one fell swoop.
context: This world...\I'll...\I love the world.\I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop. response:	Pretty good plan, right?
context: I'll...\I love the world.\I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right? response:	You...
context: I love the world.\I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You... response:	Of course,
context: I would easily kill a single princess for the sake of world.\You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You...\Of course, response:	I would give my life if necessary, as well.
context: You couldn't...\Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You...\Of course,\I would give my life if necessary, as well. response:	She's serious...
context: Yes, I was behind that assassination attempt.\I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You...\Of course,\I would give my life if necessary, as well.\She's serious... response:	For the world, she'd...
context: I wanted to see how capable the succeeding princesses would be,\and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You...\Of course,\I would give my life if necessary, as well.\She's serious...\For the world, she'd... response:	I shall ask you once more. How do you feel?
context: and get rid of the opposition in one fell swoop.\Pretty good plan, right?\You...\Of course,\I would give my life if necessary, as well.\She's serious...\For the world, she'd...\I shall ask you once more. How do you feel? response:	About the world that didn't need you?
context: Pretty good plan, right?\You...\Of course,\I would give my life if necessary, as well.\She's serious...\For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you? response:	Let us meet again.
context: You...\Of course,\I would give my life if necessary, as well.\She's serious...\For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again. response:	I would be happy to
context: Of course,\I would give my life if necessary, as well.\She's serious...\For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again.\I would be happy to response:	hear your answer then.
context: I would give my life if necessary, as well.\She's serious...\For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again.\I would be happy to\hear your answer then. response:	I shall praise you for
context: She's serious...\For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again.\I would be happy to\hear your answer then.\I shall praise you for response:	deceiving us and escaping from your bonds.
context: For the world, she'd...\I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again.\I would be happy to\hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds. response:	However, it is pointless.
context: I shall ask you once more. How do you feel?\About the world that didn't need you?\Let us meet again.\I would be happy to\hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless. response:	Someone like you will never be able to save
context: About the world that didn't need you?\Let us meet again.\I would be happy to\hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save response:	Hatate Souta.
context: Let us meet again.\I would be happy to\hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save\Hatate Souta. response:	Save my beloved brother.
context: I would be happy to\hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save\Hatate Souta.\Save my beloved brother. response:	Roar! Gawo!
context: hear your answer then.\I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save\Hatate Souta.\Save my beloved brother.\Roar! Gawo! response:	Have you done the preview before, Hakua?
context: I shall praise you for\deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save\Hatate Souta.\Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua? response:	I'm a Bladefield princess.
context: deceiving us and escaping from your bonds.\However, it is pointless.\Someone like you will never be able to save\Hatate Souta.\Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess. response:	I can handle the preview with ease, I can!
context: However, it is pointless.\Someone like you will never be able to save\Hatate Souta.\Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can! response:	That's great.
context: Someone like you will never be able to save\Hatate Souta.\Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great. response:	So what is it, this preview?
context: Hatate Souta.\Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great.\So what is it, this preview? response:	I thought that flag was coming!
context: Save my beloved brother.\Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great.\So what is it, this preview?\I thought that flag was coming! response:	By the way, next time I'll start studying in Japan.
context: Roar! Gawo!\Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great.\So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan. response:	I don't think it has much to do with this preview, I don't.
context: Have you done the preview before, Hakua?\I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great.\So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't. response:	Hold this for Me. The Winner of the Beauty Contest is Written Here.
context: I'm a Bladefield princess.\I can handle the preview with ease, I can!\That's great.\So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here. response:	Flag 10
context: I can handle the preview with ease, I can!\That's great.\So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here.\Flag 10 response:	That's a preview!
context: That's great.\So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here.\Flag 10\That's a preview! response:	Roar! Gawo!
context: So what is it, this preview?\I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here.\Flag 10\That's a preview!\Roar! Gawo! response:	If Her Flag Breaks
context: I thought that flag was coming!\By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here.\Flag 10\That's a preview!\Roar! Gawo!\If Her Flag Breaks response:	Watch next time!
context: By the way, next time I'll start studying in Japan.\I don't think it has much to do with this preview, I don't.\Hold this for Me. The Winner of the Beauty Contest is Written Here.\Flag 10\That's a preview!\Roar! Gawo!\If Her Flag Breaks\Watch next time! response:	Illustration: Tiv
