context: Ladies and gentlemen, good evening. response:	The life of the young boy that was sacrificed to my friend...
context: Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it? response:	Albert...
context: I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert... response:	Sorry, I was just remembering that day.
context: The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day. response:	Franz is a lucky guy.
context: Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy. response:	You're always thinking about him.
context: Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him. response:	I only have machines to soothe my troubled heart now!
context: Yeah...\It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now! response:	Renaud...
context: It was just a little while ago, but it feels like a distant memory.\That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud... response:	C'mon, let's head back and grab something to eat.
context: That quiche that Valentine shared with us was great, wasn't it?\Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat. response:	Sure.
context: Albert...\Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat.\Sure. response:	Hey! Michelle! We're being swamped with sell-offs!
context: Sorry, I was just remembering that day.\Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs! response:	What are you doing?
context: Franz is a lucky guy.\You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing? response:	I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.
context: You're always thinking about him.\I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume. response:	Sink all the money we have into it to stop the slide!
context: I only have machines to soothe my troubled heart now!\Renaud...\C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide! response:	It isn't just our bank stocks or those of our business group that are crashing.
context: Renaud...\C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing. response:	Every stock that we have invested in is in a nosedive.
context: C'mon, let's head back and grab something to eat.\Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive. response:	Why is this happening?
context: Sure.\Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening? response:	I am unable to determine the cause.
context: Hey! Michelle! We're being swamped with sell-offs!\What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause. response:	Unable to determine the cause?!
context: What are you doing?\I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?! response:	Pull it together, damn it! If this keeps up, I'll go bankrupt!
context: I am trying as best I can to prop up the prices, but I am unable to keep up with the volume.\Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt! response:	Infection by unknown virus detec... ted...
context: Sink all the money we have into it to stop the slide!\It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted... response:	Michelle?
context: It isn't just our bank stocks or those of our business group that are crashing.\Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle? response:	The Eastern market is open now.
context: Every stock that we have invested in is in a nosedive.\Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now. response:	Pull out our shares! Sell off everything but our bank stocks!
context: Why is this happening?\I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks! response:	Convert it to cash!
context: I am unable to determine the cause.\Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash! response:	Today's weather in Paris is sunny... sunny.
context: Unable to determine the cause?!\Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny. response:	Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.
context: Pull it together, damn it! If this keeps up, I'll go bankrupt!\Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny. response:	Hey!
context: Infection by unknown virus detec... ted...\Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey! response:	It is shaping up to be a pleasant day... sunny.
context: Michelle?\The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny. response:	Hey! Michelle! Snap out of it!
context: The Eastern market is open now.\Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it! response:	Michelle!
context: Pull out our shares! Sell off everything but our bank stocks!\Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle! response:	Sunny, sunny, sunny, sunny...
context: Convert it to cash!\Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny... response:	The Eastern market...
context: Today's weather in Paris is sunny... sunny.\Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market... response:	The Paris market closed today with prices considerably lower than yesterday's... sunny.
context: Current temperature is 22 Celsi... sunny... with less than a 10 chance of precipita... sunny.\Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny. response:	Michelle, start running these numbers immediately!
context: Hey!\It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately! response:	The prevailing opinion is that the market turned against overextended businesses...
context: It is shaping up to be a pleasant day... sunny.\Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses... response:	I can't keep up with it by myself!
context: Hey! Michelle! Snap out of it!\Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself! response:	The prevailing opinion is that the market turned against overextended businesses...
context: Michelle!\Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses... response:	Michelle...
context: Sunny, sunny, sunny, sunny...\The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle... response:	Sunny, sunny, sunny, sunny, sunny...
context: The Eastern market...\The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny... response:	Michelle!
context: The Paris market closed today with prices considerably lower than yesterday's... sunny.\Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle! response:	At the outbreak of this market run... sunny, sunny, sunny...
context: Michelle, start running these numbers immediately!\The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny... response:	Michelle!
context: The prevailing opinion is that the market turned against overextended businesses...\I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle! response:	Father? What's the matter? Why are you barging in like this?
context: I can't keep up with it by myself!\The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this? response:	Eugenie, dear daughter of mine... I have something to tell you.
context: The prevailing opinion is that the market turned against overextended businesses...\Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you. response:	Something to tell me?
context: Michelle...\Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me? response:	Yes. Something wonderful.
context: Sunny, sunny, sunny, sunny, sunny...\Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful. response:	The thing is, your wedding with Andrea has been set for the day after tomorrow.
context: Michelle!\At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow. response:	Why did you do that?! I told that you I can't get married so soon after Franz died!
context: At the outbreak of this market run... sunny, sunny, sunny...\Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died! response:	That's all right.
context: Michelle!\Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right. response:	Father!
context: Father? What's the matter? Why are you barging in like this?\Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father! response:	Shut your mouth!
context: Eugenie, dear daughter of mine... I have something to tell you.\Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father!\Shut your mouth! response:	Are you saying that you don't care if l... no, this entire family...
context: Something to tell me?\Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family... response:	Father, calm down.
context: Yes. Something wonderful.\The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down. response:	Calm down?! How am I supposed to calm down?!
context: The thing is, your wedding with Andrea has been set for the day after tomorrow.\Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?! response:	My stocks have taken a nosedive! They aren't worth the paper they're printed on now!
context: Why did you do that?! I told that you I can't get married so soon after Franz died!\That's all right.\Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now! response:	Give up on this worthless piano nonsense of yours!
context: That's all right.\Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours! response:	You're not serious...
context: Father!\Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious... response:	You're the only one who can save this family.
context: Shut your mouth!\Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family. response:	You've got to marry Andrea right away!
context: Are you saying that you don't care if l... no, this entire family...\Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away! response:	But what about my feelings?
context: Father, calm down.\Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings? response:	They don't matter.
context: Calm down?! How am I supposed to calm down?!\My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings?\They don't matter. response:	All that matters to me is that I get my money back.
context: My stocks have taken a nosedive! They aren't worth the paper they're printed on now!\Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings?\They don't matter.\All that matters to me is that I get my money back. response:	Thanks to this, Andrea's fortune will be mine!
context: Give up on this worthless piano nonsense of yours!\You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings?\They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine! response:	Eugenie, at this moment, you're the most precious thing in the world to me.
context: You're not serious...\You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings?\They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me. response:	Franz is still here with us.
context: You're the only one who can save this family.\You've got to marry Andrea right away!\But what about my feelings?\They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us. response:	That's the way I see it.
context: You've got to marry Andrea right away!\But what about my feelings?\They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it. response:	I get the feeling that he's showing us what path we have to take.
context: But what about my feelings?\They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take. response:	Renaud...
context: They don't matter.\All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud... response:	And where might you be going at this late hour?
context: All that matters to me is that I get my money back.\Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour? response:	No! Stop it!
context: Thanks to this, Andrea's fortune will be mine!\Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour?\No! Stop it! response:	Let go!
context: Eugenie, at this moment, you're the most precious thing in the world to me.\Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour?\No! Stop it!\Let go! response:	No!
context: Franz is still here with us.\That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour?\No! Stop it!\Let go!\No! response:	No!
context: That's the way I see it.\I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour?\No! Stop it!\Let go!\No!\No! response:	Even the daughter of an aristocrat...
context: I get the feeling that he's showing us what path we have to take.\Renaud...\And where might you be going at this late hour?\No! Stop it!\Let go!\No!\No!\Even the daughter of an aristocrat... response:	Wouldn't she?!
context: Renaud...\And where might you be going at this late hour?\No! Stop it!\Let go!\No!\No!\Even the daughter of an aristocrat...\Wouldn't she?! response:	The day after tomorrow, you're going to belong to me.
context: And where might you be going at this late hour?\No! Stop it!\Let go!\No!\No!\Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me. response:	The main course will have to wait until then...
context: No! Stop it!\Let go!\No!\No!\Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then... response:	Albert, save me...
context: Let go!\No!\No!\Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me... response:	Albert!
context: No!\No!\Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me...\Albert! response:	Don't give up on your future.
context: No!\Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me...\Albert!\Don't give up on your future. response:	No matter the time, no matter the place, you're never alone.
context: Even the daughter of an aristocrat...\Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me...\Albert!\Don't give up on your future.\No matter the time, no matter the place, you're never alone. response:	Next time on Gankutsuou, The Count of Monte Cristo, act 20...
context: Wouldn't she?!\The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me...\Albert!\Don't give up on your future.\No matter the time, no matter the place, you're never alone.\Next time on Gankutsuou, The Count of Monte Cristo, act 20... response:	Act 20: Farewell, Eugenie
context: The day after tomorrow, you're going to belong to me.\The main course will have to wait until then...\Albert, save me...\Albert!\Don't give up on your future.\No matter the time, no matter the place, you're never alone.\Next time on Gankutsuou, The Count of Monte Cristo, act 20...\Act 20: Farewell, Eugenie response:	Bide your time, and hold out hope!
