context: He's gotten stronger again. response:	He's shining even more brilliantly than before.
context: I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine.\If you're that insistent...\Goddess! response:	But! Wallenwhatsit!
context: So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine.\If you're that insistent...\Goddess!\But! Wallenwhatsit! response:	If you try to pull anything with my Bell-kun,
context: Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine.\If you're that insistent...\Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun, response:	the deal is off. Got it?
context: It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine.\If you're that insistent...\Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it? response:	Yes.
context: Please, Goddess!\Fine.\If you're that insistent...\Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes. response:	You're not allowed to try and seduce him, got it?
context: Fine.\If you're that insistent...\Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it? response:	Huh?
context: If you're that insistent...\Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it?\Huh? response:	You're not going to get your hands on my Bell-kun, okay?
context: Goddess!\But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay? response:	I got to him first, after all!
context: But! Wallenwhatsit!\If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all! response:	Goddess!
context: If you try to pull anything with my Bell-kun,\the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess! response:	Why am I being so bold?
context: the deal is off. Got it?\Yes.\You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess!\Why am I being so bold? response:	You have a good goddess, don't you?
context: Yes.\You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess!\Why am I being so bold?\You have a good goddess, don't you? response:	Yes.
context: You're not allowed to try and seduce him, got it?\Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess!\Why am I being so bold?\You have a good goddess, don't you?\Yes. response:	Hey, you there!
context: Huh?\You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess!\Why am I being so bold?\You have a good goddess, don't you?\Yes.\Hey, you there! response:	Get away from him!
context: You're not going to get your hands on my Bell-kun, okay?\I got to him first, after all!\Goddess!\Why am I being so bold?\You have a good goddess, don't you?\Yes.\Hey, you there!\Get away from him! response:	What are you?
context: I got to him first, after all!\Goddess!\Why am I being so bold?\You have a good goddess, don't you?\Yes.\Hey, you there!\Get away from him!\What are you? response:	What the hell are you doing here?!
context: Goddess!\Why am I being so bold?\You have a good goddess, don't you?\Yes.\Hey, you there!\Get away from him!\What are you?\What the hell are you doing here?! response:	Argonaut Wanting To Be A Hero
context: Why am I being so bold?\You have a good goddess, don't you?\Yes.\Hey, you there!\Get away from him!\What are you?\What the hell are you doing here?!\Argonaut Wanting To Be A Hero response:	Next Time
context: You have a good goddess, don't you?\Yes.\Hey, you there!\Get away from him!\What are you?\What the hell are you doing here?!\Argonaut Wanting To Be A Hero\Next Time response:	Next time: Argonaut.
