context: Just as was announced at yesterday's music festival, response:	today is finally the day when the joint event
context: Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't response:	actually tell you what I wanted.
context: Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted. response:	All I wanted to do was to cheer you on
context: Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on response:	because you're too serious.
context: Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious. response:	When I said that I hate you, I was lying.
context: I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying. response:	In reality, I love you!
context: I'm really sorry that I bugged you right before\this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you! response:	No matter what!
context: this important war and got in a fight with you.\I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you!\No matter what! response:	Forever and ever!
context: I was conceited and couldn't\actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you!\No matter what!\Forever and ever! response:	The fault...
context: actually tell you what I wanted.\All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you!\No matter what!\Forever and ever!\The fault... response:	lies with me...
context: All I wanted to do was to cheer you on\because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you!\No matter what!\Forever and ever!\The fault...\lies with me... response:	You didn't do anything wrong.
context: because you're too serious.\When I said that I hate you, I was lying.\In reality, I love you!\No matter what!\Forever and ever!\The fault...\lies with me...\You didn't do anything wrong. response:	And I...
context: When I said that I hate you, I was lying.\In reality, I love you!\No matter what!\Forever and ever!\The fault...\lies with me...\You didn't do anything wrong.\And I... response:	love you, too.
context: In reality, I love you!\No matter what!\Forever and ever!\The fault...\lies with me...\You didn't do anything wrong.\And I...\love you, too. response:	Just like the princess and everybody in the Knight Corps...
context: No matter what!\Forever and ever!\The fault...\lies with me...\You didn't do anything wrong.\And I...\love you, too.\Just like the princess and everybody in the Knight Corps... response:	The country Biscotti...
context: Forever and ever!\The fault...\lies with me...\You didn't do anything wrong.\And I...\love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti... response:	and our Hero...
context: The fault...\lies with me...\You didn't do anything wrong.\And I...\love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero... response:	Everybody that I met is important to me
context: lies with me...\You didn't do anything wrong.\And I...\love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero...\Everybody that I met is important to me response:	I hold them dear and I don't want to betray them!
context: You didn't do anything wrong.\And I...\love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them! response:	That's why I won't lose.
context: And I...\love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose. response:	Big words, but what do you plan to do?
context: love you, too.\Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do? response:	I am going to win.
context: Just like the princess and everybody in the Knight Corps...\The country Biscotti...\and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do?\I am going to win. response:	I am going to defeat you and advance with our Hero.
context: The country Biscotti...\and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero. response:	Then we'll bring victory to Biscotti!
context: and our Hero...\Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti! response:	You eyes finally look like a knight's eyes.
context: Everybody that I met is important to me\I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes. response:	Fine. Bring it!
context: I hold them dear and I don't want to betray them!\That's why I won't lose.\Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it! response:	Captain Eclaire has recovered!
context: That's why I won't lose.\Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered! response:	But what will she...
context: Big words, but what do you plan to do?\I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered!\But what will she... response:	Here I go...
context: I am going to win.\I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered!\But what will she...\Here I go... response:	Bright Power release!
context: I am going to defeat you and advance with our Hero.\Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered!\But what will she...\Here I go...\Bright Power release! response:	Bright Ice Blade! Dual wield!
context: Then we'll bring victory to Biscotti!\You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered!\But what will she...\Here I go...\Bright Power release!\Bright Ice Blade! Dual wield! response:	What?!
context: You eyes finally look like a knight's eyes.\Fine. Bring it!\Captain Eclaire has recovered!\But what will she...\Here I go...\Bright Power release!\Bright Ice Blade! Dual wield!\What?! response:	Air Splitting
context: Fine. Bring it!\Captain Eclaire has recovered!\But what will she...\Here I go...\Bright Power release!\Bright Ice Blade! Dual wield!\What?!\Air Splitting response:	Bright
context: Captain Eclaire has recovered!\But what will she...\Here I go...\Bright Power release!\Bright Ice Blade! Dual wield!\What?!\Air Splitting\Bright response:	Cross Slash!
context: But what will she...\Here I go...\Bright Power release!\Bright Ice Blade! Dual wield!\What?!\Air Splitting\Bright\Cross Slash! response:	This is actually quite...
context: Here I go...\Bright Power release!\Bright Ice Blade! Dual wield!\What?!\Air Splitting\Bright\Cross Slash!\This is actually quite... response:	I win.
context: Bright Power release!\Bright Ice Blade! Dual wield!\What?!\Air Splitting\Bright\Cross Slash!\This is actually quite...\I win. response:	Damn.
context: Bright Ice Blade! Dual wield!\What?!\Air Splitting\Bright\Cross Slash!\This is actually quite...\I win.\Damn. response:	Looks like you're right.
context: What?!\Air Splitting\Bright\Cross Slash!\This is actually quite...\I win.\Damn.\Looks like you're right. response:	Fair and square.
context: Air Splitting\Bright\Cross Slash!\This is actually quite...\I win.\Damn.\Looks like you're right.\Fair and square. response:	Captain Eclaire has won!
context: Bright\Cross Slash!\This is actually quite...\I win.\Damn.\Looks like you're right.\Fair and square.\Captain Eclaire has won! response:	Her Bright Power move has cleanly
context: Cross Slash!\This is actually quite...\I win.\Damn.\Looks like you're right.\Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly response:	destroyed Lady Leon's sword and armor!
context: This is actually quite...\I win.\Damn.\Looks like you're right.\Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor! response:	My my, I let my guard down.
context: I win.\Damn.\Looks like you're right.\Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down. response:	My lady, thank you.
context: Damn.\Looks like you're right.\Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you. response:	How was it?
context: Looks like you're right.\Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you.\How was it? response:	Putting your feelings into words?
context: Fair and square.\Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you.\How was it?\Putting your feelings into words? response:	Did it help you a bit?
context: Captain Eclaire has won!\Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you.\How was it?\Putting your feelings into words?\Did it help you a bit? response:	Quite a bit.
context: Her Bright Power move has cleanly\destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you.\How was it?\Putting your feelings into words?\Did it help you a bit?\Quite a bit. response:	I am going to stop mulling over things by myself.
context: destroyed Lady Leon's sword and armor!\My my, I let my guard down.\My lady, thank you.\How was it?\Putting your feelings into words?\Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself. response:	Should you have any problems regarding love,
context: My my, I let my guard down.\My lady, thank you.\How was it?\Putting your feelings into words?\Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love, response:	come talk to me.
context: My lady, thank you.\How was it?\Putting your feelings into words?\Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me. response:	Castle Vannette is all women,
context: How was it?\Putting your feelings into words?\Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women, response:	so I understand the female heart.
context: Putting your feelings into words?\Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women,\so I understand the female heart. response:	Then I will take that right as my reward.
context: Did it help you a bit?\Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward. response:	Very well, it's a promise then.
context: Quite a bit.\I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then. response:	The war's just begun.
context: I am going to stop mulling over things by myself.\Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun. response:	Let us return to our places.
context: Should you have any problems regarding love,\come talk to me.\Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun.\Let us return to our places. response:	Yes.
context: come talk to me.\Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun.\Let us return to our places.\Yes. response:	With that, the one-on-one
context: Castle Vannette is all women,\so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun.\Let us return to our places.\Yes.\With that, the one-on-one response:	on the Prizet Bridge goes to Biscotti!
context: so I understand the female heart.\Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun.\Let us return to our places.\Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti! response:	It's a retreat rather than a defeat,
context: Then I will take that right as my reward.\Very well, it's a promise then.\The war's just begun.\Let us return to our places.\Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat, response:	but it still gives a huge boost to Biscotti's score.
context: Very well, it's a promise then.\The war's just begun.\Let us return to our places.\Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score. response:	Ecle!
context: The war's just begun.\Let us return to our places.\Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle! response:	I apologize. I worried you.
context: Let us return to our places.\Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you. response:	Not at all.
context: Yes.\With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you.\Not at all. response:	Now let's go.
context: With that, the one-on-one\on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you.\Not at all.\Now let's go. response:	Let us advance together, just as we planned!
context: on the Prizet Bridge goes to Biscotti!\It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you.\Not at all.\Now let's go.\Let us advance together, just as we planned! response:	Okay!
context: It's a retreat rather than a defeat,\but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you.\Not at all.\Now let's go.\Let us advance together, just as we planned!\Okay! response:	What's happening at Biscotti's main camp
context: but it still gives a huge boost to Biscotti's score.\Ecle!\I apologize. I worried you.\Not at all.\Now let's go.\Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp response:	after the victory of their captain?
context: Ecle!\I apologize. I worried you.\Not at all.\Now let's go.\Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp\after the victory of their captain? response:	I see the princess's favorite Blanchir, Harlan, out...
context: I apologize. I worried you.\Not at all.\Now let's go.\Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out... response:	Could this mean...
context: Not at all.\Now let's go.\Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean... response:	Eclaire was so cool.
context: Now let's go.\Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool. response:	I hope you'll pet her a lot later.
context: Let us advance together, just as we planned!\Okay!\What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later. response:	Of course!
context: Okay!\What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later.\Of course! response:	It looks like the princess and the chief
context: What's happening at Biscotti's main camp\after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief response:	will go up into the skies together.
context: after the victory of their captain?\I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief\will go up into the skies together. response:	It's finally time.
context: I see the princess's favorite Blanchir, Harlan, out...\Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief\will go up into the skies together.\It's finally time. response:	Yes!
context: Could this mean...\Eclaire was so cool.\I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief\will go up into the skies together.\It's finally time.\Yes! response:	Here we go, Princess.
context: Eclaire was so cool.\I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief\will go up into the skies together.\It's finally time.\Yes!\Here we go, Princess. response:	Right!
context: I hope you'll pet her a lot later.\Of course!\It looks like the princess and the chief\will go up into the skies together.\It's finally time.\Yes!\Here we go, Princess.\Right! response:	I am going to fight Rebecca-san
context: Of course!\It looks like the princess and the chief\will go up into the skies together.\It's finally time.\Yes!\Here we go, Princess.\Right!\I am going to fight Rebecca-san response:	without holding back, too.
context: It looks like the princess and the chief\will go up into the skies together.\It's finally time.\Yes!\Here we go, Princess.\Right!\I am going to fight Rebecca-san\without holding back, too. response:	Even if we didn't get much screen time...
context: will go up into the skies together.\It's finally time.\Yes!\Here we go, Princess.\Right!\I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time... response:	We still are...
context: It's finally time.\Yes!\Here we go, Princess.\Right!\I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time...\We still are... response:	Genoise!
context: Yes!\Here we go, Princess.\Right!\I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time...\We still are...\Genoise! response:	One-On-One In The Skies and On Land!
context: Here we go, Princess.\Right!\I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time...\We still are...\Genoise!\One-On-One In The Skies and On Land! response:	Don't forget it!
context: Right!\I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time...\We still are...\Genoise!\One-On-One In The Skies and On Land!\Don't forget it! response:	Owww!
context: I am going to fight Rebecca-san\without holding back, too.\Even if we didn't get much screen time...\We still are...\Genoise!\One-On-One In The Skies and On Land!\Don't forget it!\Owww! response:	Hero!
context: without holding back, too.\Even if we didn't get much screen time...\We still are...\Genoise!\One-On-One In The Skies and On Land!\Don't forget it!\Owww!\Hero! response:	I'm going to shine next time!
