context: Ta-da! response:	Why are you dressed like that?
context: There's no time!\Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume? response:	Did the Blume do that?
context: Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume?\Did the Blume do that? response:	Now you've done it, Princess...
context: What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume?\Did the Blume do that?\Now you've done it, Princess... response:	Thank goodness...
context: I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume?\Did the Blume do that?\Now you've done it, Princess...\Thank goodness... response:	That was the Blume's Orgone beam.
context: The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume?\Did the Blume do that?\Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam. response:	Then Hana did this?
context: The Legacy satellite has been destroyed.\The Blume's beam weapon?\The Blume?\Did the Blume do that?\Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this? response:	Hana...
context: The Blume's beam weapon?\The Blume?\Did the Blume do that?\Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this?\Hana... response:	I'm not the girl you think I am.
context: The Blume?\Did the Blume do that?\Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this?\Hana...\I'm not the girl you think I am. response:	Hana?
context: Did the Blume do that?\Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this?\Hana...\I'm not the girl you think I am.\Hana? response:	Stay back!
context: Now you've done it, Princess...\Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this?\Hana...\I'm not the girl you think I am.\Hana?\Stay back! response:	Hana!
context: Thank goodness...\That was the Blume's Orgone beam.\Then Hana did this?\Hana...\I'm not the girl you think I am.\Hana?\Stay back!\Hana! response:	Hana...
context: That was the Blume's Orgone beam.\Then Hana did this?\Hana...\I'm not the girl you think I am.\Hana?\Stay back!\Hana!\Hana... response:	Hana runs away from us,
context: Then Hana did this?\Hana...\I'm not the girl you think I am.\Hana?\Stay back!\Hana!\Hana...\Hana runs away from us, response:	and by chance, finds Setsuna in the city.
context: Hana...\I'm not the girl you think I am.\Hana?\Stay back!\Hana!\Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city. response:	Amara and Moco from the Planetary Gears find her.
context: I'm not the girl you think I am.\Hana?\Stay back!\Hana!\Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city.\Amara and Moco from the Planetary Gears find her. response:	Run, Hana! They're after you!
context: Hana?\Stay back!\Hana!\Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city.\Amara and Moco from the Planetary Gears find her.\Run, Hana! They're after you! response:	Big changes are coming for Hana, Setsuna, and Macbeth Enterprises.
context: Stay back!\Hana!\Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city.\Amara and Moco from the Planetary Gears find her.\Run, Hana! They're after you!\Big changes are coming for Hana, Setsuna, and Macbeth Enterprises. response:	True Self
context: Hana!\Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city.\Amara and Moco from the Planetary Gears find her.\Run, Hana! They're after you!\Big changes are coming for Hana, Setsuna, and Macbeth Enterprises.\True Self response:	True Self.
context: Hana...\Hana runs away from us,\and by chance, finds Setsuna in the city.\Amara and Moco from the Planetary Gears find her.\Run, Hana! They're after you!\Big changes are coming for Hana, Setsuna, and Macbeth Enterprises.\True Self\True Self. response:	Earth Engine, scramble!
