context: Deep in the woods, there was a training facility. response:	Amazing...
context: Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long?\Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors. response:	So it was issued to your team.
context: If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long?\Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team. response:	They have high hopes for you.
context: There she is!\What took you so long?\Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you. response:	For Ange, yes.
context: What took you so long?\Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you.\For Ange, yes. response:	You can't just ask me to take the wheel!
context: Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel! response:	You're really something.
context: How did you...?\I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel!\You're really something. response:	Giving Ange the slip like that.
context: I caught up by car and jumped aboard with the C-ball.\The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that. response:	It was luck.
context: The C-ball... I'd heard the rumors.\So it was issued to your team.\They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that.\It was luck. response:	I didn't think it would work that well.
context: So it was issued to your team.\They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that.\It was luck.\I didn't think it would work that well. response:	It was skill.
context: They have high hopes for you.\For Ange, yes.\You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that.\It was luck.\I didn't think it would work that well.\It was skill. response:	You beat Ange, Prefect.
context: For Ange, yes.\You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that.\It was luck.\I didn't think it would work that well.\It was skill.\You beat Ange, Prefect. response:	You just don't get it.
context: You can't just ask me to take the wheel!\You're really something.\Giving Ange the slip like that.\It was luck.\I didn't think it would work that well.\It was skill.\You beat Ange, Prefect.\You just don't get it. response:	The woman I looked up to was never Ange.
context: You're really something.\Giving Ange the slip like that.\It was luck.\I didn't think it would work that well.\It was skill.\You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange. response:	The woman I always looked up to...
context: Giving Ange the slip like that.\It was luck.\I didn't think it would work that well.\It was skill.\You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to... response:	The woman I wanted so badly to be like...
context: It was luck.\I didn't think it would work that well.\It was skill.\You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like... response:	It was you, Dorothy.
context: I didn't think it would work that well.\It was skill.\You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy. response:	The truth is, I never cared about grades.
context: It was skill.\You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades. response:	I only did everything I could to be a good student,
context: You beat Ange, Prefect.\You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student, response:	because I didn't want to disappoint anyone.
context: You just don't get it.\The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone. response:	But I got tired of it all.
context: The woman I looked up to was never Ange.\The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all. response:	So you took a break, but you weren't careful... and they got you?
context: The woman I always looked up to...\The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you? response:	Or...
context: The woman I wanted so badly to be like...\It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or... response:	Both.
context: It was you, Dorothy.\The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or...\Both. response:	If only I could have been more like you.
context: The truth is, I never cared about grades.\I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or...\Both.\If only I could have been more like you. response:	Prefect...
context: I only did everything I could to be a good student,\because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or...\Both.\If only I could have been more like you.\Prefect... response:	You know, that Christmas, it was my first time at a funfair.
context: because I didn't want to disappoint anyone.\But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or...\Both.\If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair. response:	It was fun.
context: But I got tired of it all.\So you took a break, but you weren't careful... and they got you?\Or...\Both.\If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun. response:	I still dream about it.
context: So you took a break, but you weren't careful... and they got you?\Or...\Both.\If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it. response:	About how we fooled around, and laughed together.
context: Or...\Both.\If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it.\About how we fooled around, and laughed together. response:	Then let's go again! Come to London!
context: Both.\If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London! response:	I'll introduce you to my team, and...
context: If only I could have been more like you.\Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and... response:	Dorothy.
context: Prefect...\You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy. response:	You were always like the wind.
context: You know, that Christmas, it was my first time at a funfair.\It was fun.\I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy.\You were always like the wind. response:	So light and free.
context: It was fun.\I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy.\You were always like the wind.\So light and free. response:	Stop it, Prefect.
context: I still dream about it.\About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy.\You were always like the wind.\So light and free.\Stop it, Prefect. response:	I don't want to shoot a friend.
context: About how we fooled around, and laughed together.\Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy.\You were always like the wind.\So light and free.\Stop it, Prefect.\I don't want to shoot a friend. response:	Thank you.
context: Then let's go again! Come to London!\I'll introduce you to my team, and...\Dorothy.\You were always like the wind.\So light and free.\Stop it, Prefect.\I don't want to shoot a friend.\Thank you. response:	Because you were kind enough to call me your friend,
context: I'll introduce you to my team, and...\Dorothy.\You were always like the wind.\So light and free.\Stop it, Prefect.\I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend, response:	I'll give you a Christmas present.
context: Dorothy.\You were always like the wind.\So light and free.\Stop it, Prefect.\I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present. response:	A free pass, to get you out of shooting your friend.
context: You were always like the wind.\So light and free.\Stop it, Prefect.\I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend. response:	Don't do it... Prefect!
context: So light and free.\Stop it, Prefect.\I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect! response:	Goodbye, Dorothy.
context: Stop it, Prefect.\I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy. response:	Thanks, Ange.
context: I don't want to shoot a friend.\Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange. response:	For what?
context: Thank you.\Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange.\For what? response:	When you jumped the gun back there...
context: Because you were kind enough to call me your friend,\I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange.\For what?\When you jumped the gun back there... response:	you were trying to make sure I didn't have to shoot Prefect, weren't you?
context: I'll give you a Christmas present.\A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange.\For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you? response:	I was increasing the odds of our mission's success.
context: A free pass, to get you out of shooting your friend.\Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange.\For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success. response:	That's all.
context: Don't do it... Prefect!\Goodbye, Dorothy.\Thanks, Ange.\For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all. response:	For crying out loud, I'm surrounded by liars.
context: Goodbye, Dorothy.\Thanks, Ange.\For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars. response:	Well, we are spies.
context: Thanks, Ange.\For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies. response:	Yeah. We are.
context: For what?\When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are. response:	Enter.
context: When you jumped the gun back there...\you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are.\Enter. response:	Excuse us.
context: you were trying to make sure I didn't have to shoot Prefect, weren't you?\I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are.\Enter.\Excuse us. response:	L has been transferred.
context: I was increasing the odds of our mission's success.\That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are.\Enter.\Excuse us.\L has been transferred. response:	I am the General.
context: That's all.\For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are.\Enter.\Excuse us.\L has been transferred.\I am the General. response:	From now on, you will be taking orders from me.
context: For crying out loud, I'm surrounded by liars.\Well, we are spies.\Yeah. We are.\Enter.\Excuse us.\L has been transferred.\I am the General.\From now on, you will be taking orders from me. response:	Did something happen to L?
context: Well, we are spies.\Yeah. We are.\Enter.\Excuse us.\L has been transferred.\I am the General.\From now on, you will be taking orders from me.\Did something happen to L? response:	That's none of your concern.
context: Yeah. We are.\Enter.\Excuse us.\L has been transferred.\I am the General.\From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern. response:	You both did well on this last mission.
context: Enter.\Excuse us.\L has been transferred.\I am the General.\From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern.\You both did well on this last mission. response:	Since you were so successful, I would like you to move right on to your next assignment.
context: Excuse us.\L has been transferred.\I am the General.\From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern.\You both did well on this last mission.\Since you were so successful, I would like you to move right on to your next assignment. response:	Assignment... Sir?
context: L has been transferred.\I am the General.\From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern.\You both did well on this last mission.\Since you were so successful, I would like you to move right on to your next assignment.\Assignment... Sir? response:	Her.
context: I am the General.\From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern.\You both did well on this last mission.\Since you were so successful, I would like you to move right on to your next assignment.\Assignment... Sir?\Her. response:	That's...
context: From now on, you will be taking orders from me.\Did something happen to L?\That's none of your concern.\You both did well on this last mission.\Since you were so successful, I would like you to move right on to your next assignment.\Assignment... Sir?\Her.\That's... response:	You will assassinate Princess.
