context: So we meet at last, Ayato Amagiri! response:	I have been looking forward to this day!
context: Just what I'd expect of you!\Now that it's come to this, even if we both go down...\How overwhelming is AR-D's power?\Now then, looks like this final match has been decided\H-H-Hold up!\What's going on? What's going on?\Uh... ahem.\Claudia? response:	Ayato, Julis, can you hear me?
context: Now that it's come to this, even if we both go down...\How overwhelming is AR-D's power?\Now then, looks like this final match has been decided\H-H-Hold up!\What's going on? What's going on?\Uh... ahem.\Claudia?\Ayato, Julis, can you hear me? response:	Flora is safe.
context: How overwhelming is AR-D's power?\Now then, looks like this final match has been decided\H-H-Hold up!\What's going on? What's going on?\Uh... ahem.\Claudia?\Ayato, Julis, can you hear me?\Flora is safe. response:	Please rest assured.
context: Now then, looks like this final match has been decided\H-H-Hold up!\What's going on? What's going on?\Uh... ahem.\Claudia?\Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured. response:	And also...
context: H-H-Hold up!\What's going on? What's going on?\Uh... ahem.\Claudia?\Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured.\And also... response:	Have at it!
context: What's going on? What's going on?\Uh... ahem.\Claudia?\Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured.\And also...\Have at it! response:	What is going on?
context: Uh... ahem.\Claudia?\Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured.\And also...\Have at it!\What is going on? response:	All right, then, pardon me.
context: Claudia?\Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured.\And also...\Have at it!\What is going on?\All right, then, pardon me. response:	Th-That was Seidoukan Academy's student council president just now, right?
context: Ayato, Julis, can you hear me?\Flora is safe.\Please rest assured.\And also...\Have at it!\What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right? response:	Uh, yeah... that was her...
context: Flora is safe.\Please rest assured.\And also...\Have at it!\What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her... response:	Seriously, that girl...
context: Please rest assured.\And also...\Have at it!\What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl... response:	No matter how you look at it, that was going too far!
context: And also...\Have at it!\What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far! response:	Who knew she'd burst into that place just to communicate with us?
context: Have at it!\What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us? response:	Since she's gone the extra mile for us, we can't lose now!
context: What is going on?\All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now! response:	For Saya and Kirin's sake, too, right?
context: All right, then, pardon me.\Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right? response:	I have no idea what that was all about.
context: Th-That was Seidoukan Academy's student council president just now, right?\Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about. response:	But all I can do is exert my power to the fullest!
context: Uh, yeah... that was her...\Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest! response:	Wolnir Hammer!
context: Seriously, that girl...\No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer! response:	All right, let's go, then...
context: No matter how you look at it, that was going too far!\Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then... response:	Ser=Versta!
context: Who knew she'd burst into that place just to communicate with us?\Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then...\Ser=Versta! response:	Fire!
context: Since she's gone the extra mile for us, we can't lose now!\For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then...\Ser=Versta!\Fire! response:	What the...
context: For Saya and Kirin's sake, too, right?\I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then...\Ser=Versta!\Fire!\What the... response:	Crap.
context: I have no idea what that was all about.\But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then...\Ser=Versta!\Fire!\What the...\Crap. response:	Now our counterattack begins!
context: But all I can do is exert my power to the fullest!\Wolnir Hammer!\All right, let's go, then...\Ser=Versta!\Fire!\What the...\Crap.\Now our counterattack begins! response:	Seriously, when you are with such a slow, stupid good-for-nothing,
context: Wolnir Hammer!\All right, let's go, then...\Ser=Versta!\Fire!\What the...\Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing, response:	there's never enough time to get anything done, is there?
context: All right, let's go, then...\Ser=Versta!\Fire!\What the...\Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing,\there's never enough time to get anything done, is there? response:	All right, let me present the preview now while I can.
context: Ser=Versta!\Fire!\What the...\Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing,\there's never enough time to get anything done, is there?\All right, let me present the preview now while I can. response:	Episode 21 Clinching Victory
context: Fire!\What the...\Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing,\there's never enough time to get anything done, is there?\All right, let me present the preview now while I can.\Episode 21 Clinching Victory response:	Just a moment, RM-C!
context: What the...\Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing,\there's never enough time to get anything done, is there?\All right, let me present the preview now while I can.\Episode 21 Clinching Victory\Just a moment, RM-C! response:	Such an important duty should be mine to
context: Crap.\Now our counterattack begins!\Seriously, when you are with such a slow, stupid good-for-nothing,\there's never enough time to get anything done, is there?\All right, let me present the preview now while I can.\Episode 21 Clinching Victory\Just a moment, RM-C!\Such an important duty should be mine to response:	All right, next episode
