context: Dammit! response:	Don't worry, you're just entangled in them.
context: R- right. A little more than two months, right?\Freeza, you bastard! I won't let you snatch them away from me!\I should be able to handle everyone besides Freeza,\but I don't stand a chance of winning if I fight him head-to-head.\Whatever happens, I have to get the Balls away from him and gain eternal life.\Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he? response:	W- what was that?
context: Freeza, you bastard! I won't let you snatch them away from me!\I should be able to handle everyone besides Freeza,\but I don't stand a chance of winning if I fight him head-to-head.\Whatever happens, I have to get the Balls away from him and gain eternal life.\Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that? response:	S- so now what? Mm-hmm... Mm-hmm...
context: I should be able to handle everyone besides Freeza,\but I don't stand a chance of winning if I fight him head-to-head.\Whatever happens, I have to get the Balls away from him and gain eternal life.\Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm... response:	Right. So tell that to Son- kun and the others.
context: but I don't stand a chance of winning if I fight him head-to-head.\Whatever happens, I have to get the Balls away from him and gain eternal life.\Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others. response:	Do you read me? Just don't tell Chichi- san. Got that?
context: Whatever happens, I have to get the Balls away from him and gain eternal life.\Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that? response:	Right... right... mm-hmm...
context: Tch! To think I'd be stuck using a Scouter again...\This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm... response:	I already told you... are you listening to me?
context: This way, huh?\He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me? response:	No, tell everyone but Chichi! Sheesh!
context: He's brought Zarbon and Dodoria with him too, has he?\W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh! response:	Right! Got it!? We're counting on you! Goodbye!
context: W- what was that?\S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye! response:	Good grief...
context: S- so now what? Mm-hmm... Mm-hmm...\Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief... response:	What's the matter, you two?
context: Right. So tell that to Son- kun and the others.\Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two? response:	Huh? What?
context: Do you read me? Just don't tell Chichi- san. Got that?\Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two?\Huh? What? response:	W- why is there another one coming?
context: Right... right... mm-hmm...\I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two?\Huh? What?\W- why is there another one coming? response:	T- that's what l'd like to know.
context: I already told you... are you listening to me?\No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two?\Huh? What?\W- why is there another one coming?\T- that's what l'd like to know. response:	Here it is, Freeza- sama.
context: No, tell everyone but Chichi! Sheesh!\Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two?\Huh? What?\W- why is there another one coming?\T- that's what l'd like to know.\Here it is, Freeza- sama. response:	Oh, very good, very good.
context: Right! Got it!? We're counting on you! Goodbye!\Good grief...\What's the matter, you two?\Huh? What?\W- why is there another one coming?\T- that's what l'd like to know.\Here it is, Freeza- sama.\Oh, very good, very good. response:	Now there are three more, yes?
context: Good grief...\What's the matter, you two?\Huh? What?\W- why is there another one coming?\T- that's what l'd like to know.\Here it is, Freeza- sama.\Oh, very good, very good.\Now there are three more, yes? response:	At last, the evil hidden hand, Freeza, appears.
context: What's the matter, you two?\Huh? What?\W- why is there another one coming?\T- that's what l'd like to know.\Here it is, Freeza- sama.\Oh, very good, very good.\Now there are three more, yes?\At last, the evil hidden hand, Freeza, appears. response:	Will Gohan and Kuririn indeed be able to collect the Dragon Balls?
