context: We can't catch up! response:	It's definitely'Dash'!
context: Pee Wee, where are you?\You did the right thing.\So, see you tomorrow.\Bye bye!\She did it! Tachibana made it to the finals!\That's great!\She'll be fine,\she practiced so hard. response:	Next up are the finals for the girls' 100 meters.
context: You did the right thing.\So, see you tomorrow.\Bye bye!\She did it! Tachibana made it to the finals!\That's great!\She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters. response:	Be careful at the start.
context: So, see you tomorrow.\Bye bye!\She did it! Tachibana made it to the finals!\That's great!\She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start. response:	Right.
context: Bye bye!\She did it! Tachibana made it to the finals!\That's great!\She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right. response:	Pee Wee'
context: She did it! Tachibana made it to the finals!\That's great!\She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right.\Pee Wee' response:	Rei, go for it!
context: That's great!\She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right.\Pee Wee'\Rei, go for it! response:	Ready!
context: She'll be fine,\she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right.\Pee Wee'\Rei, go for it!\Ready! response:	She did it! She did it!
context: she practiced so hard.\Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right.\Pee Wee'\Rei, go for it!\Ready!\She did it! She did it! response:	Li-kun!
context: Next up are the finals for the girls' 100 meters.\Be careful at the start.\Right.\Pee Wee'\Rei, go for it!\Ready!\She did it! She did it!\Li-kun! response:	Did you just use the Dash card?
context: Be careful at the start.\Right.\Pee Wee'\Rei, go for it!\Ready!\She did it! She did it!\Li-kun!\Did you just use the Dash card? response:	Do you think that 6th grader got first place
context: Right.\Pee Wee'\Rei, go for it!\Ready!\She did it! She did it!\Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place response:	with the power of the Card?
context: Pee Wee'\Rei, go for it!\Ready!\She did it! She did it!\Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card? response:	Huh? But'
context: Rei, go for it!\Ready!\She did it! She did it!\Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card?\Huh? But' response:	You can't use the Card's power in that way.
context: Ready!\She did it! She did it!\Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card?\Huh? But'\You can't use the Card's power in that way. response:	So I didn't do anything.
context: She did it! She did it!\Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card?\Huh? But'\You can't use the Card's power in that way.\So I didn't do anything. response:	Just a little encouragement.
context: Li-kun!\Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card?\Huh? But'\You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement. response:	It wasn't magic,
context: Did you just use the Dash card?\Do you think that 6th grader got first place\with the power of the Card?\Huh? But'\You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement.\It wasn't magic, response:	Rei did it on her own.
context: Do you think that 6th grader got first place\with the power of the Card?\Huh? But'\You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement.\It wasn't magic,\Rei did it on her own. response:	The winner of the girls' 100 meters'
context: with the power of the Card?\Huh? But'\You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement.\It wasn't magic,\Rei did it on her own.\The winner of the girls' 100 meters' response:	'from Tomoeda Elementary School, Rei Tachibana!
context: Huh? But'\You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement.\It wasn't magic,\Rei did it on her own.\The winner of the girls' 100 meters'\'from Tomoeda Elementary School, Rei Tachibana! response:	Go, Go, Ta-chi-ba-na!
context: You can't use the Card's power in that way.\So I didn't do anything.\Just a little encouragement.\It wasn't magic,\Rei did it on her own.\The winner of the girls' 100 meters'\'from Tomoeda Elementary School, Rei Tachibana!\Go, Go, Ta-chi-ba-na! response:	Go, Go, Ta-chi-ba-na!
context: So I didn't do anything.\Just a little encouragement.\It wasn't magic,\Rei did it on her own.\The winner of the girls' 100 meters'\'from Tomoeda Elementary School, Rei Tachibana!\Go, Go, Ta-chi-ba-na!\Go, Go, Ta-chi-ba-na! response:	Sakura!
context: Just a little encouragement.\It wasn't magic,\Rei did it on her own.\The winner of the girls' 100 meters'\'from Tomoeda Elementary School, Rei Tachibana!\Go, Go, Ta-chi-ba-na!\Go, Go, Ta-chi-ba-na!\Sakura! response:	Rei, congratulations!
