context: Excuse me! response:	I'd like a Baby Star monja and a
context: Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used, response:	so if you nail these key points, you won't fail.
context: I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail. response:	H-Huh?
context: I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh? response:	Mi-Mizutani-san?
context: I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san? response:	I still don't know what they're thinking,
context: It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking, response:	but I think I can understand how they feel.
context: Here, here, and here.\If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel. response:	Haru.
context: If you focus on these sections, you should pass.\There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel.\Haru. response:	Do you want to go to the offline gathering?
context: There's a certain pattern to the test questions used,\so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering? response:	Yep!
context: so if you nail these key points, you won't fail.\H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering?\Yep! response:	Well, he's set on going,
context: H-Huh?\Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering?\Yep!\Well, he's set on going, response:	so you need to pass the make-ups.
context: Mi-Mizutani-san?\I still don't know what they're thinking,\but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering?\Yep!\Well, he's set on going,\so you need to pass the make-ups. response:	M-Mitty!
context: I still don't know what they're thinking,\but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering?\Yep!\Well, he's set on going,\so you need to pass the make-ups.\M-Mitty! response:	The make-ups are tomorrow.
context: but I think I can understand how they feel.\Haru.\Do you want to go to the offline gathering?\Yep!\Well, he's set on going,\so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow. response:	Is that enough time?
context: Haru.\Do you want to go to the offline gathering?\Yep!\Well, he's set on going,\so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow.\Is that enough time? response:	What?
context: Do you want to go to the offline gathering?\Yep!\Well, he's set on going,\so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow.\Is that enough time?\What? response:	No turning back now.
context: Yep!\Well, he's set on going,\so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow.\Is that enough time?\What?\No turning back now. response:	Stop sleeping!
context: Well, he's set on going,\so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow.\Is that enough time?\What?\No turning back now.\Stop sleeping! response:	Why can't you memorize a simple formula?!
context: so you need to pass the make-ups.\M-Mitty!\The make-ups are tomorrow.\Is that enough time?\What?\No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?! response:	Evil!
context: M-Mitty!\The make-ups are tomorrow.\Is that enough time?\What?\No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?!\Evil! response:	You realize I'm pulling an all-nighter for you?!
context: The make-ups are tomorrow.\Is that enough time?\What?\No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?! response:	Why are you kids studying here?
context: Is that enough time?\What?\No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here? response:	Stop sleeping!
context: What?\No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping! response:	Can I go home yet?
context: No turning back now.\Stop sleeping!\Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping!\Can I go home yet? response:	Thanks to my hard work,
context: Stop sleeping!\Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping!\Can I go home yet?\Thanks to my hard work, response:	Natsume-san was exonerated from the remedial class.
context: Why can't you memorize a simple formula?!\Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping!\Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class. response:	My highest score ever!
context: Evil!\You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping!\Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever! response:	But on Monday...
context: You realize I'm pulling an all-nighter for you?!\Why are you kids studying here?\Stop sleeping!\Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday... response:	Haru-kun ruined everything!
context: Why are you kids studying here?\Stop sleeping!\Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday...\Haru-kun ruined everything! response:	I'm never going to one of those again.
context: Stop sleeping!\Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again. response:	I didn't get a chance to talk to any girls...
context: Can I go home yet?\Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls... response:	Then, Haru-kun got in a fight.
context: Thanks to my hard work,\Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight. response:	Moron!
context: Natsume-san was exonerated from the remedial class.\My highest score ever!\But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron! response:	The Qilin is an OOPArt!
context: My highest score ever!\But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt! response:	Science Classical Literature Music World History EnglishHome Economics
context: But on Monday...\Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics response:	When I logged on to the community again,
context: Haru-kun ruined everything!\I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again, response:	everybody gave me the cold shoulder.
context: I'm never going to one of those again.\I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder. response:	High School Community
context: I didn't get a chance to talk to any girls...\Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community response:	Told you so.
context: Then, Haru-kun got in a fight.\Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community\Told you so. response:	I quit.
context: Moron!\The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community\Told you so.\I quit. response:	Hey!
context: The Qilin is an OOPArt!\Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community\Told you so.\I quit.\Hey! response:	Yoshida-kun! Ow!
context: Science Classical Literature Music World History EnglishHome Economics\When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community\Told you so.\I quit.\Hey!\Yoshida-kun! Ow! response:	How many times must I tell you not to bring this rooster?! Ow!
context: When I logged on to the community again,\everybody gave me the cold shoulder.\High School Community\Told you so.\I quit.\Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow! response:	Oh.
context: everybody gave me the cold shoulder.\High School Community\Told you so.\I quit.\Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh. response:	I forgot to tell you.
context: High School Community\Told you so.\I quit.\Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you. response:	Huh?
context: Told you so.\I quit.\Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you.\Huh? response:	Sasahara-kun volunteered to take care of the rooster.
context: I quit.\Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster. response:	Sure, I like fried chicken.
context: Hey!\Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken. response:	Where are you?
context: Yoshida-kun! Ow!\How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you? response:	Hey, Shizuku?
context: How many times must I tell you not to bring this rooster?! Ow!\Oh.\I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you?\Hey, Shizuku? response:	Mitty, Haru-kun's looking for you.
context: Oh.\I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you. response:	He reminds me of when my dad's looking for his socks.
context: I forgot to tell you.\Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks. response:	Don't say anything.
context: Huh?\Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything. response:	If he finds me, it'll get noisy again.
context: Sasahara-kun volunteered to take care of the rooster.\Sure, I like fried chicken.\Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again. response:	You look tired.
context: Sure, I like fried chicken.\Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again.\You look tired. response:	Oh.
context: Where are you?\Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again.\You look tired.\Oh. response:	I'll buy you something to drink.
context: Hey, Shizuku?\Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again.\You look tired.\Oh.\I'll buy you something to drink. response:	To thank you for helping me study.
context: Mitty, Haru-kun's looking for you.\He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again.\You look tired.\Oh.\I'll buy you something to drink.\To thank you for helping me study. response:	Finally, some peace and quiet.
context: He reminds me of when my dad's looking for his socks.\Don't say anything.\If he finds me, it'll get noisy again.\You look tired.\Oh.\I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet. response:	I've been spending more time
context: Don't say anything.\If he finds me, it'll get noisy again.\You look tired.\Oh.\I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time response:	around other people than I thought was possible,
context: If he finds me, it'll get noisy again.\You look tired.\Oh.\I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible, response:	so I'm exhausted.
context: You look tired.\Oh.\I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible,\so I'm exhausted. response:	Mitty, I bought you some juice...
context: Oh.\I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice... response:	Shh.
context: I'll buy you something to drink.\To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice...\Shh. response:	I'm cheering for you, Haru-kun!
context: To thank you for helping me study.\Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun! response:	Yo.
context: Finally, some peace and quiet.\I've been spending more time\around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun!\Yo. response:	Ha-Haru?!
context: I've been spending more time\around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?! response:	When did you...
context: around other people than I thought was possible,\so I'm exhausted.\Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?!\When did you... response:	Oh, I'm missing class!
context: so I'm exhausted.\Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?!\When did you...\Oh, I'm missing class! response:	Go back to sleep.
context: Mitty, I bought you some juice...\Shh.\I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?!\When did you...\Oh, I'm missing class!\Go back to sleep. response:	Why didn't you wake me up?
context: Shh.\I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?!\When did you...\Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up? response:	Hmm?
context: I'm cheering for you, Haru-kun!\Yo.\Ha-Haru?!\When did you...\Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up?\Hmm? response:	You were out like a light.
context: Yo.\Ha-Haru?!\When did you...\Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up?\Hmm?\You were out like a light. response:	I thought it was cute.
context: Ha-Haru?!\When did you...\Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up?\Hmm?\You were out like a light.\I thought it was cute. response:	Seriously...
context: When did you...\Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up?\Hmm?\You were out like a light.\I thought it was cute.\Seriously... response:	I have to wonder if he's doing this on purpose.
context: Oh, I'm missing class!\Go back to sleep.\Why didn't you wake me up?\Hmm?\You were out like a light.\I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose. response:	This is the first time I've ever skipped class.
context: Go back to sleep.\Why didn't you wake me up?\Hmm?\You were out like a light.\I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class. response:	It's a beautiful day.
context: Why didn't you wake me up?\Hmm?\You were out like a light.\I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day. response:	The old me
context: Hmm?\You were out like a light.\I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day.\The old me response:	would never have known how blue the afternoon sky
context: You were out like a light.\I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day.\The old me\would never have known how blue the afternoon sky response:	looks from the roof.
context: I thought it was cute.\Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day.\The old me\would never have known how blue the afternoon sky\looks from the roof. response:	My world is growing.
context: Seriously...\I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day.\The old me\would never have known how blue the afternoon sky\looks from the roof.\My world is growing. response:	What I once considered background noise
context: I have to wonder if he's doing this on purpose.\This is the first time I've ever skipped class.\It's a beautiful day.\The old me\would never have known how blue the afternoon sky\looks from the roof.\My world is growing.\What I once considered background noise response:	is now comforting.
context: This is the first time I've ever skipped class.\It's a beautiful day.\The old me\would never have known how blue the afternoon sky\looks from the roof.\My world is growing.\What I once considered background noise\is now comforting. response:	It feels so good.
context: It's a beautiful day.\The old me\would never have known how blue the afternoon sky\looks from the roof.\My world is growing.\What I once considered background noise\is now comforting.\It feels so good. response:	Haru.
context: The old me\would never have known how blue the afternoon sky\looks from the roof.\My world is growing.\What I once considered background noise\is now comforting.\It feels so good.\Haru. response:	Hmm?
context: would never have known how blue the afternoon sky\looks from the roof.\My world is growing.\What I once considered background noise\is now comforting.\It feels so good.\Haru.\Hmm? response:	I'm glad we met.
context: looks from the roof.\My world is growing.\What I once considered background noise\is now comforting.\It feels so good.\Haru.\Hmm?\I'm glad we met. response:	Before, I only cared about studying,
context: My world is growing.\What I once considered background noise\is now comforting.\It feels so good.\Haru.\Hmm?\I'm glad we met.\Before, I only cared about studying, response:	but I'm going to start enjoying myself.
context: What I once considered background noise\is now comforting.\It feels so good.\Haru.\Hmm?\I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself. response:	I love you, Haru.
context: is now comforting.\It feels so good.\Haru.\Hmm?\I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru. response:	My values are changing.
context: It feels so good.\Haru.\Hmm?\I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru.\My values are changing. response:	Perhaps, my world has also changed.
context: Haru.\Hmm?\I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru.\My values are changing.\Perhaps, my world has also changed. response:	If so,
context: Hmm?\I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru.\My values are changing.\Perhaps, my world has also changed.\If so, response:	my world was changed
context: I'm glad we met.\Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru.\My values are changing.\Perhaps, my world has also changed.\If so,\my world was changed response:	by Haru.
context: Before, I only cared about studying,\but I'm going to start enjoying myself.\I love you, Haru.\My values are changing.\Perhaps, my world has also changed.\If so,\my world was changed\by Haru. response:	Natsume-san, do you have a moment?
context: but I'm going to start enjoying myself.\I love you, Haru.\My values are changing.\Perhaps, my world has also changed.\If so,\my world was changed\by Haru.\Natsume-san, do you have a moment? response:	Y-Yes!
context: I love you, Haru.\My values are changing.\Perhaps, my world has also changed.\If so,\my world was changed\by Haru.\Natsume-san, do you have a moment?\Y-Yes! response:	Helpful Advice from Golubaeser Asako
context: My values are changing.\Perhaps, my world has also changed.\If so,\my world was changed\by Haru.\Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako response:	New Entry
context: Perhaps, my world has also changed.\If so,\my world was changed\by Haru.\Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry response:	into a human shape
context: If so,\my world was changed\by Haru.\Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry\into a human shape response:	and your own hair
context: my world was changed\by Haru.\Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry\into a human shape\and your own hair response:	burn
context: by Haru.\Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry\into a human shape\and your own hair\burn response:	First, secure two strands of hair from the target to make him or her yours
context: Natsume-san, do you have a moment?\Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry\into a human shape\and your own hair\burn\First, secure two strands of hair from the target to make him or her yours response:	How did you get here?
context: Y-Yes!\Helpful Advice from Golubaeser Asako\New Entry\into a human shape\and your own hair\burn\First, secure two strands of hair from the target to make him or her yours\How did you get here? response:	Are you lost?
context: Helpful Advice from Golubaeser Asako\New Entry\into a human shape\and your own hair\burn\First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost? response:	Oh, have you heard this song before?
context: New Entry\into a human shape\and your own hair\burn\First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost?\Oh, have you heard this song before? response:	Chicken, chicken, chicken!
context: into a human shape\and your own hair\burn\First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost?\Oh, have you heard this song before?\Chicken, chicken, chicken! response:	Chicken, chicken!
context: and your own hair\burn\First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost?\Oh, have you heard this song before?\Chicken, chicken, chicken!\Chicken, chicken! response:	Next Episode
context: burn\First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost?\Oh, have you heard this song before?\Chicken, chicken, chicken!\Chicken, chicken!\Next Episode response:	Nuisance
context: First, secure two strands of hair from the target to make him or her yours\How did you get here?\Are you lost?\Oh, have you heard this song before?\Chicken, chicken, chicken!\Chicken, chicken!\Next Episode\Nuisance response:	Time to chow down!
