context: I just hope he'll get used to the stables. response:	He'll be fine. He's a calm one.
context: That's a letter we got from your mother when you were born.\I'd like you to have it.\We should talk sometime.\There really is nobody here.\Not true. We've got three people.\You better sing good.\That kid is so not cute.\He's just like you. response:	The waves break on the shore. The waves retreat.
context: I'd like you to have it.\We should talk sometime.\There really is nobody here.\Not true. We've got three people.\You better sing good.\That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat. response:	My thoughts ride the surf.
context: We should talk sometime.\There really is nobody here.\Not true. We've got three people.\You better sing good.\That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf. response:	In the distance, I see a white beach.
context: There really is nobody here.\Not true. We've got three people.\You better sing good.\That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach. response:	Under the hot sun,
context: Not true. We've got three people.\You better sing good.\That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun, response:	aloha...
context: You better sing good.\That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun,\aloha... response:	Thank you so much!
context: That kid is so not cute.\He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun,\aloha...\Thank you so much! response:	Can I have your picture, too?
context: He's just like you.\The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun,\aloha...\Thank you so much!\Can I have your picture, too? response:	No way. Nothin's gonna steal my soul.
context: The waves break on the shore. The waves retreat.\My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun,\aloha...\Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul. response:	Hey!
context: My thoughts ride the surf.\In the distance, I see a white beach.\Under the hot sun,\aloha...\Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey! response:	So, where's Wakana?
context: In the distance, I see a white beach.\Under the hot sun,\aloha...\Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana? response:	Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!
context: Under the hot sun,\aloha...\Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi! response:	Huh? I got cake for you, too.
context: aloha...\Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!\Huh? I got cake for you, too. response:	Giving up is not an option!
context: Thank you so much!\Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!\Huh? I got cake for you, too.\Giving up is not an option! response:	Horses for me.
context: Can I have your picture, too?\No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!\Huh? I got cake for you, too.\Giving up is not an option!\Horses for me. response:	What's with that look?
context: No way. Nothin's gonna steal my soul.\Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!\Huh? I got cake for you, too.\Giving up is not an option!\Horses for me.\What's with that look? response:	Episode 5 Throwing Away and Holding On
context: Hey!\So, where's Wakana?\Congratulations On Your Win! Shirohamazaka High's Tanaka Taichi!\Huh? I got cake for you, too.\Giving up is not an option!\Horses for me.\What's with that look?\Episode 5 Throwing Away and Holding On response:	I've been thinking about getting rid of the piano in my room.
