context: To your house? response:	Yes, I'm having trouble with something
context: Tomoyo, give me a hand\OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes\What is inside?\An eraser\An eraser? Why is something like that so precious? response:	Because this is
context: OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes\What is inside?\An eraser\An eraser? Why is something like that so precious?\Because this is response:	We are sitting next to each other starting today
context: I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes\What is inside?\An eraser\An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today response:	Pleased to meet you
context: That is Tomoyo's precious thing?\Yes\What is inside?\An eraser\An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today\Pleased to meet you response:	Don't you have an eraser? Here.
context: Yes\What is inside?\An eraser\An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here. response:	If you want it, you can keep it
context: What is inside?\An eraser\An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it response:	This is the first thing I ever received from Sakura-chan
context: An eraser\An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan response:	Did you say something?
context: An eraser? Why is something like that so precious?\Because this is\We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something? response:	No, nothing
context: Because this is\We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something?\No, nothing response:	Tomoyo
context: We are sitting next to each other starting today\Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something?\No, nothing\Tomoyo response:	Yes
context: Pleased to meet you\Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something?\No, nothing\Tomoyo\Yes response:	Take care of my portion too
context: Don't you have an eraser? Here.\If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something?\No, nothing\Tomoyo\Yes\Take care of my portion too response:	Yes, take care of the room until then
context: If you want it, you can keep it\This is the first thing I ever received from Sakura-chan\Did you say something?\No, nothing\Tomoyo\Yes\Take care of my portion too\Yes, take care of the room until then response:	Yeah! Make lots of tasty things
