context: I hear they're back. response:	What are you talking about?
context: Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return... response:	But that's fine. As long as the case is closed...
context: Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed... response:	The magic world may be in for troubled times again.
context: More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again. response:	What happened this time may only have been a harbinger.
context: you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger. response:	It's been seven years since Acnologia and Zeref awoke...
context: About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke... response:	I'm sorry. We still haven't been able to find either one of them.
context: For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them. response:	Perhaps we should augment the expeditionary force.
context: the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair\not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force. response:	It's been too quiet these past seven years.
context: not with Zentopia but with their return...\But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years. response:	We're keeping an eye on Sabertooth's ascent,
context: But that's fine. As long as the case is closed...\The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent, response:	but Tartaros hasn't made any noticeable moves
context: The magic world may be in for troubled times again.\What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves response:	and the same goes for the remaining members of Grimoire Heart.
context: What happened this time may only have been a harbinger.\It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart. response:	And we have no information on Zeref or Acnologia.
context: It's been seven years since Acnologia and Zeref awoke...\I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia. response:	However, it's an eerie silence.
context: I'm sorry. We still haven't been able to find either one of them.\Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence. response:	It's like an endless night.
context: Perhaps we should augment the expeditionary force.\It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night. response:	Will it be sunrise soon?
context: It's been too quiet these past seven years.\We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon? response:	Will it become a great dawn for the magic world?
context: We're keeping an eye on Sabertooth's ascent,\but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world? response:	And you think Fairy Tail will set it off?
context: but Tartaros hasn't made any noticeable moves\and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off? response:	I despised Fairy Tail before and here I am expecting something of them...
context: and the same goes for the remaining members of Grimoire Heart.\And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them... response:	I must be getting old.
context: And we have no information on Zeref or Acnologia.\However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old. response:	Sabertooth?
context: However, it's an eerie silence.\It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth? response:	Sabertooth, as in the tigers with the saber-like canine teeth.
context: It's like an endless night.\Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth. response:	They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.
context: Will it be sunrise soon?\Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore. response:	Never heard of'em.
context: Will it become a great dawn for the magic world?\And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em. response:	They hadn't made much of a splash seven years ago.
context: And you think Fairy Tail will set it off?\I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago. response:	Then they've suddenly risen to prominence these past seven years, huh?
context: I despised Fairy Tail before and here I am expecting something of them...\I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh? response:	What did it was changing their guild master
context: I must be getting old.\Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master response:	and the induction of five extremely powerful wizards into their ranks.
context: Sabertooth?\Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks. response:	Things can change that much with just five people?
context: Sabertooth, as in the tigers with the saber-like canine teeth.\They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people? response:	They got some guts.
context: They've surpassed Pegasus and Lamia and are currently the strongest wizards' guild in Fiore.\Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts. response:	Incidentally, how is our guild ranked?
context: Never heard of'em.\They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked? response:	You're gonna ask that?!
context: They hadn't made much of a splash seven years ago.\Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?! response:	Wendy, there's no need to rub it in.
context: Then they've suddenly risen to prominence these past seven years, huh?\What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in. response:	We're bottom-ranked.
context: What did it was changing their guild master\and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked. response:	We're a totally wimpy guild.
context: and the induction of five extremely powerful wizards into their ranks.\Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild. response:	The weakest guild in Fiore.
context: Things can change that much with just five people?\They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore. response:	I'm sorry!
context: They got some guts.\Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry! response:	That's even better! It's more fun!
context: Incidentally, how is our guild ranked?\You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun! response:	I mean, right?!
context: You're gonna ask that?!\Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun!\I mean, right?! response:	Think of how much fun it's gonna be climbin' to the top again!
context: Wendy, there's no need to rub it in.\We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again! response:	I'm fired up!
context: We're bottom-ranked.\We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up! response:	Yeesh...
context: We're a totally wimpy guild.\The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh... response:	I'm no match for Natsu-nii.
context: The weakest guild in Fiore.\I'm sorry!\That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh...\I'm no match for Natsu-nii. response:	You're right! Yeah!
context: I'm sorry!\That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah! response:	I'm looking forward to it!
context: That's even better! It's more fun!\I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it! response:	Hey, you guys...
context: I mean, right?!\Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it!\Hey, you guys... response:	Have you seen Gildarts?
context: Think of how much fun it's gonna be climbin' to the top again!\I'm fired up!\Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts? response:	What, do you get lonely when Papa's not around?
context: I'm fired up!\Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around? response:	Idiot!
context: Yeesh...\I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot! response:	Sorry...
context: I'm no match for Natsu-nii.\You're right! Yeah!\I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot!\Sorry... response:	No, that's okay. Don't worry about it.
context: You're right! Yeah!\I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot!\Sorry...\No, that's okay. Don't worry about it. response:	She's consoling Gray-sama?!
context: I'm looking forward to it!\Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot!\Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?! response:	Gildarts went with Master to the original Fairy Tail base of operations.
context: Hey, you guys...\Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot!\Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations. response:	Alright! Then I'll go out on a job while I have the chance!
context: Have you seen Gildarts?\What, do you get lonely when Papa's not around?\Idiot!\Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance! response:	It's amazing how lovey-dovey Gildarts gets with Cana.
context: What, do you get lonely when Papa's not around?\Idiot!\Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana. response:	You fawn over Carla the same way...
context: Idiot!\Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way... response:	And he's supposed to be the guild's strongest...
context: Sorry...\No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest... response:	This is such an oddball guild.
context: No, that's okay. Don't worry about it.\She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild. response:	Are you sure we can just go in here?
context: She's consoling Gray-sama?!\Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here? response:	The building was repossessed, right?
context: Gildarts went with Master to the original Fairy Tail base of operations.\Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right? response:	We'll get it back soon.
context: Alright! Then I'll go out on a job while I have the chance!\It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon. response:	Anyway, I didn't know about this...
context: It's amazing how lovey-dovey Gildarts gets with Cana.\You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this... response:	A deep underground passage below the guild...
context: You fawn over Carla the same way...\And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild... response:	That's because I didn't tell anybody about it.
context: And he's supposed to be the guild's strongest...\This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it. response:	And why's that?
context: This is such an oddball guild.\Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that? response:	Oh, you'll understand when you see it.
context: Are you sure we can just go in here?\The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it. response:	Here we go...
context: The building was repossessed, right?\We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it.\Here we go... response:	W-What is this?!
context: We'll get it back soon.\Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it.\Here we go...\W-What is this?! response:	Our guild's greatest secret.
context: Anyway, I didn't know about this...\A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it.\Here we go...\W-What is this?!\Our guild's greatest secret. response:	Lumen Histoire...
context: A deep underground passage below the guild...\That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it.\Here we go...\W-What is this?!\Our guild's greatest secret.\Lumen Histoire... response:	What is this?! What does it mean?!
context: That's because I didn't tell anybody about it.\And why's that?\Oh, you'll understand when you see it.\Here we go...\W-What is this?!\Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?! response:	Mavis wrote that this is Fairy Tail's true nature.
context: And why's that?\Oh, you'll understand when you see it.\Here we go...\W-What is this?!\Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature. response:	I-I can't find the words...
context: Oh, you'll understand when you see it.\Here we go...\W-What is this?!\Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words... response:	I don't blame you.
context: Here we go...\W-What is this?!\Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you. response:	When Purehito showed this to me,
context: W-What is this?!\Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you.\When Purehito showed this to me, response:	words failed me as well.
context: Our guild's greatest secret.\Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you.\When Purehito showed this to me,\words failed me as well. response:	Why is something like this below the guild?
context: Lumen Histoire...\What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you.\When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild? response:	And why show me?!
context: What is this?! What does it mean?!\Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you.\When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild?\And why show me?! response:	Because you're going to be the next Fairy Tail master...
context: Mavis wrote that this is Fairy Tail's true nature.\I-I can't find the words...\I don't blame you.\When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master... response:	Gildarts! It's been too long, let's fight!
context: I-I can't find the words...\I don't blame you.\When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight! response:	It's like Natsu is a bug that pesters people...
context: I don't blame you.\When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people... response:	What the hell, Gildarts? You're in a bad mood, huh?
context: When Purehito showed this to me,\words failed me as well.\Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh? response:	Is that right? I'm always like this.
context: words failed me as well.\Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this. response:	Really?!
context: Why is something like this below the guild?\And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?! response:	Maybe...
context: And why show me?!\Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?!\Maybe... response:	This makes me feel nostalgic.
context: Because you're going to be the next Fairy Tail master...\Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?!\Maybe...\This makes me feel nostalgic. response:	Seven years ago, I was like this tall.
context: Gildarts! It's been too long, let's fight!\It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?!\Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall. response:	You were a fan of Gajeel-san, remember?
context: It's like Natsu is a bug that pesters people...\What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?!\Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember? response:	Man, Gajeel-san was scary!
context: What the hell, Gildarts? You're in a bad mood, huh?\Is that right? I'm always like this.\Really?!\Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary! response:	Don't let yourself be bound by the past, Sting.
context: Is that right? I'm always like this.\Really?!\Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting. response:	They weren't on the path we took.
context: Really?!\Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took. response:	Found'em!
context: Maybe...\This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em! response:	Take this!
context: This makes me feel nostalgic.\Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em!\Take this! response:	Eating... an arrow?!
context: Seven years ago, I was like this tall.\You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em!\Take this!\Eating... an arrow?! response:	Don't tell me he...
context: You were a fan of Gajeel-san, remember?\Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em!\Take this!\Eating... an arrow?!\Don't tell me he... response:	Huh? Maybe I'm rusty...
context: Man, Gajeel-san was scary!\Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em!\Take this!\Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty... response:	I missed.
context: Don't let yourself be bound by the past, Sting.\They weren't on the path we took.\Found'em!\Take this!\Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty...\I missed. response:	I-It was you two?!
context: They weren't on the path we took.\Found'em!\Take this!\Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty...\I missed.\I-It was you two?! response:	The Twin Dragons of Sabertooth...
context: Found'em!\Take this!\Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty...\I missed.\I-It was you two?!\The Twin Dragons of Sabertooth... response:	White Dragon, Sting and Shadow Dragon, Rogue!
context: Take this!\Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty...\I missed.\I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue! response:	The Dragon Slayer duo!
context: Eating... an arrow?!\Don't tell me he...\Huh? Maybe I'm rusty...\I missed.\I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo! response:	Hey!
context: Don't tell me he...\Huh? Maybe I'm rusty...\I missed.\I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey! response:	You're gonna leave your friends here?
context: Huh? Maybe I'm rusty...\I missed.\I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey!\You're gonna leave your friends here? response:	You suck!
context: I missed.\I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey!\You're gonna leave your friends here?\You suck! response:	What do you expect from a Dark Guild?
context: I-It was you two?!\The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey!\You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild? response:	You blew things up really good again, huh, Sting-kun?
context: The Twin Dragons of Sabertooth...\White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey!\You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun? response:	Lecter and Frosch, where were you guys?
context: White Dragon, Sting and Shadow Dragon, Rogue!\The Dragon Slayer duo!\Hey!\You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys? response:	Oh, just doing a little reconnoitering...
context: The Dragon Slayer duo!\Hey!\You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering... response:	Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.
