context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.
context: Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself.\I was lonely... Dad. response:	I'm home! Hey, something smells good!
context: For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good! response:	You hardly ever have dinner ready. What were you...?
context: Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...? response:	Hello.
context: It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello. response:	Tsubasa-chan!
context: It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan! response:	We bumped into each other in town.
context: I know that now.\I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan!\We bumped into each other in town. response:	So I came to visit.
context: I was lonely all by myself.\I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan!\We bumped into each other in town.\So I came to visit. response:	We hadn't even cleaned it!
context: I was lonely... Dad.\I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan!\We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it! response:	Tsubasa-chan's a young lady from Yamanote!
context: I'm home! Hey, something smells good!\You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan!\We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote! response:	What's a little roach like you doing inviting her over, you idiot!
context: You hardly ever have dinner ready. What were you...?\Hello.\Tsubasa-chan!\We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot! response:	OW!
context: Hello.\Tsubasa-chan!\We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW! response:	Look at these clothes lying all over the place!
context: Tsubasa-chan!\We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place! response:	And the closet open for the world to see!
context: We bumped into each other in town.\So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place!\And the closet open for the world to see! response:	The garbage didn't get taken out...
context: So I came to visit.\We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out... response:	It was your turn!
context: We hadn't even cleaned it!\Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn! response:	No it wasn't!
context: Tsubasa-chan's a young lady from Yamanote!\What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn!\No it wasn't! response:	You've done nothing but embarass me from the beginning!
context: What's a little roach like you doing inviting her over, you idiot!\OW!\Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning! response:	Is it on purpose!? Are you doing it on purpose?!
context: OW!\Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?! response:	I didn't do swuat, ow! Uncle, uncle!
context: Look at these clothes lying all over the place!\And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle! response:	Have you been pretending to be reserved all this time?
context: And the closet open for the world to see!\The garbage didn't get taken out...\It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time? response:	Well, yes but...
context: The garbage didn't get taken out...\It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but... response:	Oh, don't get the wrong idea!
context: It was your turn!\No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea! response:	I act like myself in front of Toshiharu-san.
context: No it wasn't!\You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san. response:	I really wanted a little girl...
context: You've done nothing but embarass me from the beginning!\Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl... response:	Have I disappointed you?
context: Is it on purpose!? Are you doing it on purpose?!\I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you? response:	No. You're just like a friend of mine.
context: I didn't do swuat, ow! Uncle, uncle!\Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine. response:	Is it true that Tsubasa is over here?
context: Have you been pretending to be reserved all this time?\Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here? response:	Oh, Daddy.
context: Well, yes but...\Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy. response:	Toshiharu-san.
context: Oh, don't get the wrong idea!\I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san. response:	Good evening.
context: I act like myself in front of Toshiharu-san.\I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san.\Good evening. response:	See ya.
context: I really wanted a little girl...\Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san.\Good evening.\See ya. response:	Next time let me come over to your place.
context: Have I disappointed you?\No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san.\Good evening.\See ya.\Next time let me come over to your place. response:	I want to see what a Yamanote house is like.
context: No. You're just like a friend of mine.\Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san.\Good evening.\See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like. response:	Sure. I want to introduce you to my friends too.
context: Is it true that Tsubasa is over here?\Oh, Daddy.\Toshiharu-san.\Good evening.\See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too. response:	I think you would be perfect for a naive...
context: Oh, Daddy.\Toshiharu-san.\Good evening.\See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive... response:	Does that mean...
context: Toshiharu-san.\Good evening.\See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean... response:	Now then...
context: Good evening.\See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean...\Now then... response:	Let's all be happy.
context: See ya.\Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean...\Now then...\Let's all be happy. response:	The next day, the two
context: Next time let me come over to your place.\I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean...\Now then...\Let's all be happy.\The next day, the two response:	were happily registered.
context: I want to see what a Yamanote house is like.\Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean...\Now then...\Let's all be happy.\The next day, the two\were happily registered. response:	And shortly after the four of them began living together.
context: Sure. I want to introduce you to my friends too.\I think you would be perfect for a naive...\Does that mean...\Now then...\Let's all be happy.\The next day, the two\were happily registered.\And shortly after the four of them began living together. response:	Yo, Kazuma!
context: I think you would be perfect for a naive...\Does that mean...\Now then...\Let's all be happy.\The next day, the two\were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma! response:	We heard your old lady got remarried!
context: Does that mean...\Now then...\Let's all be happy.\The next day, the two\were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried! response:	Happy Marriage!
context: Now then...\Let's all be happy.\The next day, the two\were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage! response:	We came to help you move.
context: Let's all be happy.\The next day, the two\were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage!\We came to help you move. response:	Oh shit! Tsubasa, hide!
context: The next day, the two\were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide! response:	LOVELY!
context: were happily registered.\And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY! response:	Quit it!
context: And shortly after the four of them began living together.\Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY!\Quit it! response:	Whoa, LOVELY! Smoooch!
context: Yo, Kazuma!\We heard your old lady got remarried!\Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY!\Quit it!\Whoa, LOVELY! Smoooch! response:	Hey, what the hell are you doing?!
context: We heard your old lady got remarried!\Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY!\Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?! response:	Your face is covered in dirt!
context: Happy Marriage!\We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY!\Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt! response:	Let me clean it off for you - smoooch!
context: We came to help you move.\Oh shit! Tsubasa, hide!\LOVELY!\Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch! response:	I wonder if that's really just brotherly love?
context: Oh shit! Tsubasa, hide!\LOVELY!\Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love? response:	Can stepchildren get married?
context: LOVELY!\Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married? response:	What?
context: Quit it!\Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married?\What? response:	What'll happen next!
context: Whoa, LOVELY! Smoooch!\Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married?\What?\What'll happen next! response:	Our program, His and Her Circumstances,
context: Hey, what the hell are you doing?!\Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married?\What?\What'll happen next!\Our program, His and Her Circumstances, response:	which has gotten favorable reviews,...
context: Your face is covered in dirt!\Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married?\What?\What'll happen next!\Our program, His and Her Circumstances,\which has gotten favorable reviews,... response:	So we'd like to look back on the path we've come so far!
context: Let me clean it off for you - smoooch!\I wonder if that's really just brotherly love?\Can stepchildren get married?\What?\What'll happen next!\Our program, His and Her Circumstances,\which has gotten favorable reviews,...\So we'd like to look back on the path we've come so far! response:	Next time on KareKano: What's Happened So Far.
context: I wonder if that's really just brotherly love?\Can stepchildren get married?\What?\What'll happen next!\Our program, His and Her Circumstances,\which has gotten favorable reviews,...\So we'd like to look back on the path we've come so far!\Next time on KareKano: What's Happened So Far. response:	With our deepest gratitude!
