context: Okay, class! Find a partner and hold hands! response:	Friends Work Together!
context: You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real! response:	C'mon, it's just CG. Special effects.
context: Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects. response:	You're just saying that because you're scared, right? Right?!
context: we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?! response:	No, that's just the only way it could pop out at them like that.
context: That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that. response:	C'mon, Miyamura. It's just my phone.
context: Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone. response:	Oh, my mom's gonna be late again.
context: Oh, cool! That's neat.\Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again. response:	I'm so embarrassed.
context: Sometimes, our conversations peter out.\That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed. response:	A blackout?
context: That looked totally real!\C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout? response:	H-H-Hori-san! Where's your breaker box?!
context: C'mon, it's just CG. Special effects.\You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?! response:	It'll be back in a second. Calm down.
context: You're just saying that because you're scared, right? Right?!\No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down. response:	Calm down?!
context: No, that's just the only way it could pop out at them like that.\C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?! response:	See? It's back.
context: C'mon, Miyamura. It's just my phone.\Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?!\See? It's back. response:	This house is definitely cursed!
context: Oh, my mom's gonna be late again.\I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?!\See? It's back.\This house is definitely cursed! response:	What're you looking so scared for?
context: I'm so embarrassed.\A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?!\See? It's back.\This house is definitely cursed!\What're you looking so scared for? response:	Okay, let's move on to disc two!
context: A blackout?\H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?!\See? It's back.\This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two! response:	Disc two?! There are more in this horror collection?!
context: H-H-Hori-san! Where's your breaker box?!\It'll be back in a second. Calm down.\Calm down?!\See? It's back.\This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?! response:	IT COULD HAPPEN TO YOU: Real Horror Stories 49
context: It'll be back in a second. Calm down.\Calm down?!\See? It's back.\This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49 response:	Disc two?! There are more in this horror collection?!
context: Calm down?!\See? It's back.\This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?! response:	IT COULD HAPPEN TO YOU: Real Horror Stories 49
context: See? It's back.\This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49 response:	How many discs are there?!
context: This house is definitely cursed!\What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?! response:	IT COULD HAPPEN TO YOU: Real Horror Stories 49
context: What're you looking so scared for?\Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49 response:	We're gonna watch the first three,
context: Okay, let's move on to disc two!\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three, response:	IT COULD HAPPEN TO YOU: Real Horror Stories 49
context: Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49 response:	then the last two after Sota gets home.
context: IT COULD HAPPEN TO YOU: Real Horror Stories 49\Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home. response:	then the last two after Sota gets home.
context: Disc two?! There are more in this horror collection?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home. response:	We're watching five?!
context: IT COULD HAPPEN TO YOU: Real Horror Stories 49\How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?! response:	Wow, Yoshikawa-san was right. You're double-jointed.
context: How many discs are there?!\IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed. response:	I'm what?
context: IT COULD HAPPEN TO YOU: Real Horror Stories 49\We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what? response:	Your finger.
context: We're gonna watch the first three,\IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger. response:	Oh, yeah.
context: IT COULD HAPPEN TO YOU: Real Horror Stories 49\then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger.\Oh, yeah. response:	Dang, Yuki, your hands are tiny!
context: then the last two after Sota gets home.\then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny! response:	Wait, what're you doing?
context: then the last two after Sota gets home.\We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing? response:	Doesn't it make your heart skip a beat when someone grabs your hand?
context: We're watching five?!\Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand? response:	I dunno.
context: Wow, Yoshikawa-san was right. You're double-jointed.\I'm what?\Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno. response:	Look at Yuki's hands! They're so tiny!
context: I'm what?\Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny! response:	Sure, but your hands are small compared to us guys, Hori.
context: Your finger.\Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori. response:	I'm not comparing them to guys' hands right now.
context: Oh, yeah.\Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now. response:	Grab my hand and you're a dead man.
context: Dang, Yuki, your hands are tiny!\Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man. response:	You hear that, Miyamura?
context: Wait, what're you doing?\Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura? response:	I could die if I touch Hori!
context: Doesn't it make your heart skip a beat when someone grabs your hand?\I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori! response:	It's okay, Ishikawa-kun! My hand's open!
context: I dunno.\Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open! response:	No thanks!
context: Look at Yuki's hands! They're so tiny!\Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks! response:	Whoa, your finger's double-jointed! Is it just your index finger?
context: Sure, but your hands are small compared to us guys, Hori.\I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger? response:	Yeah, it's always been like this.
context: I'm not comparing them to guys' hands right now.\Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this. response:	Did you break it or something?
context: Grab my hand and you're a dead man.\You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something? response:	Nope, just born that way.
context: You hear that, Miyamura?\I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way. response:	I wonder how the joint works.
context: I could die if I touch Hori!\It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way.\I wonder how the joint works. response:	No idea. I'd have to get an x-ray.
context: It's okay, Ishikawa-kun! My hand's open!\No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray. response:	Your hands are so pale, Miyamura.
context: No thanks!\Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura. response:	Is that a writer's callus, Hori-san?
context: Whoa, your finger's double-jointed! Is it just your index finger?\Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san? response:	Yeah.
context: Yeah, it's always been like this.\Did you break it or something?\Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah. response:	It's so weird how your hands are bigger than mine, Miyamura!
context: Did you break it or something?\Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura! response:	Huh? Isn't that normal?
context: Nope, just born that way.\I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal? response:	I totally thought they were smaller.
context: I wonder how the joint works.\No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller. response:	I, I love you.
context: No idea. I'd have to get an x-ray.\Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you. response:	What?
context: Your hands are so pale, Miyamura.\Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you.\What? response:	Your hands! I love your hands, they're-they're nice!
context: Is that a writer's callus, Hori-san?\Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you.\What?\Your hands! I love your hands, they're-they're nice! response:	My hands?
context: Yeah.\It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you.\What?\Your hands! I love your hands, they're-they're nice!\My hands? response:	Yeah! I was just thinking, Man, I love'em!
context: It's so weird how your hands are bigger than mine, Miyamura!\Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you.\What?\Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em! response:	Thanks. And I hold my pencil right, so I don't have a callus like you.
context: Huh? Isn't that normal?\I totally thought they were smaller.\I, I love you.\What?\Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you. response:	H-Hey! No fair!
context: I totally thought they were smaller.\I, I love you.\What?\Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair! response:	Well, cool.
context: I, I love you.\What?\Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool. response:	I love yours, too.
context: What?\Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool.\I love yours, too. response:	Okay.
context: Your hands! I love your hands, they're-they're nice!\My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool.\I love yours, too.\Okay. response:	I love you.
context: My hands?\Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool.\I love yours, too.\Okay.\I love you. response:	Yeah, I heard you.
context: Yeah! I was just thinking, Man, I love'em!\Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool.\I love yours, too.\Okay.\I love you.\Yeah, I heard you. response:	Okay.
context: Thanks. And I hold my pencil right, so I don't have a callus like you.\H-Hey! No fair!\Well, cool.\I love yours, too.\Okay.\I love you.\Yeah, I heard you.\Okay. response:	I'm back!
context: H-Hey! No fair!\Well, cool.\I love yours, too.\Okay.\I love you.\Yeah, I heard you.\Okay.\I'm back! response:	Hey, there!
context: Well, cool.\I love yours, too.\Okay.\I love you.\Yeah, I heard you.\Okay.\I'm back!\Hey, there! response:	Sota! Did you wash your hands?
context: I love yours, too.\Okay.\I love you.\Yeah, I heard you.\Okay.\I'm back!\Hey, there!\Sota! Did you wash your hands? response:	Not yet!
context: Okay.\I love you.\Yeah, I heard you.\Okay.\I'm back!\Hey, there!\Sota! Did you wash your hands?\Not yet! response:	What're you doing?
context: I love you.\Yeah, I heard you.\Okay.\I'm back!\Hey, there!\Sota! Did you wash your hands?\Not yet!\What're you doing? response:	Hori-san put the DVDs back in the wrong cases, so I'm fixing it.
context: Yeah, I heard you.\Okay.\I'm back!\Hey, there!\Sota! Did you wash your hands?\Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it. response:	C'mon, time for dinner!
context: Okay.\I'm back!\Hey, there!\Sota! Did you wash your hands?\Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner! response:	Wash your hands, first! You're eating with us, right, Miyamura?
context: I'm back!\Hey, there!\Sota! Did you wash your hands?\Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura? response:	Oh, yeah, if that's okay.
context: Hey, there!\Sota! Did you wash your hands?\Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay. response:	Okay, then you and Sota need to go wash your hands!
context: Sota! Did you wash your hands?\Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands! response:	You got it. Let's go, Sota.
context: Not yet!\What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota. response:	Okay!
context: What're you doing?\Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay! response:	So I was just talking to her,
context: Hori-san put the DVDs back in the wrong cases, so I'm fixing it.\C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay!\So I was just talking to her, response:	and she said she's never letting me have Miyamura-kun!
context: C'mon, time for dinner!\Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun! response:	What?
context: Wash your hands, first! You're eating with us, right, Miyamura?\Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What? response:	I mean, I was just joking, but she got like, actually mad!
context: Oh, yeah, if that's okay.\Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad! response:	That's'cause you take your jokes way too far, Remi.
context: Okay, then you and Sota need to go wash your hands!\You got it. Let's go, Sota.\Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi. response:	Yeah, but still!
context: You got it. Let's go, Sota.\Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still! response:	Hori-san was sooo scary.
context: Okay!\So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary. response:	Morning, Miyamura!
context: So I was just talking to her,\and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura! response:	Morning.
context: and she said she's never letting me have Miyamura-kun!\What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura!\Morning. response:	What?! What happened to your face?!
context: What?\I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura!\Morning.\What?! What happened to your face?! response:	I got into a fight and got hit in the face.
context: I mean, I was just joking, but she got like, actually mad!\That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura!\Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face. response:	You got into a fight? With who?
context: That's'cause you take your jokes way too far, Remi.\Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura!\Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who? response:	Ishikawa-kun.
context: Yeah, but still!\Hori-san was sooo scary.\Morning, Miyamura!\Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun. response:	With Toru?!
context: Hori-san was sooo scary.\Morning, Miyamura!\Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun.\With Toru?! response:	I mean, sure, he's a big dummy dum-dum,
context: Morning, Miyamura!\Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum, response:	but I never thought he'd get violent with a friend.
context: Morning.\What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend. response:	U-Uhh, Hori-san, actually-
context: What?! What happened to your face?!\I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually- response:	Nope, I don't want to hear it.
context: I got into a fight and got hit in the face.\You got into a fight? With who?\Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it. response:	I know just the kind of guy he is now, thank you!
context: You got into a fight? With who?\Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you! response:	Morning, Ishikawa!
context: Ishikawa-kun.\With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa! response:	Whoa, holy shit!
context: With Toru?!\I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit! response:	Toru!
context: I mean, sure, he's a big dummy dum-dum,\but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit!\Toru! response:	Hey, mornin'.
context: but I never thought he'd get violent with a friend.\U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit!\Toru!\Hey, mornin'. response:	You got into a fight?
context: U-Uhh, Hori-san, actually-\Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit!\Toru!\Hey, mornin'.\You got into a fight? response:	Yeah.
context: Nope, I don't want to hear it.\I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit!\Toru!\Hey, mornin'.\You got into a fight?\Yeah. response:	So you beat the crap out of each other?
context: I know just the kind of guy he is now, thank you!\Morning, Ishikawa!\Whoa, holy shit!\Toru!\Hey, mornin'.\You got into a fight?\Yeah.\So you beat the crap out of each other? response:	No, not really...
context: Morning, Ishikawa!\Whoa, holy shit!\Toru!\Hey, mornin'.\You got into a fight?\Yeah.\So you beat the crap out of each other?\No, not really... response:	I dodged everything'cept that first punch.
context: Whoa, holy shit!\Toru!\Hey, mornin'.\You got into a fight?\Yeah.\So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch. response:	ashamed
context: Toru!\Hey, mornin'.\You got into a fight?\Yeah.\So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch.\ashamed response:	Then I beat Ishikawa-kun to a pulp...
context: Hey, mornin'.\You got into a fight?\Yeah.\So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp... response:	Then I beat Ishikawa-kun to a pulp...
context: You got into a fight?\Yeah.\So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp... response:	You're kinda scary, Miyamura.
