context: Blue Castle Academy response:	I was so concerned about the start of school,
context: No, with my fifth sense?\No...\With my organs?\I don't think so...\Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl? response:	You're saying Roromiya turned into a skeleton?
context: No...\With my organs?\I don't think so...\Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton? response:	Don't you mean she was eaten by a big skeleton?
context: With my organs?\I don't think so...\Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton? response:	See, in the version I heard, Roromiya ate a tanuki.
context: I don't think so...\Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki. response:	I knew something about her was weird...
context: Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird... response:	Whew...
context: I heard, I heard!\You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew... response:	Looks like no one took a picture or anything.
context: You mean the story about the big skeleton,\the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew...\Looks like no one took a picture or anything. response:	That's fortunate.
context: the tanuki, and the cosplay girl?\You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew...\Looks like no one took a picture or anything.\That's fortunate. response:	We'd have had to erase any evidence.
context: You're saying Roromiya turned into a skeleton?\Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew...\Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence. response:	You're so scary...
context: Don't you mean she was eaten by a big skeleton?\See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew...\Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence.\You're so scary... response:	Young people, in the spring of youth...
context: See, in the version I heard, Roromiya ate a tanuki.\I knew something about her was weird...\Whew...\Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth... response:	That's happiness.
context: I knew something about her was weird...\Whew...\Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth...\That's happiness. response:	Roromiya did?
context: Whew...\Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth...\That's happiness.\Roromiya did? response:	Really? But I can see it.
context: Looks like no one took a picture or anything.\That's fortunate.\We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth...\That's happiness.\Roromiya did?\Really? But I can see it. response:	Roromiya does eat everything...
context: That's fortunate.\We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth...\That's happiness.\Roromiya did?\Really? But I can see it.\Roromiya does eat everything... response:	Though she has such a cute face.
context: We'd have had to erase any evidence.\You're so scary...\Young people, in the spring of youth...\That's happiness.\Roromiya did?\Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face. response:	Karuta doesn't care, so you're just stressing for nothing.
context: You're so scary...\Young people, in the spring of youth...\That's happiness.\Roromiya did?\Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing. response:	If you're still mad, I'll knock'em out.
context: Young people, in the spring of youth...\That's happiness.\Roromiya did?\Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out. response:	Just make sure you aren't knocked out yourself.
context: That's happiness.\Roromiya did?\Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself. response:	What? Stop mocking me!
context: Roromiya did?\Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me! response:	You're good friends.
context: Really? But I can see it.\Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends. response:	No, we're not!
context: Roromiya does eat everything...\Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends.\No, we're not! response:	Are you blind or something?
context: Though she has such a cute face.\Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends.\No, we're not!\Are you blind or something? response:	It's nice when everything's lively.
context: Karuta doesn't care, so you're just stressing for nothing.\If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends.\No, we're not!\Are you blind or something?\It's nice when everything's lively. response:	I'm bad. I won't be friendly!
context: If you're still mad, I'll knock'em out.\Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends.\No, we're not!\Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly! response:	Huh?
context: Just make sure you aren't knocked out yourself.\What? Stop mocking me!\You're good friends.\No, we're not!\Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh? response:	Just like that, we were hanging out.
context: What? Stop mocking me!\You're good friends.\No, we're not!\Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out. response:	So, listen...
context: You're good friends.\No, we're not!\Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out.\So, listen... response:	What is it?
context: No, we're not!\Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out.\So, listen...\What is it? response:	I just thought...
context: Are you blind or something?\It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out.\So, listen...\What is it?\I just thought... response:	We are a man and woman, you know?
context: It's nice when everything's lively.\I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out.\So, listen...\What is it?\I just thought...\We are a man and woman, you know? response:	So?
context: I'm bad. I won't be friendly!\Huh?\Just like that, we were hanging out.\So, listen...\What is it?\I just thought...\We are a man and woman, you know?\So? response:	It's already quite late.
context: Huh?\Just like that, we were hanging out.\So, listen...\What is it?\I just thought...\We are a man and woman, you know?\So?\It's already quite late. response:	Usually, when you're together until morning,
context: Just like that, we were hanging out.\So, listen...\What is it?\I just thought...\We are a man and woman, you know?\So?\It's already quite late.\Usually, when you're together until morning, response:	doesn't that make your heart kind of race?
context: So, listen...\What is it?\I just thought...\We are a man and woman, you know?\So?\It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race? response:	I'll slice you up, and turn you into a duster.
context: What is it?\I just thought...\We are a man and woman, you know?\So?\It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster. response:	I'm sorry.
context: I just thought...\We are a man and woman, you know?\So?\It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster.\I'm sorry. response:	Their Night Alone.
context: We are a man and woman, you know?\So?\It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster.\I'm sorry.\Their Night Alone. response:	Finally! My Ririchiyo will be attacked by tentacles!
context: So?\It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster.\I'm sorry.\Their Night Alone.\Finally! My Ririchiyo will be attacked by tentacles! response:	Their Night Alone
context: It's already quite late.\Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster.\I'm sorry.\Their Night Alone.\Finally! My Ririchiyo will be attacked by tentacles!\Their Night Alone response:	Your nose is bleeding.
context: Usually, when you're together until morning,\doesn't that make your heart kind of race?\I'll slice you up, and turn you into a duster.\I'm sorry.\Their Night Alone.\Finally! My Ririchiyo will be attacked by tentacles!\Their Night Alone\Your nose is bleeding. response:	Cooking is about seeing the possibilities clearly. Look forward to next time!
