context: In the great ocean, Ignora, lies a conspicuously large landform. response:	It is surrounded by continents on all four cardinal directions in the shape of a cross.
context: How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh? response:	If we maintain a high-calorie, high-cholesterol diet from now on,
context: Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on, response:	it'll be fun to see what we end up like in ten years' time.
context: I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time. response:	It'd be nice if we didn't die due to living a terrible lifestyle before we got home.
context: There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home. response:	The rate at which time passes is a lot different from when you're just looking back.
context: Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back. response:	Ten years may seem like a second, but it is actually an extremely long time.
context: We're going to die.\Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time. response:	Maintaining your health over such a long time period is very difficult, you know?
context: Are we going to eat burgers and fries every meal until payday?\Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know? response:	Do you even understand that?
context: Supersize me, huh?\If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that? response:	Oh, shut up!
context: If we maintain a high-calorie, high-cholesterol diet from now on,\it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up! response:	I'm going to work!
context: it'll be fun to see what we end up like in ten years' time.\It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up!\I'm going to work! response:	Milord!
context: It'd be nice if we didn't die due to living a terrible lifestyle before we got home.\The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up!\I'm going to work!\Milord! response:	I'll listen to the rest of your lecture when I get back.
context: The rate at which time passes is a lot different from when you're just looking back.\Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up!\I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back. response:	That's not what I mean!
context: Ten years may seem like a second, but it is actually an extremely long time.\Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up!\I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean! response:	You need an umbrella!
context: Maintaining your health over such a long time period is very difficult, you know?\Do you even understand that?\Oh, shut up!\I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella! response:	Let's go, Dullahan!
context: Do you even understand that?\Oh, shut up!\I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella!\Let's go, Dullahan! response:	Guess I should get ready to go out as well.
context: Oh, shut up!\I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well. response:	Uh, here.
context: I'm going to work!\Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here. response:	Huh?
context: Milord!\I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here.\Huh? response:	You can have it.
context: I'll listen to the rest of your lecture when I get back.\That's not what I mean!\You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here.\Huh?\You can have it. response:	But...
context: That's not what I mean!\You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here.\Huh?\You can have it.\But... response:	My workplace is right over there.
context: You need an umbrella!\Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here.\Huh?\You can have it.\But...\My workplace is right over there. response:	The MgRonald's in front of the station.
context: Let's go, Dullahan!\Guess I should get ready to go out as well.\Uh, here.\Huh?\You can have it.\But...\My workplace is right over there.\The MgRonald's in front of the station. response:	Well...
context: Guess I should get ready to go out as well.\Uh, here.\Huh?\You can have it.\But...\My workplace is right over there.\The MgRonald's in front of the station.\Well... response:	Go ahead and toss it out when you're done with it.
context: Uh, here.\Huh?\You can have it.\But...\My workplace is right over there.\The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it. response:	Whoa, it's cold!
context: Huh?\You can have it.\But...\My workplace is right over there.\The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold! response:	This week will decide who in this district made the most promo item sales.
context: You can have it.\But...\My workplace is right over there.\The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales. response:	I'm sure I'm gonna set a new record for Black Pepper Fries orders!
context: But...\My workplace is right over there.\The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders! response:	What can I get for ya?
context: My workplace is right over there.\The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya? response:	A cheeseburger and a small Coke.
context: The MgRonald's in front of the station.\Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke. response:	Would you like some Black Pepper Fries with that?
context: Well...\Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that? response:	No, thanks.
context: Go ahead and toss it out when you're done with it.\Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks. response:	That's right.
context: Whoa, it's cold!\This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks.\That's right. response:	I need to take this step by step as I make my way back to being the Overlord.
context: This week will decide who in this district made the most promo item sales.\I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord. response:	A thousand yen, so your change is...
context: I'm sure I'm gonna set a new record for Black Pepper Fries orders!\What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is... response:	So that's a Happy Meal with a MgChicken and an iced coffee.
context: What can I get for ya?\A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee. response:	730 yen, please!
context: A cheeseburger and a small Coke.\Would you like some Black Pepper Fries with that?\No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please! response:	Oh, would you like to use the microwave too?
context: Would you like some Black Pepper Fries with that?\No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too? response:	Huh?
context: No, thanks.\That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too?\Huh? response:	Huh?
context: That's right.\I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too?\Huh?\Huh? response:	If you've got any baby food that can be microwaved,
context: I need to take this step by step as I make my way back to being the Overlord.\A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too?\Huh?\Huh?\If you've got any baby food that can be microwaved, response:	we can heat it up along with your order.
context: A thousand yen, so your change is...\So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too?\Huh?\Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order. response:	Oh.
context: So that's a Happy Meal with a MgChicken and an iced coffee.\730 yen, please!\Oh, would you like to use the microwave too?\Huh?\Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh. response:	That would be great, thanks.
context: 730 yen, please!\Oh, would you like to use the microwave too?\Huh?\Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh.\That would be great, thanks. response:	No problem.
context: Oh, would you like to use the microwave too?\Huh?\Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh.\That would be great, thanks.\No problem. response:	Maou, you're really amazing!
context: Huh?\Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh.\That would be great, thanks.\No problem.\Maou, you're really amazing! response:	You even realized that she'd be carrying some baby food around!
context: Huh?\If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh.\That would be great, thanks.\No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around! response:	Oh, that?
context: If you've got any baby food that can be microwaved,\we can heat it up along with your order.\Oh.\That would be great, thanks.\No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that? response:	Studying the seventeen points of customer service in your spare time
context: we can heat it up along with your order.\Oh.\That would be great, thanks.\No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time response:	really pays off in the long run.
context: Oh.\That would be great, thanks.\No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run. response:	You're so cool!
context: That would be great, thanks.\No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool! response:	It's like you're a full-fledged working adult!
context: No problem.\Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult! response:	Well,
context: Maou, you're really amazing!\You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult!\Well, response:	I'm just a part-timer, though.
context: You even realized that she'd be carrying some baby food around!\Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though. response:	We lost our jobs again, Ashiya.
context: Oh, that?\Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya. response:	Call me Alsiel.
context: Studying the seventeen points of customer service in your spare time\really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel. response:	In the first place, our objective is to return to Ente Isla.
context: really pays off in the long run.\You're so cool!\It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla. response:	We are not here to earn a daily wage!
context: You're so cool!\It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage! response:	You're right.
context: It's like you're a full-fledged working adult!\Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right. response:	You look for a method to get our magic back.
context: Well,\I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back. response:	I'll get a job and earn some money.
context: I'm just a part-timer, though.\We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back.\I'll get a job and earn some money. response:	I need you to use your brain.
context: We lost our jobs again, Ashiya.\Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain. response:	The concepts of overlords and magic exist in this world.
context: Call me Alsiel.\In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world. response:	If we can find their origins...
context: In the first place, our objective is to return to Ente Isla.\We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins... response:	Yeah.
context: We are not here to earn a daily wage!\You're right.\You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah. response:	And once we do, let's conquer not just Ente Isla,
context: You're right.\You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla, response:	but this world too!
context: You look for a method to get our magic back.\I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too! response:	Milord!
context: I'll get a job and earn some money.\I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too!\Milord! response:	Call me Maou.
context: I need you to use your brain.\The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too!\Milord!\Call me Maou. response:	Your wish is my command.
context: The concepts of overlords and magic exist in this world.\If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too!\Milord!\Call me Maou.\Your wish is my command. response:	I, Alsiel, will definitely find you a road to world domination!
context: If we can find their origins...\Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too!\Milord!\Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination! response:	Stand up, Alsiel.
context: Yeah.\And once we do, let's conquer not just Ente Isla,\but this world too!\Milord!\Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel. response:	We're in public.
context: And once we do, let's conquer not just Ente Isla,\but this world too!\Milord!\Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public. response:	That's what we agreed on, but...
context: but this world too!\Milord!\Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public.\That's what we agreed on, but... response:	Hey, I got a 200-yen raise!
context: Milord!\Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise! response:	The rookie who joined today is pretty talented!
context: Call me Maou.\Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented! response:	Milord, you're acting like a total underling!
context: Your wish is my command.\I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling! response:	What's going to happen to me if even you act like that?!
context: I, Alsiel, will definitely find you a road to world domination!\Stand up, Alsiel.\We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?! response:	Well, I haven't been doing too great either.
context: Stand up, Alsiel.\We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either. response:	I can only make guesses with what I have now.
context: We're in public.\That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now. response:	Oh, an earthquake.
context: That's what we agreed on, but...\Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake. response:	It's an earthquake, Maou.
context: Hey, I got a 200-yen raise!\The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou. response:	Oh yeah.
context: The rookie who joined today is pretty talented!\Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah. response:	Chiho.
context: Milord, you're acting like a total underling!\What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah.\Chiho. response:	Yeah?
context: What's going to happen to me if even you act like that?!\Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah.\Chiho.\Yeah? response:	Everyone makes mistakes.
context: Well, I haven't been doing too great either.\I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah.\Chiho.\Yeah?\Everyone makes mistakes. response:	But this makes it six times this month that I dropped fries all over the floor!
context: I can only make guesses with what I have now.\Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah.\Chiho.\Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor! response:	Yep.
context: Oh, an earthquake.\It's an earthquake, Maou.\Oh yeah.\Chiho.\Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep. response:	You do it once every two days.
context: It's an earthquake, Maou.\Oh yeah.\Chiho.\Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days. response:	I'm stuck cleaning while everyone else waits on customers.
context: Oh yeah.\Chiho.\Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers. response:	The floor's going to turn into a potato farm if this keeps up!
context: Chiho.\Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up! response:	Yo, you two kids on break.
context: Yeah?\Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break. response:	Why so tense, Chiho?
context: Everyone makes mistakes.\But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho? response:	What's up, boss?
context: But this makes it six times this month that I dropped fries all over the floor!\Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss? response:	It's Kisaki, damn it!
context: Yep.\You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it! response:	Anyway, it's starting to get crowded.
context: You do it once every two days.\I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded. response:	When your break is over, I want you to give me 110.
context: I'm stuck cleaning while everyone else waits on customers.\The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110. response:	This rush will be critical if we want to make the most sales.
context: The floor's going to turn into a potato farm if this keeps up!\Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales. response:	I'm counting on you.
context: Yo, you two kids on break.\Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you. response:	By the way, Sasaki,
context: Why so tense, Chiho?\What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki, response:	let's try not to drop any more fries,'kay?
context: What's up, boss?\It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay? response:	Yes, ma'am.
context: It's Kisaki, damn it!\Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am. response:	Tuna burger combos are 10 off!
context: Anyway, it's starting to get crowded.\When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off! response:	Would you like some Black Pepper Fries?
context: When your break is over, I want you to give me 110.\This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries? response:	I'd like a smile, please.
context: This rush will be critical if we want to make the most sales.\I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please. response:	I can do this if I keep this up!
context: I'm counting on you.\By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up! response:	I can get us the most orders in the district!
context: By the way, Sasaki,\let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district! response:	Huh?
context: let's try not to drop any more fries,'kay?\Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district!\Huh? response:	They're not done yet?
context: Yes, ma'am.\Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district!\Huh?\They're not done yet? response:	Don't tell me it's broken!
context: Tuna burger combos are 10 off!\Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district!\Huh?\They're not done yet?\Don't tell me it's broken! response:	Black pepper? More like broken pepper!
context: Would you like some Black Pepper Fries?\I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district!\Huh?\They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper! response:	This isn't the time for jokes!
context: I'd like a smile, please.\I can do this if I keep this up!\I can get us the most orders in the district!\Huh?\They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes! response:	What should I do?
context: I can do this if I keep this up!\I can get us the most orders in the district!\Huh?\They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do? response:	If this isn't fixed, we won't be able to get the most sales!
context: I can get us the most orders in the district!\Huh?\They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales! response:	Should I use what little magic I have left?
context: Huh?\They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left? response:	Save your powers for when you really need them.
context: They're not done yet?\Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them. response:	What's wrong?
context: Don't tell me it's broken!\Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong? response:	It's all over.
context: Black pepper? More like broken pepper!\This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong?\It's all over. response:	It's not your fault.
