context: Kyousuke! response:	Could you go out shopping for me?
context: You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing? response:	It doesn't matter.
context: Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter. response:	So what did you think of my manga?
context: Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga? response:	The house plan felt scarily real.
context: Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real. response:	I did some detailed research.
context: Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research. response:	But one part was wrong.
context: I guess we have no choice.\Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research.\But one part was wrong. response:	I've never been called Onii-chan or anything.
context: Hey, what's going on?\You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything. response:	Then what does she call you?
context: You guys know what Kirino's doing?\It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you? response:	Nothing really.
context: It doesn't matter.\So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really. response:	Oh, shut up.
context: So what did you think of my manga?\The house plan felt scarily real.\I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really.\Oh, shut up. response:	Stay out of other people's family matters.
context: The house plan felt scarily real.\I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really.\Oh, shut up.\Stay out of other people's family matters. response:	That must be lonely for you.
context: I did some detailed research.\But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really.\Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you. response:	Then why don't I call you that?
context: But one part was wrong.\I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really.\Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that? response:	What?
context: I've never been called Onii-chan or anything.\Then what does she call you?\Nothing really.\Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that?\What? response:	H-Hey, what?
context: Then what does she call you?\Nothing really.\Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that?\What?\H-Hey, what? response:	You don't need to hold back, Nii-san.
context: Nothing really.\Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that?\What?\H-Hey, what?\You don't need to hold back, Nii-san. response:	Wait, something's not right here.
context: Oh, shut up.\Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that?\What?\H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here. response:	What's not right, Nii-san?
context: Stay out of other people's family matters.\That must be lonely for you.\Then why don't I call you that?\What?\H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san? response:	Wait, you, uh
context: That must be lonely for you.\Then why don't I call you that?\What?\H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh response:	That hurt! What the hell!
context: Then why don't I call you that?\What?\H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell! response:	You don't need to ask!
context: What?\H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell!\You don't need to ask! response:	Stop being so gross!
context: H-Hey, what?\You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell!\You don't need to ask!\Stop being so gross! response:	WaiIdiot!! Not that!
context: You don't need to hold back, Nii-san.\Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell!\You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that! response:	Getting all embarrassed like that... So shameless.
context: Wait, something's not right here.\What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell!\You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless. response:	After being so depressed, all it takes is something like that to get you back on your feet?
context: What's not right, Nii-san?\Wait, you, uh\That hurt! What the hell!\You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet? response:	You're so simple, I'm almost jealous.
context: Wait, you, uh\That hurt! What the hell!\You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous. response:	What?
context: That hurt! What the hell!\You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What? response:	Look here.
context: You don't need to ask!\Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What?\Look here. response:	I've been really depressed recently because of you.
context: Stop being so gross!\WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What?\Look here.\I've been really depressed recently because of you. response:	It's not that Manami has been making fun of me or anything.
context: WaiIdiot!! Not that!\Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What?\Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything. response:	She's not that kind of person in the first place.
context: Getting all embarrassed like that... So shameless.\After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What?\Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place. response:	She's been trying to be nice instead.
context: After being so depressed, all it takes is something like that to get you back on your feet?\You're so simple, I'm almost jealous.\What?\Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead. response:	But that weird feeling is just wrong for us!
context: You're so simple, I'm almost jealous.\What?\Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us! response:	And you're the reason for it!
context: What?\Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it! response:	Do you understand?
context: Look here.\I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand? response:	But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.
context: I've been really depressed recently because of you.\It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate. response:	But I come here, and then what?
context: It's not that Manami has been making fun of me or anything.\She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what? response:	The receptionist stares at me, you start yelling for no good reason,
context: She's not that kind of person in the first place.\She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason, response:	and it looks like you're hiding something from me.
context: She's been trying to be nice instead.\But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me. response:	How could I possibly have fun like this?
context: But that weird feeling is just wrong for us!\And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this? response:	We didn't mean to do that...
context: And you're the reason for it!\Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that... response:	I'm not blaming you.
context: Do you understand?\But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you. response:	But it's about time for you to explain yourself.
context: But we were going to celebrate today, so I thought I would set aside my own problems and celebrate.\But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself. response:	Mr. Kyousuke, please listen. We
context: But I come here, and then what?\The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We response:	Wait.
context: The receptionist stares at me, you start yelling for no good reason,\and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait. response:	I'll take my turn now.
context: and it looks like you're hiding something from me.\How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now. response:	What?
context: How could I possibly have fun like this?\We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now.\What? response:	Miss Kiririn.
context: We didn't mean to do that...\I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now.\What?\Miss Kiririn. response:	You understand, right?
context: I'm not blaming you.\But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now.\What?\Miss Kiririn.\You understand, right? response:	I just have to do it, right?
context: But it's about time for you to explain yourself.\Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now.\What?\Miss Kiririn.\You understand, right?\I just have to do it, right? response:	Here, take it!
context: Mr. Kyousuke, please listen. We\Wait.\I'll take my turn now.\What?\Miss Kiririn.\You understand, right?\I just have to do it, right?\Here, take it! response:	What?
context: Wait.\I'll take my turn now.\What?\Miss Kiririn.\You understand, right?\I just have to do it, right?\Here, take it!\What? response:	I said you can have it!
context: I'll take my turn now.\What?\Miss Kiririn.\You understand, right?\I just have to do it, right?\Here, take it!\What?\I said you can have it! response:	I don't get it!
context: What?\Miss Kiririn.\You understand, right?\I just have to do it, right?\Here, take it!\What?\I said you can have it!\I don't get it! response:	Oh, figure it out already! I'm giving you a present!
context: Miss Kiririn.\You understand, right?\I just have to do it, right?\Here, take it!\What?\I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present! response:	A present?
context: You understand, right?\I just have to do it, right?\Here, take it!\What?\I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present!\A present? response:	Right.
context: I just have to do it, right?\Here, take it!\What?\I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present!\A present?\Right. response:	I'm sorry I did all that.
context: Here, take it!\What?\I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present!\A present?\Right.\I'm sorry I did all that. response:	Thanks for everything.
context: What?\I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present!\A present?\Right.\I'm sorry I did all that.\Thanks for everything. response:	Um... Did you hear me?
context: I said you can have it!\I don't get it!\Oh, figure it out already! I'm giving you a present!\A present?\Right.\I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me? response:	Y-Yeah...
context: I don't get it!\Oh, figure it out already! I'm giving you a present!\A present?\Right.\I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me?\Y-Yeah... response:	Oh, really?
context: Oh, figure it out already! I'm giving you a present!\A present?\Right.\I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me?\Y-Yeah...\Oh, really? response:	Good then.
context: A present?\Right.\I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me?\Y-Yeah...\Oh, really?\Good then. response:	This party was something we planned to cheer you up.
context: Right.\I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me?\Y-Yeah...\Oh, really?\Good then.\This party was something we planned to cheer you up. response:	It was also meant for Miss Kiririn to apologize to you.
context: I'm sorry I did all that.\Thanks for everything.\Um... Did you hear me?\Y-Yeah...\Oh, really?\Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you. response:	It's our fault you were upset.
context: Thanks for everything.\Um... Did you hear me?\Y-Yeah...\Oh, really?\Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset. response:	We're sorry.
context: Um... Did you hear me?\Y-Yeah...\Oh, really?\Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry. response:	Is that why...
context: Y-Yeah...\Oh, really?\Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry.\Is that why... response:	Hey, you know...
context: Oh, really?\Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry.\Is that why...\Hey, you know... response:	You probably can't figure it out unless I tell you, so I'll tell you now.
context: Good then.\This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry.\Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now. response:	What?
context: This party was something we planned to cheer you up.\It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry.\Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What? response:	I'm really thankful for everything you've done for me.
context: It was also meant for Miss Kiririn to apologize to you.\It's our fault you were upset.\We're sorry.\Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me. response:	If you weren't there for me, I wouldn't have been able to convince Dad.
context: It's our fault you were upset.\We're sorry.\Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad. response:	And I wouldn't have made up with Ayase.
context: We're sorry.\Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase. response:	And I wouldn't have met these two.
context: Is that why...\Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two. response:	Without anyone to talk to about games or anime, I'd be depressed, all alone.
context: Hey, you know...\You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone. response:	I don't know how things would be now.
context: You probably can't figure it out unless I tell you, so I'll tell you now.\What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now. response:	So... um...
context: What?\I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um... response:	That's how it is!
context: I'm really thankful for everything you've done for me.\If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um...\That's how it is! response:	What are you crying about?!
context: If you weren't there for me, I wouldn't have been able to convince Dad.\And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um...\That's how it is!\What are you crying about?! response:	Idiot! I'm not crying!
context: And I wouldn't have made up with Ayase.\And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um...\That's how it is!\What are you crying about?!\Idiot! I'm not crying! response:	Stop that!
context: And I wouldn't have met these two.\Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um...\That's how it is!\What are you crying about?!\Idiot! I'm not crying!\Stop that! response:	It's seriously gross!
context: Without anyone to talk to about games or anime, I'd be depressed, all alone.\I don't know how things would be now.\So... um...\That's how it is!\What are you crying about?!\Idiot! I'm not crying!\Stop that!\It's seriously gross! response:	Not like it's something to cry about!
context: I don't know how things would be now.\So... um...\That's how it is!\What are you crying about?!\Idiot! I'm not crying!\Stop that!\It's seriously gross!\Not like it's something to cry about! response:	Come on! Are you stupid?
context: So... um...\That's how it is!\What are you crying about?!\Idiot! I'm not crying!\Stop that!\It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid? response:	I've...
context: That's how it is!\What are you crying about?!\Idiot! I'm not crying!\Stop that!\It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid?\I've... response:	I've done all sorts of things to help Kirino.
context: What are you crying about?!\Idiot! I'm not crying!\Stop that!\It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino. response:	But those were all things I decided to do myself, on my own terms.
context: Idiot! I'm not crying!\Stop that!\It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms. response:	Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...
context: Stop that!\It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents... response:	I'm her brother, so I can't help it.
context: It's seriously gross!\Not like it's something to cry about!\Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it. response:	It's so natural, I can't help it.
context: Not like it's something to cry about!\Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it. response:	That's why I don't need thanks, and I don't want any, either.
context: Come on! Are you stupid?\I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either. response:	That's what I thought. And that hasn't changed.
context: I've...\I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed. response:	That can't change.
context: I've done all sorts of things to help Kirino.\But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change. response:	But for some reason, the tears won't stop...
context: But those were all things I decided to do myself, on my own terms.\Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop... response:	It's just not fair!
context: Even if she isn't cute, or if she makes me irritated, or if I'm jealous of her talents...\I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop...\It's just not fair! response:	Sneaking in an ambush like this...
context: I'm her brother, so I can't help it.\It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this... response:	Thanks, Kirino.
context: It's so natural, I can't help it.\That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino. response:	I'll take good care of this present.
context: That's why I don't need thanks, and I don't want any, either.\That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present. response:	Sure, sure.
context: That's what I thought. And that hasn't changed.\That can't change.\But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present.\Sure, sure. response:	But don't say that yet. You haven't even opened it.
context: That can't change.\But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it. response:	Oh, right. Can I open it?
context: But for some reason, the tears won't stop...\It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it? response:	D-Do what you want.
context: It's just not fair!\Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want. response:	Okay.
context: Sneaking in an ambush like this...\Thanks, Kirino.\I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want.\Okay. response:	What is this?
context: Thanks, Kirino.\I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want.\Okay.\What is this? response:	That's a seriously godly game!
context: I'll take good care of this present.\Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want.\Okay.\What is this?\That's a seriously godly game! response:	You'd better play it!
context: Sure, sure.\But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want.\Okay.\What is this?\That's a seriously godly game!\You'd better play it! response:	Man, you...
context: But don't say that yet. You haven't even opened it.\Oh, right. Can I open it?\D-Do what you want.\Okay.\What is this?\That's a seriously godly game!\You'd better play it!\Man, you... response:	Think of it as me and take real good care of it.
context: Oh, right. Can I open it?\D-Do what you want.\Okay.\What is this?\That's a seriously godly game!\You'd better play it!\Man, you...\Think of it as me and take real good care of it. response:	What?
context: D-Do what you want.\Okay.\What is this?\That's a seriously godly game!\You'd better play it!\Man, you...\Think of it as me and take real good care of it.\What? response:	What are you laughing about?
context: Okay.\What is this?\That's a seriously godly game!\You'd better play it!\Man, you...\Think of it as me and take real good care of it.\What?\What are you laughing about? response:	Is he broken?
context: What is this?\That's a seriously godly game!\You'd better play it!\Man, you...\Think of it as me and take real good care of it.\What?\What are you laughing about?\Is he broken? response:	No, I think that's the right reaction.
context: That's a seriously godly game!\You'd better play it!\Man, you...\Think of it as me and take real good care of it.\What?\What are you laughing about?\Is he broken?\No, I think that's the right reaction. response:	I see. So you're that happy?
context: You'd better play it!\Man, you...\Think of it as me and take real good care of it.\What?\What are you laughing about?\Is he broken?\No, I think that's the right reaction.\I see. So you're that happy? response:	I guess...
context: Man, you...\Think of it as me and take real good care of it.\What?\What are you laughing about?\Is he broken?\No, I think that's the right reaction.\I see. So you're that happy?\I guess... response:	Thanks, Kirino.
context: Think of it as me and take real good care of it.\What?\What are you laughing about?\Is he broken?\No, I think that's the right reaction.\I see. So you're that happy?\I guess...\Thanks, Kirino. response:	ED
context: What?\What are you laughing about?\Is he broken?\No, I think that's the right reaction.\I see. So you're that happy?\I guess...\Thanks, Kirino.\ED response:	H DIVE
context: What are you laughing about?\Is he broken?\No, I think that's the right reaction.\I see. So you're that happy?\I guess...\Thanks, Kirino.\ED\H DIVE response:	Into LOVE
context: Is he broken?\No, I think that's the right reaction.\I see. So you're that happy?\I guess...\Thanks, Kirino.\ED\H DIVE\Into LOVE response:	SO
context: No, I think that's the right reaction.\I see. So you're that happy?\I guess...\Thanks, Kirino.\ED\H DIVE\Into LOVE\SO response:	Jump
context: I see. So you're that happy?\I guess...\Thanks, Kirino.\ED\H DIVE\Into LOVE\SO\Jump response:	atama no naka guruguru mawaru
context: I guess...\Thanks, Kirino.\ED\H DIVE\Into LOVE\SO\Jump\atama no naka guruguru mawaru response:	sekai koukei ha karafuru
context: Thanks, Kirino.\ED\H DIVE\Into LOVE\SO\Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru response:	nousaibou shigekiteki do-pamin ha koborechatta
context: ED\H DIVE\Into LOVE\SO\Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta response:	donichi no ofu taiki de uzu uzu
context: H DIVE\Into LOVE\SO\Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu response:	shousoukan komiageru
context: Into LOVE\SO\Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru response:	hayaku aitai yo
context: SO\Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo response:	minna issho ni sukumizu tabeyouka-
context: Jump\atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka- response:	me wo tojietemo nioi de wakaru
context: atama no naka guruguru mawaru\sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru response:	rui ha rui wo yobu
