context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: In the past, I was betrayed by so-called trusted confidants\and lost my position as Ghost Lord\and locked in prison for 70,000 years!\All right. I won't talk about this anymore.\Let's go.\Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm? response:	How should I be?
context: and lost my position as Ghost Lord\and locked in prison for 70,000 years!\All right. I won't talk about this anymore.\Let's go.\Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm?\How should I be? response:	Oh right, you're like an immortal.
context: and locked in prison for 70,000 years!\All right. I won't talk about this anymore.\Let's go.\Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm?\How should I be?\Oh right, you're like an immortal. response:	You must have seen this place in a dream before.
context: All right. I won't talk about this anymore.\Let's go.\Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm?\How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before. response:	Yes, I've seen it before.
context: Let's go.\Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm?\How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before. response:	- Uncle! - It must have been hard on you.
context: Ye Hua, are we inside the Crystal Palace now?\That's right.\Why are you so calm?\How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you. response:	I'm sorry for always making you come here for Chang Sea affairs.
context: That's right.\Why are you so calm?\How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs. response:	Uncle, you don't have to apologize.
context: Why are you so calm?\How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize. response:	The four seas are one clan.
context: How should I be?\Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan. response:	Oh yeah, these are two of my friends.
context: Oh right, you're like an immortal.\You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends. response:	I brought them into Chang Sea without asking for permission first.
context: You must have seen this place in a dream before.\Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first. response:	I hope you'll forgive me.
context: Yes, I've seen it before.\- Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me. response:	It's okay. It's okay.
context: - Uncle! - It must have been hard on you.\I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay. response:	If they're your friends, then they're my honored guests.
context: I'm sorry for always making you come here for Chang Sea affairs.\Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests. response:	Come on inside!
context: Uncle, you don't have to apologize.\The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside! response:	Su Su, I need to discuss some things with Die Feng.
context: The four seas are one clan.\Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng. response:	If you're tired, you can just sleep here.
context: Oh yeah, these are two of my friends.\I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here. response:	If you want to walk around, remember to bring the copper mirror.
context: I brought them into Chang Sea without asking for permission first.\I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror. response:	Why do I have to bring the copper mirror?
context: I hope you'll forgive me.\It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror? response:	I'm afraid you'll get lost.
context: It's okay. It's okay.\If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost. response:	Okay.
context: If they're your friends, then they're my honored guests.\Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay. response:	Princess, don't be sad.
context: Come on inside!\Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay.\Princess, don't be sad. response:	This leaf fan is a treasure that Water King gave you.
context: Su Su, I need to discuss some things with Die Feng.\If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you. response:	It's covered in tears.
context: If you're tired, you can just sleep here.\If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears. response:	Aren't you ruining a precious item?
context: If you want to walk around, remember to bring the copper mirror.\Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item? response:	Besides, Water King only said
context: Why do I have to bring the copper mirror?\I'm afraid you'll get lost.\Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said response:	he would marry one princess to the Mermaid King.
context: I'm afraid you'll get lost.\Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King. response:	It might not be you.
context: Okay.\Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you. response:	There's also First Princess.
context: Princess, don't be sad.\This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess. response:	First Princess is the most scheming.
context: This leaf fan is a treasure that Water King gave you.\It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess.\First Princess is the most scheming. response:	I can't beat her.
context: It's covered in tears.\Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess.\First Princess is the most scheming.\I can't beat her. response:	She might even be talking to Father now about marrying me off.
context: Aren't you ruining a precious item?\Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess.\First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off. response:	The mermaid king looks very sinister.
context: Besides, Water King only said\he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess.\First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister. response:	If I really marry him...
context: he would marry one princess to the Mermaid King.\It might not be you.\There's also First Princess.\First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him... response:	Then why don't you listen to Water God and marry First Prince of West Sea?
context: It might not be you.\There's also First Princess.\First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea? response:	But First Prince is sickly.
context: There's also First Princess.\First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly. response:	Then what about Second Prince?
context: First Princess is the most scheming.\I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince? response:	Second Prince is pretty good.
context: I can't beat her.\She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good. response:	He used to be Mo Yuan's senior disciple too. But...
context: She might even be talking to Father now about marrying me off.\The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But... response:	Your Highness, you still want to marry into the Celestial Palace?
context: The mermaid king looks very sinister.\If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace? response:	You've never even met that crown prince before.
context: If I really marry him...\Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before. response:	How can you be so infatuated?
context: Then why don't you listen to Water God and marry First Prince of West Sea?\But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated? response:	Crown Prince's reputation has spread far and wide.
context: But First Prince is sickly.\Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide. response:	In the four seas and eight realms
context: Then what about Second Prince?\Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms response:	he's the only spiritual master of both Buddhism and Taoism.
context: Second Prince is pretty good.\He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism. response:	He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.
context: He used to be Mo Yuan's senior disciple too. But...\Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi. response:	Yes. I heard that when he was born
context: Your Highness, you still want to marry into the Celestial Palace?\You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born response:	the 36 skies radiated golden rays in an instant.
context: You've never even met that crown prince before.\How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant. response:	The 72 rainbow birds of the Mount Junji of the Far East
context: How can you be so infatuated?\Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East response:	soared into the sky and circled the Celestial Palace for 81 days.
context: Crown Prince's reputation has spread far and wide.\In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days. response:	I can already recite all this.
context: In the four seas and eight realms\he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this. response:	Who is there?
context: he's the only spiritual master of both Buddhism and Taoism.\He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there? response:	What? Was what you overhead that amusing?
context: He's also the last disciple of the Realm of Supreme Purity's Lord Yuan Shi.\Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there?\What? Was what you overhead that amusing? response:	What that princess said was really amusing.
context: Yes. I heard that when he was born\the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing. response:	Sit down. I'll tell you.
context: the 36 skies radiated golden rays in an instant.\The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you. response:	She doesn't want to marry Mermaid King.
context: The 72 rainbow birds of the Mount Junji of the Far East\soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King. response:	So she thought she might as well marry Second Prince Die Feng.
context: soared into the sky and circled the Celestial Palace for 81 days.\I can already recite all this.\Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng. response:	But she can't bear to part with the celestial crown prince.
context: I can already recite all this.\Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince. response:	Don't you think it's amusing?
context: Who is there?\What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing? response:	The problem is all three of them aren't interested in her.
context: What? Was what you overhead that amusing?\What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her. response:	Is that so?
context: What that princess said was really amusing.\Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so? response:	When she was talking about the crown prince, she just went on and on.
context: Sit down. I'll tell you.\She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on. response:	Is the celestial crown prince that famous?
context: She doesn't want to marry Mermaid King.\So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous? response:	There's only one celestial crown prince in the world.
context: So she thought she might as well marry Second Prince Die Feng.\But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world. response:	How could he not be famous?
context: But she can't bear to part with the celestial crown prince.\Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous? response:	That's true.
context: Don't you think it's amusing?\The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous?\That's true. response:	The Princess of Chang Sea is still a princess.
context: The problem is all three of them aren't interested in her.\Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess. response:	She's never even met him before, but she pines for him.
context: Is that so?\When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him. response:	That means the celestial crown prince must be very charming.
context: When she was talking about the crown prince, she just went on and on.\Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming. response:	What? Are you also interested in him?
context: Is the celestial crown prince that famous?\There's only one celestial crown prince in the world.\How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him? response:	Are you jealous?
context: There's only one celestial crown prince in the world.\How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous? response:	No. It's just that when compared to the crown prince, I have nothing.
context: How could he not be famous?\That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing. response:	I'm making things hard for you.
context: That's true.\The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you. response:	I already told you that I don't mind.
context: The Princess of Chang Sea is still a princess.\She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind. response:	Thank you for not minding.
context: She's never even met him before, but she pines for him.\That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding. response:	This place is great.
context: That means the celestial crown prince must be very charming.\What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding.\This place is great. response:	It's too bad there's only the smell of seawater here.
context: What? Are you also interested in him?\Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here. response:	There's no smell of flowers.
context: Are you jealous?\No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers. response:	I really want to smell peach blossoms.
context: No. It's just that when compared to the crown prince, I have nothing.\I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms. response:	I know of a place.
context: I'm making things hard for you.\I already told you that I don't mind.\Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place. response:	There, peach blossoms bloom all year long.
context: I already told you that I don't mind.\Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long. response:	Where is it?
context: Thank you for not minding.\This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long.\Where is it? response:	Close your eyes. I'll take you there.
context: This place is great.\It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there. response:	You can open your eyes now.
context: It's too bad there's only the smell of seawater here.\There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there.\You can open your eyes now. response:	Is this a fantasy?
context: There's no smell of flowers.\I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy? response:	No.
context: I really want to smell peach blossoms.\I know of a place.\There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy?\No. response:	Then where is this place?
context: I know of a place.\There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy?\No.\Then where is this place? response:	Qing Qiu, Ten Mile Peach Tree Woods.
context: There, peach blossoms bloom all year long.\Where is it?\Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy?\No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods. response:	Ten Mile Peach Tree Woods?
context: Where is it?\Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy?\No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods? response:	There are ten miles of this?
context: Close your eyes. I'll take you there.\You can open your eyes now.\Is this a fantasy?\No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this? response:	That's right.
context: You can open your eyes now.\Is this a fantasy?\No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right. response:	There was someone who spent a long time to plant these woods.
context: Is this a fantasy?\No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods. response:	He didn't have much else to do anyway.
context: No.\Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway. response:	All day long, he just takes care of peach blossoms and ferments peach blossom wine.
context: Then where is this place?\Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine. response:	What a life to live.
context: Qing Qiu, Ten Mile Peach Tree Woods.\Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live. response:	Are you envious?
context: Ten Mile Peach Tree Woods?\There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious? response:	Huh? What's there to be envious of?
context: There are ten miles of this?\That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious?\Huh? What's there to be envious of? response:	We spend our days like this at Mount Junji.
context: That's right.\There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji. response:	Every day, there's not much to do.
context: There was someone who spent a long time to plant these woods.\He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do. response:	We just go hunting, cook, and raise pets, right?
context: He didn't have much else to do anyway.\All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right? response:	That's right. We don't have to be envious of others.
context: All day long, he just takes care of peach blossoms and ferments peach blossom wine.\What a life to live.\Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others. response:	Are you friends with the person who works here?
context: What a life to live.\Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here? response:	We've met a couple of times.
context: Are you envious?\Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times. response:	Oh. Is he here?
context: Huh? What's there to be envious of?\We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here? response:	It doesn't seem like it. I don't sense his magic breath.
context: We spend our days like this at Mount Junji.\Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath. response:	But it's because he isn't here that I brought you here.
context: Every day, there's not much to do.\We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here. response:	Is your relationship bad?
context: We just go hunting, cook, and raise pets, right?\That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad? response:	No. I admire him.
