context: The Earth has a skin, response:	and that skin is plagued by many different things.
context: It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out.\Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko. response:	I sell popsicles.
context: It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out.\Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles. response:	Oh, if you're Souta-kun's friend, then you're my friend!
context: You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out.\Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend! response:	Let me buy all of your stock.
context: Yeah, I guess so.\I finally got it out.\Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock. response:	Thank you for getting everything.
context: I finally got it out.\Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything. response:	Here you go.
context: Hm? Who's this?\She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything.\Here you go. response:	What a flashy person.
context: She's my friend.\Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything.\Here you go.\What a flashy person. response:	Well, she was born into a rich family.
context: Daishikyougawa Kurumiko.\I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything.\Here you go.\What a flashy person.\Well, she was born into a rich family. response:	Rich... family.
context: I sell popsicles.\Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything.\Here you go.\What a flashy person.\Well, she was born into a rich family.\Rich... family. response:	Do you like selling popsicles?
context: Oh, if you're Souta-kun's friend, then you're my friend!\Let me buy all of your stock.\Thank you for getting everything.\Here you go.\What a flashy person.\Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles? response:	No,
context: Let me buy all of your stock.\Thank you for getting everything.\Here you go.\What a flashy person.\Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles?\No, response:	I'm just trying to make enough to live and go to school.
context: Thank you for getting everything.\Here you go.\What a flashy person.\Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school. response:	I guess you're working to put yourself through school.
context: Here you go.\What a flashy person.\Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school. response:	Thank you.
context: What a flashy person.\Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you. response:	I-I...
context: Well, she was born into a rich family.\Rich... family.\Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you.\I-I... response:	Akane,
context: Rich... family.\Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you.\I-I...\Akane, response:	it'll be fine.
context: Do you like selling popsicles?\No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you.\I-I...\Akane,\it'll be fine. response:	Yeah.
context: No,\I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you.\I-I...\Akane,\it'll be fine.\Yeah. response:	Sorry...
context: I'm just trying to make enough to live and go to school.\I guess you're working to put yourself through school.\Thank you.\I-I...\Akane,\it'll be fine.\Yeah.\Sorry... response:	When I thought about how there could be someone there
context: I guess you're working to put yourself through school.\Thank you.\I-I...\Akane,\it'll be fine.\Yeah.\Sorry...\When I thought about how there could be someone there response:	that could just buy all of my stuff just like that,
context: Thank you.\I-I...\Akane,\it'll be fine.\Yeah.\Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that, response:	I didn't think I belonged.
context: I-I...\Akane,\it'll be fine.\Yeah.\Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged. response:	I don't think you need to be embarrassed.
context: Akane,\it'll be fine.\Yeah.\Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed. response:	Struggling to be alive, to look at becoming something more,
context: it'll be fine.\Yeah.\Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more, response:	that's something that only humans can do.
context: Yeah.\Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do. response:	It's precious.
context: Sorry...\When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious. response:	No one has a right to laugh at someone like that.
context: When I thought about how there could be someone there\that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that. response:	You're a nice person.
context: that could just buy all of my stuff just like that,\I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that.\You're a nice person. response:	I'm sure that girl means a lot to you.
context: I didn't think I belonged.\I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you. response:	Akane's such a good person.
context: I don't think you need to be embarrassed.\Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person. response:	Her name's Akane...
context: Struggling to be alive, to look at becoming something more,\that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane... response:	I should apologize to her next time I see her.
context: that's something that only humans can do.\It's precious.\No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her. response:	I should apologize to you and thank you, too.
context: It's precious.\No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too. response:	The story flag has progressed to the next stage.
context: No one has a right to laugh at someone like that.\You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage. response:	I'll do something special.
context: You're a nice person.\I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special. response:	What's this?
context: I'm sure that girl means a lot to you.\Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special.\What's this? response:	Whenever I'm having a hard time,
context: Akane's such a good person.\Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special.\What's this?\Whenever I'm having a hard time, response:	I come here and remember what my parents told me.
context: Her name's Akane...\I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special.\What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me. response:	You shouldn't depend on other people and remember that
context: I should apologize to her next time I see her.\I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special.\What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that response:	you need to get by on your own, huh?
context: I should apologize to you and thank you, too.\The story flag has progressed to the next stage.\I'll do something special.\What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh? response:	That's what I thought, too, but...
context: The story flag has progressed to the next stage.\I'll do something special.\What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but... response:	It isn't that bad to depend on others, you know?
context: I'll do something special.\What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know? response:	There's something I couldn't tell you...
context: What's this?\Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you... response:	When I first gave you that drink,
context: Whenever I'm having a hard time,\I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink, response:	I knew who you were, that's why I did it.
context: I come here and remember what my parents told me.\You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it. response:	You knew who I was?
context: You shouldn't depend on other people and remember that\you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was? response:	Why would you...
context: you need to get by on your own, huh?\That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was?\Why would you... response:	Could you...
context: That's what I thought, too, but...\It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was?\Why would you...\Could you... response:	My parents were crew on
context: It isn't that bad to depend on others, you know?\There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was?\Why would you...\Could you...\My parents were crew on response:	the Premium Ambriel.
context: There's something I couldn't tell you...\When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was?\Why would you...\Could you...\My parents were crew on\the Premium Ambriel. response:	So you hated me because of that and...
context: When I first gave you that drink,\I knew who you were, that's why I did it.\You knew who I was?\Why would you...\Could you...\My parents were crew on\the Premium Ambriel.\So you hated me because of that and... response:	No!
context: I knew who you were, that's why I did it.\You knew who I was?\Why would you...\Could you...\My parents were crew on\the Premium Ambriel.\So you hated me because of that and...\No! response:	You should hate me instead.
context: You knew who I was?\Why would you...\Could you...\My parents were crew on\the Premium Ambriel.\So you hated me because of that and...\No!\You should hate me instead. response:	It was the duty of the staff to make sure everyone was safe, and...
context: Why would you...\Could you...\My parents were crew on\the Premium Ambriel.\So you hated me because of that and...\No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and... response:	The TV and newspapers made it all sound like your fault.
context: Could you...\My parents were crew on\the Premium Ambriel.\So you hated me because of that and...\No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault. response:	That was wrong.
context: My parents were crew on\the Premium Ambriel.\So you hated me because of that and...\No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong. response:	So when you said you weren't going to depend on anyone,
context: the Premium Ambriel.\So you hated me because of that and...\No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone, response:	you wanted to carry that burden,
context: So you hated me because of that and...\No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden, response:	that cross in the stead of your parents?
context: No!\You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents? response:	Everything's been so hard every day.
context: You should hate me instead.\It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day. response:	I wanted to give up on everything.
context: It was the duty of the staff to make sure everyone was safe, and...\The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything. response:	And that's when I saw you.
context: The TV and newspapers made it all sound like your fault.\That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you. response:	I'm not the only one in pain.
context: That was wrong.\So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain. response:	It's embarrassing I thought that.
context: So when you said you weren't going to depend on anyone,\you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that. response:	I'm sure you won't forgive me for
context: you wanted to carry that burden,\that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for response:	trying to seek help from you...
context: that cross in the stead of your parents?\Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you... response:	I forgive you.
context: Everything's been so hard every day.\I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you...\I forgive you. response:	There was no reason
context: I wanted to give up on everything.\And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you...\I forgive you.\There was no reason response:	for you to carry that cross.
context: And that's when I saw you.\I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you...\I forgive you.\There was no reason\for you to carry that cross. response:	You're really nice.
context: I'm not the only one in pain.\It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you...\I forgive you.\There was no reason\for you to carry that cross.\You're really nice. response:	No way.
context: It's embarrassing I thought that.\I'm sure you won't forgive me for\trying to seek help from you...\I forgive you.\There was no reason\for you to carry that cross.\You're really nice.\No way. response:	Onii-san?
context: I'm sure you won't forgive me for\trying to seek help from you...\I forgive you.\There was no reason\for you to carry that cross.\You're really nice.\No way.\Onii-san? response:	The tide
context: trying to seek help from you...\I forgive you.\There was no reason\for you to carry that cross.\You're really nice.\No way.\Onii-san?\The tide response:	came in?
context: I forgive you.\There was no reason\for you to carry that cross.\You're really nice.\No way.\Onii-san?\The tide\came in? response:	I'm sorry.
context: There was no reason\for you to carry that cross.\You're really nice.\No way.\Onii-san?\The tide\came in?\I'm sorry. response:	If I hadn't brought you here...
context: for you to carry that cross.\You're really nice.\No way.\Onii-san?\The tide\came in?\I'm sorry.\If I hadn't brought you here... response:	It's fine.
context: You're really nice.\No way.\Onii-san?\The tide\came in?\I'm sorry.\If I hadn't brought you here...\It's fine. response:	Don't blame yourself so much.
context: No way.\Onii-san?\The tide\came in?\I'm sorry.\If I hadn't brought you here...\It's fine.\Don't blame yourself so much. response:	If I had a brother like you,
context: Onii-san?\The tide\came in?\I'm sorry.\If I hadn't brought you here...\It's fine.\Don't blame yourself so much.\If I had a brother like you, response:	I'm sure I would
context: The tide\came in?\I'm sorry.\If I hadn't brought you here...\It's fine.\Don't blame yourself so much.\If I had a brother like you,\I'm sure I would response:	have been a lot happier.
context: came in?\I'm sorry.\If I hadn't brought you here...\It's fine.\Don't blame yourself so much.\If I had a brother like you,\I'm sure I would\have been a lot happier. response:	Same here.
context: I'm sorry.\If I hadn't brought you here...\It's fine.\Don't blame yourself so much.\If I had a brother like you,\I'm sure I would\have been a lot happier.\Same here. response:	If I had a nice sister like you,
context: If I hadn't brought you here...\It's fine.\Don't blame yourself so much.\If I had a brother like you,\I'm sure I would\have been a lot happier.\Same here.\If I had a nice sister like you, response:	I'm sure everything would be different now.
context: It's fine.\Don't blame yourself so much.\If I had a brother like you,\I'm sure I would\have been a lot happier.\Same here.\If I had a nice sister like you,\I'm sure everything would be different now. response:	Um...
context: Don't blame yourself so much.\If I had a brother like you,\I'm sure I would\have been a lot happier.\Same here.\If I had a nice sister like you,\I'm sure everything would be different now.\Um... response:	Is it all right if I ask you something?
context: If I had a brother like you,\I'm sure I would\have been a lot happier.\Same here.\If I had a nice sister like you,\I'm sure everything would be different now.\Um...\Is it all right if I ask you something? response:	Is this...
context: I'm sure I would\have been a lot happier.\Same here.\If I had a nice sister like you,\I'm sure everything would be different now.\Um...\Is it all right if I ask you something?\Is this... response:	If we're able to get out of here safely,
context: have been a lot happier.\Same here.\If I had a nice sister like you,\I'm sure everything would be different now.\Um...\Is it all right if I ask you something?\Is this...\If we're able to get out of here safely, response:	would you promise we'll become
context: Same here.\If I had a nice sister like you,\I'm sure everything would be different now.\Um...\Is it all right if I ask you something?\Is this...\If we're able to get out of here safely,\would you promise we'll become response:	brother and sister in spirit?
context: If I had a nice sister like you,\I'm sure everything would be different now.\Um...\Is it all right if I ask you something?\Is this...\If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit? response:	Death flags...
context: I'm sure everything would be different now.\Um...\Is it all right if I ask you something?\Is this...\If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit?\Death flags... response:	I need to get rid of those...
context: Um...\Is it all right if I ask you something?\Is this...\If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit?\Death flags...\I need to get rid of those... response:	I'll tell her no...
context: Is it all right if I ask you something?\Is this...\If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit?\Death flags...\I need to get rid of those...\I'll tell her no... response:	Wait... No, I don't know why, but that's not it.
context: Is this...\If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit?\Death flags...\I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it. response:	I don't need to tell her no.
context: If we're able to get out of here safely,\would you promise we'll become\brother and sister in spirit?\Death flags...\I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no. response:	Kurumiko,
context: would you promise we'll become\brother and sister in spirit?\Death flags...\I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko, response:	let's become real brothers and sisters,
context: brother and sister in spirit?\Death flags...\I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters, response:	not something in spirit.
context: Death flags...\I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters,\not something in spirit. response:	Onii-san?
context: I need to get rid of those...\I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters,\not something in spirit.\Onii-san? response:	Is this the power of the story flag?
context: I'll tell her no...\Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters,\not something in spirit.\Onii-san?\Is this the power of the story flag? response:	Yes.
context: Wait... No, I don't know why, but that's not it.\I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters,\not something in spirit.\Onii-san?\Is this the power of the story flag?\Yes. response:	I'll do my best to be your sister.
context: I don't need to tell her no.\Kurumiko,\let's become real brothers and sisters,\not something in spirit.\Onii-san?\Is this the power of the story flag?\Yes.\I'll do my best to be your sister. response:	I don't have to worry about anything
context: Kurumiko,\let's become real brothers and sisters,\not something in spirit.\Onii-san?\Is this the power of the story flag?\Yes.\I'll do my best to be your sister.\I don't have to worry about anything response:	having a nice brother like you.
context: let's become real brothers and sisters,\not something in spirit.\Onii-san?\Is this the power of the story flag?\Yes.\I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you. response:	I'm happy with just you as my brother.
context: not something in spirit.\Onii-san?\Is this the power of the story flag?\Yes.\I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother. response:	Why are they coming up like that?!
context: Onii-san?\Is this the power of the story flag?\Yes.\I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?! response:	Fine...
context: Is this the power of the story flag?\Yes.\I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?!\Fine... response:	Come with me to Hatagaya Academy!
context: Yes.\I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy! response:	Huh?
context: I'll do my best to be your sister.\I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy!\Huh? response:	There's a middle school dorm there!
context: I don't have to worry about anything\having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there! response:	I'm sure we can do something about the tuition!
context: having a nice brother like you.\I'm happy with just you as my brother.\Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition! response:	Also...
context: I'm happy with just you as my brother.\Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also... response:	everyone there helped me.
context: Why are they coming up like that?!\Fine...\Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also...\everyone there helped me. response:	I want to help you this time.
context: Fine...\Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also...\everyone there helped me.\I want to help you this time. response:	I guess you might not want to go, but...
context: Come with me to Hatagaya Academy!\Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also...\everyone there helped me.\I want to help you this time.\I guess you might not want to go, but... response:	No, that's not true.
context: Huh?\There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also...\everyone there helped me.\I want to help you this time.\I guess you might not want to go, but...\No, that's not true. response:	Huh?
context: There's a middle school dorm there!\I'm sure we can do something about the tuition!\Also...\everyone there helped me.\I want to help you this time.\I guess you might not want to go, but...\No, that's not true.\Huh? response:	Wh-What's that?
context: I'm sure we can do something about the tuition!\Also...\everyone there helped me.\I want to help you this time.\I guess you might not want to go, but...\No, that's not true.\Huh?\Wh-What's that? response:	Huh?
context: Also...\everyone there helped me.\I want to help you this time.\I guess you might not want to go, but...\No, that's not true.\Huh?\Wh-What's that?\Huh? response:	Mimori-san told me that it would be good to surprise people like this,
context: everyone there helped me.\I want to help you this time.\I guess you might not want to go, but...\No, that's not true.\Huh?\Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this, response:	Don't do stuff like that!
context: I want to help you this time.\I guess you might not want to go, but...\No, that's not true.\Huh?\Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that! response:	Someone came to save us?
context: I guess you might not want to go, but...\No, that's not true.\Huh?\Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us? response:	Or should we be saving her instead?
context: No, that's not true.\Huh?\Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead? response:	I think she's
context: Huh?\Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead?\I think she's response:	beyond our help.
context: Wh-What's that?\Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead?\I think she's\beyond our help. response:	This is Ruri.
context: Huh?\Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead?\I think she's\beyond our help.\This is Ruri. response:	I've found Souta-san.
context: Mimori-san told me that it would be good to surprise people like this,\Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead?\I think she's\beyond our help.\This is Ruri.\I've found Souta-san. response:	I'm so glad...
context: Don't do stuff like that!\Someone came to save us?\Or should we be saving her instead?\I think she's\beyond our help.\This is Ruri.\I've found Souta-san.\I'm so glad... response:	I was so worried when I
context: Someone came to save us?\Or should we be saving her instead?\I think she's\beyond our help.\This is Ruri.\I've found Souta-san.\I'm so glad...\I was so worried when I response:	found out he was missing...
context: Or should we be saving her instead?\I think she's\beyond our help.\This is Ruri.\I've found Souta-san.\I'm so glad...\I was so worried when I\found out he was missing... response:	Would you like me to rescue you?
context: I think she's\beyond our help.\This is Ruri.\I've found Souta-san.\I'm so glad...\I was so worried when I\found out he was missing...\Would you like me to rescue you? response:	Yes or no?
context: beyond our help.\This is Ruri.\I've found Souta-san.\I'm so glad...\I was so worried when I\found out he was missing...\Would you like me to rescue you?\Yes or no? response:	Yes.
context: This is Ruri.\I've found Souta-san.\I'm so glad...\I was so worried when I\found out he was missing...\Would you like me to rescue you?\Yes or no?\Yes. response:	Is it really okay for me to go with you?
context: I've found Souta-san.\I'm so glad...\I was so worried when I\found out he was missing...\Would you like me to rescue you?\Yes or no?\Yes.\Is it really okay for me to go with you? response:	Yeah, I have to introduce you to everyone, though.
context: I'm so glad...\I was so worried when I\found out he was missing...\Would you like me to rescue you?\Yes or no?\Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though. response:	Yeah.
context: I was so worried when I\found out he was missing...\Would you like me to rescue you?\Yes or no?\Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah. response:	Roar! Gawo!
context: found out he was missing...\Would you like me to rescue you?\Yes or no?\Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo! response:	Do you two know each other?
context: Would you like me to rescue you?\Yes or no?\Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo!\Do you two know each other? response:	You noticed?
context: Yes or no?\Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo!\Do you two know each other?\You noticed? response:	It's kind of like friends of friends just kind of sat down with you,
context: Yes.\Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo!\Do you two know each other?\You noticed?\It's kind of like friends of friends just kind of sat down with you, response:	and it's kind of awkward.
context: Is it really okay for me to go with you?\Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo!\Do you two know each other?\You noticed?\It's kind of like friends of friends just kind of sat down with you,\and it's kind of awkward. response:	W-Well, I guess you'll have to watch the next episode to see.
context: Yeah, I have to introduce you to everyone, though.\Yeah.\Roar! Gawo!\Do you two know each other?\You noticed?\It's kind of like friends of friends just kind of sat down with you,\and it's kind of awkward.\W-Well, I guess you'll have to watch the next episode to see. response:	I guess we just had the you did a good job on the preview flag.
