context: (Where did that even come from, right?) response:	I decided I'm going to confess to my crush.
context: So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot. response:	Sorry, I didn't see anything!
context: Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything! response:	No, that was Nanase...
context: Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase... response:	I'm terrible.
context: Well...\I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible. response:	I'm seriously terrible.
context: I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible.\I'm seriously terrible. response:	Yuki, can you take these apples to Nanase-san's place?
context: No, actually, it's because I'm shy.\I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place? response:	No way!
context: I'm such an idiot.\Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way! response:	You go, Mom.
context: Such an idiot.\Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom. response:	What's the matter with you?
context: Sorry, I didn't see anything!\No, that was Nanase...\I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom.\What's the matter with you? response:	Did you get in a fight with Kaoru-chan?
context: No, that was Nanase...\I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan? response:	We didn't, but she kind of hates me.
context: I'm terrible.\I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me. response:	What?
context: I'm seriously terrible.\Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What? response:	I thought Kaoru-chan had a crush on you.
context: Yuki, can you take these apples to Nanase-san's place?\No way!\You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What?\I thought Kaoru-chan had a crush on you. response:	Wait, was this still a secret?
context: No way!\You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What?\I thought Kaoru-chan had a crush on you.\Wait, was this still a secret? response:	Sorry, forget I said that.
context: You go, Mom.\What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What?\I thought Kaoru-chan had a crush on you.\Wait, was this still a secret?\Sorry, forget I said that. response:	Uh...
context: What's the matter with you?\Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What?\I thought Kaoru-chan had a crush on you.\Wait, was this still a secret?\Sorry, forget I said that.\Uh... response:	Next episode: We Don't Need Girls.
context: Did you get in a fight with Kaoru-chan?\We didn't, but she kind of hates me.\What?\I thought Kaoru-chan had a crush on you.\Wait, was this still a secret?\Sorry, forget I said that.\Uh...\Next episode: We Don't Need Girls. response:	We Don't Need Girls
