context: I'm sorry. response:	I'm sorry, Tanaka-san.
context: Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance. response:	You can slow us down. That's okay.
context: So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay. response:	But to make up for those things...
context: Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things... response:	That's why you have your team and your senpais.
context: Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais. response:	Oh!
context: You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais.\Oh! response:	Go on. Call me Tanaka-senpai.
context: Listen to me. In volleyball,\everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai. response:	Tanaka-senpai.
context: everybody on this side of the net is your ally.\It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai. response:	Once more.
context: It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.\You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more. response:	He just wants to be called senpai.
context: You can slow us down. That's okay.\But to make up for those things...\That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more.\He just wants to be called senpai. response:	Tanaka-senpai.
context: But to make up for those things...\That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more.\He just wants to be called senpai.\Tanaka-senpai. response:	Yeah, but Tanaka was really helpful just now.
context: That's why you have your team and your senpais.\Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more.\He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now. response:	His speech was totally effective because he seems to have
context: Oh!\Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more.\He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have response:	no ulterior motive.
context: Go on. Call me Tanaka-senpai.\Tanaka-senpai.\Once more.\He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive. response:	Karasuno Aoba Johsai
context: Tanaka-senpai.\Once more.\He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai response:	What's this?
context: Once more.\He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai\What's this? response:	I hear it's a practice match.
context: He just wants to be called senpai.\Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai\What's this?\I hear it's a practice match. response:	The second set is about to start.
context: Tanaka-senpai.\Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai\What's this?\I hear it's a practice match.\The second set is about to start. response:	Hey, teach me later how to serve to the back of the head.
context: Yeah, but Tanaka was really helpful just now.\His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai\What's this?\I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head. response:	Teach me later, too.
context: His speech was totally effective because he seems to have\no ulterior motive.\Karasuno Aoba Johsai\What's this?\I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too. response:	Ennoshita, nice serve.
context: no ulterior motive.\Karasuno Aoba Johsai\What's this?\I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve. response:	You'll do the same as in the three-on-three match.
context: Karasuno Aoba Johsai\What's this?\I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match. response:	You go in max speed and jump and swing where there is no blocker.
context: What's this?\I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker. response:	Just be careful you don't bump into other spikers.
context: I hear it's a practice match.\The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers. response:	Yeah.
context: The second set is about to start.\Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah. response:	Kunimi.
context: Hey, teach me later how to serve to the back of the head.\Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah.\Kunimi. response:	Kageyama, cover.
context: Teach me later, too.\Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah.\Kunimi.\Kageyama, cover. response:	Yes.
context: Ennoshita, nice serve.\You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah.\Kunimi.\Kageyama, cover.\Yes. response:	Left, go forward.
context: You'll do the same as in the three-on-three match.\You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah.\Kunimi.\Kageyama, cover.\Yes.\Left, go forward. response:	Right.
context: You go in max speed and jump and swing where there is no blocker.\Just be careful you don't bump into other spikers.\Yeah.\Kunimi.\Kageyama, cover.\Yes.\Left, go forward.\Right. response:	There's no quick...maybe it'll be open, from left or right...
context: Just be careful you don't bump into other spikers.\Yeah.\Kunimi.\Kageyama, cover.\Yes.\Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right... response:	What?
context: Yeah.\Kunimi.\Kageyama, cover.\Yes.\Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right...\What? response:	A quick?
context: Kunimi.\Kageyama, cover.\Yes.\Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right...\What?\A quick? response:	What?
context: Kageyama, cover.\Yes.\Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right...\What?\A quick?\What? response:	It didn't hit my hand.
context: Yes.\Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right...\What?\A quick?\What?\It didn't hit my hand. response:	They do quick?
context: Left, go forward.\Right.\There's no quick...maybe it'll be open, from left or right...\What?\A quick?\What?\It didn't hit my hand.\They do quick? response:	Or was that just a bluff?
context: Right.\There's no quick...maybe it'll be open, from left or right...\What?\A quick?\What?\It didn't hit my hand.\They do quick?\Or was that just a bluff? response:	Either way...
context: There's no quick...maybe it'll be open, from left or right...\What?\A quick?\What?\It didn't hit my hand.\They do quick?\Or was that just a bluff?\Either way... response:	If you can't spike a ball like that, the King will get mad.
context: What?\A quick?\What?\It didn't hit my hand.\They do quick?\Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad. response:	Hinata.
context: A quick?\What?\It didn't hit my hand.\They do quick?\Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad.\Hinata. response:	You see?
context: What?\It didn't hit my hand.\They do quick?\Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad.\Hinata.\You see? response:	My bad. That toss was too high.
context: It didn't hit my hand.\They do quick?\Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad.\Hinata.\You see?\My bad. That toss was too high. response:	Kageyama...
context: They do quick?\Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad.\Hinata.\You see?\My bad. That toss was too high.\Kageyama... response:	I'll try to forgive you.
context: Or was that just a bluff?\Either way...\If you can't spike a ball like that, the King will get mad.\Hinata.\You see?\My bad. That toss was too high.\Kageyama...\I'll try to forgive you. response:	Ouch! Ouch! Kageyama, I'll go bald.
context: Either way...\If you can't spike a ball like that, the King will get mad.\Hinata.\You see?\My bad. That toss was too high.\Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald. response:	One point.
context: If you can't spike a ball like that, the King will get mad.\Hinata.\You see?\My bad. That toss was too high.\Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point. response:	Nice serve.
context: Hinata.\You see?\My bad. That toss was too high.\Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve. response:	All right.
context: You see?\My bad. That toss was too high.\Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve.\All right. response:	All right.
context: My bad. That toss was too high.\Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve.\All right.\All right. response:	The right and setter moved.
context: Kageyama...\I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve.\All right.\All right.\The right and setter moved. response:	Bring it.
context: I'll try to forgive you.\Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve.\All right.\All right.\The right and setter moved.\Bring it. response:	The left is waiting.
context: Ouch! Ouch! Kageyama, I'll go bald.\One point.\Nice serve.\All right.\All right.\The right and setter moved.\Bring it.\The left is waiting. response:	Who will Kageyama use?
context: One point.\Nice serve.\All right.\All right.\The right and setter moved.\Bring it.\The left is waiting.\Who will Kageyama use? response:	Now. Right there.
context: Nice serve.\All right.\All right.\The right and setter moved.\Bring it.\The left is waiting.\Who will Kageyama use?\Now. Right there. response:	Oh. Huh?
context: All right.\All right.\The right and setter moved.\Bring it.\The left is waiting.\Who will Kageyama use?\Now. Right there.\Oh. Huh? response:	Yes.
context: All right.\The right and setter moved.\Bring it.\The left is waiting.\Who will Kageyama use?\Now. Right there.\Oh. Huh?\Yes. response:	Yes.
context: The right and setter moved.\Bring it.\The left is waiting.\Who will Kageyama use?\Now. Right there.\Oh. Huh?\Yes.\Yes. response:	Yes.
context: Bring it.\The left is waiting.\Who will Kageyama use?\Now. Right there.\Oh. Huh?\Yes.\Yes.\Yes. response:	There it is, the freak toss-and-spike.
context: The left is waiting.\Who will Kageyama use?\Now. Right there.\Oh. Huh?\Yes.\Yes.\Yes.\There it is, the freak toss-and-spike. response:	Did you see that? That was fast.
context: Who will Kageyama use?\Now. Right there.\Oh. Huh?\Yes.\Yes.\Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast. response:	Hinata, Kageyama.
context: Now. Right there.\Oh. Huh?\Yes.\Yes.\Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama. response:	One-two...
context: Oh. Huh?\Yes.\Yes.\Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama.\One-two... response:	Yeah!
context: Yes.\Yes.\Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama.\One-two...\Yeah! response:	It's like team spirit!
context: Yes.\Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama.\One-two...\Yeah!\It's like team spirit! response:	Huh?
context: Yes.\There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama.\One-two...\Yeah!\It's like team spirit!\Huh? response:	Not like. It's a for real.
context: There it is, the freak toss-and-spike.\Did you see that? That was fast.\Hinata, Kageyama.\One-two...\Yeah!\It's like team spirit!\Huh?\Not like. It's a for real. response:	Right, right.
context: Did you see that? That was fast.\Hinata, Kageyama.\One-two...\Yeah!\It's like team spirit!\Huh?\Not like. It's a for real.\Right, right. response:	Nice toss, Kageyama.
context: Hinata, Kageyama.\One-two...\Yeah!\It's like team spirit!\Huh?\Not like. It's a for real.\Right, right.\Nice toss, Kageyama. response:	Thanks.
context: One-two...\Yeah!\It's like team spirit!\Huh?\Not like. It's a for real.\Right, right.\Nice toss, Kageyama.\Thanks. response:	Hey, does that shrimp do fast attacks?
context: Yeah!\It's like team spirit!\Huh?\Not like. It's a for real.\Right, right.\Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks? response:	Let's do another one.
context: It's like team spirit!\Huh?\Not like. It's a for real.\Right, right.\Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one. response:	Yup.
context: Huh?\Not like. It's a for real.\Right, right.\Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one.\Yup. response:	He's changed from the first set.
context: Not like. It's a for real.\Right, right.\Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one.\Yup.\He's changed from the first set. response:	Good, lost your cool? Lost your cool?
context: Right, right.\Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one.\Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool? response:	You'd better keep your eyes on Hinata.
context: Nice toss, Kageyama.\Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one.\Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata. response:	Hinata is back in action.
context: Thanks.\Hey, does that shrimp do fast attacks?\Let's do another one.\Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action. response:	Time for a counterattack.
context: Hey, does that shrimp do fast attacks?\Let's do another one.\Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack. response:	Karasuno Aoba Johsai
context: Let's do another one.\Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai response:	Chance ball.
context: Yup.\He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai\Chance ball. response:	All right.
context: He's changed from the first set.\Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai\Chance ball.\All right. response:	If I know it's coming...
context: Good, lost your cool? Lost your cool?\You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai\Chance ball.\All right.\If I know it's coming... response:	there's nothing to fear.
context: You'd better keep your eyes on Hinata.\Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai\Chance ball.\All right.\If I know it's coming...\there's nothing to fear. response:	Oh, yeah?
context: Hinata is back in action.\Time for a counterattack.\Karasuno Aoba Johsai\Chance ball.\All right.\If I know it's coming...\there's nothing to fear.\Oh, yeah? response:	I was waiting for this.
context: Time for a counterattack.\Karasuno Aoba Johsai\Chance ball.\All right.\If I know it's coming...\there's nothing to fear.\Oh, yeah?\I was waiting for this. response:	Damn. The shrimp was just a decoy.
context: Karasuno Aoba Johsai\Chance ball.\All right.\If I know it's coming...\there's nothing to fear.\Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy. response:	I thought it was coming to me.
context: Chance ball.\All right.\If I know it's coming...\there's nothing to fear.\Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me. response:	How do you like me now, turnip-kun?
context: All right.\If I know it's coming...\there's nothing to fear.\Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun? response:	I told you we'd get you in the match.
context: If I know it's coming...\there's nothing to fear.\Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match. response:	I thought I was going to spike it, and said, Oh, yeah?
context: there's nothing to fear.\Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah? response:	I'm so embarrassed.
context: Oh, yeah?\I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed. response:	That's how it's supposed to be.
context: I was waiting for this.\Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be. response:	You jumped for real, so the opponents reacted for real.
context: Damn. The shrimp was just a decoy.\I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real. response:	That's how it is?
context: I thought it was coming to me.\How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is? response:	That's how it is.
context: How do you like me now, turnip-kun?\I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is. response:	Damn.
context: I told you we'd get you in the match.\I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is.\Damn. response:	Don't sweat it, Kindaichi.
context: I thought I was going to spike it, and said, Oh, yeah?\I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is.\Damn.\Don't sweat it, Kindaichi. response:	We have our attack strategy. Don't let them get to you.
context: I'm so embarrassed.\That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is.\Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you. response:	Right.
context: That's how it's supposed to be.\You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is.\Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right. response:	I'm just a bystander and I can see how the blockers disperse.
context: You jumped for real, so the opponents reacted for real.\That's how it is?\That's how it is.\Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse. response:	I didn't know Karasuno had such a strong team.
context: That's how it is?\That's how it is.\Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team. response:	Hinata, you idiot.
context: That's how it is.\Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot. response:	But they make a lot of mistakes, too.
context: Damn.\Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too. response:	Huddle.
context: Don't sweat it, Kindaichi.\We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle. response:	Right.
context: We have our attack strategy. Don't let them get to you.\Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle.\Right. response:	What's the matter, Hinata?
context: Right.\I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle.\Right.\What's the matter, Hinata? response:	When I entered a tournament for the first time,
context: I'm just a bystander and I can see how the blockers disperse.\I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle.\Right.\What's the matter, Hinata?\When I entered a tournament for the first time, response:	I thought I had to do everything right all by myself.
context: I didn't know Karasuno had such a strong team.\Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle.\Right.\What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself. response:	But now, there are players who are way better than me all around me.
context: Hinata, you idiot.\But they make a lot of mistakes, too.\Huddle.\Right.\What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me. response:	So all I can do now is believe in them, and jump.
context: But they make a lot of mistakes, too.\Huddle.\Right.\What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump. response:	I didn't have to overthink anything in the first place.
context: Huddle.\Right.\What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place. response:	You're late.
context: Right.\What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late. response:	But it's believing and jumping that are your powerful weapons.
context: What's the matter, Hinata?\When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons. response:	Hey, Kindaichi. Kageyama isn't like you said.
context: When I entered a tournament for the first time,\I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said. response:	I wasn't expecting that, either. I can't believe there's a spiker
context: I thought I had to do everything right all by myself.\But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker response:	who can synch with his reckless tosses.
context: But now, there are players who are way better than me all around me.\So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses. response:	I don't think so.
context: So all I can do now is believe in them, and jump.\I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so. response:	5 isn't looking at the ball at all.
context: I didn't have to overthink anything in the first place.\You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all. response:	Coach, what do you mean?
context: You're late.\But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean? response:	I think Kageyama pinpoint-tossed the ball
context: But it's believing and jumping that are your powerful weapons.\Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball response:	directly where he was about to swing.
context: Hey, Kindaichi. Kageyama isn't like you said.\I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing. response:	Is that kind of thing possible?
context: I wasn't expecting that, either. I can't believe there's a spiker\who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible? response:	Kageyama? Matching someone else?
context: who can synch with his reckless tosses.\I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else? response:	That can only mean that 5 has the ability
context: I don't think so.\5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability response:	to make that self-centered and prideful
context: 5 isn't looking at the ball at all.\Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful response:	Wanna drink? Oh, sorry. Your face is lower than I thought...
context: Coach, what do you mean?\I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought... response:	Kageyama do what he's been doing.
context: I think Kageyama pinpoint-tossed the ball\directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing. response:	What's amazing is that he jumps believing in Kageyama 100.
context: directly where he was about to swing.\Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100. response:	He believes that's where the ball will come.
context: Is that kind of thing possible?\Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come. response:	If they get past your block, receive solidly.
context: Kageyama? Matching someone else?\That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly. response:	You're all the best members of our team.
context: That can only mean that 5 has the ability\to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team. response:	Show your pride.
