context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls!\Professor, is this okay?\We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that! response:	Well, isn't that funny. The new prey smells different.
context: Cayenne! It's really you!\Look! Girls!\Professor, is this okay?\We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different. response:	We'll catch him in a pincer attack!
context: Look! Girls!\Professor, is this okay?\We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack! response:	Got it! Don't screw up!
context: Professor, is this okay?\We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up! response:	Hold still already!
context: We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already! response:	Damn, he's tough!
context: The boys and girls together in Union.\No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already!\Damn, he's tough! response:	Stupid boys! Get out of our way!
context: No matter how close they get, they are doomed to never touch.\The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way! response:	What'd you say?
context: The barrier of chastity, the Guize Stones will see to that!\Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say? response:	Are they even trying to cooperate?
context: Well, isn't that funny. The new prey smells different.\We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate? response:	Not likely.
context: We'll catch him in a pincer attack!\Got it! Don't screw up!\Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate?\Not likely. response:	This is their first time.
context: Got it! Don't screw up!\Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate?\Not likely.\This is their first time. response:	What is it doing?
context: Hold still already!\Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate?\Not likely.\This is their first time.\What is it doing? response:	Get us down, Mix!
context: Damn, he's tough!\Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate?\Not likely.\This is their first time.\What is it doing?\Get us down, Mix! response:	Roger!
context: Stupid boys! Get out of our way!\What'd you say?\Are they even trying to cooperate?\Not likely.\This is their first time.\What is it doing?\Get us down, Mix!\Roger! response:	Are you okay, Mikono?
context: What'd you say?\Are they even trying to cooperate?\Not likely.\This is their first time.\What is it doing?\Get us down, Mix!\Roger!\Are you okay, Mikono? response:	Amata! You're bleeding!
context: Are they even trying to cooperate?\Not likely.\This is their first time.\What is it doing?\Get us down, Mix!\Roger!\Are you okay, Mikono?\Amata! You're bleeding! response:	Don't worry about it.
context: Not likely.\This is their first time.\What is it doing?\Get us down, Mix!\Roger!\Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it. response:	But...
context: This is their first time.\What is it doing?\Get us down, Mix!\Roger!\Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it.\But... response:	This is just my body... it's nothing...
context: What is it doing?\Get us down, Mix!\Roger!\Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it.\But...\This is just my body... it's nothing... response:	I'd rather my body get hurt... than my heart...
context: Get us down, Mix!\Roger!\Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it.\But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart... response:	Type-M, do you read? Come back us up!
context: Roger!\Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it.\But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up! response:	Not happening! Malloy's taken serious damage!
context: Are you okay, Mikono?\Amata! You're bleeding!\Don't worry about it.\But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage! response:	His machine's out of power!
context: Amata! You're bleeding!\Don't worry about it.\But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power! response:	You're pathetic! You boys can't even
context: Don't worry about it.\But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even response:	Watch out!
context: But...\This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even\Watch out! response:	It's on all fours!
context: This is just my body... it's nothing...\I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even\Watch out!\It's on all fours! response:	That's...
context: I'd rather my body get hurt... than my heart...\Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even\Watch out!\It's on all fours!\That's... response:	What's going on?
context: Type-M, do you read? Come back us up!\Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even\Watch out!\It's on all fours!\That's...\What's going on? response:	Huh?
context: Not happening! Malloy's taken serious damage!\His machine's out of power!\You're pathetic! You boys can't even\Watch out!\It's on all fours!\That's...\What's going on?\Huh? response:	Mikono!
context: His machine's out of power!\You're pathetic! You boys can't even\Watch out!\It's on all fours!\That's...\What's going on?\Huh?\Mikono! response:	Amata! Stop! You're hurt!
context: You're pathetic! You boys can't even\Watch out!\It's on all fours!\That's...\What's going on?\Huh?\Mikono!\Amata! Stop! You're hurt! response:	Mikono!
context: Watch out!\It's on all fours!\That's...\What's going on?\Huh?\Mikono!\Amata! Stop! You're hurt!\Mikono! response:	Their aura levels are dropping sharply!
context: It's on all fours!\That's...\What's going on?\Huh?\Mikono!\Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply! response:	What?
context: That's...\What's going on?\Huh?\Mikono!\Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply!\What? response:	The Unions are breaking!
context: What's going on?\Huh?\Mikono!\Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply!\What?\The Unions are breaking! response:	The Aquarias!
context: Huh?\Mikono!\Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply!\What?\The Unions are breaking!\The Aquarias! response:	I can't hold back any longer.
context: Mikono!\Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply!\What?\The Unions are breaking!\The Aquarias!\I can't hold back any longer. response:	What?
context: Amata! Stop! You're hurt!\Mikono!\Their aura levels are dropping sharply!\What?\The Unions are breaking!\The Aquarias!\I can't hold back any longer.\What? response:	Mix! Sazanka!
context: Mikono!\Their aura levels are dropping sharply!\What?\The Unions are breaking!\The Aquarias!\I can't hold back any longer.\What?\Mix! Sazanka! response:	Andy!
context: Their aura levels are dropping sharply!\What?\The Unions are breaking!\The Aquarias!\I can't hold back any longer.\What?\Mix! Sazanka!\Andy! response:	What are you doing? Who told you to come back?
context: What?\The Unions are breaking!\The Aquarias!\I can't hold back any longer.\What?\Mix! Sazanka!\Andy!\What are you doing? Who told you to come back? response:	I dunno! I got pulled back here!
context: The Unions are breaking!\The Aquarias!\I can't hold back any longer.\What?\Mix! Sazanka!\Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here! response:	I can still fight!
context: The Aquarias!\I can't hold back any longer.\What?\Mix! Sazanka!\Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight! response:	Mix?
context: I can't hold back any longer.\What?\Mix! Sazanka!\Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight!\Mix? response:	The Aquarias ejected the Elements on its own?
context: What?\Mix! Sazanka!\Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight!\Mix?\The Aquarias ejected the Elements on its own? response:	I'm sorry, Mikono.
context: Mix! Sazanka!\Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight!\Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono. response:	Amata? Sorry for what?
context: Andy!\What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight!\Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what? response:	I just wanted to protect you!
context: What are you doing? Who told you to come back?\I dunno! I got pulled back here!\I can still fight!\Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you! response:	I'm sorry!
context: I dunno! I got pulled back here!\I can still fight!\Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you!\I'm sorry! response:	Fly!
context: I can still fight!\Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you!\I'm sorry!\Fly! response:	The Wings of the Sun!
context: Mix?\The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you!\I'm sorry!\Fly!\The Wings of the Sun! response:	Vital signs from inside Vector Z!
context: The Aquarias ejected the Elements on its own?\I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you!\I'm sorry!\Fly!\The Wings of the Sun!\Vital signs from inside Vector Z! response:	Someone snuck in?
context: I'm sorry, Mikono.\Amata? Sorry for what?\I just wanted to protect you!\I'm sorry!\Fly!\The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in? response:	Did a terrorist hijack the Vector?
context: Amata? Sorry for what?\I just wanted to protect you!\I'm sorry!\Fly!\The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector? response:	Is that a boy and a girl? But how?
context: I just wanted to protect you!\I'm sorry!\Fly!\The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how? response:	Quickly! Eject them!
context: I'm sorry!\Fly!\The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them! response:	Yes, ma'am!
context: Fly!\The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am! response:	I can't! Their life energy has merged with the Vector's power!
context: The Wings of the Sun!\Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power! response:	What if those two were called by...
context: Vital signs from inside Vector Z!\Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by... response:	Aquarion?
context: Someone snuck in?\Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion? response:	Impossible!
context: Did a terrorist hijack the Vector?\Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion?\Impossible! response:	Where are we?
context: Is that a boy and a girl? But how?\Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion?\Impossible!\Where are we? response:	This must be a Vector cockpit.
context: Quickly! Eject them!\Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion?\Impossible!\Where are we?\This must be a Vector cockpit. response:	How?
context: Yes, ma'am!\I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion?\Impossible!\Where are we?\This must be a Vector cockpit.\How? response:	I don't know how...
context: I can't! Their life energy has merged with the Vector's power!\What if those two were called by...\Aquarion?\Impossible!\Where are we?\This must be a Vector cockpit.\How?\I don't know how... response:	But I feel like I know
context: What if those two were called by...\Aquarion?\Impossible!\Where are we?\This must be a Vector cockpit.\How?\I don't know how...\But I feel like I know response:	what I have to do!
context: Aquarion?\Impossible!\Where are we?\This must be a Vector cockpit.\How?\I don't know how...\But I feel like I know\what I have to do! response:	Amata?
context: Impossible!\Where are we?\This must be a Vector cockpit.\How?\I don't know how...\But I feel like I know\what I have to do!\Amata? response:	We've gotta stop him!
context: Where are we?\This must be a Vector cockpit.\How?\I don't know how...\But I feel like I know\what I have to do!\Amata?\We've gotta stop him! response:	I know already!
context: This must be a Vector cockpit.\How?\I don't know how...\But I feel like I know\what I have to do!\Amata?\We've gotta stop him!\I know already! response:	Shatter the name of falsehood.
context: How?\I don't know how...\But I feel like I know\what I have to do!\Amata?\We've gotta stop him!\I know already!\Shatter the name of falsehood. response:	And as it shatters, speak.
context: I don't know how...\But I feel like I know\what I have to do!\Amata?\We've gotta stop him!\I know already!\Shatter the name of falsehood.\And as it shatters, speak. response:	Speak the name of truth!
context: But I feel like I know\what I have to do!\Amata?\We've gotta stop him!\I know already!\Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth! response:	And so, you will inherit a new legend!
context: what I have to do!\Amata?\We've gotta stop him!\I know already!\Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend! response:	The name of truth...
context: Amata?\We've gotta stop him!\I know already!\Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend!\The name of truth... response:	The name of truth?
context: We've gotta stop him!\I know already!\Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend!\The name of truth...\The name of truth? response:	Yes. I have to speak the name of truth.
context: I know already!\Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend!\The name of truth...\The name of truth?\Yes. I have to speak the name of truth. response:	Genesis Union!
context: Shatter the name of falsehood.\And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend!\The name of truth...\The name of truth?\Yes. I have to speak the name of truth.\Genesis Union! response:	GO! Aquarion!
context: And as it shatters, speak.\Speak the name of truth!\And so, you will inherit a new legend!\The name of truth...\The name of truth?\Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion! response:	What?
context: Speak the name of truth!\And so, you will inherit a new legend!\The name of truth...\The name of truth?\Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion!\What? response:	Did he say Aquarion?
context: And so, you will inherit a new legend!\The name of truth...\The name of truth?\Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion!\What?\Did he say Aquarion? response:	What does that mean?
context: The name of truth...\The name of truth?\Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion!\What?\Did he say Aquarion?\What does that mean? response:	Aquarion. He knows the forbidden name...
context: The name of truth?\Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion!\What?\Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name... response:	No! Stop! This Union...
context: Yes. I have to speak the name of truth.\Genesis Union!\GO! Aquarion!\What?\Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union... response:	I've never felt like this before...
context: Genesis Union!\GO! Aquarion!\What?\Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before... response:	Commander, what is Aquarion? Tell me!
context: GO! Aquarion!\What?\Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me! response:	It's all right! They have the Guize Stones!
context: What?\Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones! response:	They can't complete the forbidden Union!
context: Did he say Aquarion?\What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union! response:	I'm being torn apart!
context: What does that mean?\Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart! response:	If this keeps up, our rules and our feelings will be torn apart!
context: Aquarion. He knows the forbidden name...\No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart! response:	We'll be torn apart... and then burst!
context: No! Stop! This Union...\I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst! response:	I'm going to burst! Something in me is going to burst...
context: I've never felt like this before...\Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst... response:	It's breaking!
context: Commander, what is Aquarion? Tell me!\It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking! response:	What is that thing?
context: It's all right! They have the Guize Stones!\They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing? response:	Aquarion is... evolving!
context: They can't complete the forbidden Union!\I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing?\Aquarion is... evolving! response:	Aquarion Evol!
context: I'm being torn apart!\If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing?\Aquarion is... evolving!\Aquarion Evol! response:	What's that smell?
context: If this keeps up, our rules and our feelings will be torn apart!\We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing?\Aquarion is... evolving!\Aquarion Evol!\What's that smell? response:	Something smells... awful.
context: We'll be torn apart... and then burst!\I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing?\Aquarion is... evolving!\Aquarion Evol!\What's that smell?\Something smells... awful. response:	The forbidden name, engraved now unto a new body.
context: I'm going to burst! Something in me is going to burst...\It's breaking!\What is that thing?\Aquarion is... evolving!\Aquarion Evol!\What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body. response:	Aquarion Evol!
context: It's breaking!\What is that thing?\Aquarion is... evolving!\Aquarion Evol!\What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol! response:	The legend of the end... is about to begin.
context: What is that thing?\Aquarion is... evolving!\Aquarion Evol!\What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin. response:	Aquarion?
context: Aquarion is... evolving!\Aquarion Evol!\What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin.\Aquarion? response:	My brain is boiling over...
context: Aquarion Evol!\What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin.\Aquarion?\My brain is boiling over... response:	It's pumping through my veins.
context: What's that smell?\Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin.\Aquarion?\My brain is boiling over...\It's pumping through my veins. response:	Now I know what that smell was...
context: Something smells... awful.\The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin.\Aquarion?\My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was... response:	Aquarion Evol?
context: The forbidden name, engraved now unto a new body.\Aquarion Evol!\The legend of the end... is about to begin.\Aquarion?\My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol? response:	Aquarion, the forbidden...
context: Aquarion Evol!\The legend of the end... is about to begin.\Aquarion?\My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden... response:	It's using Vector Z as the head.
context: The legend of the end... is about to begin.\Aquarion?\My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head. response:	Who knew the Aquarias had another form?
context: Aquarion?\My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form? response:	It's filthy!
context: My brain is boiling over...\It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy! response:	You said impure Unions couldn't happen!
context: It's pumping through my veins.\Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen! response:	The seal has been broken.
context: Now I know what that smell was...\Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen!\The seal has been broken. response:	Thanks to those two.
context: Aquarion Evol?\Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two. response:	Amata! What's going on?
context: Aquarion, the forbidden...\It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two.\Amata! What's going on? response:	Are we in Aquarion?
context: It's using Vector Z as the head.\Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two.\Amata! What's going on?\Are we in Aquarion? response:	What does Evol mean?
context: Who knew the Aquarias had another form?\It's filthy!\You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two.\Amata! What's going on?\Are we in Aquarion?\What does Evol mean? response:	Mikono, I...
context: It's filthy!\You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two.\Amata! What's going on?\Are we in Aquarion?\What does Evol mean?\Mikono, I... response:	Mikono! Is that you?
context: You said impure Unions couldn't happen!\The seal has been broken.\Thanks to those two.\Amata! What's going on?\Are we in Aquarion?\What does Evol mean?\Mikono, I...\Mikono! Is that you? response:	Cayenne!
context: The seal has been broken.\Thanks to those two.\Amata! What's going on?\Are we in Aquarion?\What does Evol mean?\Mikono, I...\Mikono! Is that you?\Cayenne! response:	Get away from him!
context: Thanks to those two.\Amata! What's going on?\Are we in Aquarion?\What does Evol mean?\Mikono, I...\Mikono! Is that you?\Cayenne!\Get away from him! response:	Who are you?
context: Amata! What's going on?\Are we in Aquarion?\What does Evol mean?\Mikono, I...\Mikono! Is that you?\Cayenne!\Get away from him!\Who are you? response:	A terrorist who hijacked an Aquaria?
context: Are we in Aquarion?\What does Evol mean?\Mikono, I...\Mikono! Is that you?\Cayenne!\Get away from him!\Who are you?\A terrorist who hijacked an Aquaria? response:	A terrorist?
context: What does Evol mean?\Mikono, I...\Mikono! Is that you?\Cayenne!\Get away from him!\Who are you?\A terrorist who hijacked an Aquaria?\A terrorist? response:	You're wrong!
context: Mikono, I...\Mikono! Is that you?\Cayenne!\Get away from him!\Who are you?\A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong! response:	Amata isn't
context: Mikono! Is that you?\Cayenne!\Get away from him!\Who are you?\A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong!\Amata isn't response:	You be quiet!
context: Cayenne!\Get away from him!\Who are you?\A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong!\Amata isn't\You be quiet! response:	What's going on? A couple of civilians are the head?
context: Get away from him!\Who are you?\A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong!\Amata isn't\You be quiet!\What's going on? A couple of civilians are the head? response:	Professor! Override the Union from headquarters!
context: Who are you?\A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong!\Amata isn't\You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters! response:	We're trying!
context: A terrorist who hijacked an Aquaria?\A terrorist?\You're wrong!\Amata isn't\You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying! response:	Status?
context: A terrorist?\You're wrong!\Amata isn't\You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying!\Status? response:	No good! It just won't respond to our commands!
context: You're wrong!\Amata isn't\You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying!\Status?\No good! It just won't respond to our commands! response:	I've seen this before.
context: Amata isn't\You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying!\Status?\No good! It just won't respond to our commands!\I've seen this before. response:	You have?
context: You be quiet!\What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying!\Status?\No good! It just won't respond to our commands!\I've seen this before.\You have? response:	Mr. Principal! I mean, Commander!
context: What's going on? A couple of civilians are the head?\Professor! Override the Union from headquarters!\We're trying!\Status?\No good! It just won't respond to our commands!\I've seen this before.\You have?\Mr. Principal! I mean, Commander! response:	What is Aquarion?
context: Professor! Override the Union from headquarters!\We're trying!\Status?\No good! It just won't respond to our commands!\I've seen this before.\You have?\Mr. Principal! I mean, Commander!\What is Aquarion? response:	We purposely separated the boys from the girls into Aquaria Type-M and Type-F.
context: We're trying!\Status?\No good! It just won't respond to our commands!\I've seen this before.\You have?\Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F. response:	But now male and female are together as one; a complete being.
context: Status?\No good! It just won't respond to our commands!\I've seen this before.\You have?\Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being. response:	But can a mortal use the weapon of a god?
context: No good! It just won't respond to our commands!\I've seen this before.\You have?\Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god? response:	What's the matter? Done already?
context: I've seen this before.\You have?\Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already? response:	Come on, get up and fight me!
context: You have?\Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me! response:	What are you doing, you moron?
