context: You are one of the Seafolk, correct? response:	What if I am?
context: There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King.\What do you think? response:	Some say he's a fraud
context: Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud response:	He set new overall records in the fitness exam,
context: I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud\He set new overall records in the fitness exam, response:	so his physical ability is solid.
context: First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid. response:	Well, according to rumors, he cheated on the exams, too.
context: and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too. response:	Rumors are just rumors.
context: This Saitama\He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors. response:	No sense in doubting him now.
context: He's the one who finished off the Deep Sea King.\What do you think?\Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now. response:	The bottom line is, he wants to move up.
context: What do you think?\Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up. response:	Why not let him go for now?
context: Some say he's a fraud\He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now? response:	If he's for real, he'll make it in Class B.
context: He set new overall records in the fitness exam,\so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B. response:	But if he's a fake, he'll soon regret it.
context: so his physical ability is solid.\Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it. response:	He is entering a cruel and callous world.
context: Well, according to rumors, he cheated on the exams, too.\Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world. response:	We'll cross that bridge when we must.
context: Rumors are just rumors.\No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must. response:	Promotion to Class B?
context: No sense in doubting him now.\The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B? response:	You interrupted my filming for this?
context: The bottom line is, he wants to move up.\Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this? response:	It's not something that needs my attention.
context: Why not let him go for now?\If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention. response:	This is a decision for the executive committee.
context: If he's for real, he'll make it in Class B.\But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee. response:	Listen.
context: But if he's a fake, he'll soon regret it.\He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee.\Listen. response:	I only want input on managing heroes Class A and above,
context: He is entering a cruel and callous world.\We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above, response:	since they have a strong impact on society.
context: We'll cross that bridge when we must.\Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society. response:	As a hero in the same class,
context: Promotion to Class B?\You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class, response:	if they're inadequate, it hurts my image too.
context: You interrupted my filming for this?\It's not something that needs my attention.\This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too. response:	Especially this last incident
context: It's not something that needs my attention.\This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident response:	It was beyond inadequate it was appalling.
context: This is a decision for the executive committee.\Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling. response:	Don't you agree?
context: Listen.\I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree? response:	Speaking of social impact, the hero now wanting to move up
context: I only want input on managing heroes Class A and above,\since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up response:	is the one who finished off the Deep Sea King.
context: since they have a strong impact on society.\As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King. response:	UNKNOWN HEROES SNATCH VICTORY
context: As a hero in the same class,\if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY response:	Why the sour pusses?
context: if they're inadequate, it hurts my image too.\Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses? response:	That's no way to show off those cute faces!
context: Especially this last incident\It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces! response:	You?!
context: It was beyond inadequate it was appalling.\Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces!\You?! response:	I thought you were in prison!
context: Don't you agree?\Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces!\You?!\I thought you were in prison! response:	I escaped just to see you!
context: Speaking of social impact, the hero now wanting to move up\is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces!\You?!\I thought you were in prison!\I escaped just to see you! response:	Nowit's time for your Angel shots!
context: is the one who finished off the Deep Sea King.\UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces!\You?!\I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots! response:	You guys! You need your meds!
context: UNKNOWN HEROES SNATCH VICTORY\Why the sour pusses?\That's no way to show off those cute faces!\You?!\I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds! response:	A CLASS S FAILURE!
context: Why the sour pusses?\That's no way to show off those cute faces!\You?!\I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE! response:	So I'm Class B now
context: That's no way to show off those cute faces!\You?!\I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now response:	Those tests took long enough.
context: You?!\I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough. response:	Meh, not like I had to be somewhere.
context: I thought you were in prison!\I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere. response:	Something smells good
context: I escaped just to see you!\Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good response:	Assorted oden, please.
context: Nowit's time for your Angel shots!\You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please. response:	All right.
context: You guys! You need your meds!\A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please.\All right. response:	Want a drink?
context: A CLASS S FAILURE!\So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please.\All right.\Want a drink? response:	If you're not drinking, let me buy you a plate.
context: So I'm Class B now\Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please.\All right.\Want a drink?\If you're not drinking, let me buy you a plate. response:	Why?
context: Those tests took long enough.\Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please.\All right.\Want a drink?\If you're not drinking, let me buy you a plate.\Why? response:	That.
context: Meh, not like I had to be somewhere.\Something smells good\Assorted oden, please.\All right.\Want a drink?\If you're not drinking, let me buy you a plate.\Why?\That. response:	You were at the Association?
context: Something smells good\Assorted oden, please.\All right.\Want a drink?\If you're not drinking, let me buy you a plate.\Why?\That.\You were at the Association? response:	Let's celebrate your promotion.
context: Assorted oden, please.\All right.\Want a drink?\If you're not drinking, let me buy you a plate.\Why?\That.\You were at the Association?\Let's celebrate your promotion. response:	Thanks
context: All right.\Want a drink?\If you're not drinking, let me buy you a plate.\Why?\That.\You were at the Association?\Let's celebrate your promotion.\Thanks response:	for giving me a ride.
context: Want a drink?\If you're not drinking, let me buy you a plate.\Why?\That.\You were at the Association?\Let's celebrate your promotion.\Thanks\for giving me a ride. response:	Should I walk?
context: If you're not drinking, let me buy you a plate.\Why?\That.\You were at the Association?\Let's celebrate your promotion.\Thanks\for giving me a ride.\Should I walk? response:	N-No I can handle it
context: Why?\That.\You were at the Association?\Let's celebrate your promotion.\Thanks\for giving me a ride.\Should I walk?\N-No I can handle it response:	Hey, are you scared?
context: That.\You were at the Association?\Let's celebrate your promotion.\Thanks\for giving me a ride.\Should I walk?\N-No I can handle it\Hey, are you scared? response:	You got separated from the Class S hero, Genos, right?
context: You were at the Association?\Let's celebrate your promotion.\Thanks\for giving me a ride.\Should I walk?\N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right? response:	The enemy is threat level Demon.
context: Let's celebrate your promotion.\Thanks\for giving me a ride.\Should I walk?\N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon. response:	A monster so formidable that even if
context: Thanks\for giving me a ride.\Should I walk?\N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if response:	the Class S and Class B heroes all ganged up on him, they'd never win.
context: for giving me a ride.\Should I walk?\N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win. response:	So if you wanna run
context: Should I walk?\N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run response:	Are you Class S too?
context: N-No I can handle it\Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too? response:	No, I'm Class C.
context: Hey, are you scared?\You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too?\No, I'm Class C. response:	Laugh if you want to.
context: You got separated from the Class S hero, Genos, right?\The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too?\No, I'm Class C.\Laugh if you want to. response:	I'm not laughing.
context: The enemy is threat level Demon.\A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too?\No, I'm Class C.\Laugh if you want to.\I'm not laughing. response:	It sure is tough making those weekly quotas for us Class C's
context: A monster so formidable that even if\the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too?\No, I'm Class C.\Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's response:	You're a funny guy.
context: the Class S and Class B heroes all ganged up on him, they'd never win.\So if you wanna run\Are you Class S too?\No, I'm Class C.\Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy. response:	I'm Mumen Rider. A hero, just like you.
context: So if you wanna run\Are you Class S too?\No, I'm Class C.\Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you. response:	Huh?
context: Are you Class S too?\No, I'm Class C.\Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh? response:	Hey! Watch it!
context: No, I'm Class C.\Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it! response:	Oh! You're that guy!
context: Laugh if you want to.\I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it!\Oh! You're that guy! response:	I've been looking for you.
context: I'm not laughing.\It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it!\Oh! You're that guy!\I've been looking for you. response:	I couldn't say everything in my letter.
context: It sure is tough making those weekly quotas for us Class C's\You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it!\Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter. response:	Oh yeah.
context: You're a funny guy.\I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it!\Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter.\Oh yeah. response:	Maybe some mozuku then?
context: I'm Mumen Rider. A hero, just like you.\Huh?\Hey! Watch it!\Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then? response:	Hey! Give us your best mozuku!
context: Huh?\Hey! Watch it!\Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku! response:	Comin' right up.
context: Hey! Watch it!\Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up. response:	Itit approaches!
context: Oh! You're that guy!\I've been looking for you.\I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up.\Itit approaches! response:	Madame Shibabawa? What's wrong?
context: I've been looking for you.\I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong? response:	A violent catastrophe draws near
context: I couldn't say everything in my letter.\Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near response:	Madame Shibabawa! Get a hold of yourself!
context: Oh yeah.\Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself! response:	This is the end!
context: Maybe some mozuku then?\Hey! Give us your best mozuku!\Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end! response:	The Earth is doomed!
context: Hey! Give us your best mozuku!\Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed! response:	NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?
context: Comin' right up.\Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place? response:	NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King!
context: Itit approaches!\Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?\NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King! response:	If I made one misstep, it was not fighting the battle at sea.
context: Madame Shibabawa? What's wrong?\A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?\NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King!\If I made one misstep, it was not fighting the battle at sea. response:	An away game!
context: A violent catastrophe draws near\Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?\NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King!\If I made one misstep, it was not fighting the battle at sea.\An away game! response:	If we'd fought at sea, things would be different!
context: Madame Shibabawa! Get a hold of yourself!\This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?\NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King!\If I made one misstep, it was not fighting the battle at sea.\An away game!\If we'd fought at sea, things would be different! response:	Next time on One-Punch Man: Episode 10, Unparalleled Peril.
context: This is the end!\The Earth is doomed!\NEXT EPISODE: UNPARALLELED PERIL Eh? What is this place?\NEXT EPISODE: UNPARALLELED PERIL I am the Deep Sea King!\If I made one misstep, it was not fighting the battle at sea.\An away game!\If we'd fought at sea, things would be different!\Next time on One-Punch Man: Episode 10, Unparalleled Peril. response:	Really? There's something even more dangerous than me?
