context: THE OBSESSIVE SCIENTIST response:	Long ago, there existed a brilliant young scientist.
context: And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real? response:	Master
context: In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real?\Master response:	You are so
context: That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real?\Master\You are so response:	full of crap!
context: The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real?\Master\You are so\full of crap! response:	Huh?
context: the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real?\Master\You are so\full of crap!\Huh? response:	That is nothing but standard strength training!
context: Human beings are strong because we have the ability to change ourselves.\W-What?\Is this guyfor real?\Master\You are so\full of crap!\Huh?\That is nothing but standard strength training! response:	And it's not even that intense! It's just a normal level!
context: W-What?\Is this guyfor real?\Master\You are so\full of crap!\Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level! response:	II have to get stronger. I didn't ask to study under you just to hear jokes!
context: Is this guyfor real?\Master\You are so\full of crap!\Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes! response:	Master Saitama,
context: Master\You are so\full of crap!\Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama, response:	your power is clearly stronger than what you'd get from just training your body.
context: You are so\full of crap!\Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body. response:	That's right, I want to know your
context: full of crap!\Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your response:	We want to know your true secret!
context: Huh?\That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret! response:	Genos
context: That is nothing but standard strength training!\And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret!\Genos response:	You may not believe me, but that's really all I did.
context: And it's not even that intense! It's just a normal level!\II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret!\Genos\You may not believe me, but that's really all I did. response:	Oh yeah?
context: II have to get stronger. I didn't ask to study under you just to hear jokes!\Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret!\Genos\You may not believe me, but that's really all I did.\Oh yeah? response:	No! Carnage Kabuto!
context: Master Saitama,\your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret!\Genos\You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto! response:	If you don't wanna tell us your secret so be it.
context: your power is clearly stronger than what you'd get from just training your body.\That's right, I want to know your\We want to know your true secret!\Genos\You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it. response:	Stop! You'll go on another rampage!
context: That's right, I want to know your\We want to know your true secret!\Genos\You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage! response:	I bet you aren't stronger than me anyway!
context: We want to know your true secret!\Genos\You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway! response:	But, since you pissed me off,
context: Genos\You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off, response:	I'm gonna annihilate you.
context: You may not believe me, but that's really all I did.\Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you. response:	CARNAGE MODE Carnage Mode!
context: Oh yeah?\No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode! response:	When I get like this I lose control for a whole week
context: No! Carnage Kabuto!\If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week response:	and my lust for death cannot be quelled!
context: If you don't wanna tell us your secret so be it.\Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled! response:	After I kill you, I'll head into town and go on a killing rampage until next Saturday!
context: Stop! You'll go on another rampage!\I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday! response:	If you are indeed a strong hero, then try and stop me!
context: I bet you aren't stronger than me anyway!\But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me! response:	No way it can't be.
context: But, since you pissed me off,\I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be. response:	Master?!
context: I'm gonna annihilate you.\CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?! response:	Dammit. I may have made a horrible mistake.
context: CARNAGE MODE Carnage Mode!\When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?!\Dammit. I may have made a horrible mistake. response:	This guy's in Carnage mode
context: When I get like this I lose control for a whole week\and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode response:	He said he'll be on a rampage for a whole week?
context: and my lust for death cannot be quelled!\After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week? response:	Death, death, death, death, death, death,
context: After I kill you, I'll head into town and go on a killing rampage until next Saturday!\If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death, response:	Death, death, death, death, death!!
context: If you are indeed a strong hero, then try and stop me!\No way it can't be.\Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!! response:	He'll be like this till next Saturday?
context: No way it can't be.\Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday? response:	One whole week from today
context: Master?!\Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today response:	Next Saturday
context: Dammit. I may have made a horrible mistake.\This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today\Next Saturday response:	In other words, today is Saturday too.
context: This guy's in Carnage mode\He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today\Next Saturday\In other words, today is Saturday too. response:	That means...
context: He said he'll be on a rampage for a whole week?\Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today\Next Saturday\In other words, today is Saturday too.\That means... response:	It's all over.
context: Death, death, death, death, death, death,\Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today\Next Saturday\In other words, today is Saturday too.\That means...\It's all over. response:	There's no one in this world that can stop him.
context: Death, death, death, death, death!!\He'll be like this till next Saturday?\One whole week from today\Next Saturday\In other words, today is Saturday too.\That means...\It's all over.\There's no one in this world that can stop him. response:	That means Today is
context: He'll be like this till next Saturday?\One whole week from today\Next Saturday\In other words, today is Saturday too.\That means...\It's all over.\There's no one in this world that can stop him.\That means Today is response:	Bargain day at the supermarket!!
context: One whole week from today\Next Saturday\In other words, today is Saturday too.\That means...\It's all over.\There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!! response:	Who the hell is this guy?
context: Next Saturday\In other words, today is Saturday too.\That means...\It's all over.\There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!!\Who the hell is this guy? response:	I screwed up!!!
context: In other words, today is Saturday too.\That means...\It's all over.\There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!! response:	What is he
context: That means...\It's all over.\There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!!\What is he response:	I'm pretty sure he's upset about this.
context: It's all over.\There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!!\What is he\I'm pretty sure he's upset about this. response:	SATURDAY ONLY!!! GIGANTIC SALE!
context: There's no one in this world that can stop him.\That means Today is\Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!!\What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE! response:	Master, the store closes at 10:00 PM.
context: That means Today is\Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!!\What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM. response:	That is about four hours away. If we really hurry, we can make it.
context: Bargain day at the supermarket!!\Who the hell is this guy?\I screwed up!!!\What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it. response:	I'll make it if I hurry?
context: Who the hell is this guy?\I screwed up!!!\What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry? response:	Yes!
context: I screwed up!!!\What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes! response:	Let's go, Genos!
context: What is he\I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes!\Let's go, Genos! response:	Yes, Master!
context: I'm pretty sure he's upset about this.\SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes!\Let's go, Genos!\Yes, Master! response:	I think I'm done with evolution.
context: SATURDAY ONLY!!! GIGANTIC SALE!\Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes!\Let's go, Genos!\Yes, Master!\I think I'm done with evolution. response:	It appears I am the one who must change.
context: Master, the store closes at 10:00 PM.\That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes!\Let's go, Genos!\Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change. response:	Yes. The on-site investigation is underway.
context: That is about four hours away. If we really hurry, we can make it.\I'll make it if I hurry?\Yes!\Let's go, Genos!\Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway. response:	Yes, that's correct.
context: I'll make it if I hurry?\Yes!\Let's go, Genos!\Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct. response:	Just like the other cases, the area has been thoroughly burnt by intense flames.
context: Yes!\Let's go, Genos!\Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames. response:	Everything points to the young cyborg being responsible for this.
context: Let's go, Genos!\Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this. response:	Yes, understood.
context: Yes, Master!\I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood. response:	Such a devastating amount of power.
context: I think I'm done with evolution.\It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power. response:	Yeah
context: It appears I am the one who must change.\Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power.\Yeah response:	NEXT EPISODE: THE MODERN NINJA Yo, this is Carnage Kabuto. In Japanese my name is Ashura Kabuto,
context: Yes. The on-site investigation is underway.\Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power.\Yeah\NEXT EPISODE: THE MODERN NINJA Yo, this is Carnage Kabuto. In Japanese my name is Ashura Kabuto, response:	NEXT EPISODE: THE MODERN NINJA and the kanji come from Shell, Field Trip and the sanskrit word Aum.
context: Yes, that's correct.\Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power.\Yeah\NEXT EPISODE: THE MODERN NINJA Yo, this is Carnage Kabuto. In Japanese my name is Ashura Kabuto,\NEXT EPISODE: THE MODERN NINJA and the kanji come from Shell, Field Trip and the sanskrit word Aum. response:	NEXT EPISODE: THE MODERN NINJA Whaddaya think? Bah, you don't give a damn!
context: Just like the other cases, the area has been thoroughly burnt by intense flames.\Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power.\Yeah\NEXT EPISODE: THE MODERN NINJA Yo, this is Carnage Kabuto. In Japanese my name is Ashura Kabuto,\NEXT EPISODE: THE MODERN NINJA and the kanji come from Shell, Field Trip and the sanskrit word Aum.\NEXT EPISODE: THE MODERN NINJA Whaddaya think? Bah, you don't give a damn! response:	NEXT EPISODE: THE MODERN NINJA Coming next on One-Punch Man is episode 4, The Modern Ninja.
context: Everything points to the young cyborg being responsible for this.\Yes, understood.\Such a devastating amount of power.\Yeah\NEXT EPISODE: THE MODERN NINJA Yo, this is Carnage Kabuto. In Japanese my name is Ashura Kabuto,\NEXT EPISODE: THE MODERN NINJA and the kanji come from Shell, Field Trip and the sanskrit word Aum.\NEXT EPISODE: THE MODERN NINJA Whaddaya think? Bah, you don't give a damn!\NEXT EPISODE: THE MODERN NINJA Coming next on One-Punch Man is episode 4, The Modern Ninja. response:	NEXT EPISODE: THE MODERN NINJA So the guy is finally gonna show up?
