context: I wonder if I'm useful to the Aria Company? response:	What's with you all of a sudden?
context: Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now.\Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out! response:	That girl...
context: There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now.\Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out!\That girl... response:	She's good!
context: Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now.\Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out!\That girl...\She's good! response:	Daddy!
context: Right!\Okay, you can depart now.\Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out!\That girl...\She's good!\Daddy! response:	Good work! Good work!
context: Okay, you can depart now.\Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out!\That girl...\She's good!\Daddy!\Good work! Good work! response:	And here are today's earnings.
context: Okay! Yes!\The gondola is now departing!\Akari Mizunashi, setting out!\That girl...\She's good!\Daddy!\Good work! Good work!\And here are today's earnings. response:	Be careful on your way to the office, okay?
context: The gondola is now departing!\Akari Mizunashi, setting out!\That girl...\She's good!\Daddy!\Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay? response:	I will. Be careful on your way to the office, okay?
context: Akari Mizunashi, setting out!\That girl...\She's good!\Daddy!\Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay? response:	I will.
context: That girl...\She's good!\Daddy!\Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will. response:	I guess we'll clean up the gondola, then.
context: She's good!\Daddy!\Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then. response:	Right! Right!
context: Daddy!\Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then.\Right! Right! response:	What is it?
context: Good work! Good work!\And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then.\Right! Right!\What is it? response:	I was just thinking about how much you all love this gondola.
context: And here are today's earnings.\Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then.\Right! Right!\What is it?\I was just thinking about how much you all love this gondola. response:	It makes me happy to see that you treasure it.
context: Be careful on your way to the office, okay?\I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then.\Right! Right!\What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it. response:	Well, we're Undines, after all. We all feel the same towards gondolas.
context: I will. Be careful on your way to the office, okay?\I will.\I guess we'll clean up the gondola, then.\Right! Right!\What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas. response:	Besides, we're the ones who should be happy.
context: I will.\I guess we'll clean up the gondola, then.\Right! Right!\What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy. response:	Huh?
context: I guess we'll clean up the gondola, then.\Right! Right!\What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh? response:	Your sculling was exceptional! You have incredible talent.
context: Right! Right!\What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent. response:	It was so much fun sculling with you today!
context: What is it?\I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today! response:	N-No, I'm not...
context: I was just thinking about how much you all love this gondola.\It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not... response:	She's right.
context: It makes me happy to see that you treasure it.\Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not...\She's right. response:	It was your first time sculling a traghetto, but you caught on right away.
context: Well, we're Undines, after all. We all feel the same towards gondolas.\Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away. response:	Even when there were a lot of passengers, your sculling and balance never wavered.
context: Besides, we're the ones who should be happy.\Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered. response:	You really helped us out.
context: Huh?\Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out. response:	Just what you'd expect from an employee of the Aria Company that Grandmother founded.
context: Your sculling was exceptional! You have incredible talent.\It was so much fun sculling with you today!\N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded. response:	Thank you very much.
context: It was so much fun sculling with you today!\N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much. response:	Speaking of Aria Company, Alicia!
context: N-No, I'm not...\She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia! response:	She's really popular, isn't she?
context: She's right.\It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she? response:	In this city, there's not a day that goes by where you don't see her gondola.
context: It was your first time sculling a traghetto, but you caught on right away.\Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola. response:	Yes, she has bookings every day.
context: Even when there were a lot of passengers, your sculling and balance never wavered.\You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day. response:	Your company is so busy...
context: You really helped us out.\Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy... response:	I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.
context: Just what you'd expect from an employee of the Aria Company that Grandmother founded.\Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while. response:	I'd love to work with you again, but you might already be a Prima the next time we see each other.
context: Thank you very much.\Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other. response:	After all, it's only a matter of time until you become a Prima!
context: Speaking of Aria Company, Alicia!\She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima! response:	I guarantee it!
context: She's really popular, isn't she?\In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it! response:	Sounds nice... Prima...
context: In this city, there's not a day that goes by where you don't see her gondola.\Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima... response:	Congratulations, Akari.
context: Yes, she has bookings every day.\Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima...\Congratulations, Akari. response:	No, I'm still an apprentice...
context: Your company is so busy...\I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice... response:	You're amazing. Ayumi guaranteed it.
context: I'm grateful she had you come assist us with the traghetto, even if it was just for a little while.\I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it. response:	Cut it out, Anzu! You're amazing. Ayumi guaranteed it.
context: I'd love to work with you again, but you might already be a Prima the next time we see each other.\After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it. response:	Cut it out, Anzu! Stop it, Anzu.
context: After all, it's only a matter of time until you become a Prima!\I guarantee it!\Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu. response:	Stop it, Anzu.
context: I guarantee it!\Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu. response:	You're already doing the best you can, so you shouldn't let it get to you.
context: Sounds nice... Prima...\Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you. response:	Atora...
context: Congratulations, Akari.\No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora... response:	Besides, it's not our fault.
context: No, I'm still an apprentice...\You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault. response:	It's because our examiner is too strict!
context: You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault.\It's because our examiner is too strict! response:	O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.
context: Cut it out, Anzu! You're amazing. Ayumi guaranteed it.\Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try. response:	She disapproves of everything we do.
context: Cut it out, Anzu! Stop it, Anzu.\Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do. response:	If a different mentor gave us the test, even we'd be able to...
context: Stop it, Anzu.\You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to... response:	But lately I've been thinking...
context: You're already doing the best you can, so you shouldn't let it get to you.\Atora...\Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking... response:	Maybe staying a Single and working on the traghetto isn't so bad, after all.
context: Atora...\Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all. response:	Just like Ayumi, I love this job too, so...
context: Besides, it's not our fault.\It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so... response:	Nope. You and I are different.
context: It's because our examiner is too strict!\O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different. response:	Face it. You really want to become a Prima and tour people around, right?
context: O-Our mentor doesn't acknowledge our efforts, no matter how hard Anzu and I try.\She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right? response:	But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.
context: She disapproves of everything we do.\If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it. response:	Why won't you challenge yourself and try again, like Anzu?
context: If a different mentor gave us the test, even we'd be able to...\But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu? response:	I kind of understand how Atora feels.
context: But lately I've been thinking...\Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels. response:	Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.
context: Maybe staying a Single and working on the traghetto isn't so bad, after all.\Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine. response:	It's heartbreaking, painful and sad.
context: Just like Ayumi, I love this job too, so...\Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad. response:	You become afraid.
context: Nope. You and I are different.\Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid. response:	Before you know it, you're more withdrawn and you start to resign yourself to your fate.
context: Face it. You really want to become a Prima and tour people around, right?\But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate. response:	But...
context: But ever since you failed the promotion exam six months ago, you haven't even tried to retake it.\Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But... response:	But we can't let that happen.
context: Why won't you challenge yourself and try again, like Anzu?\I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen. response:	If you're wound up too tightly, you can no longer change yourself.
context: I kind of understand how Atora feels.\Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself. response:	You end up unable to absorb anything.
context: Every time you fail the Prima exam, it feels more and more like you're being rejected as an Undine.\It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything. response:	You might not be able to change others, but you can certainly change yourself.
context: It's heartbreaking, painful and sad.\You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself. response:	If I lack the skills right now, then I just need to learn them.
context: You become afraid.\Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them. response:	That's why I want to stay calm and flexible.
context: Before you know it, you're more withdrawn and you start to resign yourself to your fate.\But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible. response:	If you're flexible, you can take any shape.
context: But...\But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape. response:	You can absorb anything.
context: But we can't let that happen.\If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything. response:	That way, I can become anything I want.
context: If you're wound up too tightly, you can no longer change yourself.\You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want. response:	Yes... even the Prima I long to be. I know I can become one!
context: You end up unable to absorb anything.\You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one! response:	But she'll just say it's too late to-
context: You might not be able to change others, but you can certainly change yourself.\If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to- response:	It'll be fine! But she'll just say it's too late to-
context: If I lack the skills right now, then I just need to learn them.\That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to- response:	It'll be fine!
context: That's why I want to stay calm and flexible.\If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine! response:	I'm sure it'll be fine.
context: If you're flexible, you can take any shape.\You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine. response:	It doesn't matter where, when, or how many times you've tried before.
context: You can absorb anything.\That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before. response:	It's a fresh new start every time you wish to challenge yourself.
context: That way, I can become anything I want.\Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself. response:	As long as you don't put an end to it yourself, I'm sure it's never too late.
context: Yes... even the Prima I long to be. I know I can become one!\But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late. response:	Yeah!
context: But she'll just say it's too late to-\It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah! response:	Hey, hey. What's this? It's youth!
context: It'll be fine! But she'll just say it's too late to-\It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth! response:	Yeah.
context: It'll be fine!\I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth!\Yeah. response:	I'll give it another shot.
context: I'm sure it'll be fine.\It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot. response:	Yes! I'll do my best, too!
context: It doesn't matter where, when, or how many times you've tried before.\It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot.\Yes! I'll do my best, too! response:	I'll keep doing my best, too.
context: It's a fresh new start every time you wish to challenge yourself.\As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too. response:	Me, too!
context: As long as you don't put an end to it yourself, I'm sure it's never too late.\Yeah!\Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too! response:	Are we sure we have everything?
context: Yeah!\Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too!\Are we sure we have everything? response:	Yes! Are we sure we have everything?
context: Hey, hey. What's this? It's youth!\Yeah.\I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything? response:	Yes!
context: Yeah.\I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything?\Yes! response:	Yes! We're fine.
context: I'll give it another shot.\Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything?\Yes!\Yes! We're fine. response:	We're fine.
context: Yes! I'll do my best, too!\I'll keep doing my best, too.\Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything?\Yes!\Yes! We're fine.\We're fine. response:	Well then, let's head home, shall we?
context: I'll keep doing my best, too.\Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything?\Yes!\Yes! We're fine.\We're fine.\Well then, let's head home, shall we? response:	The traghetto.
context: Me, too!\Are we sure we have everything?\Yes! Are we sure we have everything?\Yes!\Yes! We're fine.\We're fine.\Well then, let's head home, shall we?\The traghetto. response:	For some, it's a job to be proud of.
context: Are we sure we have everything?\Yes! Are we sure we have everything?\Yes!\Yes! We're fine.\We're fine.\Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of. response:	For some, it's a place to train.
context: Yes! Are we sure we have everything?\Yes!\Yes! We're fine.\We're fine.\Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train. response:	All of them, moving forward along their chosen paths...
context: Yes!\Yes! We're fine.\We're fine.\Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths... response:	The path to becoming a Prima may be difficult,
context: Yes! We're fine.\We're fine.\Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult, response:	but I'll continue to move forward, as well.
context: We're fine.\Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well. response:	No matter how far it is, I'll keep moving forward.
context: Well then, let's head home, shall we?\The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward. response:	I'm back!
context: The traghetto.\For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back! response:	I'm back, President Aria.
