context: Chi response:	ha
context: I never knew, until the first-years came,\that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk. response:	She doesn't get it.
context: that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it. response:	My slightly above average looks
context: different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks response:	make me your typical shojo manga main character!
context: From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character! response:	I want to be popular!
context: That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character!\I want to be popular! response:	Plus, there's a beautiful rival for me to defeat!
context: I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat! response:	Literature Class 2-9 Fukasaku Tokiji
context: He's a second-year and he's handsome and tall!\From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji response:	On page 12, you'll find...
context: From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.\She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find... response:	We're the ones who will be winning matches.
context: She doesn't get it.\My slightly above average looks\make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches. response:	Akutagawa Ryunosuke's Rashomon.
context: My slightly above average looks\make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon. response:	One of Akutagawa Ryunosuke's...
context: make me your typical shojo manga main character!\I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's... response:	There might be a first-year who loves karuta and is really good!
context: I want to be popular!\Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good! response:	We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.
context: Plus, there's a beautiful rival for me to defeat!\Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months. response:	If we wait two months, they'll all leave!!
context: Literature Class 2-9 Fukasaku Tokiji\On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!! response:	I don't see a problem?
context: On page 12, you'll find...\We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem? response:	Never step over a book.
context: We're the ones who will be winning matches.\Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book. response:	Wait, that's it?!
context: Akutagawa Ryunosuke's Rashomon.\One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book.\Wait, that's it?! response:	We're all so different...
context: One of Akutagawa Ryunosuke's...\There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book.\Wait, that's it?!\We're all so different... response:	Science Class 2-1 Miyauchi Taeko
context: There might be a first-year who loves karuta and is really good!\We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book.\Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko response:	There will be a quiz at the beginning of every class.
context: We only have two months until the high school tournament prelims. There's no time to train them now. We can wait two months.\If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book.\Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class. response:	As second-years, you need to begin counting down to college exams.
context: If we wait two months, they'll all leave!!\I don't see a problem?\Never step over a book.\Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams. response:	Prepare by identifying the schools you wish to attend...
context: I don't see a problem?\Never step over a book.\Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend... response:	I'll teach them.
context: Never step over a book.\Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them. response:	She doesn't understand how precious time is right now.
context: Wait, that's it?!\We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now. response:	She's the one dreaming about becoming Queen.
context: We're all so different...\Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen. response:	She's the one who cries when she loses.
context: Science Class 2-1 Miyauchi Taeko\There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses. response:	Didn't we say that we would have a meeting during lunch?
context: There will be a quiz at the beginning of every class.\As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch? response:	But I ate my lunch during class, so I need to go buy some melon bread.
context: As second-years, you need to begin counting down to college exams.\Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread. response:	I'll give you half of mine.
context: Prepare by identifying the schools you wish to attend...\I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine. response:	That's not enough.
context: I'll teach them.\She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough. response:	Oh, Kana-chan!
context: She doesn't understand how precious time is right now.\She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough.\Oh, Kana-chan! response:	You're early.
context: She's the one dreaming about becoming Queen.\She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough.\Oh, Kana-chan!\You're early. response:	Class 5 is the closest to this room.
context: She's the one who cries when she loses.\Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough.\Oh, Kana-chan!\You're early.\Class 5 is the closest to this room. response:	Oh, everyone's here.
context: Didn't we say that we would have a meeting during lunch?\But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough.\Oh, Kana-chan!\You're early.\Class 5 is the closest to this room.\Oh, everyone's here. response:	Class 1's too far away.
context: But I ate my lunch during class, so I need to go buy some melon bread.\I'll give you half of mine.\That's not enough.\Oh, Kana-chan!\You're early.\Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away. response:	So, on the topic of the first-years...
context: I'll give you half of mine.\That's not enough.\Oh, Kana-chan!\You're early.\Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years... response:	Chihaya...
context: That's not enough.\Oh, Kana-chan!\You're early.\Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years...\Chihaya... response:	What do you care the most about?!
context: Oh, Kana-chan!\You're early.\Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years...\Chihaya...\What do you care the most about?! response:	Priority: Master and Queen Match
context: You're early.\Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years...\Chihaya...\What do you care the most about?!\Priority: Master and Queen Match response:	You're not going to defeat Wakamiya Shinobu like this!
context: Class 5 is the closest to this room.\Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years...\Chihaya...\What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this! response:	Priority: Proper Etiquette
context: Oh, everyone's here.\Class 1's too far away.\So, on the topic of the first-years...\Chihaya...\What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette response:	I'll teach the first-years!
context: Class 1's too far away.\So, on the topic of the first-years...\Chihaya...\What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years! response:	Some may quit, but we need to teach them how to behave!
context: So, on the topic of the first-years...\Chihaya...\What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave! response:	Priority: The Practice Environment
context: Chihaya...\What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment response:	If we can just keep this room
context: What do you care the most about?!\Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room response:	and have some fun with the first-years, we're in good shape.
context: Priority: Master and Queen Match\You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape. response:	We can't focus on practicing with 20 kids babbling!
context: You're not going to defeat Wakamiya Shinobu like this!\Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling! response:	Priority: High School Championship
context: Priority: Proper Etiquette\I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship response:	The preliminaries are in June!
context: I'll teach the first-years!\Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June! response:	Chihaya?
context: Some may quit, but we need to teach them how to behave!\Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June!\Chihaya? response:	Right now, I care the most
context: Priority: The Practice Environment\If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June!\Chihaya?\Right now, I care the most response:	about Taichi making Class A.
context: If we can just keep this room\and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June!\Chihaya?\Right now, I care the most\about Taichi making Class A. response:	Wait... Chihaya?
context: and have some fun with the first-years, we're in good shape.\We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June!\Chihaya?\Right now, I care the most\about Taichi making Class A.\Wait... Chihaya? response:	I'm the most important...
context: We can't focus on practicing with 20 kids babbling!\Priority: High School Championship\The preliminaries are in June!\Chihaya?\Right now, I care the most\about Taichi making Class A.\Wait... Chihaya?\I'm the most important... response:	My goal is
context: Priority: High School Championship\The preliminaries are in June!\Chihaya?\Right now, I care the most\about Taichi making Class A.\Wait... Chihaya?\I'm the most important...\My goal is response:	to win the team High School Championship,
context: The preliminaries are in June!\Chihaya?\Right now, I care the most\about Taichi making Class A.\Wait... Chihaya?\I'm the most important...\My goal is\to win the team High School Championship, response:	as well as the individual High School Championships in each class,
context: Chihaya?\Right now, I care the most\about Taichi making Class A.\Wait... Chihaya?\I'm the most important...\My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class, response:	while training the first-years,
context: Right now, I care the most\about Taichi making Class A.\Wait... Chihaya?\I'm the most important...\My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years, response:	so we can become a strong karuta school like Hokuo Academy!
context: about Taichi making Class A.\Wait... Chihaya?\I'm the most important...\My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy! response:	Huh? Wait, what's wrong?
context: Wait... Chihaya?\I'm the most important...\My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong? response:	Sh
context: I'm the most important...\My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh response:	She's so greedy!
context: My goal is\to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh\She's so greedy! response:	I've never seen anyone this greedy before!
context: to win the team High School Championship,\as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh\She's so greedy!\I've never seen anyone this greedy before! response:	Are you okay?
context: as well as the individual High School Championships in each class,\while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh\She's so greedy!\I've never seen anyone this greedy before!\Are you okay? response:	Chihaya...
context: while training the first-years,\so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh\She's so greedy!\I've never seen anyone this greedy before!\Are you okay?\Chihaya... response:	Ignoring your other goals for now,
context: so we can become a strong karuta school like Hokuo Academy!\Huh? Wait, what's wrong?\Sh\She's so greedy!\I've never seen anyone this greedy before!\Are you okay?\Chihaya...\Ignoring your other goals for now, response:	how are we going to become a strong karuta school like Hokuo?
context: Huh? Wait, what's wrong?\Sh\She's so greedy!\I've never seen anyone this greedy before!\Are you okay?\Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo? response:	We need a proper coach for that to work.
context: Sh\She's so greedy!\I've never seen anyone this greedy before!\Are you okay?\Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work. response:	Well...
context: She's so greedy!\I've never seen anyone this greedy before!\Are you okay?\Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well... response:	If we recruit enough new members,
context: I've never seen anyone this greedy before!\Are you okay?\Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well...\If we recruit enough new members, response:	I'll come back to teach them karuta after I graduate.
context: Are you okay?\Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate. response:	I've never seen anyone so greedy.
context: Chihaya...\Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy. response:	Or anyone who loves karuta so much.
context: Ignoring your other goals for now,\how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much. response:	Huh? Mashima-senpai isn't going to be teaching us?
context: how are we going to become a strong karuta school like Hokuo?\We need a proper coach for that to work.\Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us? response:	The other second-years are practicing for the tournament in June.
context: We need a proper coach for that to work.\Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June. response:	Once you've learned the basics, you'll be able to practice with us.
context: Well...\If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us. response:	Don't you need to practice, Ayase-senpai?
context: If we recruit enough new members,\I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai? response:	Are you teaching us because you won't be playing?
context: I'll come back to teach them karuta after I graduate.\I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing? response:	Benched?
context: I've never seen anyone so greedy.\Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched? response:	Is that how it works?
context: Or anyone who loves karuta so much.\Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched?\Is that how it works? response:	I'm the ace!
context: Huh? Mashima-senpai isn't going to be teaching us?\The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched?\Is that how it works?\I'm the ace! response:	Ace... Ace... Ace... Ace...
context: The other second-years are practicing for the tournament in June.\Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched?\Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace... response:	We'll use the tape today.
context: Once you've learned the basics, you'll be able to practice with us.\Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched?\Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today. response:	Yes.
context: Don't you need to practice, Ayase-senpai?\Are you teaching us because you won't be playing?\Benched?\Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes. response:	Are we starting now?
context: Are you teaching us because you won't be playing?\Benched?\Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes.\Are we starting now? response:	Yes.
context: Benched?\Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes.\Are we starting now?\Yes. response:	Uh, I'll play Kana-chan while Mashima plays Porky.
context: Is that how it works?\I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes.\Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky. response:	Say...
context: I'm the ace!\Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes.\Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say... response:	Can I go practice at the Shiranami Society?
context: Ace... Ace... Ace... Ace...\We'll use the tape today.\Yes.\Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society? response:	Just on Tuesdays and Thursdays?
context: We'll use the tape today.\Yes.\Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays? response:	Why are you bothering to ask?
context: Yes.\Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask? response:	Get going!
context: Are we starting now?\Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going! response:	You can practice with Dr. Harada and Tsuboguchi-san!
context: Yes.\Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san! response:	Right now, I care the most
context: Uh, I'll play Kana-chan while Mashima plays Porky.\Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most response:	about Taichi making Class A.
context: Say...\Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A. response:	I think that Ayase's changed a bit.
context: Can I go practice at the Shiranami Society?\Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit. response:	She's changed?
context: Just on Tuesdays and Thursdays?\Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed? response:	It's hard to say...
context: Why are you bothering to ask?\Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed?\It's hard to say... response:	But I mean, Ayase's words
context: Get going!\You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed?\It's hard to say...\But I mean, Ayase's words response:	inspired Mashima to think about himself, for once.
context: You can practice with Dr. Harada and Tsuboguchi-san!\Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed?\It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once. response:	I'm tired...
context: Right now, I care the most\about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed?\It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired... response:	You can memorize poems in their entirety,
context: about Taichi making Class A.\I think that Ayase's changed a bit.\She's changed?\It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety, response:	Memorization? Is this a classical literature class?
context: I think that Ayase's changed a bit.\She's changed?\It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class? response:	or you can use shortcuts.
context: She's changed?\It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts. response:	Huh? I don't remember any boys.
context: It's hard to say...\But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys. response:	Whatever.
context: But I mean, Ayase's words\inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys.\Whatever. response:	09 So the flower has wilted during the long spring rains, just as my beauty has faded during my forlorn years in this world
context: inspired Mashima to think about himself, for once.\I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys.\Whatever.\09 So the flower has wilted during the long spring rains, just as my beauty has faded during my forlorn years in this world response:	For Though I prayed,
context: I'm tired...\You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys.\Whatever.\09 So the flower has wilted during the long spring rains, just as my beauty has faded during my forlorn years in this world\For Though I prayed, response:	the second verse begins with I never asked,
context: You can memorize poems in their entirety,\Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys.\Whatever.\09 So the flower has wilted during the long spring rains, just as my beauty has faded during my forlorn years in this world\For Though I prayed,\the second verse begins with I never asked, response:	so think pray, never ask.
context: Memorization? Is this a classical literature class?\or you can use shortcuts.\Huh? I don't remember any boys.\Whatever.\09 So the flower has wilted during the long spring rains, just as my beauty has faded during my forlorn years in this world\For Though I prayed,\the second verse begins with I never asked,\so think pray, never ask. response:	Hmm?
