context: Rebooting attitude control system. response:	Ensign Ledo, your resistance is without meaning.
context: Amore!\Pinion!\Yahoo!\That's our boss!\Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle... response:	Ledo... It's over here.
context: Pinion!\Yahoo!\That's our boss!\Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here. response:	If you continue with neuroplus power,
context: Yahoo!\That's our boss!\Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power, response:	your biological activity will cease for certain.
context: That's our boss!\Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain. response:	Final confirmation of your will.
context: Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will. response:	Ensign Ledo, do you wish to die?
context: Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die? response:	Even though I know how to die...
context: This is the finishing stroke. See you later, Lobster's parting gift!\Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die... response:	I don't know how to live.
context: Me and my bro's castle...\Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live. response:	And yet, for my sake...
context: Ledo... It's over here.\If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live.\And yet, for my sake... response:	I wanted to meet her one more time...
context: If you continue with neuroplus power,\your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time... response:	I wanted to hear her voice again.
context: your biological activity will cease for certain.\Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again. response:	Ensign Ledo's psychological state does not meet the requirements of a soldier.
context: Final confirmation of your will.\Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier. response:	As such, as of this moment, I am relieving you of your military duties.
context: Ensign Ledo, do you wish to die?\Even though I know how to die...\I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties. response:	Hey! Chamber!
context: Even though I know how to die...\I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber! response:	A noncombatant is not allowed in the cockpit.
context: I don't know how to live.\And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit. response:	Exit immediately.
context: And yet, for my sake...\I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately. response:	What are you doing?! Chamber!
context: I wanted to meet her one more time...\I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber! response:	I am a Pilot Support Enlightenment Interface System.
context: I wanted to hear her voice again.\Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System. response:	By helping you achieving results,
context: Ensign Ledo's psychological state does not meet the requirements of a soldier.\As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results, response:	I fulfill my purpose of existence.
context: As such, as of this moment, I am relieving you of your military duties.\Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence. response:	But... You...
context: Hey! Chamber!\A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence.\But... You... response:	All of this sea and sky will surely give you possibilities.
context: A noncombatant is not allowed in the cockpit.\Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities. response:	Survive.
context: Exit immediately.\What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities.\Survive. response:	Explore.
context: What are you doing?! Chamber!\I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities.\Survive.\Explore. response:	I expect great achievements from your life.
context: I am a Pilot Support Enlightenment Interface System.\By helping you achieving results,\I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities.\Survive.\Explore.\I expect great achievements from your life. response:	Chamber...
context: By helping you achieving results,\I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities.\Survive.\Explore.\I expect great achievements from your life.\Chamber... response:	A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.
context: I fulfill my purpose of existence.\But... You...\All of this sea and sky will surely give you possibilities.\Survive.\Explore.\I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot. response:	He needs no support.
context: But... You...\All of this sea and sky will surely give you possibilities.\Survive.\Explore.\I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support. response:	There is no room for more enlightenment.
context: All of this sea and sky will surely give you possibilities.\Survive.\Explore.\I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment. response:	Now, after I eliminate the barrier that blocks his road ahead,
context: Survive.\Explore.\I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead, response:	my mission will be completed.
context: Explore.\I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed. response:	Number K6821,
context: I expect great achievements from your life.\Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821, response:	you have even abandoned the first principle of the Support System.
context: Chamber...\A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System. response:	You are clearly not functioning properly. Reformat and reboot immediately.
context: A Pilot Support Enlightenment Interface System does not have the authority to reject a pilot.\He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately. response:	This is your final warning.
context: He needs no support.\There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning. response:	Go to hell, tin can!
context: There is no room for more enlightenment.\Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can! response:	Chamber...
context: Now, after I eliminate the barrier that blocks his road ahead,\my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can!\Chamber... response:	A long time ago, when the sun in the sky was about to die,
context: my mission will be completed.\Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die, response:	people were forced to make a choice between boarding interstellar ships
context: Number K6821,\you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships response:	or turning themselves into whalesquid.
context: you have even abandoned the first principle of the Support System.\You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid. response:	While two factions of humanity continued to fight even while abandoning their homeland,
context: You are clearly not functioning properly. Reformat and reboot immediately.\This is your final warning.\Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland, response:	the people who remained on this planet kept hope alive,
context: This is your final warning.\Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive, response:	and finally managed to revive the sun.
context: Go to hell, tin can!\Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun. response:	The price they paid was to sink the land under the sea...
context: Chamber...\A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea... response:	But we here, living on the waves, and the whalesquid, living beneath the sea,
context: A long time ago, when the sun in the sky was about to die,\people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea, response:	have managed to survive, together.
context: people were forced to make a choice between boarding interstellar ships\or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together. response:	Question!
context: or turning themselves into whalesquid.\While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question! response:	What subject is this?
context: While two factions of humanity continued to fight even while abandoning their homeland,\the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question!\What subject is this? response:	Dr. Oldham calls it archeology.
context: the people who remained on this planet kept hope alive,\and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question!\What subject is this?\Dr. Oldham calls it archeology. response:	If we know where we came from,
context: and finally managed to revive the sun.\The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question!\What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from, response:	then we can think about where we should go.
context: The price they paid was to sink the land under the sea...\But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question!\What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go. response:	He said it's a very important subject for our future.
context: But we here, living on the waves, and the whalesquid, living beneath the sea,\have managed to survive, together.\Question!\What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future. response:	We're going to solve more and more mysteries!
context: have managed to survive, together.\Question!\What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries! response:	Because Gargantia's got a very talented detective!
context: Question!\What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective! response:	Harvest anything good this time?
context: What subject is this?\Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time? response:	Yes, I think it's some recorded media.
context: Dr. Oldham calls it archeology.\If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media. response:	In this condition, I bet that Dr. Oldham can decipher it.
context: If we know where we came from,\then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it. response:	Even sneaking into a whalesquid nest... You're something, all right.
context: then we can think about where we should go.\He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right. response:	I've figured out the trick to putting them at ease.
context: He said it's a very important subject for our future.\We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease. response:	If I can tell when they're angered, then I can act in ways that don't upset them.
context: We're going to solve more and more mysteries!\Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease.\If I can tell when they're angered, then I can act in ways that don't upset them. response:	Eventually, if we continue this research, communication may be possible.
context: Because Gargantia's got a very talented detective!\Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease.\If I can tell when they're angered, then I can act in ways that don't upset them.\Eventually, if we continue this research, communication may be possible. response:	By the way, where's Amy?
context: Harvest anything good this time?\Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease.\If I can tell when they're angered, then I can act in ways that don't upset them.\Eventually, if we continue this research, communication may be possible.\By the way, where's Amy? response:	She's heading out to meet him again.
context: Yes, I think it's some recorded media.\In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease.\If I can tell when they're angered, then I can act in ways that don't upset them.\Eventually, if we continue this research, communication may be possible.\By the way, where's Amy?\She's heading out to meet him again. response:	Man, I'm jealous!
context: In this condition, I bet that Dr. Oldham can decipher it.\Even sneaking into a whalesquid nest... You're something, all right.\I've figured out the trick to putting them at ease.\If I can tell when they're angered, then I can act in ways that don't upset them.\Eventually, if we continue this research, communication may be possible.\By the way, where's Amy?\She's heading out to meet him again.\Man, I'm jealous! response:	Ledo!
