context: The silver pin, response:	given to the boy and girl in each class with the top test scores.
context: I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her. response:	If we let Tama-chan ride a train alone,
context: Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone, response:	who knows where she'd end up?
context: Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up? response:	Our parents insist we have to look after her and bring her
context: But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her response:	home safe and sound.
context: she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound. response:	Th-Thanks.
context: Nah. I'm the one making her stay.\You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks. response:	No prob.
context: You're doing more for her!\Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks.\No prob. response:	Thanks for waiting. Let's go.
context: Waiting this late to go home with her.\If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks.\No prob.\Thanks for waiting. Let's go. response:	All right.
context: If we let Tama-chan ride a train alone,\who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks.\No prob.\Thanks for waiting. Let's go.\All right. response:	Okay.
context: who knows where she'd end up?\Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks.\No prob.\Thanks for waiting. Let's go.\All right.\Okay. response:	Okay, sorry, Rena.
context: Our parents insist we have to look after her and bring her\home safe and sound.\Th-Thanks.\No prob.\Thanks for waiting. Let's go.\All right.\Okay.\Okay, sorry, Rena. response:	When you're done, lock up the clubroom and gym
context: home safe and sound.\Th-Thanks.\No prob.\Thanks for waiting. Let's go.\All right.\Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym response:	and return the key to the staff room.
context: Th-Thanks.\No prob.\Thanks for waiting. Let's go.\All right.\Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room. response:	Got it.
context: No prob.\Thanks for waiting. Let's go.\All right.\Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it. response:	Bye!
context: Thanks for waiting. Let's go.\All right.\Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it.\Bye! response:	Must be nice.
context: All right.\Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it.\Bye!\Must be nice. response:	Spending every day with nice childhood friends.
context: Okay.\Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it.\Bye!\Must be nice.\Spending every day with nice childhood friends. response:	Kariu-san?
context: Okay, sorry, Rena.\When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it.\Bye!\Must be nice.\Spending every day with nice childhood friends.\Kariu-san? response:	Oh, we got the same scores!
context: When you're done, lock up the clubroom and gym\and return the key to the staff room.\Got it.\Bye!\Must be nice.\Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores! response:	Let's work hard together as the class reps for first term.
context: and return the key to the staff room.\Got it.\Bye!\Must be nice.\Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term. response:	Y-Yeah...
context: Got it.\Bye!\Must be nice.\Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah... response:	I was the Class 1 rep the first term of my first year.
context: Bye!\Must be nice.\Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year. response:	But I didn't come first the next two terms.
context: Must be nice.\Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms. response:	I hated that,
context: Spending every day with nice childhood friends.\Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that, response:	so I made sure I had the silver pin for all of last year.
context: Kariu-san?\Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year. response:	Kariu!
context: Oh, we got the same scores!\Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year.\Kariu! response:	Committee time!
context: Let's work hard together as the class reps for first term.\Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year.\Kariu!\Committee time! response:	Yeah!
context: Y-Yeah...\I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year.\Kariu!\Committee time!\Yeah! response:	For an entire year,
context: I was the Class 1 rep the first term of my first year.\But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year.\Kariu!\Committee time!\Yeah!\For an entire year, response:	I never let go of the silver pin, but...!
context: But I didn't come first the next two terms.\I hated that,\so I made sure I had the silver pin for all of last year.\Kariu!\Committee time!\Yeah!\For an entire year,\I never let go of the silver pin, but...! response:	Why?
context: I hated that,\so I made sure I had the silver pin for all of last year.\Kariu!\Committee time!\Yeah!\For an entire year,\I never let go of the silver pin, but...!\Why? response:	Why always me?
context: so I made sure I had the silver pin for all of last year.\Kariu!\Committee time!\Yeah!\For an entire year,\I never let go of the silver pin, but...!\Why?\Why always me? response:	Why can't I do anything right?
context: Kariu!\Committee time!\Yeah!\For an entire year,\I never let go of the silver pin, but...!\Why?\Why always me?\Why can't I do anything right? response:	No...
context: Committee time!\Yeah!\For an entire year,\I never let go of the silver pin, but...!\Why?\Why always me?\Why can't I do anything right?\No... response:	I can't stand being like this!
context: Yeah!\For an entire year,\I never let go of the silver pin, but...!\Why?\Why always me?\Why can't I do anything right?\No...\I can't stand being like this! response:	Stop it!
context: For an entire year,\I never let go of the silver pin, but...!\Why?\Why always me?\Why can't I do anything right?\No...\I can't stand being like this!\Stop it! response:	It still hurts sometimes...
context: I never let go of the silver pin, but...!\Why?\Why always me?\Why can't I do anything right?\No...\I can't stand being like this!\Stop it!\It still hurts sometimes... response:	Is this what it means to age?
context: Why?\Why always me?\Why can't I do anything right?\No...\I can't stand being like this!\Stop it!\It still hurts sometimes...\Is this what it means to age? response:	There are still students around?
context: Why always me?\Why can't I do anything right?\No...\I can't stand being like this!\Stop it!\It still hurts sometimes...\Is this what it means to age?\There are still students around? response:	Excuse me.
context: Why can't I do anything right?\No...\I can't stand being like this!\Stop it!\It still hurts sometimes...\Is this what it means to age?\There are still students around?\Excuse me. response:	I'm here to return the gym key.
context: No...\I can't stand being like this!\Stop it!\It still hurts sometimes...\Is this what it means to age?\There are still students around?\Excuse me.\I'm here to return the gym key. response:	Hishiro?
context: I can't stand being like this!\Stop it!\It still hurts sometimes...\Is this what it means to age?\There are still students around?\Excuse me.\I'm here to return the gym key.\Hishiro? response:	Goodbye.
context: Stop it!\It still hurts sometimes...\Is this what it means to age?\There are still students around?\Excuse me.\I'm here to return the gym key.\Hishiro?\Goodbye. response:	This...
context: It still hurts sometimes...\Is this what it means to age?\There are still students around?\Excuse me.\I'm here to return the gym key.\Hishiro?\Goodbye.\This... response:	The silver pin...
context: Is this what it means to age?\There are still students around?\Excuse me.\I'm here to return the gym key.\Hishiro?\Goodbye.\This...\The silver pin... response:	Proof that you're number one.
context: There are still students around?\Excuse me.\I'm here to return the gym key.\Hishiro?\Goodbye.\This...\The silver pin...\Proof that you're number one. response:	Proof that you worked hard.
context: Excuse me.\I'm here to return the gym key.\Hishiro?\Goodbye.\This...\The silver pin...\Proof that you're number one.\Proof that you worked hard. response:	But for me,
context: I'm here to return the gym key.\Hishiro?\Goodbye.\This...\The silver pin...\Proof that you're number one.\Proof that you worked hard.\But for me, response:	it wasn't just the status.
context: Hishiro?\Goodbye.\This...\The silver pin...\Proof that you're number one.\Proof that you worked hard.\But for me,\it wasn't just the status. response:	For me...
context: Goodbye.\This...\The silver pin...\Proof that you're number one.\Proof that you worked hard.\But for me,\it wasn't just the status.\For me... response:	She got everything without looking like she put in any effort at all!
context: This...\The silver pin...\Proof that you're number one.\Proof that you worked hard.\But for me,\it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all! response:	She deserves some trouble!
context: The silver pin...\Proof that you're number one.\Proof that you worked hard.\But for me,\it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble! response:	It'll be fine...
context: Proof that you're number one.\Proof that you worked hard.\But for me,\it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine... response:	I won't get caught...
context: Proof that you worked hard.\But for me,\it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine...\I won't get caught... response:	I'll just walk casually out of school and ditch it at the station bathroom.
context: But for me,\it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom. response:	Huh?
context: it wasn't just the status.\For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh? response:	You're leaving now, Kariu?
context: For me...\She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu? response:	Kaizaki...
context: She got everything without looking like she put in any effort at all!\She deserves some trouble!\It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu?\Kaizaki... response:	Why are you still here?
context: She deserves some trouble!\It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu?\Kaizaki...\Why are you still here? response:	Oh, studying.
context: It'll be fine...\I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu?\Kaizaki...\Why are you still here?\Oh, studying. response:	I was using the study room.
context: I won't get caught...\I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu?\Kaizaki...\Why are you still here?\Oh, studying.\I was using the study room. response:	The teacher said to lock up
context: I'll just walk casually out of school and ditch it at the station bathroom.\Huh?\You're leaving now, Kariu?\Kaizaki...\Why are you still here?\Oh, studying.\I was using the study room.\The teacher said to lock up response:	and bring the key by the staff room when I was done.
context: Huh?\You're leaving now, Kariu?\Kaizaki...\Why are you still here?\Oh, studying.\I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done. response:	How about you? Just finished practice?
context: You're leaving now, Kariu?\Kaizaki...\Why are you still here?\Oh, studying.\I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice? response:	What's the matter?
context: Kaizaki...\Why are you still here?\Oh, studying.\I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter? response:	I, uh...
context: Why are you still here?\Oh, studying.\I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter?\I, uh... response:	I just returned the gym key, too.
context: Oh, studying.\I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter?\I, uh...\I just returned the gym key, too. response:	Oh, okay.
context: I was using the study room.\The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter?\I, uh...\I just returned the gym key, too.\Oh, okay. response:	Stay away!
context: The teacher said to lock up\and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter?\I, uh...\I just returned the gym key, too.\Oh, okay.\Stay away! response:	Oh, right...
context: and bring the key by the staff room when I was done.\How about you? Just finished practice?\What's the matter?\I, uh...\I just returned the gym key, too.\Oh, okay.\Stay away!\Oh, right... response:	I don't know where to put the keys.
context: How about you? Just finished practice?\What's the matter?\I, uh...\I just returned the gym key, too.\Oh, okay.\Stay away!\Oh, right...\I don't know where to put the keys. response:	I can't stop to chat here!
context: What's the matter?\I, uh...\I just returned the gym key, too.\Oh, okay.\Stay away!\Oh, right...\I don't know where to put the keys.\I can't stop to chat here! response:	Sorry, but can you come with and show me?
context: I, uh...\I just returned the gym key, too.\Oh, okay.\Stay away!\Oh, right...\I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me? response:	If I waste too much time,
context: I just returned the gym key, too.\Oh, okay.\Stay away!\Oh, right...\I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time, response:	Hishiro will leave the staff room!
context: Oh, okay.\Stay away!\Oh, right...\I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room! response:	S-Sorry.
context: Stay away!\Oh, right...\I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room!\S-Sorry. response:	I've gotta get home.
context: Oh, right...\I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room!\S-Sorry.\I've gotta get home. response:	Sorry, but could you ask a teacher?
context: I don't know where to put the keys.\I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room!\S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher? response:	All right. Take care.
context: I can't stop to chat here!\Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room!\S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care. response:	Kariu!
context: Sorry, but can you come with and show me?\If I waste too much time,\Hishiro will leave the staff room!\S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care.\Kariu! response:	Why do you have two bags?
context: If I waste too much time,\Hishiro will leave the staff room!\S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care.\Kariu!\Why do you have two bags? response:	Huh?
context: Hishiro will leave the staff room!\S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care.\Kariu!\Why do you have two bags?\Huh? response:	No reason.
context: S-Sorry.\I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care.\Kariu!\Why do you have two bags?\Huh?\No reason. response:	I mean, for my practice clothes...
context: I've gotta get home.\Sorry, but could you ask a teacher?\All right. Take care.\Kariu!\Why do you have two bags?\Huh?\No reason.\I mean, for my practice clothes... response:	No.
context: Sorry, but could you ask a teacher?\All right. Take care.\Kariu!\Why do you have two bags?\Huh?\No reason.\I mean, for my practice clothes...\No. response:	That's not it.
context: All right. Take care.\Kariu!\Why do you have two bags?\Huh?\No reason.\I mean, for my practice clothes...\No.\That's not it. response:	I recognize that bag.
context: Kariu!\Why do you have two bags?\Huh?\No reason.\I mean, for my practice clothes...\No.\That's not it.\I recognize that bag. response:	The green one.
context: Why do you have two bags?\Huh?\No reason.\I mean, for my practice clothes...\No.\That's not it.\I recognize that bag.\The green one. response:	Isn't that...
context: Huh?\No reason.\I mean, for my practice clothes...\No.\That's not it.\I recognize that bag.\The green one.\Isn't that... response:	Hishiro-san's?
context: No reason.\I mean, for my practice clothes...\No.\That's not it.\I recognize that bag.\The green one.\Isn't that...\Hishiro-san's? response:	Kariu?
context: I mean, for my practice clothes...\No.\That's not it.\I recognize that bag.\The green one.\Isn't that...\Hishiro-san's?\Kariu? response:	Hey, Kariu! Wait!
context: No.\That's not it.\I recognize that bag.\The green one.\Isn't that...\Hishiro-san's?\Kariu?\Hey, Kariu! Wait! response:	I said wait!
context: That's not it.\I recognize that bag.\The green one.\Isn't that...\Hishiro-san's?\Kariu?\Hey, Kariu! Wait!\I said wait! response:	No! Let go!
context: I recognize that bag.\The green one.\Isn't that...\Hishiro-san's?\Kariu?\Hey, Kariu! Wait!\I said wait!\No! Let go! response:	Kariu!
context: The green one.\Isn't that...\Hishiro-san's?\Kariu?\Hey, Kariu! Wait!\I said wait!\No! Let go!\Kariu! response:	Goodbye.
context: Isn't that...\Hishiro-san's?\Kariu?\Hey, Kariu! Wait!\I said wait!\No! Let go!\Kariu!\Goodbye. response:	Staff Room
context: Hishiro-san's?\Kariu?\Hey, Kariu! Wait!\I said wait!\No! Let go!\Kariu!\Goodbye.\Staff Room response:	Huh? Where's my bag?
context: Kariu?\Hey, Kariu! Wait!\I said wait!\No! Let go!\Kariu!\Goodbye.\Staff Room\Huh? Where's my bag? response:	Wait...
context: Hey, Kariu! Wait!\I said wait!\No! Let go!\Kariu!\Goodbye.\Staff Room\Huh? Where's my bag?\Wait... response:	What was that noise?
context: I said wait!\No! Let go!\Kariu!\Goodbye.\Staff Room\Huh? Where's my bag?\Wait...\What was that noise? response:	Fall
context: No! Let go!\Kariu!\Goodbye.\Staff Room\Huh? Where's my bag?\Wait...\What was that noise?\Fall response:	NEXT EPISODE
context: Kariu!\Goodbye.\Staff Room\Huh? Where's my bag?\Wait...\What was that noise?\Fall\NEXT EPISODE response:	I wasn't bad at sports,
context: Goodbye.\Staff Room\Huh? Where's my bag?\Wait...\What was that noise?\Fall\NEXT EPISODE\I wasn't bad at sports, response:	and despite taking two years to get into college, I wasn't bad at studying, either.
context: Staff Room\Huh? Where's my bag?\Wait...\What was that noise?\Fall\NEXT EPISODE\I wasn't bad at sports,\and despite taking two years to get into college, I wasn't bad at studying, either. response:	I went to grad school
context: Huh? Where's my bag?\Wait...\What was that noise?\Fall\NEXT EPISODE\I wasn't bad at sports,\and despite taking two years to get into college, I wasn't bad at studying, either.\I went to grad school response:	and managed to land a job all right.
context: Wait...\What was that noise?\Fall\NEXT EPISODE\I wasn't bad at sports,\and despite taking two years to get into college, I wasn't bad at studying, either.\I went to grad school\and managed to land a job all right. response:	Overlap
context: What was that noise?\Fall\NEXT EPISODE\I wasn't bad at sports,\and despite taking two years to get into college, I wasn't bad at studying, either.\I went to grad school\and managed to land a job all right.\Overlap response:	I thought I had a fulfilling adult life waiting for me.
