context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: That was close.\Thanks. Did Mr. Makishima also arrange this?\Yes.\Seal off the entire academy right away!\Use all the drones we've got!\We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?! response:	The security here is very tight at the entrances and exits,
context: Thanks. Did Mr. Makishima also arrange this?\Yes.\Seal off the entire academy right away!\Use all the drones we've got!\We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits, response:	but there's a whole lot of blind spots inside the grounds.
context: Yes.\Seal off the entire academy right away!\Use all the drones we've got!\We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds. response:	Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?
context: Seal off the entire academy right away!\Use all the drones we've got!\We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako? response:	With help from the lab back at Headquarters, yes.
context: Use all the drones we've got!\We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes. response:	A basic image search like that shouldn't take too long.
context: We don't have enough? Do something!\That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long. response:	Do it.
context: That's... Kagami...\How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it. response:	You mentioned the name Ouryou Rouichi, correct?
context: How is it possible that we can't find one single girl?!\The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct? response:	How did you find out such an artist existed?
context: The security here is very tight at the entrances and exits,\but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed? response:	Originality, right, Kougami?
context: but there's a whole lot of blind spots inside the grounds.\Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami? response:	What?
context: Can you analyze the footage from the security cameras over the past few days to isolate Ouryou Rikako?\With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami?\What? response:	Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...
context: With help from the lab back at Headquarters, yes.\A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um... response:	Kougami.
context: A basic image search like that shouldn't take too long.\Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami. response:	Did you know that these two murders were not by Touma Kouzaburo from the start?
context: Do it.\You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start? response:	The culprit this time decided where to exhibit the bodies
context: You mentioned the name Ouryou Rouichi, correct?\How did you find out such an artist existed?\Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies response:	based solely on where it would draw the most attention.
context: How did you find out such an artist existed?\Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention. response:	Touma Kouzaburo would never pick a park twice in a row.
context: Originality, right, Kougami?\What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row. response:	Even so, we still can't say for sure that it was all done by Ouryou Rikako.
context: What?\Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako. response:	Either way,
context: Well, that's because... the message the culprit was sending was too boring, so... by profiling, um...\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way, response:	we can't let someone with a Crime Coefficient like that run free.
context: Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free. response:	Right?
context: Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free.\Right? response:	Image search completed.
context: The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed. response:	I'll browse through them.
context: based solely on where it would draw the most attention.\Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed.\I'll browse through them. response:	Oh... Looks like she's a sociable girl.
context: Touma Kouzaburo would never pick a park twice in a row.\Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl. response:	She always has a few followers by her side.
context: Even so, we still can't say for sure that it was all done by Ouryou Rikako.\Either way,\we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side. response:	Where's this camera?
context: Either way,\we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera? response:	The garbage disposal facility behind the dorm.
context: we can't let someone with a Crime Coefficient like that run free.\Right?\Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm. response:	What was she doing in a place like that?
context: Right?\Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that? response:	Kougami.
context: Image search completed.\I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami. response:	Did you know that these two murders were not by Touma Kouzaburo from the start?
context: I'll browse through them.\Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start? response:	The culprit this time decided where to exhibit the bodies
context: Oh... Looks like she's a sociable girl.\She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies response:	based solely on where it would draw the most attention.
context: She always has a few followers by her side.\Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention. response:	Mr. Shibata, so you like music?
context: Where's this camera?\The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music? response:	Yes. I'm always looking for new artists.
context: The garbage disposal facility behind the dorm.\What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists. response:	I really enjoy finding interesting new talent.
context: What was she doing in a place like that?\Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent. response:	V-Vice Principal!
context: Kougami.\Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal! response:	Student bodies have been found on Academy grounds!
context: Did you know that these two murders were not by Touma Kouzaburo from the start?\The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds! response:	What?!
context: The culprit this time decided where to exhibit the bodies\based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds!\What?! response:	So you were close to her, huh?
context: based solely on where it would draw the most attention.\Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh? response:	You can tell?
context: Mr. Shibata, so you like music?\Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh?\You can tell? response:	Yeah, from the look on your face.
context: Yes. I'm always looking for new artists.\I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh?\You can tell?\Yeah, from the look on your face. response:	I failed to tell her something important.
context: I really enjoy finding interesting new talent.\V-Vice Principal!\Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh?\You can tell?\Yeah, from the look on your face.\I failed to tell her something important. response:	She kept talking about Yoshika...
context: V-Vice Principal!\Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh?\You can tell?\Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika... response:	She wasn't thinking about me at all.
context: Student bodies have been found on Academy grounds!\What?!\So you were close to her, huh?\You can tell?\Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all. response:	I was the one who suggested she ask Ouryou Rikako.
context: What?!\So you were close to her, huh?\You can tell?\Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako. response:	I shouldn't have let her go alone!
context: So you were close to her, huh?\You can tell?\Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone! response:	It's as if I killed her myself!
context: You can tell?\Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself! response:	Cry while you can.
context: Yeah, from the look on your face.\I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can. response:	Otherwise, your Hue will get cloudy.
context: I failed to tell her something important.\She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy. response:	There are too many things that can't be explained.
context: She kept talking about Yoshika...\She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained. response:	Ouryou Rikako's escape route,
context: She wasn't thinking about me at all.\I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route, response:	that equipment in the basement...
context: I was the one who suggested she ask Ouryou Rikako.\I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement... response:	No matter how you look at it, there's no way a high school girl could prepare those by herself.
context: I shouldn't have let her go alone!\It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself. response:	There's something going on behind the scenes this time, too.
context: It's as if I killed her myself!\Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too. response:	It's possible that, like you said
context: Cry while you can.\Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said response:	This is odd.
context: Otherwise, your Hue will get cloudy.\There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd. response:	What's the matter?
context: There are too many things that can't be explained.\Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd.\What's the matter? response:	There's some damaged data.
context: Ouryou Rikako's escape route,\that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd.\What's the matter?\There's some damaged data. response:	When Kunizuka did the search earlier, all the recordings were fine.
context: that equipment in the basement...\No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd.\What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine. response:	Looks like the damage was focused on the art room camera's data.
context: No matter how you look at it, there's no way a high school girl could prepare those by herself.\There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd.\What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data. response:	It's all been destroyed.
context: There's something going on behind the scenes this time, too.\It's possible that, like you said\This is odd.\What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed. response:	Except this one. Looks like we can restore the sound.
context: It's possible that, like you said\This is odd.\What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound. response:	Why did you only choose students within this school for your works of art?
context: This is odd.\What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art? response:	The academy is a girls' boarding school.
context: What's the matter?\There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school. response:	What do you think of their education policy, Mr. Makishima?
context: There's some damaged data.\When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima? response:	Is this really the correct route?
context: When Kunizuka did the search earlier, all the recordings were fine.\Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route? response:	Choe Gu-Sung?
context: Looks like the damage was focused on the art room camera's data.\It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung? response:	Just in case, I'd like to ask you a question before this is all over.
context: It's all been destroyed.\Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over. response:	Ouryou Rikako...
context: Except this one. Looks like we can restore the sound.\Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako... response:	Do you yourself realize how you came to disappoint me?
context: Why did you only choose students within this school for your works of art?\The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me? response:	What are you talking about?
context: The academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about? response:	What did I do?
context: What do you think of their education policy, Mr. Makishima?\Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do? response:	Well... If you don't realize it, then I guess you can't reflect on it either.
context: Is this really the correct route?\Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either. response:	As I suspected, it seems that I can't expect any more growth from you.
context: Choe Gu-Sung?\Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you. response:	It's unfortunate. I saw great promise in you at first.
context: Just in case, I'd like to ask you a question before this is all over.\Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first. response:	Sir... Mr. Makishima!
context: Ouryou Rikako...\Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima! response:	What on Earth do you mean?
context: Do you yourself realize how you came to disappoint me?\What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean? response:	I believe this is a line by Tamora, the Queen of Goths.
context: What are you talking about?\What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths. response:	No, let them satisfy their lust on thee.
context: What did I do?\Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee. response:	No service
context: Well... If you don't realize it, then I guess you can't reflect on it either.\As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service response:	No service
context: As I suspected, it seems that I can't expect any more growth from you.\It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service\No service response:	No service
context: It's unfortunate. I saw great promise in you at first.\Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service\No service\No service response:	No service
context: Sir... Mr. Makishima!\What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service\No service\No service\No service response:	No service
context: What on Earth do you mean?\I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service\No service\No service\No service\No service response:	No service
context: I believe this is a line by Tamora, the Queen of Goths.\No, let them satisfy their lust on thee.\No service\No service\No service\No service\No service\No service response:	Una ble to access network
context: No, let them satisfy their lust on thee.\No service\No service\No service\No service\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\No service\No service\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\No service\No service\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: No service\No service\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: No service\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	Wh-What's going on?
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\Wh-What's going on? response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\Wh-What's going on?\No service response:	No service
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\Wh-What's going on?\No service\No service response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\Wh-What's going on?\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\Una ble to access network\Una ble to access network\Wh-What's going on?\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: Una ble to access network\Una ble to access network\Wh-What's going on?\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Wh-What's going on?\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Wh-What's going on?\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
