context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed? response:	Disappointed...
context: Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed?\Disappointed... response:	With war in a alternate world
context: But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed?\Disappointed...\With war in a alternate world response:	and the summoning of a Hero,
context: We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed?\Disappointed...\With war in a alternate world\and the summoning of a Hero, response:	this is exactly like the worlds in the fantasy novels that Becky likes.
context: The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed?\Disappointed...\With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes. response:	If I calmly think about this, I'm definitely dreaming.
context: And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed.\Disappointed?\Disappointed...\With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming. response:	Excuse me, Princess.
context: everyone who has been working hard will be disappointed.\Disappointed?\Disappointed...\With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess. response:	Yes?
context: Disappointed?\Disappointed...\With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes? response:	I'm the Hero of this country?
context: Disappointed...\With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes?\I'm the Hero of this country? response:	Yes, you were found by us.
context: With war in a alternate world\and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes?\I'm the Hero of this country?\Yes, you were found by us. response:	I have no doubt that you are the one.
context: and the summoning of a Hero,\this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes?\I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one. response:	You are the Hero of my country.
context: this is exactly like the worlds in the fantasy novels that Becky likes.\If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes?\I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country. response:	In that case, I'll acknowledge your summoning.
context: If I calmly think about this, I'm definitely dreaming.\Excuse me, Princess.\Yes?\I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning. response:	I'll prevent everyone from being disappointed.
context: Excuse me, Princess.\Yes?\I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed. response:	I, Sink the Hero, will give it my all!
context: Yes?\I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all! response:	Thank you very much!
context: I'm the Hero of this country?\Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much! response:	Me too.
context: Yes, you were found by us.\I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much!\Me too. response:	Well then, let's return to the palace at once.
context: I have no doubt that you are the one.\You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much!\Me too.\Well then, let's return to the palace at once. response:	Your equipment and weapons have already been prepared.
context: You are the Hero of my country.\In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much!\Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared. response:	Tatsumaki! Haran!
context: In that case, I'll acknowledge your summoning.\I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much!\Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran! response:	Let's go, Haran!
context: I'll prevent everyone from being disappointed.\I, Sink the Hero, will give it my all!\Thank you very much!\Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran! response:	Well then, Sir Hero.
context: I, Sink the Hero, will give it my all!\Thank you very much!\Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero. response:	Yes, Princess!
context: Thank you very much!\Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero.\Yes, Princess! response:	Whoa! It's flying!
context: Me too.\Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying! response:	It can fly!
context: Well then, let's return to the palace at once.\Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying!\It can fly! response:	Haran is really good at flying!
context: Your equipment and weapons have already been prepared.\Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying!\It can fly!\Haran is really good at flying! response:	I don't care if this is a dream or reality!
context: Tatsumaki! Haran!\Let's go, Haran!\Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying!\It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality! response:	This place is amazingly interesting!
context: Let's go, Haran!\Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying!\It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting! response:	It'll be a waste if I don't have some fun before I go back!
context: Well then, Sir Hero.\Yes, Princess!\Whoa! It's flying!\It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back! response:	Oh! The Princess is coming back with a Hero!
context: Yes, Princess!\Whoa! It's flying!\It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero! response:	Everyone, we've just received important news!
context: Whoa! It's flying!\It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news! response:	Princess Millhiore has summoned a Hero at this critical moment!
context: It can fly!\Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment! response:	This is incredible!
context: Haran is really good at flying!\I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible! response:	It's also my first time seeing a Hero present on the battlefield!
context: I don't care if this is a dream or reality!\This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield! response:	So, what kind of hero will the Hero of Biscotti be?
context: This place is amazingly interesting!\It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be? response:	Maidservants of Frianno Castle,
context: It'll be a waste if I don't have some fun before I go back!\Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle, response:	have the Hero's clothes and armor been prepared?
context: Oh! The Princess is coming back with a Hero!\Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared? response:	Yes, ma'am!
context: Everyone, we've just received important news!\Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am! response:	Very good. As soon as the Hero arrives,
context: Princess Millhiore has summoned a Hero at this critical moment!\This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives, response:	complete his change of clothes within thirty seconds!
context: This is incredible!\It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds! response:	Roger!
context: It's also my first time seeing a Hero present on the battlefield!\So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger! response:	A Hero?
context: So, what kind of hero will the Hero of Biscotti be?\Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger!\A Hero? response:	Really?
context: Maidservants of Frianno Castle,\have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger!\A Hero?\Really? response:	Princess!
context: have the Hero's clothes and armor been prepared?\Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger!\A Hero?\Really?\Princess! response:	Rita, I'm back!
context: Yes, ma'am!\Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger!\A Hero?\Really?\Princess!\Rita, I'm back! response:	The Hero is here too, right?
context: Very good. As soon as the Hero arrives,\complete his change of clothes within thirty seconds!\Roger!\A Hero?\Really?\Princess!\Rita, I'm back!\The Hero is here too, right? response:	Yes, he's our wonderful Hero!
context: complete his change of clothes within thirty seconds!\Roger!\A Hero?\Really?\Princess!\Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero! response:	People of Biscotti,
context: Roger!\A Hero?\Really?\Princess!\Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti, response:	and people of the Galette Lion Army,
context: A Hero?\Really?\Princess!\Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army, response:	sorry to keep all of you waiting!
context: Really?\Princess!\Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting! response:	Although Biscotti has been continuously losing lately,
context: Princess!\Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately, response:	that kind of poor development will end today!
context: Rita, I'm back!\The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today! response:	The one who will bring hope and victory to Biscotti,
context: The Hero is here too, right?\Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti, response:	our wonderful Hero, has finally arrived!
context: Yes, he's our wonderful Hero!\People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived! response:	He has appeared on the battlefield looking magnificent and striking!
context: People of Biscotti,\and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking! response:	I have answered the call of the Princess's summoning!
context: and people of the Galette Lion Army,\sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning! response:	I am Sink the Hero!
context: sorry to keep all of you waiting!\Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero! response:	I will now face the lot of you!
context: Although Biscotti has been continuously losing lately,\that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero!\I will now face the lot of you! response:	Birth of a Hero!
context: that kind of poor development will end today!\The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero!\I will now face the lot of you!\Birth of a Hero! response:	ED
context: The one who will bring hope and victory to Biscotti,\our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero!\I will now face the lot of you!\Birth of a Hero!\ED response:	Hey, Sir Hero, are you all right?
context: our wonderful Hero, has finally arrived!\He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero!\I will now face the lot of you!\Birth of a Hero!\ED\Hey, Sir Hero, are you all right? response:	L-Landing failed.
context: He has appeared on the battlefield looking magnificent and striking!\I have answered the call of the Princess's summoning!\I am Sink the Hero!\I will now face the lot of you!\Birth of a Hero!\ED\Hey, Sir Hero, are you all right?\L-Landing failed. response:	Um, well, please continue helping us in the next episode too!
