context: *Episode 10 response:	Episode title: Cooperation
context: I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do?\Wh\What?\What should you do? response:	She needs my help, but I can't think of anything.
context: You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do?\Wh\What?\What should you do?\She needs my help, but I can't think of anything. response:	Actually, I want you to help me.
context: I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do?\Wh\What?\What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me. response:	Me? Be of use to her?
context: I wonder what I should do.\What should I do?\Wh\What?\What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her? response:	A-Am I good enough?
context: What should I do?\Wh\What?\What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough? response:	Are you good enough?
context: Wh\What?\What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough?\Are you good enough? response:	You're the only one who is.
context: What?\What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough?\Are you good enough?\You're the only one who is. response:	I think this is the first time I've ever been so depended on.
context: What should you do?\She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough?\Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on. response:	I-I'll do my best.
context: She needs my help, but I can't think of anything.\Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough?\Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best. response:	Really?
context: Actually, I want you to help me.\Me? Be of use to her?\A-Am I good enough?\Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really? response:	Thank god.
context: Me? Be of use to her?\A-Am I good enough?\Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really?\Thank god. response:	But what exactly do you want me to do?
context: A-Am I good enough?\Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really?\Thank god.\But what exactly do you want me to do? response:	Don't worry, I'll tell you exactly.
context: Are you good enough?\You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really?\Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly. response:	But wouldn't I ruin the mood?
context: You're the only one who is.\I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really?\Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood? response:	It'll be fine.
context: I think this is the first time I've ever been so depended on.\I-I'll do my best.\Really?\Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine. response:	It's someone you know well.
context: I-I'll do my best.\Really?\Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well. response:	Kazehaya.
context: Really?\Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well.\Kazehaya. response:	Kazehaya is the one I like.
context: Thank god.\But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well.\Kazehaya.\Kazehaya is the one I like. response:	Kazehaya-kun?
context: But what exactly do you want me to do?\Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well.\Kazehaya.\Kazehaya is the one I like.\Kazehaya-kun? response:	Uncertain feelings.
context: Don't worry, I'll tell you exactly.\But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well.\Kazehaya.\Kazehaya is the one I like.\Kazehaya-kun?\Uncertain feelings. response:	Incomparable emotions.
context: But wouldn't I ruin the mood?\It'll be fine.\It's someone you know well.\Kazehaya.\Kazehaya is the one I like.\Kazehaya-kun?\Uncertain feelings.\Incomparable emotions. response:	Next episode: Special?
