context: Why? response:	Why couldn't you find it anywhere in Izumo?
context: A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro.\Rokuro!\I have no choice.\These ropes cannot be cut.\Saizo. response:	You think you can do whatever you want?
context: How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro.\Rokuro!\I have no choice.\These ropes cannot be cut.\Saizo.\You think you can do whatever you want? response:	I'll kill you!
context: Everyone's made it to safety.\Do it, Rokuro.\Rokuro!\I have no choice.\These ropes cannot be cut.\Saizo.\You think you can do whatever you want?\I'll kill you! response:	Ninpo Samidare!
context: Do it, Rokuro.\Rokuro!\I have no choice.\These ropes cannot be cut.\Saizo.\You think you can do whatever you want?\I'll kill you!\Ninpo Samidare! response:	You can't evade what you can't see.
context: Rokuro!\I have no choice.\These ropes cannot be cut.\Saizo.\You think you can do whatever you want?\I'll kill you!\Ninpo Samidare!\You can't evade what you can't see. response:	That's what you call a feat of Marici.
context: I have no choice.\These ropes cannot be cut.\Saizo.\You think you can do whatever you want?\I'll kill you!\Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici. response:	Not a problem.
context: These ropes cannot be cut.\Saizo.\You think you can do whatever you want?\I'll kill you!\Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem. response:	I'll simply cut them all down.
context: Saizo.\You think you can do whatever you want?\I'll kill you!\Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down. response:	It's nothing more than a distraction.
context: You think you can do whatever you want?\I'll kill you!\Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction. response:	Is this all the alleged prodigal ninja can do?
context: I'll kill you!\Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do? response:	The Iga ninja, Kirigakure,
context: Ninpo Samidare!\You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure, response:	also known as Marici because no one is able to cut him.
context: You can't evade what you can't see.\That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him. response:	I can't tell you how many times I've heard the name.
context: That's what you call a feat of Marici.\Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name. response:	What about it?
context: Not a problem.\I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it? response:	Now it's my turn.
context: I'll simply cut them all down.\It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it?\Now it's my turn. response:	Too bad.
context: It's nothing more than a distraction.\Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it?\Now it's my turn.\Too bad. response:	Om Sumbha Nisumbha Hum Vajra Hum Phat.
context: Is this all the alleged prodigal ninja can do?\The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it?\Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat. response:	Ougi Kasho Zanmai!
context: The Iga ninja, Kirigakure,\also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it?\Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai! response:	Saizo!
context: also known as Marici because no one is able to cut him.\I can't tell you how many times I've heard the name.\What about it?\Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo! response:	Saizo...
context: I can't tell you how many times I've heard the name.\What about it?\Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo!\Saizo... response:	Terrible... Terrible, terrible!
context: What about it?\Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo!\Saizo...\Terrible... Terrible, terrible! response:	Miss, you'll be coming with me.
context: Now it's my turn.\Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo!\Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me. response:	It's my job.
context: Too bad.\Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo!\Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job. response:	Damn it...
context: Om Sumbha Nisumbha Hum Vajra Hum Phat.\Ougi Kasho Zanmai!\Saizo!\Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job.\Damn it... response:	You're dazzling in my eyes, Saizo.
context: Ougi Kasho Zanmai!\Saizo!\Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job.\Damn it...\You're dazzling in my eyes, Saizo. response:	Let us be on our way.
context: Saizo!\Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job.\Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way. response:	I won't let you take her.
context: Saizo...\Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job.\Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her. response:	You don't know when to give up, do you?
context: Terrible... Terrible, terrible!\Miss, you'll be coming with me.\It's my job.\Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her.\You don't know when to give up, do you? response:	Have you changed your mind about me?
context: Miss, you'll be coming with me.\It's my job.\Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me? response:	Why... won't you die?
context: It's my job.\Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die? response:	Saizo, Isanami.
context: Damn it...\You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami. response:	The Sanada ninja.
context: You're dazzling in my eyes, Saizo.\Let us be on our way.\I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami.\The Sanada ninja. response:	Defeated Okatsu, did you?
context: Let us be on our way.\I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you? response:	Unfortunately, we'll have to postpone this battle.
context: I won't let you take her.\You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle. response:	Wait!
context: You don't know when to give up, do you?\Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait! response:	Saizo,
context: Have you changed your mind about me?\Why... won't you die?\Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait!\Saizo, response:	Isanami.
context: Why... won't you die?\Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait!\Saizo,\Isanami. response:	Saizo!
context: Saizo, Isanami.\The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait!\Saizo,\Isanami.\Saizo! response:	Shut up.
context: The Sanada ninja.\Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait!\Saizo,\Isanami.\Saizo!\Shut up. response:	You're way too loud, monkey.
context: Defeated Okatsu, did you?\Unfortunately, we'll have to postpone this battle.\Wait!\Saizo,\Isanami.\Saizo!\Shut up.\You're way too loud, monkey. response:	My head's pounding.
context: Unfortunately, we'll have to postpone this battle.\Wait!\Saizo,\Isanami.\Saizo!\Shut up.\You're way too loud, monkey.\My head's pounding. response:	Perhaps you had too much to drink.
context: Wait!\Saizo,\Isanami.\Saizo!\Shut up.\You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink. response:	You should retire early tonight.
context: Saizo,\Isanami.\Saizo!\Shut up.\You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight. response:	No, it's because you
context: Isanami.\Saizo!\Shut up.\You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you response:	If you have trouble sleeping, I can help you.
context: Saizo!\Shut up.\You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you. response:	That's quite all right!
context: Shut up.\You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right! response:	If anything, I'd like to use a lady's chest as a pillow.
context: You're way too loud, monkey.\My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right!\If anything, I'd like to use a lady's chest as a pillow. response:	What're you doing, old man?
context: My head's pounding.\Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right!\If anything, I'd like to use a lady's chest as a pillow.\What're you doing, old man? response:	You'll get in the way if you sleep out in the hallway.
context: Perhaps you had too much to drink.\You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right!\If anything, I'd like to use a lady's chest as a pillow.\What're you doing, old man?\You'll get in the way if you sleep out in the hallway. response:	The next episode of Brave 10 is The Valley of Whirlwinds.
context: You should retire early tonight.\No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right!\If anything, I'd like to use a lady's chest as a pillow.\What're you doing, old man?\You'll get in the way if you sleep out in the hallway.\The next episode of Brave 10 is The Valley of Whirlwinds. response:	Bring it on!
context: No, it's because you\If you have trouble sleeping, I can help you.\That's quite all right!\If anything, I'd like to use a lady's chest as a pillow.\What're you doing, old man?\You'll get in the way if you sleep out in the hallway.\The next episode of Brave 10 is The Valley of Whirlwinds.\Bring it on! response:	The Valley of Whirlwinds
