context: I hate everything about this. response:	This sunshine, beating down on you from morning onward...
context: Well, like piano music...\I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend? response:	No, I'm not his friend, just a...
context: I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a... response:	Come on, go in.
context: You play the piano?!\Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a...\Come on, go in. response:	Go ahead.
context: Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a...\Come on, go in.\Go ahead. response:	What is this?
context: Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a...\Come on, go in.\Go ahead.\What is this? response:	What the hell are you doin' here?!
context: Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a...\Come on, go in.\Go ahead.\What is this?\What the hell are you doin' here?! response:	Th-That's what I want to ask you!
context: Dad, Kaoru-san is a good friend of mine and Sentaro.\Sen's friend?\No, I'm not his friend, just a...\Come on, go in.\Go ahead.\What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you! response:	Ri'ko! We got an intruder!
context: Sen's friend?\No, I'm not his friend, just a...\Come on, go in.\Go ahead.\What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder! response:	Listen to this, Sentaro! Kaoru-san says he can play piano!
context: No, I'm not his friend, just a...\Come on, go in.\Go ahead.\What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano! response:	Yeah, I know, I know.
context: Come on, go in.\Go ahead.\What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know. response:	But bet you anything it's just rich kid stuffed shirt classical stuff.
context: Go ahead.\What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff. response:	Jazz is the only music for me.
context: What is this?\What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me. response:	Kaoru-san... Kaoru-san?
context: What the hell are you doin' here?!\Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san? response:	Say, Kaoru-san, go on and play the piano!
context: Th-That's what I want to ask you!\Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano! response:	Oh, I don't...
context: Ri'ko! We got an intruder!\Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't... response:	Ri'ko, only jazz is allowed in here!
context: Listen to this, Sentaro! Kaoru-san says he can play piano!\Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here! response:	If it's the piano you want, I'll play it.
context: Yeah, I know, I know.\But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it. response:	Oh, I know this piece...
context: But bet you anything it's just rich kid stuffed shirt classical stuff.\Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece... response:	I can't hear any more. It's like this.
context: Jazz is the only music for me.\Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this. response:	Wrong! That ain't even close!
context: Kaoru-san... Kaoru-san?\Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close! response:	What are you talking about?! I played it exactly right!
context: Say, Kaoru-san, go on and play the piano!\Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right! response:	There wasn't any swing!
context: Oh, I don't...\Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing! response:	If you play it without feelin' it, it don't sound like no jazz to me!
context: Ri'ko, only jazz is allowed in here!\If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me! response:	Say, I'd love to hear you two do a session together!
context: If it's the piano you want, I'll play it.\Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together! response:	Nah, Ri'ko. That's a no-go.
context: Oh, I know this piece...\I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go. response:	This guy don't get jazz and he's got no sense for it.
context: I can't hear any more. It's like this.\Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it. response:	A little practice and playing that'll be a cinch!
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch! response:	Hmph!
context: What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph! response:	Thank you for having me over.
context: There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over. response:	Um, Kaoru-san! Come back again, okay?
context: If you play it without feelin' it, it don't sound like no jazz to me!\Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay? response:	Ri-chan, do you know the name of the tune he was playing on the piano?
context: Say, I'd love to hear you two do a session together!\Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano? response:	Um...
context: Nah, Ri'ko. That's a no-go.\This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um... response:	The only thing Sen can play on the piano is the intro to this.
context: This guy don't get jazz and he's got no sense for it.\A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this. response:	Art Blakey and the Jazz Messengers' Moanin'.
context: A little practice and playing that'll be a cinch!\Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'. response:	I'd like this, please.
context: Hmph!\Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please. response:	Wasn't he here to buy classical music?
context: Thank you for having me over.\Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music? response:	Yeah...
context: Um, Kaoru-san! Come back again, okay?\Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music?\Yeah... response:	I don't know why...
context: Ri-chan, do you know the name of the tune he was playing on the piano?\Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music?\Yeah...\I don't know why... response:	Kaoru-san?
context: Um...\The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music?\Yeah...\I don't know why...\Kaoru-san? response:	W-What?
context: The only thing Sen can play on the piano is the intro to this.\Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music?\Yeah...\I don't know why...\Kaoru-san?\W-What? response:	Aren't you walking strange?
context: Art Blakey and the Jazz Messengers' Moanin'.\I'd like this, please.\Wasn't he here to buy classical music?\Yeah...\I don't know why...\Kaoru-san?\W-What?\Aren't you walking strange? response:	Really? This is how I always walk.
context: I'd like this, please.\Wasn't he here to buy classical music?\Yeah...\I don't know why...\Kaoru-san?\W-What?\Aren't you walking strange?\Really? This is how I always walk. response:	Ow!
context: Wasn't he here to buy classical music?\Yeah...\I don't know why...\Kaoru-san?\W-What?\Aren't you walking strange?\Really? This is how I always walk.\Ow! response:	Ri'ko! Richie! See ya's!
context: Yeah...\I don't know why...\Kaoru-san?\W-What?\Aren't you walking strange?\Really? This is how I always walk.\Ow!\Ri'ko! Richie! See ya's! response:	You're running down this slope that I hate so much like it's nothing...
context: I don't know why...\Kaoru-san?\W-What?\Aren't you walking strange?\Really? This is how I always walk.\Ow!\Ri'ko! Richie! See ya's!\You're running down this slope that I hate so much like it's nothing... response:	What can you see beyond the hill?
context: Kaoru-san?\W-What?\Aren't you walking strange?\Really? This is how I always walk.\Ow!\Ri'ko! Richie! See ya's!\You're running down this slope that I hate so much like it's nothing...\What can you see beyond the hill? response:	Is it an outlook that I've never seen?
