context: I think we should use the same members we've been using for the next match. response:	I think we should go without Desktomu-kun.
context: Are you working hard?\One page should be enough, right?\So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'. response:	I'm sure that everybody already knows this,
context: One page should be enough, right?\So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this, response:	but our biggest obstacle is the third-year Ousaka Megumu.
context: So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu. response:	Who's that?
context: Quality over quantity.\Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that? response:	Idiot!
context: Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot! response:	Do you have the mind of an infant?!
context: Why is it?\It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot!\Do you have the mind of an infant?! response:	She was the West representative in last year's Queen match!
context: It seems I only ever run into them during matches.\Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match! response:	Didn't you watch Yumin's match with us?!
context: Our opponent in the semifinals will be First Akashi Girls'.\I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?! response:	The girl who lost a close back-and-forth game to Yamamoto Yumi-san...
context: I'm sure that everybody already knows this,\but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san... response:	the strongest girl in western Japan!
context: but our biggest obstacle is the third-year Ousaka Megumu.\Who's that?\Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan! response:	I wanna play her!
context: Who's that?\Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her! response:	Their match was in a different area, so I didn't get to watch them,
context: Idiot!\Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them, response:	but Hanano-san helped scout them out.
context: Do you have the mind of an infant?!\She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out. response:	That's where these notes about bags and straps came from?
context: She was the West representative in last year's Queen match!\Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from? response:	First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag
context: Didn't you watch Yumin's match with us?!\The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag response:	This has nothing to do with karuta.
context: The girl who lost a close back-and-forth game to Yamamoto Yumi-san...\the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta. response:	It's useless...
context: the strongest girl in western Japan!\I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless... response:	I-It's not my fault!
context: I wanna play her!\Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless...\I-It's not my fault! response:	I couldn't see the cards from my position!
context: Their match was in a different area, so I didn't get to watch them,\but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless...\I-It's not my fault!\I couldn't see the cards from my position! response:	Plus, I don't really understand how karuta works...
context: but Hanano-san helped scout them out.\That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless...\I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works... response:	It's okay.
context: That's where these notes about bags and straps came from?\First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless...\I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay. response:	You were very observant.
context: First Akashi Girls' all look ordinary Girl in front (with long hair) Pink checkered handbag (Ponita) white hand towel pink macaroon phone strap Girl with glasses (ordinary, sharp-tongued, popular) black handbag\This has nothing to do with karuta.\It's useless...\I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay.\You were very observant. response:	We can tell from these notes that, aside from Ousaka Megumu,
context: This has nothing to do with karuta.\It's useless...\I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu, response:	the others are ordinary girls who didn't start playing karuta until high school.
context: It's useless...\I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school. response:	They probably place more emphasis on the meanings,
context: I-It's not my fault!\I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings, response:	so they're probably good at love poems.
context: I couldn't see the cards from my position!\Plus, I don't really understand how karuta works...\It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems. response:	Yuube-san is a little boyish with simple taste.
context: Plus, I don't really understand how karuta works...\It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste. response:	She might place more emphasis on sound.
context: It's okay.\You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound. response:	There's also their names. Make sure you check their names.
context: You were very observant.\We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names. response:	Names?
context: We can tell from these notes that, aside from Ousaka Megumu,\the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names? response:	In Ousaka Megumu's case,
context: the others are ordinary girls who didn't start playing karuta until high school.\They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case, response:	she's probably good at While it pains, While it may, While it brings, and Long,
context: They probably place more emphasis on the meanings,\so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long, response:	the cards with the starting sounds of her name.
context: so they're probably good at love poems.\Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name. response:	As for their order,
context: Yuube-san is a little boyish with simple taste.\She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order, response:	the Class A players Ousaka-san and Yuube-san
context: She might place more emphasis on sound.\There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san response:	have been in these positions every match,
context: There's also their names. Make sure you check their names.\Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match, response:	so it's likely that won't change.
context: Names?\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change. response:	In that case, the best scenario for us would be
context: In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be response:	to avoid matching Ayase, Mashima,
context: she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima, response:	and Porky against their Class A players.
context: the cards with the starting sounds of her name.\As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players. response:	But our ace is aggressive.
context: As for their order,\the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive. response:	She wants to play strong opponents.
context: the Class A players Ousaka-san and Yuube-san\have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents. response:	Then...
context: have been in these positions every match,\so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents.\Then... response:	Put me in the s-second position...
context: so it's likely that won't change.\In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents.\Then...\Put me in the s-second position... response:	I've been in either the first or third position every game,
context: In that case, the best scenario for us would be\to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents.\Then...\Put me in the s-second position...\I've been in either the first or third position every game, response:	so I'll probably end up against a Class B player
context: to avoid matching Ayase, Mashima,\and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents.\Then...\Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player response:	in the second position.
context: and Porky against their Class A players.\But our ace is aggressive.\She wants to play strong opponents.\Then...\Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position. response:	Chihaya's thinking of our best chance to win.
context: But our ace is aggressive.\She wants to play strong opponents.\Then...\Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win. response:	We only need two more victories...
context: She wants to play strong opponents.\Then...\Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories... response:	She's focused on being best in Japan!
context: Then...\Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan! response:	Okay, we'll go with that.
context: Put me in the s-second position...\I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that. response:	Ayase,
context: I've been in either the first or third position every game,\so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that.\Ayase, response:	If you really want to win, here's my advice.
context: so I'll probably end up against a Class B player\in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice. response:	I've been meaning to talk to you about this...
context: in the second position.\Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this... response:	At the end of our match against Hokuo,
context: Chihaya's thinking of our best chance to win.\We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo, response:	you surrendered a card because you both touched it at the same time.
context: We only need two more victories...\She's focused on being best in Japan!\Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time. response:	You can't give up when it's close.
context: She's focused on being best in Japan!\Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close. response:	If you want to win, you have to fight for every card.
context: Okay, we'll go with that.\Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card. response:	Mashima!
context: Ayase,\If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima! response:	Win!
context: If you really want to win, here's my advice.\I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima!\Win! response:	We'll have a repeat of the Tokyo regional finals!
context: I've been meaning to talk to you about this...\At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima!\Win!\We'll have a repeat of the Tokyo regional finals! response:	Will the semifinalist teams please enter.
context: At the end of our match against Hokuo,\you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima!\Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter. response:	Mizusawa High School against First Akashi Girls' High School.
context: you surrendered a card because you both touched it at the same time.\You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima!\Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School. response:	Fujisaki High School against Hokuo Academy.
context: You can't give up when it's close.\If you want to win, you have to fight for every card.\Mashima!\Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy. response:	Victory for Fujisaki
context: If you want to win, you have to fight for every card.\Mashima!\Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki response:	I know that Fujisaki's famous, but their supporters really stand out.
context: Mashima!\Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out. response:	There are so many of them.
context: Win!\We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them. response:	Excuse me for a moment.
context: We'll have a repeat of the Tokyo regional finals!\Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment. response:	Could you hold the other side for me?
context: Will the semifinalist teams please enter.\Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment.\Could you hold the other side for me? response:	I'm here to support Fujisaki...
context: Mizusawa High School against First Akashi Girls' High School.\Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki... response:	Oh, dear.
context: Fujisaki High School against Hokuo Academy.\Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear. response:	What about you?
context: Victory for Fujisaki\I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear.\What about you? response:	No good?
context: I know that Fujisaki's famous, but their supporters really stand out.\There are so many of them.\Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear.\What about you?\No good? response:	I'll hold it.
context: There are so many of them.\Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear.\What about you?\No good?\I'll hold it. response:	Oh, thank you!
context: Excuse me for a moment.\Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear.\What about you?\No good?\I'll hold it.\Oh, thank you! response:	Hokuo Victory!
context: Could you hold the other side for me?\I'm here to support Fujisaki...\Oh, dear.\What about you?\No good?\I'll hold it.\Oh, thank you!\Hokuo Victory! response:	Sudo-san...
context: I'm here to support Fujisaki...\Oh, dear.\What about you?\No good?\I'll hold it.\Oh, thank you!\Hokuo Victory!\Sudo-san... response:	And all those alumni...
context: Oh, dear.\What about you?\No good?\I'll hold it.\Oh, thank you!\Hokuo Victory!\Sudo-san...\And all those alumni... response:	The Omi Jingu Learning Center.
context: What about you?\No good?\I'll hold it.\Oh, thank you!\Hokuo Victory!\Sudo-san...\And all those alumni...\The Omi Jingu Learning Center. response:	The Urayasu room.
context: No good?\I'll hold it.\Oh, thank you!\Hokuo Victory!\Sudo-san...\And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room. response:	A new Master and Queen are crowned here every year.
context: I'll hold it.\Oh, thank you!\Hokuo Victory!\Sudo-san...\And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year. response:	Where I played against Shinobu-chan last summer...
context: Oh, thank you!\Hokuo Victory!\Sudo-san...\And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer... response:	I saw the Queen!
context: Hokuo Victory!\Sudo-san...\And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen! response:	She was with someone from Fukui.
context: Sudo-san...\And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui. response:	Listen up, everyone.
context: And all those alumni...\The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui.\Listen up, everyone. response:	I'm putting Chihaya in the number three position.
context: The Omi Jingu Learning Center.\The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position. response:	Huh?
context: The Urayasu room.\A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh? response:	In the regional final,
context: A new Master and Queen are crowned here every year.\Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final, response:	Hokuo went with even match-ups across the board.
context: Where I played against Shinobu-chan last summer...\I saw the Queen!\She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board. response:	Do we really want to dodge our opponents?
context: I saw the Queen!\She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents? response:	Chihaya, you just have to win.
context: She was with someone from Fukui.\Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win. response:	Bring home the win!
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win! response:	Victory for Mizusawa!
context: I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa! response:	Yeah!
context: Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah! response:	But...
context: In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But... response:	1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B
context: Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B response:	Akashi Girls might change up their order.
context: Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order. response:	I didn't mention this...
context: Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this... response:	I didn't mention this...
context: Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this... response:	But...
context: Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But... response:	They probably went with the same order every match
context: Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match response:	as preparation for the strong teams they'll face from here on.
context: But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on. response:	They'll switch it up once they face a strong team.
context: 1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team. response:	So the question is whether Akashi thinks we're good enough.
context: Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough. response:	I will begin reading the order for
context: I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for response:	Mizusawa High School versus First Akashi Girls' High School.
context: I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School. response:	Mizusawa High School, Nishida-kun.
