context: Last time on Fairy Tail... response:	We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.
context: Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful! response:	You guys, too!
context: I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too! response:	Ow...
context: Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too!\Ow... response:	Hey, are you alright?
context: No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too!\Ow...\Hey, are you alright? response:	Mind your own business!
context: Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too!\Ow...\Hey, are you alright?\Mind your own business! response:	If you hadn't reached out to me in the first place,
context: Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too!\Ow...\Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place, response:	I would've been able to get back up on my own!
context: Yeah. Let's do as Lucy-nee told us.\Lucy-neesan, be careful!\You guys, too!\Ow...\Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own! response:	Is that how you talk to someone who tried to help you out?!
context: Lucy-neesan, be careful!\You guys, too!\Ow...\Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?! response:	I never asked for any help!
context: You guys, too!\Ow...\Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help! response:	You're not nice at all, are you?!
context: Ow...\Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?! response:	I know someone who looks just like you, but she's a good, honest girl!
context: Hey, are you alright?\Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl! response:	Well, that's not me, so don't confuse me with her!
context: Mind your own business!\If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her! response:	Hey, what are you people aiming to do anyway?
context: If you hadn't reached out to me in the first place,\I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway? response:	What are you gonna do if you collect all the clock parts?
context: I would've been able to get back up on my own!\Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts? response:	What do you mean by crusade and chaos?!
context: Is that how you talk to someone who tried to help you out?!\I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?! response:	Like I would tell you! The question is, why are you people getting in our way?!
context: I never asked for any help!\You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?! response:	We don't know what's going on, so we're just trying to investigate the situation!
context: You're not nice at all, are you?!\I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation! response:	Whatever you're trying to do, it's a waste of time!
context: I know someone who looks just like you, but she's a good, honest girl!\Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time! response:	A bunch of cut-rate wizards like you could never stop us!
context: Well, that's not me, so don't confuse me with her!\Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us! response:	Boy, is she nasty!
context: Hey, what are you people aiming to do anyway?\What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty! response:	Be careful! There could be a trap anywhere.
context: What are you gonna do if you collect all the clock parts?\What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere. response:	I know...
context: What do you mean by crusade and chaos?!\Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know... response:	The traps are meant for tomb raiders like you and your friends.
context: Like I would tell you! The question is, why are you people getting in our way?!\We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends. response:	You're doing the same thing we are!
context: We don't know what's going on, so we're just trying to investigate the situation!\Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are! response:	Look out!
context: Whatever you're trying to do, it's a waste of time!\A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out! response:	Th-Thanks!
context: A bunch of cut-rate wizards like you could never stop us!\Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out!\Th-Thanks! response:	No need to thank me. I was just paying you back for trying to help me before.
context: Boy, is she nasty!\Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before. response:	You really aren't honest about your feelings.
context: Be careful! There could be a trap anywhere.\I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings. response:	Even though you have the same face and the same speed as the Coco from Edolas...
context: I know...\The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas... response:	Is she really that much like me?
context: The traps are meant for tomb raiders like you and your friends.\You're doing the same thing we are!\Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me? response:	Yeah. I mean, you really are just about the same person.
context: You're doing the same thing we are!\Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person. response:	It's a long story, but in the beginning, we were enemies, too.
context: Look out!\Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too. response:	In the end, though, we became friends.
context: Th-Thanks!\No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends. response:	Well, that's where we differ. There's no way you and I are going to be friends.
context: No need to thank me. I was just paying you back for trying to help me before.\You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends. response:	Look, it's not as if we want to interfere with you.
context: You really aren't honest about your feelings.\Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you. response:	We just think that if it's going to cause trouble for a great number of people,
context: Even though you have the same face and the same speed as the Coco from Edolas...\Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people, response:	we have to put a stop to it.
context: Is she really that much like me?\Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it. response:	Is that your aim?
context: Yeah. I mean, you really are just about the same person.\It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim? response:	Well, in my case, I also want to find out what my father was thinking.
context: It's a long story, but in the beginning, we were enemies, too.\In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking. response:	Your father... Mr. Jude Heartfilia, right?
context: In the end, though, we became friends.\Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right? response:	He was supposed to be a brilliant entrepreneur, I believe...
context: Well, that's where we differ. There's no way you and I are going to be friends.\Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe... response:	I'm his daughter, but I didn't really know him well...
context: Look, it's not as if we want to interfere with you.\We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well... response:	I'm perplexed as to why he would even go through the trouble of hiding the parts...
context: We just think that if it's going to cause trouble for a great number of people,\we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts... response:	But I wish he would've been a little more empathetic about the people hunting them down.
context: we have to put a stop to it.\Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down. response:	Well, I'm with you on that one.
context: Is that your aim?\Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one. response:	What's funny?
context: Well, in my case, I also want to find out what my father was thinking.\Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny? response:	Oh, nothing. I was just thinking you're a funny girl.
context: Your father... Mr. Jude Heartfilia, right?\He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl. response:	Is that an insult?
context: He was supposed to be a brilliant entrepreneur, I believe...\I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult? response:	No, I didn't mean it like that... Huh?
context: I'm his daughter, but I didn't really know him well...\I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh? response:	A dead end... I wonder if we should retrace our steps...
context: I'm perplexed as to why he would even go through the trouble of hiding the parts...\But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps... response:	Not a deep thinker, are you? There's always some kind of switch in a place like this.
context: But I wish he would've been a little more empathetic about the people hunting them down.\Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this. response:	Don't touch that!
context: Well, I'm with you on that one.\What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that! response:	Coco!
context: What's funny?\Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco! response:	Coco! Hang in there!
context: Oh, nothing. I was just thinking you're a funny girl.\Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco!\Coco! Hang in there! response:	Lucy!
context: Is that an insult?\No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco!\Coco! Hang in there!\Lucy! response:	Thank goodness! You're alright!
context: No, I didn't mean it like that... Huh?\A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco!\Coco! Hang in there!\Lucy!\Thank goodness! You're alright! response:	Okay! We'll pull you up!
context: A dead end... I wonder if we should retrace our steps...\Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco!\Coco! Hang in there!\Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up! response:	You should've just left that jerk as she was!
context: Not a deep thinker, are you? There's always some kind of switch in a place like this.\Don't touch that!\Coco!\Coco! Hang in there!\Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was! response:	Never mind! Let's just hurry up and look for the part!
context: Don't touch that!\Coco!\Coco! Hang in there!\Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part! response:	According to Lucy, the clock part should be right here...
context: Coco!\Coco! Hang in there!\Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here... response:	I don't see anything that looks like it could be part of a clock.
context: Coco! Hang in there!\Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock. response:	We finally made it...
context: Lucy!\Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it... response:	The air's thin up here...
context: Thank goodness! You're alright!\Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here... response:	And it's cold!
context: Okay! We'll pull you up!\You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here...\And it's cold! response:	We ain't got time to take a break. Let's search for that part!
context: You should've just left that jerk as she was!\Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part! response:	Please, just a few minutes...
context: Never mind! Let's just hurry up and look for the part!\According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes... response:	I can't even take a single step...
context: According to Lucy, the clock part should be right here...\I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step... response:	I'm starving...
context: I don't see anything that looks like it could be part of a clock.\We finally made it...\The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step...\I'm starving... response:	Oh, no! We're on the wrong mountain!
context: We finally made it...\The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain! response:	The part's on the mountain over there! We've gotta climb up that one!
context: The air's thin up here...\And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one! response:	No way!
context: And it's cold!\We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way! response:	Just kidding...
context: We ain't got time to take a break. Let's search for that part!\Please, just a few minutes...\I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding... response:	I meant to encourage everyone with my little joke...
context: Please, just a few minutes...\I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding...\I meant to encourage everyone with my little joke... response:	but it seems to have had the opposite effect.
context: I can't even take a single step...\I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect. response:	I'm not seeing anythin' like a part.
context: I'm starving...\Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part. response:	Which means it's probably buried somewhere'round here...
context: Oh, no! We're on the wrong mountain!\The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here... response:	What are you gonna do?
context: The part's on the mountain over there! We've gotta climb up that one!\No way!\Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do? response:	This is it! We've found it at last!
context: No way!\Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last! response:	It's said that this place contains books on magic from all times and places...
context: Just kidding...\I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places... response:	The Magic Library...
context: I meant to encourage everyone with my little joke...\but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library... response:	Another huge building...
context: but it seems to have had the opposite effect.\I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building... response:	But it looks like not many people come here...
context: I'm not seeing anythin' like a part.\Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building...\But it looks like not many people come here... response:	What a waste. Even though it's a repository of knowledge from the past...
context: Which means it's probably buried somewhere'round here...\What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past... response:	These are all books on magic?!
context: What are you gonna do?\This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?! response:	It's even more impressive than I imagined!
context: This is it! We've found it at last!\It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined! response:	Levy-san would love it here, huh?
context: It's said that this place contains books on magic from all times and places...\The Magic Library...\Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh? response:	But all of the books are so old...
context: The Magic Library...\Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old... response:	Roar of the Fire Dragon!
context: Another huge building...\But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon! response:	I don't have all day to waste on you!
context: But it looks like not many people come here...\What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you! response:	That's my line!
context: What a waste. Even though it's a repository of knowledge from the past...\These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line! response:	This is going to end it!
context: These are all books on magic?!\It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line!\This is going to end it! response:	And when you succumb, I'll see you plunge into a ditch!
context: It's even more impressive than I imagined!\Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch! response:	I ain't gonna succumb!
context: Levy-san would love it here, huh?\But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb! response:	I'm smellin' something familiar...
context: But all of the books are so old...\Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar... response:	A smell?
context: Roar of the Fire Dragon!\I don't have all day to waste on you!\That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar...\A smell? response:	Yeah. The smell of someone who helped me before when I had motion sickness...?
context: I don't have all day to waste on you!\That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar...\A smell?\Yeah. The smell of someone who helped me before when I had motion sickness...? response:	Or wait, he attacked me...?
context: That's my line!\This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar...\A smell?\Yeah. The smell of someone who helped me before when I had motion sickness...?\Or wait, he attacked me...? response:	Those are two totally different things.
context: This is going to end it!\And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar...\A smell?\Yeah. The smell of someone who helped me before when I had motion sickness...?\Or wait, he attacked me...?\Those are two totally different things. response:	Was the person a good guy or bad guy?
context: And when you succumb, I'll see you plunge into a ditch!\I ain't gonna succumb!\I'm smellin' something familiar...\A smell?\Yeah. The smell of someone who helped me before when I had motion sickness...?\Or wait, he attacked me...?\Those are two totally different things.\Was the person a good guy or bad guy? response:	Alright, let's split the difference
context: I ain't gonna succumb!\I'm smellin' something familiar...\A smell?\Yeah. The smell of someone who helped me before when I had motion sickness...?\Or wait, he attacked me...?\Those are two totally different things.\Was the person a good guy or bad guy?\Alright, let's split the difference response:	and say he's a minor villain who acts worse than he really is.
