context: The sound of the waves is clearer than usual, and the moonlight is very bright. response:	They gently surround me, filling me with warmth.
context: We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt. response:	You have your own style, which can be easily felt.
context: both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt. response:	A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.
context: These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt. response:	A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.
context: These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important. response:	As you cross that bridge, Ano sanbashi no mukougawa e That's very important.
context: These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important. response:	As you cross that bridge, Ano sanbashi no mukougawa e
context: There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e response:	As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.
context: There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much. response:	As you cross that bridge, Ano sanbashi no mukougawa e
context: There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.\You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi
context: You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.
context: A bridge to connect our hearts Kokoro o tsunagu kake hashi You have your own style, which can be easily felt.\A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on. response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi
context: A bridge to connect our hearts Kokoro o tsunagu kake hashi That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.
context: As you cross that bridge, Ano sanbashi no mukougawa e That's very important.\As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right. response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi
context: As you cross that bridge, Ano sanbashi no mukougawa e\As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete
context: As you cross that bridge, Ano sanbashi no mukougawa e Thank you very much.\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?
context: As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal? response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted. response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Well then, let's continue on.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through. response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi Right.\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go... response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side. response:	Of that I'm certain Sou kitto...toward the future that awaits you on the other side.
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Alicia, isn't this canal?\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side. response:	Of that I'm certain Sou kitto
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Yes, it's normally restricted.\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto response:	Right!
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right! response:	My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru But right now, we have permission to pass through.\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu response:	My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow. response:	My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru Now, let's go...\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through. response:	Narrower than any other canal I've ever passed through.
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through. response:	As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.
context: Of that I'm certain Sou kitto...toward the future that awaits you on the other side.\Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through. response:	As I discover that intangible certainty Katachi no nai tashika na mono mitsukete
context: Of that I'm certain Sou kitto\Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete response:	As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.
context: Right!\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed. response:	As I discover that intangible certainty Katachi no nai tashika na mono mitsukete
context: My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki
context: My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu It's really narrow.\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...
context: My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu Narrower than any other canal I've ever passed through.\Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why... response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.
context: Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all. response:	I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo
context: As I discover that intangible certainty Katachi no nai tashika na mono mitsukete Narrower than any other canal I've ever passed through.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
context: As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I can feel it.
context: As I discover that intangible certainty Katachi no nai tashika na mono mitsukete I never knew a place like this existed.\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I can feel it. response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I'll be all right.
context: As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I can feel it.\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I'll be all right. response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
context: Whenever I am blessed with kindness, Yasashisa ni meguriau toki\Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I can feel it.\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I'll be all right.\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Ah, I see...
context: Whenever I am blessed with kindness, Yasashisa ni meguriau toki But, I wonder why...\Whenever I am blessed with kindness, Yasashisa ni meguriau toki For some reason, I'm not worried at all.\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I can feel it.\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita I'll be all right.\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Ah, I see... response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
