context: Wow, their level's really going up... response:	That's just what I'd expect to see from the Black Sword Knights,
context: What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties. response:	I see...
context: But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties.\I see... response:	Iselus is a smart boy, and he listens.
context: Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens. response:	He understands many things.
context: From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens.\He understands many things. response:	But he is still only nine.
context: this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine. response:	Part of me thinks it's too early to make him bear such a heavy burden.
context: I wouldn't say that.\We have banquets and stuff.\And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden. response:	What are you talking about?
context: We have banquets and stuff.\And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about? response:	Until now, you've carried that heavy burden yourself, haven't you?
context: And some people have big birthday parties.\I see...\Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you? response:	Until your hair turned white.
context: I see...\Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white. response:	And Iselus may be a kid, but he's a man.
context: Iselus is a smart boy, and he listens.\He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man. response:	A man's job is to take responsibility.
context: He understands many things.\But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility. response:	The weight of your responsibility is equal to the power you possess.
context: But he is still only nine.\Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess. response:	And it means you'll have more people to help you.
context: Part of me thinks it's too early to make him bear such a heavy burden.\What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you. response:	I hope so.
context: What are you talking about?\Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so. response:	He'll be fine.
context: Until now, you've carried that heavy burden yourself, haven't you?\Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so.\He'll be fine. response:	Given the way he talks to me, he'll be fine.
context: Until your hair turned white.\And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine. response:	Princess Lenessia...
context: And Iselus may be a kid, but he's a man.\A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia... response:	She's as beautiful as ever.
context: A man's job is to take responsibility.\The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever. response:	I'm sorry I'm so late, everyone.
context: The weight of your responsibility is equal to the power you possess.\And it means you'll have more people to help you.\I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone. response:	I'm sorry I'm late, Grandfather.
context: And it means you'll have more people to help you.\I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather. response:	Sorry I'm late, Iselus.
context: I hope so.\He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus. response:	Have you been well?
context: He'll be fine.\Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well? response:	Yes.
context: Given the way he talks to me, he'll be fine.\Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well?\Yes. response:	I have more adventurer friends, like you do!
context: Princess Lenessia...\She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well?\Yes.\I have more adventurer friends, like you do! response:	Iselus, if you think it's that easy to become friends with the adventurers,
context: She's as beautiful as ever.\I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well?\Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers, response:	you're very wrong.
context: I'm sorry I'm so late, everyone.\I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well?\Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong. response:	Some of them are monsters and villains.
context: I'm sorry I'm late, Grandfather.\Sorry I'm late, Iselus.\Have you been well?\Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains. response:	You need to be especially careful around those with glasses.
context: Sorry I'm late, Iselus.\Have you been well?\Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses. response:	Don't worry about that, Sister.
context: Have you been well?\Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister. response:	He doesn't have glasses.
context: Yes.\I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses. response:	I'm glad.
context: I have more adventurer friends, like you do!\Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses.\I'm glad. response:	The announcement will be made soon.
context: Iselus, if you think it's that easy to become friends with the adventurers,\you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses.\I'm glad.\The announcement will be made soon. response:	Watch me, Sister.
context: you're very wrong.\Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses.\I'm glad.\The announcement will be made soon.\Watch me, Sister. response:	Yes, of course.
context: Some of them are monsters and villains.\You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses.\I'm glad.\The announcement will be made soon.\Watch me, Sister.\Yes, of course. response:	Lord Iselus, this is fruit juice from my land.
context: You need to be especially careful around those with glasses.\Don't worry about that, Sister.\He doesn't have glasses.\I'm glad.\The announcement will be made soon.\Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land. response:	Try it.
context: Don't worry about that, Sister.\He doesn't have glasses.\I'm glad.\The announcement will be made soon.\Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it. response:	Isaac?
context: He doesn't have glasses.\I'm glad.\The announcement will be made soon.\Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it.\Isaac? response:	Hey, aren't you supposed to be a little more subtle about assassinations?
context: I'm glad.\The announcement will be made soon.\Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations? response:	Wh-What are you talking about?
context: The announcement will be made soon.\Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about? response:	Is there a problem?
context: Watch me, Sister.\Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem? response:	The Roderic lab's special ambush-warning earring is as good as they said.
context: Yes, of course.\Lord Iselus, this is fruit juice from my land.\Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said. response:	I didn't think it would be useful so soon, though.
context: Lord Iselus, this is fruit juice from my land.\Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though. response:	What's this?
context: Try it.\Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this? response:	Don't breathe it in, Iselus.
context: Isaac?\Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus. response:	Don't get in our way, adventurer!
context: Hey, aren't you supposed to be a little more subtle about assassinations?\Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer! response:	Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time
context: Wh-What are you talking about?\Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time response:	We're doing this for Yamato's peace!
context: Is there a problem?\The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace! response:	Reserick, you handle these guys!
context: The Roderic lab's special ambush-warning earring is as good as they said.\I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys! response:	Isaac?
context: I didn't think it would be useful so soon, though.\What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac? response:	Don't worry.
context: What's this?\Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac?\Don't worry. response:	My legs are just a little numb.
context: Don't breathe it in, Iselus.\Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac?\Don't worry.\My legs are just a little numb. response:	Assassin/Stealth
context: Don't get in our way, adventurer!\Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac?\Don't worry.\My legs are just a little numb.\Assassin/Stealth response:	They're pretty strong for People of the Land.
context: Smoke Bomb Effect/Smoke Bomb Bad Statuses: Movement speed drop Attack speed drop Damage over time\We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac?\Don't worry.\My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land. response:	So those are the
context: We're doing this for Yamato's peace!\Reserick, you handle these guys!\Isaac?\Don't worry.\My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land.\So those are the response:	Get your hands off the kid, damn it!
context: Reserick, you handle these guys!\Isaac?\Don't worry.\My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it! response:	Sword of Pain Black!
context: Isaac?\Don't worry.\My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it!\Sword of Pain Black! response:	A bind?
context: Don't worry.\My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it!\Sword of Pain Black!\A bind? response:	No...
context: My legs are just a little numb.\Assassin/Stealth\They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it!\Sword of Pain Black!\A bind?\No... response:	You can't take your eyes off me now.
context: Assassin/Stealth\They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it!\Sword of Pain Black!\A bind?\No...\You can't take your eyes off me now. response:	I won't let you lay a finger on Iselus!
context: They're pretty strong for People of the Land.\So those are the\Get your hands off the kid, damn it!\Sword of Pain Black!\A bind?\No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus! response:	I'll take you all on!
context: So those are the\Get your hands off the kid, damn it!\Sword of Pain Black!\A bind?\No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on! response:	Don't talk about peace when you're trying to kill a kid!
context: Get your hands off the kid, damn it!\Sword of Pain Black!\A bind?\No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid! response:	Morons!
context: Sword of Pain Black!\A bind?\No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons! response:	Way to go, Isaac.
context: A bind?\No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac. response:	That was pretty cool.
context: No...\You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac.\That was pretty cool. response:	Your debuffs are still in effect. I'll heal you.
context: You can't take your eyes off me now.\I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you. response:	I'm fine.
context: I won't let you lay a finger on Iselus!\I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine. response:	I was careful not to inhale a lot of it.
context: I'll take you all on!\Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it. response:	More importantly, their levels aren't normal at all.
context: Don't talk about peace when you're trying to kill a kid!\Morons!\Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all. response:	Maybe they're the People of the Land that Minami is leveling...
context: Morons!\Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling... response:	You saved me.
context: Way to go, Isaac.\That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me. response:	Once in a while, your information comes in handy.
context: That was pretty cool.\Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy. response:	And the earring I gave you also came in handy, right?
context: Your debuffs are still in effect. I'll heal you.\I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right? response:	How did you hear about assassins from Westelande?
context: I'm fine.\I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande? response:	A merchant survives on information.
context: I was careful not to inhale a lot of it.\More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information. response:	I thought you were more of a coward.
context: More importantly, their levels aren't normal at all.\Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward. response:	I thought you were more of a musclehead.
context: Maybe they're the People of the Land that Minami is leveling...\You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead. response:	Iselus,
context: You saved me.\Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus, response:	it's okay now.
context: Once in a while, your information comes in handy.\And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus,\it's okay now. response:	Yeah.
context: And the earring I gave you also came in handy, right?\How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus,\it's okay now.\Yeah. response:	Don't worry.
context: How did you hear about assassins from Westelande?\A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus,\it's okay now.\Yeah.\Don't worry. response:	I'm going to stay in this world for a while.
context: A merchant survives on information.\I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus,\it's okay now.\Yeah.\Don't worry.\I'm going to stay in this world for a while. response:	Thanks, Isaac.
context: I thought you were more of a coward.\I thought you were more of a musclehead.\Iselus,\it's okay now.\Yeah.\Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac. response:	I see.
context: I thought you were more of a musclehead.\Iselus,\it's okay now.\Yeah.\Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac.\I see. response:	Let me know if anything happens.
context: Iselus,\it's okay now.\Yeah.\Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac.\I see.\Let me know if anything happens. response:	Keep at it, Karashin.
context: it's okay now.\Yeah.\Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac.\I see.\Let me know if anything happens.\Keep at it, Karashin. response:	I knew it.
context: Yeah.\Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac.\I see.\Let me know if anything happens.\Keep at it, Karashin.\I knew it. response:	Our presence is throwing off the balance of the People of the Land's society.
context: Don't worry.\I'm going to stay in this world for a while.\Thanks, Isaac.\I see.\Let me know if anything happens.\Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society. response:	Maybe we have to go home.
context: I'm going to stay in this world for a while.\Thanks, Isaac.\I see.\Let me know if anything happens.\Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home. response:	It's been a long time, Shiroe.
context: Thanks, Isaac.\I see.\Let me know if anything happens.\Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe. response:	Why are you half-hiding?
context: I see.\Let me know if anything happens.\Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding? response:	My investigations in Susukino have finally reached an end.
context: Let me know if anything happens.\Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end. response:	Though it came later than expected...
context: Keep at it, Karashin.\I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected... response:	I'm sorry for the delay.
context: I knew it.\Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay. response:	Is everyone doing well?
context: Our presence is throwing off the balance of the People of the Land's society.\Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well? response:	Yes...
context: Maybe we have to go home.\It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well?\Yes... response:	They said to tell you hello.
context: It's been a long time, Shiroe.\Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well?\Yes...\They said to tell you hello. response:	What did you find out about the transport gates?
context: Why are you half-hiding?\My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well?\Yes...\They said to tell you hello.\What did you find out about the transport gates? response:	As I investigated various matters,
context: My investigations in Susukino have finally reached an end.\Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well?\Yes...\They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters, response:	I found that the fairy rings are related to the moon's phases.
context: Though it came later than expected...\I'm sorry for the delay.\Is everyone doing well?\Yes...\They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases. response:	There's also a legend that there are Alvish ruins on the moon.
context: I'm sorry for the delay.\Is everyone doing well?\Yes...\They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon. response:	It's possible that the administrator's beacon is deciding the destination coordinates.
context: Is everyone doing well?\Yes...\They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates. response:	Just like I thought, the moon's got...
context: Yes...\They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got... response:	We need to make contact with it.
context: They said to tell you hello.\What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it. response:	Contact?
context: What did you find out about the transport gates?\As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it.\Contact? response:	Yes.
context: As I investigated various matters,\I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it.\Contact?\Yes. response:	We're looking for a way to return the adventurers to their old world.
context: I found that the fairy rings are related to the moon's phases.\There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it.\Contact?\Yes.\We're looking for a way to return the adventurers to their old world. response:	To do that, we must communicate with the moon.
context: There's also a legend that there are Alvish ruins on the moon.\It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it.\Contact?\Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon. response:	But we don't seem to be able to create the communication equipment.
context: It's possible that the administrator's beacon is deciding the destination coordinates.\Just like I thought, the moon's got...\We need to make contact with it.\Contact?\Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment. response:	It's difficult.
context: Just like I thought, the moon's got...\We need to make contact with it.\Contact?\Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult. response:	There's a facility in Shibuya for that, though.
context: We need to make contact with it.\Contact?\Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though. response:	I'm aware.
context: Contact?\Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though.\I'm aware. response:	The remains of the Shibuya TV station,
context: Yes.\We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station, response:	the one communications facility in Yamato.
context: We're looking for a way to return the adventurers to their old world.\To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato. response:	I investigated it before, but it's nonfunctional, right?
context: To do that, we must communicate with the moon.\But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right? response:	But while I investigated the gates, there was a slight signal from it.
context: But we don't seem to be able to create the communication equipment.\It's difficult.\There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it. response:	Do you suppose it may still be functioning?
