context: STAFF ROOM response:	A meeting of delegates?
context: Knock that off!\Shut up!\Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here?\We have to sleep here? response:	Master! The light! The Light Being is attacking!
context: Shut up!\Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here?\We have to sleep here?\Master! The light! The Light Being is attacking! response:	Schwarz Shield Prototype...
context: Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here?\We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype... response:	Now let's swim!
context: Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here?\We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim! response:	Right now?!
context: The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here?\We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim!\Right now?! response:	Yes, because comfortable fatigue is the best method to induce a good nap.
context: of environment, is a vital napping skill.\Here?\We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap. response:	But why the pool? It's still too cold to swim.
context: Here?\We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim. response:	You're right. That's a shame. Swimming really is the best way.
context: We have to sleep here?\Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way. response:	Because swimming helps you crawl into bed!
context: Master! The light! The Light Being is attacking!\Schwarz Shield Prototype...\Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed! response:	It was a pun?
context: Schwarz Shield Prototype...\Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun? response:	Hey, come over here!
context: Now let's swim!\Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here! response:	Is that Isshiki? What's he doing?
context: Right now?!\Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing? response:	He probably followed Kumin-senpai to the pool
context: Yes, because comfortable fatigue is the best method to induce a good nap.\But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool response:	to show off to her that he can nap too.
context: But why the pool? It's still too cold to swim.\You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too. response:	Let's go.
context: You're right. That's a shame. Swimming really is the best way.\Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go. response:	Yeah.
context: Because swimming helps you crawl into bed!\It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go.\Yeah. response:	Kumin-senpai.
context: It was a pun?\Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go.\Yeah.\Kumin-senpai. response:	Naps are a lot harder than I thought.
context: Hey, come over here!\Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go.\Yeah.\Kumin-senpai.\Naps are a lot harder than I thought. response:	Because it's hard to ready, set, nap.
context: Is that Isshiki? What's he doing?\He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go.\Yeah.\Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap. response:	Don't worry. Wicked Lord Shingan is all powerful.
context: He probably followed Kumin-senpai to the pool\to show off to her that he can nap too.\Let's go.\Yeah.\Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful. response:	That's my master!
context: to show off to her that he can nap too.\Let's go.\Yeah.\Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master! response:	Is now really the time for that? If we lose, the club is gone.
context: Let's go.\Yeah.\Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone. response:	We just need to win.
context: Yeah.\Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win. response:	Win, Yuta!
context: Kumin-senpai.\Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta! response:	Who, me?
context: Naps are a lot harder than I thought.\Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta!\Who, me? response:	Don't worry. I know we can do it.
context: Because it's hard to ready, set, nap.\Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta!\Who, me?\Don't worry. I know we can do it. response:	Where does that unwavering confidence come from?
context: Don't worry. Wicked Lord Shingan is all powerful.\That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta!\Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from? response:	Dekomori, nice timing!
context: That's my master!\Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta!\Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing! response:	Yes!
context: Is now really the time for that? If we lose, the club is gone.\We just need to win.\Win, Yuta!\Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes! response:	What are you rigging up now?!
context: We just need to win.\Win, Yuta!\Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes!\What are you rigging up now?! response:	Are we really going to make it like this?
context: Win, Yuta!\Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes!\What are you rigging up now?!\Are we really going to make it like this? response:	Shouldn't we work out some sort of strategy?
context: Who, me?\Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes!\What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy? response:	What strategy could there be in a sleeping competition?
context: Don't worry. I know we can do it.\Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes!\What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition? response:	Aside for learning how to sleep faster.
context: Where does that unwavering confidence come from?\Dekomori, nice timing!\Yes!\What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster. response:	That's it! There is a simple way to do it!
context: Dekomori, nice timing!\Yes!\What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it! response:	The Night Before the Competition
context: Yes!\What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition response:	I will fight at your side...
context: What are you rigging up now?!\Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side... response:	Naturally!
context: Are we really going to make it like this?\Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side...\Naturally! response:	We just have to stay up all night...
context: Shouldn't we work out some sort of strategy?\What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side...\Naturally!\We just have to stay up all night... response:	I get it.
context: What strategy could there be in a sleeping competition?\Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side...\Naturally!\We just have to stay up all night...\I get it. response:	Although it isn't the most elegant napping method.
context: Aside for learning how to sleep faster.\That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side...\Naturally!\We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method. response:	We can't control our actions after we're asleep...
context: That's it! There is a simple way to do it!\The Night Before the Competition\I will fight at your side...\Naturally!\We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep... response:	That's true.
context: The Night Before the Competition\I will fight at your side...\Naturally!\We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true. response:	Well, enjoy yourselves.
context: I will fight at your side...\Naturally!\We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves. response:	Right.
context: Naturally!\We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves.\Right. response:	Good night!
context: We just have to stay up all night...\I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves.\Right.\Good night! response:	But why? Why does this always happen?
context: I get it.\Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves.\Right.\Good night!\But why? Why does this always happen? response:	Fork them over, Very Poor Man!
context: Although it isn't the most elegant napping method.\We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves.\Right.\Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man! response:	Take this! The Parallel Pin Bone King explosion!
context: We can't control our actions after we're asleep...\That's true.\Well, enjoy yourselves.\Right.\Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion! response:	No! Not my fish paste factory!
context: That's true.\Well, enjoy yourselves.\Right.\Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory! response:	50 combo!
context: Well, enjoy yourselves.\Right.\Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo! response:	Go! Go!
context: Right.\Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo!\Go! Go! response:	For I am...
context: Good night!\But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo!\Go! Go!\For I am... response:	Yuta.
context: But why? Why does this always happen?\Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo!\Go! Go!\For I am...\Yuta. response:	Hero.
context: Fork them over, Very Poor Man!\Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo!\Go! Go!\For I am...\Yuta.\Hero. response:	WHAT THE HECK?!
context: Take this! The Parallel Pin Bone King explosion!\No! Not my fish paste factory!\50 combo!\Go! Go!\For I am...\Yuta.\Hero.\WHAT THE HECK?! response:	Morning, Hero.
context: No! Not my fish paste factory!\50 combo!\Go! Go!\For I am...\Yuta.\Hero.\WHAT THE HECK?!\Morning, Hero. response:	Togashi, what did you do?
context: 50 combo!\Go! Go!\For I am...\Yuta.\Hero.\WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do? response:	Huh?
context: Go! Go!\For I am...\Yuta.\Hero.\WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do?\Huh? response:	Has the Dark Flame Master turned to the dark side?
context: For I am...\Yuta.\Hero.\WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side? response:	No!
context: Yuta.\Hero.\WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side?\No! response:	So sorry. Old habits die hard.
context: Hero.\WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard. response:	I forgot that Hero and the Wicked Lord
context: WHAT THE HECK?!\Morning, Hero.\Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord response:	Shingan are bound by the Lover's Contract.
context: Morning, Hero.\Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract. response:	I believe this is yours.
context: Togashi, what did you do?\Huh?\Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours. response:	WHAT THE HECK?
context: Huh?\Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK? response:	Later!
context: Has the Dark Flame Master turned to the dark side?\No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK?\Later! response:	Hey, wait.
context: No!\So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK?\Later!\Hey, wait. response:	She left.
context: So sorry. Old habits die hard.\I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK?\Later!\Hey, wait.\She left. response:	Throw down salt! I need salt, Kuzuha!
context: I forgot that Hero and the Wicked Lord\Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK?\Later!\Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha! response:	But weren't all of you supposed to stay awake?
context: Shingan are bound by the Lover's Contract.\I believe this is yours.\WHAT THE HECK?\Later!\Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake? response:	Oh, no!
context: I believe this is yours.\WHAT THE HECK?\Later!\Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no! response:	I failed! This was the magical devil girl's plot all along!
context: WHAT THE HECK?\Later!\Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along! response:	No, it's our fault for falling asleep!
context: Later!\Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep! response:	Hurry!
context: Hey, wait.\She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry! response:	We will now commence the practice match...
context: She left.\Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match... response:	Hold on here.
context: Throw down salt! I need salt, Kuzuha!\But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match...\Hold on here. response:	Advance Guard: Fujiko Nasutaka
context: But weren't all of you supposed to stay awake?\Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka response:	Second Guard: Barumu Ichiba
context: Oh, no!\I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba response:	I don't think we have a hope in hell!
context: I failed! This was the magical devil girl's plot all along!\No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell! response:	Center: Youko Tenbaku
context: No, it's our fault for falling asleep!\Hurry!\We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku response:	Second in Command: Toromi Utsutsutouge
context: Hurry!\We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge response:	It's impossible to determine if they're even awake at this very moment!
context: We will now commence the practice match...\Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment! response:	They are definitely dwellers of the Dream World.
context: Hold on here.\Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World. response:	Danger.
context: Advance Guard: Fujiko Nasutaka\Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger. response:	As promised, you will disband if you lose.
context: Second Guard: Barumu Ichiba\I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose. response:	I would be happy to obliterate...
context: I don't think we have a hope in hell!\Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose.\I would be happy to obliterate... response:	What now?
context: Center: Youko Tenbaku\Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose.\I would be happy to obliterate...\What now? response:	There's no way we can win this.
context: Second in Command: Toromi Utsutsutouge\It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose.\I would be happy to obliterate...\What now?\There's no way we can win this. response:	We all got so much sleep, our skin looks fabulous.
context: It's impossible to determine if they're even awake at this very moment!\They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose.\I would be happy to obliterate...\What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous. response:	Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori
context: They are definitely dwellers of the Dream World.\Danger.\As promised, you will disband if you lose.\I would be happy to obliterate...\What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori response:	We have only one option left.
context: Danger.\As promised, you will disband if you lose.\I would be happy to obliterate...\What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left. response:	Center: Yuta Togashi
context: As promised, you will disband if you lose.\I would be happy to obliterate...\What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi response:	If we apologize to them now, just maybe...
context: I would be happy to obliterate...\What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe... response:	Second in Command: Shinka Nibutani
context: What now?\There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani response:	You can't!
context: There's no way we can win this.\We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't! response:	Captain: Kumin Tsuyuri
context: We all got so much sleep, our skin looks fabulous.\Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri response:	We will not lose. Our club is not that irresponsible.
context: Advance Guard: Rikka Takanashi Second guard: Sanae Dekomori\We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible. response:	Kumin-senpai.
context: We have only one option left.\Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai. response:	I remember thinking it when I met Rikka for the first time.
context: Center: Yuta Togashi\If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time. response:	Oh, really?
context: If we apologize to them now, just maybe...\Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really? response:	Precisely.
context: Second in Command: Shinka Nibutani\You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely. response:	Our true goal is to locate the invisible boundary line.
context: You can't!\Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line. response:	But our actions will not end there.
context: Captain: Kumin Tsuyuri\We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there. response:	For that is our society!
context: We will not lose. Our club is not that irresponsible.\Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society! response:	I had a feeling back then...
context: Kumin-senpai.\I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society!\I had a feeling back then... response:	With her? But she has chunibyo.
context: I remember thinking it when I met Rikka for the first time.\Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society!\I had a feeling back then...\With her? But she has chunibyo. response:	Yes. But you know?
context: Oh, really?\Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society!\I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know? response:	And I know nobody really gets this about her...
context: Precisely.\Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society!\I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her... response:	serious about what she does...
context: Our true goal is to locate the invisible boundary line.\But our actions will not end there.\For that is our society!\I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her...\serious about what she does... response:	Kumin.
context: But our actions will not end there.\For that is our society!\I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her...\serious about what she does...\Kumin. response:	In our Far-East Magical Napping Society - summer thereof...
context: For that is our society!\I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her...\serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof... response:	we play hard...
context: I had a feeling back then...\With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her...\serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard... response:	so we cannot lose.
context: With her? But she has chunibyo.\Yes. But you know?\And I know nobody really gets this about her...\serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose. response:	We're invincible!
context: Yes. But you know?\And I know nobody really gets this about her...\serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose.\We're invincible! response:	Yeah!
context: And I know nobody really gets this about her...\serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose.\We're invincible!\Yeah! response:	Be destroyed, real.
context: serious about what she does...\Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose.\We're invincible!\Yeah!\Be destroyed, real. response:	Blow up, synapses.
context: Kumin.\In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose.\We're invincible!\Yeah!\Be destroyed, real.\Blow up, synapses. response:	Banishment, This World!
context: In our Far-East Magical Napping Society - summer thereof...\we play hard...\so we cannot lose.\We're invincible!\Yeah!\Be destroyed, real.\Blow up, synapses.\Banishment, This World! response:	This world of sleep belongs to us.
context: we play hard...\so we cannot lose.\We're invincible!\Yeah!\Be destroyed, real.\Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us. response:	Leave here at once!
context: so we cannot lose.\We're invincible!\Yeah!\Be destroyed, real.\Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us.\Leave here at once! response:	Avalon Smasher!
context: We're invincible!\Yeah!\Be destroyed, real.\Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us.\Leave here at once!\Avalon Smasher! response:	Mjolnir Hammer!
context: Yeah!\Be destroyed, real.\Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us.\Leave here at once!\Avalon Smasher!\Mjolnir Hammer! response:	Disqualified!
context: Be destroyed, real.\Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us.\Leave here at once!\Avalon Smasher!\Mjolnir Hammer!\Disqualified! response:	I am the Dark Flame Master.
context: Blow up, synapses.\Banishment, This World!\This world of sleep belongs to us.\Leave here at once!\Avalon Smasher!\Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master. response:	Be enveloped in the flames of darkness...
context: Banishment, This World!\This world of sleep belongs to us.\Leave here at once!\Avalon Smasher!\Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness... response:	Disqualified!
