context: The moon is beautiful, isn't it? response:	Yes. It really soothes the heart.
context: That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon, response:	and it flies around in a geostationary orbit over Aqua.
context: Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua. response:	The inner moon completes its orbit around Aqua in under eight hours...
context: Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours... response:	That distance is just 1165th of the distance between Manhome and its moon.
context: Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon. response:	It's really close, isn't it?
context: Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it? response:	Yes.
context: It's all right! Big Sis is here with you!\There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes. response:	The small moon that got too close...
context: There are two moons now.\The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes.\The small moon that got too close... response:	Why are you crying?
context: The inner moon is approximately 1.8 times bigger than the outer moon,\and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes.\The small moon that got too close...\Why are you crying? response:	It's too close...
context: and it flies around in a geostationary orbit over Aqua.\The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes.\The small moon that got too close...\Why are you crying?\It's too close... response:	It may seem like it's just the moon that's affected by Aqua...
context: The inner moon completes its orbit around Aqua in under eight hours...\That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes.\The small moon that got too close...\Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua... response:	So Aqua is under the influence of the moon, as well.
context: That distance is just 1165th of the distance between Manhome and its moon.\It's really close, isn't it?\Yes.\The small moon that got too close...\Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well. response:	It's ruined!!
context: It's really close, isn't it?\Yes.\The small moon that got too close...\Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!! response:	A-Aika! It's ruined!!
context: Yes.\The small moon that got too close...\Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!! response:	A-Aika!
context: The small moon that got too close...\Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!!\A-Aika! response:	What's ruined?
context: Why are you crying?\It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!!\A-Aika!\What's ruined? response:	Aika, are you all right?
context: It's too close...\It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!!\A-Aika!\What's ruined?\Aika, are you all right? response:	Ahhh!!
context: It may seem like it's just the moon that's affected by Aqua...\So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!!\A-Aika!\What's ruined?\Aika, are you all right?\Ahhh!! response:	I'm so glad we found you, Aika.
context: So Aqua is under the influence of the moon, as well.\It's ruined!!\A-Aika! It's ruined!!\A-Aika!\What's ruined?\Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika. response:	I can't believe you fell down into a well like that.
context: It's ruined!!\A-Aika! It's ruined!!\A-Aika!\What's ruined?\Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that. response:	Well, excuse me!
context: A-Aika! It's ruined!!\A-Aika!\What's ruined?\Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me! response:	Is that how you talk to your rescuers?
context: A-Aika!\What's ruined?\Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers? response:	Sorry.
context: What's ruined?\Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers?\Sorry. response:	I'm grateful to President Maa.
context: Aika, are you all right?\Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa. response:	As you should be.
context: Ahhh!!\I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa.\As you should be. response:	By the way, when did you two get there?
context: I'm so glad we found you, Aika.\I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa.\As you should be.\By the way, when did you two get there? response:	Right at the It's ruined! part.
context: I can't believe you fell down into a well like that.\Well, excuse me!\Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa.\As you should be.\By the way, when did you two get there?\Right at the It's ruined! part. response:	So, what was ruined?
context: Well, excuse me!\Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa.\As you should be.\By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined? response:	It's because of centrifugal force!
context: Is that how you talk to your rescuers?\Sorry.\I'm grateful to President Maa.\As you should be.\By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force! response:	If you're afraid of getting close and just flail around, it makes you hungry!
context: Sorry.\I'm grateful to President Maa.\As you should be.\By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry! response:	Huh?
context: I'm grateful to President Maa.\As you should be.\By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh? response:	That really makes no sense.
context: As you should be.\By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense. response:	Yes.
context: By the way, when did you two get there?\Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense.\Yes. response:	It's the force of attraction.
context: Right at the It's ruined! part.\So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense.\Yes.\It's the force of attraction. response:	No sappy lines allowed.
context: So, what was ruined?\It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense.\Yes.\It's the force of attraction.\No sappy lines allowed. response:	Okay.
context: It's because of centrifugal force!\If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense.\Yes.\It's the force of attraction.\No sappy lines allowed.\Okay. response:	Let's eat.
context: If you're afraid of getting close and just flail around, it makes you hungry!\Huh?\That really makes no sense.\Yes.\It's the force of attraction.\No sappy lines allowed.\Okay.\Let's eat. response:	It's delicious!
context: Huh?\That really makes no sense.\Yes.\It's the force of attraction.\No sappy lines allowed.\Okay.\Let's eat.\It's delicious! response:	By the way, what was sappy?
context: That really makes no sense.\Yes.\It's the force of attraction.\No sappy lines allowed.\Okay.\Let's eat.\It's delicious!\By the way, what was sappy? response:	A-AI made a sappy old man joke!
context: Yes.\It's the force of attraction.\No sappy lines allowed.\Okay.\Let's eat.\It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke! response:	Oh?
context: It's the force of attraction.\No sappy lines allowed.\Okay.\Let's eat.\It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke!\Oh? response:	What?
context: No sappy lines allowed.\Okay.\Let's eat.\It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke!\Oh?\What? response:	So, what was ruined?
context: Okay.\Let's eat.\It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke!\Oh?\What?\So, what was ruined? response:	Y-You're asking even though you already know...
context: Let's eat.\It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke!\Oh?\What?\So, what was ruined?\Y-You're asking even though you already know... response:	Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...
context: It's delicious!\By the way, what was sappy?\A-AI made a sappy old man joke!\Oh?\What?\So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know... response:	Ai, it was an impromptu moon-gazing party...
context: By the way, what was sappy?\A-AI made a sappy old man joke!\Oh?\What?\So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... response:	Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?
context: A-AI made a sappy old man joke!\Oh?\What?\So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too? response:	I'd love to join you all next autumn!
context: Oh?\What?\So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn! response:	A shore awash in golden waves Kin no nami kishibe ni
context: What?\So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: So, what was ruined?\Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki
context: Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki response:	Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru
context: Ai, it was an impromptu moon-gazing party... Y-You're asking even though you already know...\Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru response:	A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai
context: Ai, it was an impromptu moon-gazing party...\Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai response:	I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete
context: Akari, if the moon has the force of attraction, maybe it has other wonderful powers, too?\I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete response:	The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima
context: I'd love to join you all next autumn!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima response:	A shore awash in golden waves Kin no nami kishibe ni
context: A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	And my day begins Hajimaru
