context: Bell-kun, are we at that town yet? response:	Just a little more, I think, Goddess.
context: Screw these guys!\Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson.\You...\I'm here to help. response:	R-Right.
context: Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson.\You...\I'm here to help.\R-Right. response:	Was that a coincidence?
context: Surround them!\Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson.\You...\I'm here to help.\R-Right.\Was that a coincidence? response:	You can see me?
context: Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson.\You...\I'm here to help.\R-Right.\Was that a coincidence?\You can see me? response:	I can feel his eyes on me.
context: Take this!\It seems you haven't learned your lesson.\You...\I'm here to help.\R-Right.\Was that a coincidence?\You can see me?\I can feel his eyes on me. response:	Damn it!
context: It seems you haven't learned your lesson.\You...\I'm here to help.\R-Right.\Was that a coincidence?\You can see me?\I can feel his eyes on me.\Damn it! response:	I'll chop you in half, asshole!
context: You...\I'm here to help.\R-Right.\Was that a coincidence?\You can see me?\I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole! response:	You stupid brat!
context: I'm here to help.\R-Right.\Was that a coincidence?\You can see me?\I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole!\You stupid brat! response:	Stop!
context: R-Right.\Was that a coincidence?\You can see me?\I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole!\You stupid brat!\Stop! response:	Goddess!
context: Was that a coincidence?\You can see me?\I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole!\You stupid brat!\Stop!\Goddess! response:	Stop.
context: You can see me?\I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole!\You stupid brat!\Stop!\Goddess!\Stop. response:	Children, sheathe your swords.
context: I can feel his eyes on me.\Damn it!\I'll chop you in half, asshole!\You stupid brat!\Stop!\Goddess!\Stop.\Children, sheathe your swords. response:	Wait, you guys!
context: Damn it!\I'll chop you in half, asshole!\You stupid brat!\Stop!\Goddess!\Stop.\Children, sheathe your swords.\Wait, you guys! response:	Oh dear. Hestia's released her divine power?
context: I'll chop you in half, asshole!\You stupid brat!\Stop!\Goddess!\Stop.\Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power? response:	I guess our fun for the day is over!
context: You stupid brat!\Stop!\Goddess!\Stop.\Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over! response:	Bell-kun!
context: Stop!\Goddess!\Stop.\Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun! response:	Bell-kun, I'm so glad you're safe!
context: Goddess!\Stop.\Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe! response:	I'm so glad!
context: Stop.\Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad! response:	G-Goddess...
context: Children, sheathe your swords.\Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess... response:	I'm sorry you got beaten up so badly over me...
context: Wait, you guys!\Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me... response:	No, I'm sorry that I couldn't protect you.
context: Oh dear. Hestia's released her divine power?\I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you. response:	Well, that's that...
context: I guess our fun for the day is over!\Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that... response:	An earthquake?
context: Bell-kun!\Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that...\An earthquake? response:	I don't like this shaking.
context: Bell-kun, I'm so glad you're safe!\I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that...\An earthquake?\I don't like this shaking. response:	Hey, what the hell is that?
context: I'm so glad!\G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that...\An earthquake?\I don't like this shaking.\Hey, what the hell is that? response:	Familia Myth The Story of a Familia
context: G-Goddess...\I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that...\An earthquake?\I don't like this shaking.\Hey, what the hell is that?\Familia Myth The Story of a Familia response:	Next Time
context: I'm sorry you got beaten up so badly over me...\No, I'm sorry that I couldn't protect you.\Well, that's that...\An earthquake?\I don't like this shaking.\Hey, what the hell is that?\Familia Myth The Story of a Familia\Next Time response:	Next time: Familia Myth
