context: H-He got me... response:	Teacher!
context: It's like he nullified the shock absorption.\His brute strength is crazy.\What insane power...\Does this mean he rushed at him so fast he couldn't regenerate?\So this is the top...\Is this... the world of pros...?\All Might...\I really have gotten weaker... response:	In my prime... five hits would have been enough.
context: His brute strength is crazy.\What insane power...\Does this mean he rushed at him so fast he couldn't regenerate?\So this is the top...\Is this... the world of pros...?\All Might...\I really have gotten weaker...\In my prime... five hits would have been enough. response:	But it took more than 300 hits.
context: What insane power...\Does this mean he rushed at him so fast he couldn't regenerate?\So this is the top...\Is this... the world of pros...?\All Might...\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits. response:	And now...
context: Does this mean he rushed at him so fast he couldn't regenerate?\So this is the top...\Is this... the world of pros...?\All Might...\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now... response:	Now, villains...
context: So this is the top...\Is this... the world of pros...?\All Might...\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains... response:	I'm sure... we'd all like to end this as soon as possible.
context: Is this... the world of pros...?\All Might...\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible. response:	He used a cheat?!
context: All Might...\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?! response:	The members of this class will become strong heroes!
context: I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes! response:	Next time, In Each of Our Hearts!
context: In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts! response:	Now, yell out toward that sunset!
context: But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset! response:	Go beyond!
context: And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond! response:	Plus Ultra!
context: Now, villains...\I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond!\Plus Ultra! response:	Plus Ultra!
context: I'm sure... we'd all like to end this as soon as possible.\He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond!\Plus Ultra!\Plus Ultra! response:	Episode 12: All Might
context: He used a cheat?!\The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond!\Plus Ultra!\Plus Ultra!\Episode 12: All Might response:	Good morning, All Might! He Quickly Resolved Three Cases This Morning
context: The members of this class will become strong heroes!\Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond!\Plus Ultra!\Plus Ultra!\Episode 12: All Might\Good morning, All Might! He Quickly Resolved Three Cases This Morning response:	Next time
context: Next time, In Each of Our Hearts!\Now, yell out toward that sunset!\Go beyond!\Plus Ultra!\Plus Ultra!\Episode 12: All Might\Good morning, All Might! He Quickly Resolved Three Cases This Morning\Next time response:	Next time: In Each of Our Hearts
