context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming! response:	The Calm is, like, totally coming!
context: She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming! response:	Where do you draw the line between genius and insane?
context: It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane? response:	Please! Not another word!
context: Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word! response:	Be sure to be, like, extra careful!
context: I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful! response:	Promise Yacchan you'll, like, be careful, Akkun!
context: Now, to get to the heart of this letter.\The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun! response:	That's all you had to say?!
context: The Calm is coming!\The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?! response:	In short, the Calm refers to a period during which our demon powers are weakened.
context: The Calm is, like, coming!\The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened. response:	Your powers are weakened?
context: The Calm is, like, totally coming!\Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened? response:	Yup! I don't know the details, but according to the records,
context: Where do you draw the line between genius and insane?\Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records, response:	our innate vitality apparently drops dramatically.
context: Please! Not another word!\Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically. response:	As such, Exterminators are able to defeat demons
context: Be sure to be, like, extra careful!\Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons response:	that are normally out of their league, so they're thrilled.
context: Promise Yacchan you'll, like, be careful, Akkun!\That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled. response:	But in that case, why do I need to be careful?
context: That's all you had to say?!\In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful? response:	Have you forgotten?
context: In short, the Calm refers to a period during which our demon powers are weakened.\Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten? response:	Kanbara-kun, you are a half-demon.
context: Your powers are weakened?\Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon. response:	If your demon powers weaken, what do you think would happen to you?
context: Yup! I don't know the details, but according to the records,\our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you? response:	What would happen?
context: our innate vitality apparently drops dramatically.\As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen? response:	Half-demons are too rare for me to know for certain,
context: As such, Exterminators are able to defeat demons\that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain, response:	but your immortality is one trait that you could temporarily lose.
context: that are normally out of their league, so they're thrilled.\But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose. response:	I see.
context: But in that case, why do I need to be careful?\Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see. response:	And if an Exterminator found him in that vulnerable state,
context: Have you forgotten?\Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state, response:	there is a chance Akkey would be attacked.
context: Kanbara-kun, you are a half-demon.\If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked. response:	Exactly. Isn't that why you escorted him here?
context: If your demon powers weaken, what do you think would happen to you?\What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here? response:	To be precise, she said that the Calm does not start until midnight.
context: What would happen?\Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight. response:	Perhaps it's just me, but I think the air feels somewhat heavy.
context: Half-demons are too rare for me to know for certain,\but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy. response:	I wouldn't say it's heavy. It feels very still.
context: but your immortality is one trait that you could temporarily lose.\I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still. response:	The Calm...
context: I see.\And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm... response:	What an appropriate name.
context: And if an Exterminator found him in that vulnerable state,\there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name. response:	At times like this, I think my little sister and I...
context: there is a chance Akkey would be attacked.\Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name.\At times like this, I think my little sister and I... response:	should walk home side by side.
context: Exactly. Isn't that why you escorted him here?\To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side. response:	But she's already gone.
context: To be precise, she said that the Calm does not start until midnight.\Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone. response:	Why?!
context: Perhaps it's just me, but I think the air feels somewhat heavy.\I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone.\Why?! response:	Because she doesn't want to walk home with you.
context: I wouldn't say it's heavy. It feels very still.\The Calm...\What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone.\Why?!\Because she doesn't want to walk home with you. response:	Why not?!
context: The Calm...\What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone.\Why?!\Because she doesn't want to walk home with you.\Why not?! response:	Because she hates you.
context: What an appropriate name.\At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone.\Why?!\Because she doesn't want to walk home with you.\Why not?!\Because she hates you. response:	Why?!
context: At times like this, I think my little sister and I...\should walk home side by side.\But she's already gone.\Why?!\Because she doesn't want to walk home with you.\Why not?!\Because she hates you.\Why?! response:	Because you're always acting like that!
context: should walk home side by side.\But she's already gone.\Why?!\Because she doesn't want to walk home with you.\Why not?!\Because she hates you.\Why?!\Because you're always acting like that! response:	Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!
context: But she's already gone.\Why?!\Because she doesn't want to walk home with you.\Why not?!\Because she hates you.\Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run! response:	Oh, okay. Later!
context: Why?!\Because she doesn't want to walk home with you.\Why not?!\Because she hates you.\Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later! response:	Akkey!
context: Because she doesn't want to walk home with you.\Why not?!\Because she hates you.\Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey! response:	Don't take this lightly.
context: Why not?!\Because she hates you.\Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey!\Don't take this lightly. response:	I can feel it in my chest.
context: Because she hates you.\Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey!\Don't take this lightly.\I can feel it in my chest. response:	Falling in love?
context: Why?!\Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey!\Don't take this lightly.\I can feel it in my chest.\Falling in love? response:	Would you like a lift?
context: Because you're always acting like that!\Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey!\Don't take this lightly.\I can feel it in my chest.\Falling in love?\Would you like a lift? response:	I'll drop you off.
context: Senpai, I'm going to miss the sale on frozen dinners if I don't hurry, so I've gotta run!\Oh, okay. Later!\Akkey!\Don't take this lightly.\I can feel it in my chest.\Falling in love?\Would you like a lift?\I'll drop you off. response:	The Calm, huh?
context: Oh, okay. Later!\Akkey!\Don't take this lightly.\I can feel it in my chest.\Falling in love?\Would you like a lift?\I'll drop you off.\The Calm, huh? response:	What do you want?
context: Akkey!\Don't take this lightly.\I can feel it in my chest.\Falling in love?\Would you like a lift?\I'll drop you off.\The Calm, huh?\What do you want? response:	Well, I figured we could have a talk while going out for a drive.
context: Don't take this lightly.\I can feel it in my chest.\Falling in love?\Would you like a lift?\I'll drop you off.\The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive. response:	I want to tell you about what you saw.
context: I can feel it in my chest.\Falling in love?\Would you like a lift?\I'll drop you off.\The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw. response:	Is that a demon?
context: Falling in love?\Would you like a lift?\I'll drop you off.\The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon? response:	Right. Just like the Hollow Shadow,
context: Would you like a lift?\I'll drop you off.\The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow, response:	many of the more powerful demons lack a physical body.
context: I'll drop you off.\The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body. response:	It's said that it takes years for these demons to come into physical being.
context: The Calm, huh?\What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being. response:	Supposedly, they are born from the resentment and twisted hearts of countless people
context: What do you want?\Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people response:	fusing together before eventually taking form.
context: Well, I figured we could have a talk while going out for a drive.\I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form. response:	If left alone, they could lead the world to ruin.
context: I want to tell you about what you saw.\Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin. response:	It is said that these demons are the origin of disease, natural disasters, and war.
context: Is that a demon?\Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war. response:	They are collectively referred to as Beyond the Boundary.
context: Right. Just like the Hollow Shadow,\many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary. response:	Beyond the...
context: many of the more powerful demons lack a physical body.\It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the... response:	However, we're fortunate that only a fragment of this one has shown up.
context: It's said that it takes years for these demons to come into physical being.\Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up. response:	It hasn't started to spread its influence yet.
context: Supposedly, they are born from the resentment and twisted hearts of countless people\fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet. response:	Why are you telling me all of this?
context: fusing together before eventually taking form.\If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this? response:	The Exterminator's Society has been keeping their eye on it for ages.
context: If left alone, they could lead the world to ruin.\It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages. response:	I was made to believe that the tight-lipped Nase family has more information on it.
context: It is said that these demons are the origin of disease, natural disasters, and war.\They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it. response:	I thought I would be able to get you to talk,
context: They are collectively referred to as Beyond the Boundary.\Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk, response:	but it looks like the baby of the family has been kept in the dark.
context: Beyond the...\However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark. response:	Yakiimo.
context: However, we're fortunate that only a fragment of this one has shown up.\It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo. response:	But it's true!
context: It hasn't started to spread its influence yet.\Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true! response:	Keep going.
context: Why are you telling me all of this?\The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true!\Keep going. response:	What is the plan for subduing the demon you refer to as Beyond the Boundary?
context: The Exterminator's Society has been keeping their eye on it for ages.\I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary? response:	Is the Nase family going to annihilate it in secret?
context: I was made to believe that the tight-lipped Nase family has more information on it.\I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret? response:	I couldn't get any info on that, either!
context: I thought I would be able to get you to talk,\but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either! response:	Your sister is way too scary!
context: but it looks like the baby of the family has been kept in the dark.\Yakiimo.\But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary! response:	But...
context: Yakiimo.\But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary!\But... response:	But?
context: But it's true!\Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary!\But...\But? response:	Do you wanna know?
context: Keep going.\What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary!\But...\But?\Do you wanna know? response:	Yakiimo!
context: What is the plan for subduing the demon you refer to as Beyond the Boundary?\Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary!\But...\But?\Do you wanna know?\Yakiimo! response:	Oh, I'm sorry!
context: Is the Nase family going to annihilate it in secret?\I couldn't get any info on that, either!\Your sister is way too scary!\But...\But?\Do you wanna know?\Yakiimo!\Oh, I'm sorry! response:	I found some intriguing information regarding Kuriyama Mirai.
context: I couldn't get any info on that, either!\Your sister is way too scary!\But...\But?\Do you wanna know?\Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai. response:	About Kuriyama-san?
context: Your sister is way too scary!\But...\But?\Do you wanna know?\Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san? response:	While I was digging around,
context: But...\But?\Do you wanna know?\Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around, response:	I found that the Inami family tried to kill Kuriyama Mirai
context: But?\Do you wanna know?\Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai response:	for murdering their daughter, Yui.
context: Do you wanna know?\Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui. response:	Apparently, the one who stopped them...
context: Yakiimo!\Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them... response:	was Nase Izumi.
context: Oh, I'm sorry!\I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi. response:	Do you think that is somehow linked to this Beyond the Boundary?
context: I found some intriguing information regarding Kuriyama Mirai.\About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary? response:	I can't say.
context: About Kuriyama-san?\While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say. response:	But wouldn't you find it fascinating if it was?
context: While I was digging around,\I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was? response:	Big Bro!
context: I found that the Inami family tried to kill Kuriyama Mirai\for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was?\Big Bro! response:	What a hassle.
context: for murdering their daughter, Yui.\Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle. response:	The way you followed your little sister all of the way out here...
context: Apparently, the one who stopped them...\was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle.\The way you followed your little sister all of the way out here... response:	It sure looks like you've got a sister complex.
context: was Nase Izumi.\Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex. response:	That hurt.
context: Do you think that is somehow linked to this Beyond the Boundary?\I can't say.\But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt. response:	I don't just look like I do!
context: I can't say.\But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do! response:	What are you after?
context: But wouldn't you find it fascinating if it was?\Big Bro!\What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do!\What are you after? response:	You should go ask your little sister!
context: Big Bro!\What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do!\What are you after?\You should go ask your little sister! response:	Big Brother!
context: What a hassle.\The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do!\What are you after?\You should go ask your little sister!\Big Brother! response:	Thank you for that delicious little outburst.
context: The way you followed your little sister all of the way out here...\It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do!\What are you after?\You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst. response:	Wh-What's going on?!
context: It sure looks like you've got a sister complex.\That hurt.\I don't just look like I do!\What are you after?\You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?! response:	Akihito-kun, you were hit by a car, so why...
context: That hurt.\I don't just look like I do!\What are you after?\You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why... response:	Where did your injuries go?!
context: I don't just look like I do!\What are you after?\You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?! response:	Oh, this
context: What are you after?\You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this response:	Don't kill me!
context: You should go ask your little sister!\Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this\Don't kill me! response:	Please! Don't kill me!
context: Big Brother!\Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this\Don't kill me!\Please! Don't kill me! response:	Wh-What makes you think I would do that?
context: Thank you for that delicious little outburst.\Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this\Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that? response:	I-Izumi-san?
context: Wh-What's going on?!\Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this\Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san? response:	You must be exhausted.
context: Akihito-kun, you were hit by a car, so why...\Where did your injuries go?!\Oh, this\Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted. response:	What are you doing here?
context: Where did your injuries go?!\Oh, this\Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted.\What are you doing here? response:	Rest for just a little longer.
