context: This is justice! response:	In response to the cowardly act of the Terrans who turned on Princess Asseylum,
context: Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana? response:	Appaloosa 33!
context: Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33! response:	Message from Craft 1.
context: Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1. response:	Put it on speaker.
context: Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1.\Put it on speaker. response:	Captain Magbaredge!
context: Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1.\Put it on speaker.\Captain Magbaredge! response:	Status?
context: Sword drawn.\Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1.\Put it on speaker.\Captain Magbaredge!\Status? response:	Not good, ma'am. How about on your end?
context: Open fire!\Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1.\Put it on speaker.\Captain Magbaredge!\Status?\Not good, ma'am. How about on your end? response:	Fueling complete!
context: Some kind of laser weapon? No... It's a katana?\Appaloosa 33!\Message from Craft 1.\Put it on speaker.\Captain Magbaredge!\Status?\Not good, ma'am. How about on your end?\Fueling complete! response:	Refugee boarding complete!
context: Appaloosa 33!\Message from Craft 1.\Put it on speaker.\Captain Magbaredge!\Status?\Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete! response:	We'll lift off, too.
context: Message from Craft 1.\Put it on speaker.\Captain Magbaredge!\Status?\Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete!\We'll lift off, too. response:	We'll get some distance and finish this with SSMs.
context: Put it on speaker.\Captain Magbaredge!\Status?\Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs. response:	Let's regroup out at sea!
context: Captain Magbaredge!\Status?\Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea! response:	A Mars Knight...
context: Status?\Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight... response:	Sitrep!
context: Not good, ma'am. How about on your end?\Fueling complete!\Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight...\Sitrep! response:	Damage to hull! Negligible!
context: Fueling complete!\Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight...\Sitrep!\Damage to hull! Negligible! response:	Will not affect seaworthiness!
context: Refugee boarding complete!\We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight...\Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness! response:	APU shutting down!
context: We'll lift off, too.\We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight...\Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down! response:	Unable to power up engines!
context: We'll get some distance and finish this with SSMs.\Let's regroup out at sea!\A Mars Knight...\Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down!\Unable to power up engines! response:	I'll go look.
context: Let's regroup out at sea!\A Mars Knight...\Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down!\Unable to power up engines!\I'll go look. response:	I'll go, too!
context: A Mars Knight...\Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down!\Unable to power up engines!\I'll go look.\I'll go, too! response:	What the hell?!
context: Sitrep!\Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down!\Unable to power up engines!\I'll go look.\I'll go, too!\What the hell?! response:	Hey! Calm!
context: Damage to hull! Negligible!\Will not affect seaworthiness!\APU shutting down!\Unable to power up engines!\I'll go look.\I'll go, too!\What the hell?!\Hey! Calm! response:	The main engine looks okay.
context: Will not affect seaworthiness!\APU shutting down!\Unable to power up engines!\I'll go look.\I'll go, too!\What the hell?!\Hey! Calm!\The main engine looks okay. response:	Make temporary repairs!
context: APU shutting down!\Unable to power up engines!\I'll go look.\I'll go, too!\What the hell?!\Hey! Calm!\The main engine looks okay.\Make temporary repairs! response:	That isn't the same type as the one this afternoon.
context: Unable to power up engines!\I'll go look.\I'll go, too!\What the hell?!\Hey! Calm!\The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon. response:	That thing in its hand... Is that a beam katana?
context: I'll go look.\I'll go, too!\What the hell?!\Hey! Calm!\The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana? response:	Like I care.
context: I'll go, too!\What the hell?!\Hey! Calm!\The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care. response:	I shall speak with that knight.
context: What the hell?!\Hey! Calm!\The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight. response:	Mila-
context: Hey! Calm!\The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight.\Mila- response:	It's too dangerous! What if he is in league with the assassins?
context: The main engine looks okay.\Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins? response:	I am aware of the risk. But that is the only way to keep everyone safe.
context: Make temporary repairs!\That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe. response:	No! You were lucky this afternoon, nothing more!
context: That isn't the same type as the one this afternoon.\That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more! response:	You must never do something so reckless again!
context: That thing in its hand... Is that a beam katana?\Like I care.\I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again! response:	Please stay here.
context: Like I care.\I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here. response:	Stay here.
context: I shall speak with that knight.\Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here.\Stay here. response:	Inaho?!
context: Mila-\It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here.\Stay here.\Inaho?! response:	I'll buy us some time. You two get inside.
context: It's too dangerous! What if he is in league with the assassins?\I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here.\Stay here.\Inaho?!\I'll buy us some time. You two get inside. response:	We're your friends, aren't we? We'll help!
context: I am aware of the risk. But that is the only way to keep everyone safe.\No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here.\Stay here.\Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help! response:	Thanks.
context: No! You were lucky this afternoon, nothing more!\You must never do something so reckless again!\Please stay here.\Stay here.\Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks. response:	Hey, you two!
context: You must never do something so reckless again!\Please stay here.\Stay here.\Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks.\Hey, you two! response:	Inko, I need you up there.
context: Please stay here.\Stay here.\Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks.\Hey, you two!\Inko, I need you up there. response:	Up where?
context: Stay here.\Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks.\Hey, you two!\Inko, I need you up there.\Up where? response:	Trainers?
context: Inaho?!\I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks.\Hey, you two!\Inko, I need you up there.\Up where?\Trainers? response:	Inaho?
context: I'll buy us some time. You two get inside.\We're your friends, aren't we? We'll help!\Thanks.\Hey, you two!\Inko, I need you up there.\Up where?\Trainers?\Inaho? response:	Engine room!
context: We're your friends, aren't we? We'll help!\Thanks.\Hey, you two!\Inko, I need you up there.\Up where?\Trainers?\Inaho?\Engine room! response:	We're patching straight into the pressure tank!
context: Thanks.\Hey, you two!\Inko, I need you up there.\Up where?\Trainers?\Inaho?\Engine room!\We're patching straight into the pressure tank! response:	No luck with HE rounds, huh? Then let's try AP rounds.
context: Hey, you two!\Inko, I need you up there.\Up where?\Trainers?\Inaho?\Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds. response:	Clever. Rounds that contain no explosives won't detonate in midair.
context: Inko, I need you up there.\Up where?\Trainers?\Inaho?\Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair. response:	Nevertheless!
context: Up where?\Trainers?\Inaho?\Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless! response:	The tips are evaporating and throwing off the bullets' trajectory...
context: Trainers?\Inaho?\Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory... response:	The Leidenfrost effect, huh? The heat it's putting out is incredible...
context: Inaho?\Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible... response:	A pincer attack, eh?
context: Engine room!\We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh? response:	What?!
context: We're patching straight into the pressure tank!\No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?! response:	How amusing. But how long can you last in that Kataphrakt?
context: No luck with HE rounds, huh? Then let's try AP rounds.\Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt? response:	Damn it!
context: Clever. Rounds that contain no explosives won't detonate in midair.\Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it! response:	This is the end.
context: Nevertheless!\The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end. response:	Maybe a little more to the right...
context: The tips are evaporating and throwing off the bullets' trajectory...\The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end.\Maybe a little more to the right... response:	Bingo.
context: The Leidenfrost effect, huh? The heat it's putting out is incredible...\A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end.\Maybe a little more to the right...\Bingo. response:	My main monitor!
context: A pincer attack, eh?\What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end.\Maybe a little more to the right...\Bingo.\My main monitor! response:	Calm.
context: What?!\How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end.\Maybe a little more to the right...\Bingo.\My main monitor!\Calm. response:	Finally!
context: How amusing. But how long can you last in that Kataphrakt?\Damn it!\This is the end.\Maybe a little more to the right...\Bingo.\My main monitor!\Calm.\Finally! response:	One more time!
context: Damn it!\This is the end.\Maybe a little more to the right...\Bingo.\My main monitor!\Calm.\Finally!\One more time! response:	Don't underestimate me!
context: This is the end.\Maybe a little more to the right...\Bingo.\My main monitor!\Calm.\Finally!\One more time!\Don't underestimate me! response:	I guess not!
context: Maybe a little more to the right...\Bingo.\My main monitor!\Calm.\Finally!\One more time!\Don't underestimate me!\I guess not! response:	Who do you insects think you are?!
context: Bingo.\My main monitor!\Calm.\Finally!\One more time!\Don't underestimate me!\I guess not!\Who do you insects think you are?! response:	Sorry we're late, Captain Magbaredge.
context: My main monitor!\Calm.\Finally!\One more time!\Don't underestimate me!\I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge. response:	It took a long time to find a safe route.
context: Calm.\Finally!\One more time!\Don't underestimate me!\I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route. response:	Mizusaki, would you like to know why you can't get a date?
context: Finally!\One more time!\Don't underestimate me!\I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date? response:	I thought you were supposed to arrive fashionably late, ma'am.
context: One more time!\Don't underestimate me!\I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am. response:	That's a tactic that you use after you've landed a date.
context: Don't underestimate me!\I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date. response:	The smoke's cleared! Now able to target!
context: I guess not!\Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target! response:	Disable fuses on rounds.
context: Who do you insects think you are?!\Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds. response:	Kataphrakt Platoon, take aim!
context: Sorry we're late, Captain Magbaredge.\It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim! response:	Fire!
context: It took a long time to find a safe route.\Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire! response:	Come on!
context: Mizusaki, would you like to know why you can't get a date?\I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire!\Come on! response:	We have pressure! Turbine RPMs climbing!
context: I thought you were supposed to arrive fashionably late, ma'am.\That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire!\Come on!\We have pressure! Turbine RPMs climbing! response:	Ignition!
context: That's a tactic that you use after you've landed a date.\The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire!\Come on!\We have pressure! Turbine RPMs climbing!\Ignition! response:	Let's withdraw.
context: The smoke's cleared! Now able to target!\Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire!\Come on!\We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw. response:	Roger!
context: Disable fuses on rounds.\Kataphrakt Platoon, take aim!\Fire!\Come on!\We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw.\Roger! response:	You think you can get away?!
context: Kataphrakt Platoon, take aim!\Fire!\Come on!\We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw.\Roger!\You think you can get away?! response:	You're not worth my time!
context: Fire!\Come on!\We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw.\Roger!\You think you can get away?!\You're not worth my time! response:	Exactly as planned, huh?
context: Come on!\We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw.\Roger!\You think you can get away?!\You're not worth my time!\Exactly as planned, huh? response:	What plan?! That was really close back there!
context: We have pressure! Turbine RPMs climbing!\Ignition!\Let's withdraw.\Roger!\You think you can get away?!\You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there! response:	It's not like you to be so reckless, Inaho.
context: Ignition!\Let's withdraw.\Roger!\You think you can get away?!\You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho. response:	I suppose it isn't.
context: Let's withdraw.\Roger!\You think you can get away?!\You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't. response:	Maybe you're right.
context: Roger!\You think you can get away?!\You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't.\Maybe you're right. response:	What is it, Slaine?
context: You think you can get away?!\You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't.\Maybe you're right.\What is it, Slaine? response:	Please allow me to avenge Princess Asseylum!
context: You're not worth my time!\Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't.\Maybe you're right.\What is it, Slaine?\Please allow me to avenge Princess Asseylum! response:	As I recall, I told you that you are not worthy.
context: Exactly as planned, huh?\What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't.\Maybe you're right.\What is it, Slaine?\Please allow me to avenge Princess Asseylum!\As I recall, I told you that you are not worthy. response:	Begone, Terran.
context: What plan?! That was really close back there!\It's not like you to be so reckless, Inaho.\I suppose it isn't.\Maybe you're right.\What is it, Slaine?\Please allow me to avenge Princess Asseylum!\As I recall, I told you that you are not worthy.\Begone, Terran. response:	Let me...
