context: I can't take the sun... response:	Looks like we're in the Zuland Plains.
context: When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong!\What does she think about me? response:	If thinking about it won't help,
context: that's what she does.\Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong!\What does she think about me?\If thinking about it won't help, response:	let's get some sleep.
context: Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong!\What does she think about me?\If thinking about it won't help,\let's get some sleep. response:	That's not fair, Tohya!
context: Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong!\What does she think about me?\If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya! response:	I'll get some sleep, too. Goodnight.
context: But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong!\What does she think about me?\If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight. response:	Goodnight, Rudy.
context: especially amazing,\or especially magnificently strong!\What does she think about me?\If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy. response:	Today, we're going to cross into the Sakawa region.
context: or especially magnificently strong!\What does she think about me?\If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region. response:	Sakawa?
context: What does she think about me?\If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa? response:	In the modern world, that's Odawara.
context: If thinking about it won't help,\let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara. response:	They're famous for their fish paste.
context: let's get some sleep.\That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste. response:	Oh, I see.
context: That's not fair, Tohya!\I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see. response:	We're going to follow this road to the ruined castle of Ariba.
context: I'll get some sleep, too. Goodnight.\Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba. response:	To get to our goal, the Redstone Mountains,
context: Goodnight, Rudy.\Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains, response:	we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,
context: Today, we're going to cross into the Sakawa region.\Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road, response:	or take a route that involves climbing mountains.
context: Sakawa?\In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains. response:	Since this area is a rice paddy zone, there are nature-type monsters.
context: In the modern world, that's Odawara.\They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters. response:	Wild dogs, boars, and plant monsters live in the forests and mountains,
context: They're famous for their fish paste.\Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains, response:	Wild Dog Rank/ Field
context: Oh, I see.\We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field response:	Boar (Mushroom) Rank/ Field
context: We're going to follow this road to the ruined castle of Ariba.\To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field response:	but they keep to themselves.
context: To get to our goal, the Redstone Mountains,\we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves. response:	Triffid Rank/ Normal
context: we'll either go off the Sea Road past the Ariba ruins and onto a smaller road,\or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal response:	And Shiroe said the monsters along the road have their levels kept way down.
context: or take a route that involves climbing mountains.\Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down. response:	Then, even if we do run into one, we'll be fine.
context: Since this area is a rice paddy zone, there are nature-type monsters.\Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine. response:	Let's just keep going.
context: Wild dogs, boars, and plant monsters live in the forests and mountains,\Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going. response:	Okay, let's go!
context: Wild Dog Rank/ Field\Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go! response:	Yeah!
context: Boar (Mushroom) Rank/ Field\but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go!\Yeah! response:	Will this work?
context: but they keep to themselves.\Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go!\Yeah!\Will this work? response:	Yeah, it's fine.
context: Triffid Rank/ Normal\And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go!\Yeah!\Will this work?\Yeah, it's fine. response:	Sorry to have you take charge.
context: And Shiroe said the monsters along the road have their levels kept way down.\Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go!\Yeah!\Will this work?\Yeah, it's fine.\Sorry to have you take charge. response:	I don't care.
context: Then, even if we do run into one, we'll be fine.\Let's just keep going.\Okay, let's go!\Yeah!\Will this work?\Yeah, it's fine.\Sorry to have you take charge.\I don't care. response:	Isaac's actually looking forward to it.
context: Let's just keep going.\Okay, let's go!\Yeah!\Will this work?\Yeah, it's fine.\Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it. response:	Don't talk like you know me.
context: Okay, let's go!\Yeah!\Will this work?\Yeah, it's fine.\Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me. response:	Anyway, so we have to train all the knights.
context: Yeah!\Will this work?\Yeah, it's fine.\Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights. response:	How many levels should we raise them?
context: Will this work?\Yeah, it's fine.\Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them? response:	Part of this is to forge friendships,
context: Yeah, it's fine.\Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships, response:	so two or three is fine.
context: Sorry to have you take charge.\I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine. response:	That isn't very greedy.
context: I don't care.\Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy. response:	They're People of the Land.
context: Isaac's actually looking forward to it.\Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy.\They're People of the Land. response:	We can't be reckless with them.
context: Don't talk like you know me.\Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy.\They're People of the Land.\We can't be reckless with them. response:	What a pain.
context: Anyway, so we have to train all the knights.\How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy.\They're People of the Land.\We can't be reckless with them.\What a pain. response:	Isaac...
context: How many levels should we raise them?\Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy.\They're People of the Land.\We can't be reckless with them.\What a pain.\Isaac... response:	Were you planning on power-leveling?
context: Part of this is to forge friendships,\so two or three is fine.\That isn't very greedy.\They're People of the Land.\We can't be reckless with them.\What a pain.\Isaac...\Were you planning on power-leveling? response:	Yeah, that's easier.
context: so two or three is fine.\That isn't very greedy.\They're People of the Land.\We can't be reckless with them.\What a pain.\Isaac...\Were you planning on power-leveling?\Yeah, that's easier. response:	If we take the lead and fight high-level monsters,
context: That isn't very greedy.\They're People of the Land.\We can't be reckless with them.\What a pain.\Isaac...\Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters, response:	the lower-level guys will rise in level automatically.
context: They're People of the Land.\We can't be reckless with them.\What a pain.\Isaac...\Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically. response:	Their levels will go up, but they won't get stronger.
context: We can't be reckless with them.\What a pain.\Isaac...\Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger. response:	You're so hard-headed, villain.
context: What a pain.\Isaac...\Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain. response:	We can just alternate between power-leveling and combat training.
context: Isaac...\Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training. response:	No, I'll even focus on training!
context: Were you planning on power-leveling?\Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training! response:	This is starting to sound really macho,
context: Yeah, that's easier.\If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho, response:	but I guess it's okay.
context: If we take the lead and fight high-level monsters,\the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay. response:	Um, you still can't reach Crusty?
context: the lower-level guys will rise in level automatically.\Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty? response:	No.
context: Their levels will go up, but they won't get stronger.\You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty?\No. response:	He isn't responding on his Friend List, either.
context: You're so hard-headed, villain.\We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either. response:	What is he doing that's so important, he'd ignore his guild?
context: We can just alternate between power-leveling and combat training.\No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild? response:	It could fall apart.
context: No, I'll even focus on training!\This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart. response:	Lately, lots of people are leaving D.D.D.
context: This is starting to sound really macho,\but I guess it's okay.\Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D. response:	Of course, it's actually surprising
context: but I guess it's okay.\Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising response:	the guild's managed to stay on course for these past three months.
context: Um, you still can't reach Crusty?\No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months. response:	Are you worried, villain?
context: No.\He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain? response:	What about you, Isaac?
context: He isn't responding on his Friend List, either.\What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac? response:	I know him.
context: What is he doing that's so important, he'd ignore his guild?\It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac?\I know him. response:	He's either off playing somewhere or fighting.
context: It could fall apart.\Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac?\I know him.\He's either off playing somewhere or fighting. response:	I'm worried about D.D.D., but...
context: Lately, lots of people are leaving D.D.D.\Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac?\I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but... response:	The number of people in Honesty has exceeded 1,250.
context: Of course, it's actually surprising\the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac?\I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250. response:	This is above our previous record.
context: the guild's managed to stay on course for these past three months.\Are you worried, villain?\What about you, Isaac?\I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record. response:	But...
context: Are you worried, villain?\What about you, Isaac?\I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But... response:	The majority of the new members are basically leechers.
context: What about you, Isaac?\I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But...\The majority of the new members are basically leechers. response:	They don't hunt or gather outside of Akihabara,
context: I know him.\He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara, response:	and they don't do crafting or trading in town, either.
context: He's either off playing somewhere or fighting.\I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either. response:	Damned parasites.
context: I'm worried about D.D.D., but...\The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites. response:	Th-There are people like that. But...
context: The number of people in Honesty has exceeded 1,250.\This is above our previous record.\But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But... response:	These people like that are joining our guild and taking it easy.
context: This is above our previous record.\But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy. response:	People in Akihabara and the guild are getting angry with them.
context: But...\The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them. response:	It's only a matter of time before that rage explodes.
context: The majority of the new members are basically leechers.\They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes. response:	Of course, I've shared our opinion with the Round Table.
context: They don't hunt or gather outside of Akihabara,\and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table. response:	What can they do?
context: and they don't do crafting or trading in town, either.\Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do? response:	I think we simply have to kick them out.
context: Damned parasites.\Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out. response:	Why not just limit who can join?
context: Th-There are people like that. But...\These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out.\Why not just limit who can join? response:	We can't do that.
context: These people like that are joining our guild and taking it easy.\People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out.\Why not just limit who can join?\We can't do that. response:	The only reason Honesty maintains its influence
context: People in Akihabara and the guild are getting angry with them.\It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out.\Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence response:	and position on the Round Table
context: It's only a matter of time before that rage explodes.\Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out.\Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table response:	is because we're the third-largest guild in Akihabara.
context: Of course, I've shared our opinion with the Round Table.\What can they do?\I think we simply have to kick them out.\Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara. response:	If we lose that influence, we'll lose our ability to influence Akihabara politics.
context: What can they do?\I think we simply have to kick them out.\Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics. response:	But I think it'd be healthier if the guild...
context: I think we simply have to kick them out.\Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild... response:	No, the whole town of Akihabara went on a diet.
context: Why not just limit who can join?\We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet. response:	Those are cherry blossoms, right?
context: We can't do that.\The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right? response:	Nope...
context: The only reason Honesty maintains its influence\and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope... response:	They're plums.
context: and position on the Round Table\is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope...\They're plums. response:	They smell so nice...
context: is because we're the third-largest guild in Akihabara.\If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope...\They're plums.\They smell so nice... response:	A river!
context: If we lose that influence, we'll lose our ability to influence Akihabara politics.\But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope...\They're plums.\They smell so nice...\A river! response:	Oh, boy...
context: But I think it'd be healthier if the guild...\No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope...\They're plums.\They smell so nice...\A river!\Oh, boy... response:	This won't be easy to cross.
context: No, the whole town of Akihabara went on a diet.\Those are cherry blossoms, right?\Nope...\They're plums.\They smell so nice...\A river!\Oh, boy...\This won't be easy to cross. response:	Let's look for a way around.
context: Those are cherry blossoms, right?\Nope...\They're plums.\They smell so nice...\A river!\Oh, boy...\This won't be easy to cross.\Let's look for a way around. response:	Save us!
context: Nope...\They're plums.\They smell so nice...\A river!\Oh, boy...\This won't be easy to cross.\Let's look for a way around.\Save us! response:	That's...
context: They're plums.\They smell so nice...\A river!\Oh, boy...\This won't be easy to cross.\Let's look for a way around.\Save us!\That's... response:	They're being chased by ogres!
context: They smell so nice...\A river!\Oh, boy...\This won't be easy to cross.\Let's look for a way around.\Save us!\That's...\They're being chased by ogres! response:	Get over there and keep them safe!
context: A river!\Oh, boy...\This won't be easy to cross.\Let's look for a way around.\Save us!\That's...\They're being chased by ogres!\Get over there and keep them safe! response:	Understood!
context: Oh, boy...\This won't be easy to cross.\Let's look for a way around.\Save us!\That's...\They're being chased by ogres!\Get over there and keep them safe!\Understood! response:	Man-Eating Demon Rank/ Normal
context: This won't be easy to cross.\Let's look for a way around.\Save us!\That's...\They're being chased by ogres!\Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal response:	Enemy levels are 21, 22, and 21!
context: Let's look for a way around.\Save us!\That's...\They're being chased by ogres!\Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21! response:	Tohya!
context: Save us!\That's...\They're being chased by ogres!\Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya! response:	Right!
context: That's...\They're being chased by ogres!\Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya!\Right! response:	Leave it to me!
context: They're being chased by ogres!\Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya!\Right!\Leave it to me! response:	Frost Spear!
context: Get over there and keep them safe!\Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya!\Right!\Leave it to me!\Frost Spear! response:	Are you okay?
context: Understood!\Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya!\Right!\Leave it to me!\Frost Spear!\Are you okay? response:	Are you hurt?
context: Man-Eating Demon Rank/ Normal\Enemy levels are 21, 22, and 21!\Tohya!\Right!\Leave it to me!\Frost Spear!\Are you okay?\Are you hurt? response:	Don't let your guard down! There are fifteen adds!
context: Enemy levels are 21, 22, and 21!\Tohya!\Right!\Leave it to me!\Frost Spear!\Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds! response:	Nightshade Serpent Rank/ Normal
context: Tohya!\Right!\Leave it to me!\Frost Spear!\Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal response:	Nightshade Serpents.
context: Right!\Leave it to me!\Frost Spear!\Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents. response:	Their average level is 40!
context: Leave it to me!\Frost Spear!\Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40! response:	And there are fifteen of them!
context: Frost Spear!\Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40!\And there are fifteen of them! response:	They're a spirit-type monster.
context: Are you okay?\Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster. response:	Dark spirits have either evil poison,
context: Are you hurt?\Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison, response:	or resistance to mind attacks and insta-kills.
context: Don't let your guard down! There are fifteen adds!\Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills. response:	Not only might we get hurt, but the People of the Land could, too!
context: Nightshade Serpent Rank/ Normal\Nightshade Serpents.\Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too! response:	I'll go!
context: Nightshade Serpents.\Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go! response:	I'm not even touching them!
context: Their average level is 40!\And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them! response:	Tohya!
