context: Teach Me How to Play Shogi (Continued) response:	Next I'll introduce the characteristics of each type of cat.
context: And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best, response:	after studying so much that it made my head spin.
context: The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin. response:	But I wanted to see that habit, so I desperately tried my best.
context: Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best. response:	Kind, considerate of the people around him, always smiling...
context: His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling... response:	I saw his true face, stripped of all social niceties.
context: with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties. response:	What would Dad say if he could see me right now?
context: It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now? response:	That's right.
context: I enjoyed watching him when he was like that.\But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right. response:	How could I have forgotten?
context: But I could only see it when I did my very best,\after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right.\How could I have forgotten? response:	Right now...
context: after studying so much that it made my head spin.\But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right.\How could I have forgotten?\Right now... response:	How? How could I have forgotten that?
context: But I wanted to see that habit, so I desperately tried my best.\Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right.\How could I have forgotten?\Right now...\How? How could I have forgotten that? response:	Something so important...
context: Kind, considerate of the people around him, always smiling...\I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right.\How could I have forgotten?\Right now...\How? How could I have forgotten that?\Something so important... response:	Kyouko...
context: I saw his true face, stripped of all social niceties.\What would Dad say if he could see me right now?\That's right.\How could I have forgotten?\Right now...\How? How could I have forgotten that?\Something so important...\Kyouko... response:	Image
context: What would Dad say if he could see me right now?\That's right.\How could I have forgotten?\Right now...\How? How could I have forgotten that?\Something so important...\Kyouko...\Image response:	Long time no see, Rei.
context: That's right.\How could I have forgotten?\Right now...\How? How could I have forgotten that?\Something so important...\Kyouko...\Image\Long time no see, Rei. response:	Distant Thunder (Part 1)
context: How could I have forgotten?\Right now...\How? How could I have forgotten that?\Something so important...\Kyouko...\Image\Long time no see, Rei.\Distant Thunder (Part 1) response:	When I was little, I saw lightning in the middle of the day.
context: Right now...\How? How could I have forgotten that?\Something so important...\Kyouko...\Image\Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day. response:	It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.
context: How? How could I have forgotten that?\Something so important...\Kyouko...\Image\Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky. response:	That one moment captivated my heart.
context: Something so important...\Kyouko...\Image\Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart. response:	Even if that brilliance...
context: Kyouko...\Image\Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance... response:	You look well.
context: Image\Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance...\You look well. response:	Why are you... here?
context: Long time no see, Rei.\Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance...\You look well.\Why are you... here? response:	Why? What an odd thing to say.
context: Distant Thunder (Part 1)\When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance...\You look well.\Why are you... here?\Why? What an odd thing to say. response:	Is it so strange for a big sister to worry for her little brother and check on him
context: When I was little, I saw lightning in the middle of the day.\It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance...\You look well.\Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him response:	after he's begun living alone?
context: It was a fleeting gleam of light that seemed to tumble like liquid silver across the blue sky.\That one moment captivated my heart.\Even if that brilliance...\You look well.\Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone? response:	I'll walk you to the station. It's late.
context: That one moment captivated my heart.\Even if that brilliance...\You look well.\Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late. response:	What? You're not going to let me in? After I've come all this way.
context: Even if that brilliance...\You look well.\Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way. response:	Why?
context: You look well.\Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why? response:	Why? It's messy, for one...
context: Why are you... here?\Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one... response:	That's fine. Show me.
context: Why? What an odd thing to say.\Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one...\That's fine. Show me. response:	There's nothing to show.
context: Is it so strange for a big sister to worry for her little brother and check on him\after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one...\That's fine. Show me.\There's nothing to show. response:	Poor excuses. Are you stupid?
context: after he's begun living alone?\I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one...\That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid? response:	If there's nothing to show, it can't be messy, right?
context: I'll walk you to the station. It's late.\What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one...\That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right? response:	Forget it. The last train is
context: What? You're not going to let me in? After I've come all this way.\Why?\Why? It's messy, for one...\That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is response:	My feet are cold! I need to go to the bathroom!
context: Why?\Why? It's messy, for one...\That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom! response:	Don't make me spell it all out for you, idiot!
context: Why? It's messy, for one...\That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot! response:	They've finally warmed up.
context: That's fine. Show me.\There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up. response:	Hey, how old is this place?
context: There's nothing to show.\Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place? response:	It looks like a dump from the outside, but it's surprisingly clean inside.
context: Poor excuses. Are you stupid?\If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside. response:	It's 26 years old. But the landlord just had it renovated.
context: If there's nothing to show, it can't be messy, right?\Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated. response:	That was lucky for you.
context: Forget it. The last train is\My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you. response:	Hey, Rei, get me a towel.
context: My feet are cold! I need to go to the bathroom!\Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel. response:	Thanks.
context: Don't make me spell it all out for you, idiot!\They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel.\Thanks. response:	So why did you choose this town?
context: They've finally warmed up.\Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel.\Thanks.\So why did you choose this town? response:	It's not like you have any connections here, right?
context: Hey, how old is this place?\It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel.\Thanks.\So why did you choose this town?\It's not like you have any connections here, right? response:	I came here once for work. I liked it because of the big, beautiful river.
context: It looks like a dump from the outside, but it's surprisingly clean inside.\It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel.\Thanks.\So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river. response:	The river? What? I can't remember, were you a fan of rivers?
context: It's 26 years old. But the landlord just had it renovated.\That was lucky for you.\Hey, Rei, get me a towel.\Thanks.\So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers? response:	The river, huh?
context: That was lucky for you.\Hey, Rei, get me a towel.\Thanks.\So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh? response:	We lived under the same roof for ten years, but it's like I barely know anything about you.
context: Hey, Rei, get me a towel.\Thanks.\So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you. response:	Hey, this apartment is cold. Can't you fix that?
context: Thanks.\So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that? response:	The air conditioner is old, so it doesn't work well.
context: So why did you choose this town?\It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well. response:	Fwoop
context: It's not like you have any connections here, right?\I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop response:	Don't go opening things!
context: I came here once for work. I liked it because of the big, beautiful river.\The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things! response:	Oh, what a brat. This is a fine feather futon!
context: The river? What? I can't remember, were you a fan of rivers?\The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon! response:	It was a housewarming gift.
context: The river, huh?\We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift. response:	You must've just gotten it. It doesn't smell like you yet.
context: We lived under the same roof for ten years, but it's like I barely know anything about you.\Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet. response:	Huh, that's some view.
context: Hey, this apartment is cold. Can't you fix that?\The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view. response:	Is this really the sixth floor?
context: The air conditioner is old, so it doesn't work well.\Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor? response:	It seems higher. Is it because the river is so low?
context: Fwoop\Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low? response:	I see. So this is where you've been living.
context: Don't go opening things!\Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living. response:	You looked for it by yourself, decided on it yourself...
context: Oh, what a brat. This is a fine feather futon!\It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself... response:	You really are self-centered, aren't you?
context: It was a housewarming gift.\You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you? response:	Dad was feeling down afterwards.
context: You must've just gotten it. It doesn't smell like you yet.\Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards. response:	How did you rent it? Who's your guarantor?
context: Huh, that's some view.\Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor? response:	Chairman Jinguuji.
context: Is this really the sixth floor?\It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji. response:	Figures. He has a soft spot for you.
context: It seems higher. Is it because the river is so low?\I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you. response:	Kyouko, the last train
context: I see. So this is where you've been living.\You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train response:	Why don't you go back home...
context: You looked for it by yourself, decided on it yourself...\You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home... response:	to that house?
context: You really are self-centered, aren't you?\Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home...\to that house? response:	It would make Dad happier that way.
context: Dad was feeling down afterwards.\How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home...\to that house?\It would make Dad happier that way. response:	Hey.
context: How did you rent it? Who's your guarantor?\Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home...\to that house?\It would make Dad happier that way.\Hey. response:	Lend me a T-shirt. I'm sleepy.
context: Chairman Jinguuji.\Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home...\to that house?\It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy. response:	Did you and Dad have a fight?
context: Figures. He has a soft spot for you.\Kyouko, the last train\Why don't you go back home...\to that house?\It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight? response:	Nope. I mean, I haven't seen him.
context: Kyouko, the last train\Why don't you go back home...\to that house?\It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him. response:	I haven't been home lately.
context: Why don't you go back home...\to that house?\It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately. response:	Are you still with that guy?
context: to that house?\It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy? response:	Good.
context: It would make Dad happier that way.\Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy?\Good. response:	It didn't leave a scar at least.
context: Hey.\Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy?\Good.\It didn't leave a scar at least. response:	Gotou isn't a sane guy.
context: Lend me a T-shirt. I'm sleepy.\Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy?\Good.\It didn't leave a scar at least.\Gotou isn't a sane guy. response:	He's bad for you.
context: Did you and Dad have a fight?\Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy?\Good.\It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you. response:	That's none of your business.
context: Nope. I mean, I haven't seen him.\I haven't been home lately.\Are you still with that guy?\Good.\It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you.\That's none of your business. response:	He doesn't get violent with you?
context: I haven't been home lately.\Are you still with that guy?\Good.\It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you.\That's none of your business.\He doesn't get violent with you? response:	Get violent? With me? No way.
context: Are you still with that guy?\Good.\It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you.\That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way. response:	But if he did...
context: Good.\It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you.\That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way.\But if he did... response:	I would stab him...
context: It didn't leave a scar at least.\Gotou isn't a sane guy.\He's bad for you.\That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way.\But if he did...\I would stab him... response:	And he would never wake up again.
context: Gotou isn't a sane guy.\He's bad for you.\That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way.\But if he did...\I would stab him...\And he would never wake up again. response:	You'd go that far?
context: He's bad for you.\That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way.\But if he did...\I would stab him...\And he would never wake up again.\You'd go that far? response:	Yes.
context: That's none of your business.\He doesn't get violent with you?\Get violent? With me? No way.\But if he did...\I would stab him...\And he would never wake up again.\You'd go that far?\Yes. response:	I love him.
context: He doesn't get violent with you?\Get violent? With me? No way.\But if he did...\I would stab him...\And he would never wake up again.\You'd go that far?\Yes.\I love him. response:	I truly love him.
context: Get violent? With me? No way.\But if he did...\I would stab him...\And he would never wake up again.\You'd go that far?\Yes.\I love him.\I truly love him. response:	You couldn't sleep?
context: But if he did...\I would stab him...\And he would never wake up again.\You'd go that far?\Yes.\I love him.\I truly love him.\You couldn't sleep? response:	But you have a match today, don't you? That decides your rank...
context: I would stab him...\And he would never wake up again.\You'd go that far?\Yes.\I love him.\I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank... response:	Who's your opponent again?
context: And he would never wake up again.\You'd go that far?\Yes.\I love him.\I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again? response:	That's right. Mr. Matsunaga.
context: You'd go that far?\Yes.\I love him.\I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga. response:	How old is he?
context: Yes.\I love him.\I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he? response:	Sixty-four? Sixty-five? What a fighter.
context: I love him.\I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter. response:	He won't move to the free class even after falling to C1,
context: I truly love him.\You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1, response:	and keeps sticking it out, desperately, I guess you could say.
context: You couldn't sleep?\But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say. response:	I saw him play against Dad once.
context: But you have a match today, don't you? That decides your rank...\Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once. response:	It was like he was holding on for dear life. It was depressing.
context: Who's your opponent again?\That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing. response:	But not quitting, even after all of that...
context: That's right. Mr. Matsunaga.\How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that... response:	He must really love shogi, you know?
context: How old is he?\Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know? response:	Unlike you.
context: Sixty-four? Sixty-five? What a fighter.\He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you. response:	Oh, that's right.
context: He won't move to the free class even after falling to C1,\and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you.\Oh, that's right. response:	I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.
context: and keeps sticking it out, desperately, I guess you could say.\I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire. response:	Isn't that a downer?
context: I saw him play against Dad once.\It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer? response:	It's like you're going over there to strangle an old, senile dog.
context: It was like he was holding on for dear life. It was depressing.\But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog. response:	I understand. Nobody wants to be the one to do the job.
context: But not quitting, even after all of that...\He must really love shogi, you know?\Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job. response:	It kind of makes you worry.
context: He must really love shogi, you know?\Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry. response:	I thought that in a situation like this, maybe you're the type to throw the match.
context: Unlike you.\Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match. response:	Because you're such a nice guy.
context: Oh, that's right.\I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy. response:	As she left, the sun shone through her hair, illuminating it for a moment.
context: I hear if Mr. Matsunaga is demoted from C1, he'll finally retire.\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment. response:	And that light eventually brought on a pounding rain.
