context: Draw your blades. response:	If we see it, it'll only be for a second.
context: What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh?\Wait, what are you doing?\That hurt...\This isn't easy.\I'm amazed you can bite through, Eren. response:	We made the wrong decision.
context: In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh?\Wait, what are you doing?\That hurt...\This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision. response:	This is a small price to pay.
context: No, sir.\Huh? Eh?\Wait, what are you doing?\That hurt...\This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay. response:	Not that it makes a difference.
context: Huh? Eh?\Wait, what are you doing?\That hurt...\This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay.\Not that it makes a difference. response:	Keeping you under control is our job.
context: Wait, what are you doing?\That hurt...\This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job. response:	And there's nothing wrong with that.
context: That hurt...\This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that. response:	So don't get cocky!
context: This isn't easy.\I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky! response:	I'm sorry, Eren...
context: I'm amazed you can bite through, Eren.\We made the wrong decision.\This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren... response:	We've been so jumpy.
context: We made the wrong decision.\This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren...\We've been so jumpy. response:	You must be disappointed in our stupidity.
context: This is a small price to pay.\Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity. response:	However, even so...
context: Not that it makes a difference.\Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity.\However, even so... response:	We're going to rely on you. And we want you to rely on us.
context: Keeping you under control is our job.\And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us. response:	So...
context: And there's nothing wrong with that.\So don't get cocky!\I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us.\So... response:	Have faith in us...
context: So don't get cocky!\I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us.\So...\Have faith in us... response:	Eren!
context: I'm sorry, Eren...\We've been so jumpy.\You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us.\So...\Have faith in us...\Eren! response:	You're taking too long! Decide!
context: We've been so jumpy.\You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us.\So...\Have faith in us...\Eren!\You're taking too long! Decide! response:	I'll go forward!
context: You must be disappointed in our stupidity.\However, even so...\We're going to rely on you. And we want you to rely on us.\So...\Have faith in us...\Eren!\You're taking too long! Decide!\I'll go forward! response:	Let me go!
context: However, even so...\We're going to rely on you. And we want you to rely on us.\So...\Have faith in us...\Eren!\You're taking too long! Decide!\I'll go forward!\Let me go! response:	I'm sorry!
context: We're going to rely on you. And we want you to rely on us.\So...\Have faith in us...\Eren!\You're taking too long! Decide!\I'll go forward!\Let me go!\I'm sorry! response:	Target is accelerating!
context: So...\Have faith in us...\Eren!\You're taking too long! Decide!\I'll go forward!\Let me go!\I'm sorry!\Target is accelerating! response:	Go!
context: Have faith in us...\Eren!\You're taking too long! Decide!\I'll go forward!\Let me go!\I'm sorry!\Target is accelerating!\Go! response:	We will outrun it.
context: Eren!\You're taking too long! Decide!\I'll go forward!\Let me go!\I'm sorry!\Target is accelerating!\Go!\We will outrun it. response:	It's impossible to outrun it...
context: You're taking too long! Decide!\I'll go forward!\Let me go!\I'm sorry!\Target is accelerating!\Go!\We will outrun it.\It's impossible to outrun it... response:	If we keep running away, it'll stomp us all flat!
context: I'll go forward!\Let me go!\I'm sorry!\Target is accelerating!\Go!\We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat! response:	But...
context: Let me go!\I'm sorry!\Target is accelerating!\Go!\We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But... response:	We might all die,
context: I'm sorry!\Target is accelerating!\Go!\We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But...\We might all die, response:	but everyone chose to go on,
context: Target is accelerating!\Go!\We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But...\We might all die,\but everyone chose to go on, response:	even if it meant abandoning our comrades.
context: Go!\We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But...\We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades. response:	Captain Levi has been looking forward this whole time.
context: We will outrun it.\It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But...\We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time. response:	And the rest of the squad
context: It's impossible to outrun it...\If we keep running away, it'll stomp us all flat!\But...\We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad response:	believe in him, and put all their trust in him.
context: If we keep running away, it'll stomp us all flat!\But...\We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him. response:	I'll believe in them, too...
context: But...\We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too... response:	Like they
context: We might all die,\but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too...\Like they response:	believed in me!
context: but everyone chose to go on,\even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too...\Like they\believed in me! response:	Fire!
context: even if it meant abandoning our comrades.\Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too...\Like they\believed in me!\Fire! response:	Advance a bit farther, tether the horses,
context: Captain Levi has been looking forward this whole time.\And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too...\Like they\believed in me!\Fire!\Advance a bit farther, tether the horses, response:	and switch to Maneuver Gear.
context: And the rest of the squad\believe in him, and put all their trust in him.\I'll believe in them, too...\Like they\believed in me!\Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear. response:	You guys will be off on your own for a while.
context: believe in him, and put all their trust in him.\I'll believe in them, too...\Like they\believed in me!\Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while. response:	Eldo, lead the squad.
context: I'll believe in them, too...\Like they\believed in me!\Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad. response:	Once you're a good distance away from the Titan, hide Eren.
context: Like they\believed in me!\Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren. response:	Take my horse.
context: believed in me!\Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse. response:	He can't intend
context: Fire!\Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend response:	to take that Titan alive?
context: Advance a bit farther, tether the horses,\and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend\to take that Titan alive? response:	Well, Eren? See that?
context: and switch to Maneuver Gear.\You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend\to take that Titan alive?\Well, Eren? See that? response:	We caught that Titan!
context: You guys will be off on your own for a while.\Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend\to take that Titan alive?\Well, Eren? See that?\We caught that Titan! response:	This is the power of the Survey Corps!
context: Eldo, lead the squad.\Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend\to take that Titan alive?\Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps! response:	Don't underestimate us, fool.
context: Once you're a good distance away from the Titan, hide Eren.\Take my horse.\He can't intend\to take that Titan alive?\Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool. response:	Well? Do you get it now?
context: Take my horse.\He can't intend\to take that Titan alive?\Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now? response:	Yes!
context: He can't intend\to take that Titan alive?\Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now?\Yes! response:	Looks like it's stopped moving...
context: to take that Titan alive?\Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now?\Yes!\Looks like it's stopped moving... response:	We can't lower our guard.
context: Well, Eren? See that?\We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now?\Yes!\Looks like it's stopped moving...\We can't lower our guard. response:	But you did well, leading it here.
context: We caught that Titan!\This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now?\Yes!\Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here. response:	Men in the rearguard squads died buying us the time we needed.
context: This is the power of the Survey Corps!\Don't underestimate us, fool.\Well? Do you get it now?\Yes!\Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed. response:	We couldn't have done it without them.
context: Don't underestimate us, fool.\Well? Do you get it now?\Yes!\Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them. response:	Is that so?
context: Well? Do you get it now?\Yes!\Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so? response:	It is.
context: Yes!\Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so?\It is. response:	Thanks to them, we'll be able to see who's inside this thing.
context: Looks like it's stopped moving...\We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so?\It is.\Thanks to them, we'll be able to see who's inside this thing. response:	I hope they haven't pissed themselves...
context: We can't lower our guard.\But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so?\It is.\Thanks to them, we'll be able to see who's inside this thing.\I hope they haven't pissed themselves... response:	Erwin Smith's secret plan was to capture the Female Titan.
context: But you did well, leading it here.\Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so?\It is.\Thanks to them, we'll be able to see who's inside this thing.\I hope they haven't pissed themselves...\Erwin Smith's secret plan was to capture the Female Titan. response:	The aces of the Survey Corps try to reveal its true identity, but...
context: Men in the rearguard squads died buying us the time we needed.\We couldn't have done it without them.\Is that so?\It is.\Thanks to them, we'll be able to see who's inside this thing.\I hope they haven't pissed themselves...\Erwin Smith's secret plan was to capture the Female Titan.\The aces of the Survey Corps try to reveal its true identity, but... response:	Erwin Smith 57th Expedition Beyond the Walls (4)
