context: Sometimes, a girl can't stop loving, even if she knows better. response:	She'll find a love she wants to believe in,
context: You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble\Spray! response:	Now!
context: Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble\Spray!\Now! response:	What?!
context: In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble\Spray!\Now!\What?! response:	Where are you?! What?!
context: Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble\Spray!\Now!\What?!\Where are you?! What?! response:	Where are you?!
context: In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble\Spray!\Now!\What?!\Where are you?! What?!\Where are you?! response:	Fire
context: We will take care of you guys first! Die!\Bubble\Spray!\Now!\What?!\Where are you?! What?!\Where are you?!\Fire response:	Moon Tiara
context: Bubble\Spray!\Now!\What?!\Where are you?! What?!\Where are you?!\Fire\Moon Tiara response:	Soul!
context: Spray!\Now!\What?!\Where are you?! What?!\Where are you?!\Fire\Moon Tiara\Soul! response:	Action!
context: Now!\What?!\Where are you?! What?!\Where are you?!\Fire\Moon Tiara\Soul!\Action! response:	Mr. Nephrite...
context: What?!\Where are you?! What?!\Where are you?!\Fire\Moon Tiara\Soul!\Action!\Mr. Nephrite... response:	Sailor Moon...
context: Where are you?! What?!\Where are you?!\Fire\Moon Tiara\Soul!\Action!\Mr. Nephrite...\Sailor Moon... response:	Yes?
context: Where are you?!\Fire\Moon Tiara\Soul!\Action!\Mr. Nephrite...\Sailor Moon...\Yes? response:	It looks like your identity may remain a secret.
context: Fire\Moon Tiara\Soul!\Action!\Mr. Nephrite...\Sailor Moon...\Yes?\It looks like your identity may remain a secret. response:	No, please don't die!
context: Moon Tiara\Soul!\Action!\Mr. Nephrite...\Sailor Moon...\Yes?\It looks like your identity may remain a secret.\No, please don't die! response:	I'm sorry.
context: Soul!\Action!\Mr. Nephrite...\Sailor Moon...\Yes?\It looks like your identity may remain a secret.\No, please don't die!\I'm sorry. response:	What?
context: Action!\Mr. Nephrite...\Sailor Moon...\Yes?\It looks like your identity may remain a secret.\No, please don't die!\I'm sorry.\What? response:	I don't think we'll get to eat a chocolate parfait together.
context: Mr. Nephrite...\Sailor Moon...\Yes?\It looks like your identity may remain a secret.\No, please don't die!\I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together. response:	No...
context: Sailor Moon...\Yes?\It looks like your identity may remain a secret.\No, please don't die!\I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together.\No... response:	I have ended up lying to you to the very end.
context: Yes?\It looks like your identity may remain a secret.\No, please don't die!\I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end. response:	Please forgive me.
context: It looks like your identity may remain a secret.\No, please don't die!\I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end.\Please forgive me. response:	I'm glad I met you.
context: No, please don't die!\I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you. response:	Mr. Nephrite?
context: I'm sorry.\What?\I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you.\Mr. Nephrite? response:	No! You can't! You promised!
context: What?\I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised! response:	You said we'd eat a chocolate parfait together!
context: I don't think we'll get to eat a chocolate parfait together.\No...\I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together! response:	No!
context: No...\I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No! response:	This is... This isn't fair!
context: I have ended up lying to you to the very end.\Please forgive me.\I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair! response:	Mr. Nephrite!
context: Please forgive me.\I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair!\Mr. Nephrite! response:	Yume no naka futari de ita yo ne
context: I'm glad I met you.\Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne response:	Hoshi tachi ni mamorarete
context: Mr. Nephrite?\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete response:	Tomodachi no toki ni wa ki ni sezu
context: No! You can't! You promised!\You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu response:	Nanigenaku hanashite ita kedo
context: You said we'd eat a chocolate parfait together!\No!\This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo response:	Anata dake ki ni naru shunkan ga atta no
context: No!\This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no response:	Motto kirei ni ima sugu naritai
context: This is... This isn't fair!\Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai response:	Koi suru to nanika ga kawaru ne
context: Mr. Nephrite!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne response:	Me o tojite tashikamete
context: Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne\Me o tojite tashikamete response:	Dakishimeta tokimeki sono mama kono omoi tsutaetai
