context: Half-demon Inuyasha covets the power of the Sacred Jewel. response:	He was able to take possession of Tetsusaiga, his father's sword...
context: That voice...\It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad!\I know it!\What a frightening thing...\I have done!\Although I was possessed by a toad demon... response:	my heart was still human.
context: It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad!\I know it!\What a frightening thing...\I have done!\Although I was possessed by a toad demon...\my heart was still human. response:	But lately, even my heart...
context: I see!\The real lord still lives inside the toad!\I know it!\What a frightening thing...\I have done!\Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart... response:	Kill me!
context: The real lord still lives inside the toad!\I know it!\What a frightening thing...\I have done!\Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart...\Kill me! response:	Huh?
context: I know it!\What a frightening thing...\I have done!\Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart...\Kill me!\Huh? response:	Otherwise, I will end up devouring Princess Tsuyu!
context: What a frightening thing...\I have done!\Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart...\Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu! response:	My lord!
context: I have done!\Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart...\Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord! response:	I beg you!
context: Although I was possessed by a toad demon...\my heart was still human.\But lately, even my heart...\Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you! response:	Slay me now!
context: my heart was still human.\But lately, even my heart...\Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you!\Slay me now! response:	Pretty noble words...
context: But lately, even my heart...\Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you!\Slay me now!\Pretty noble words... response:	I gotta hand it to you, lord!
context: Kill me!\Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you!\Slay me now!\Pretty noble words...\I gotta hand it to you, lord! response:	'Kay then, as you say!
context: Huh?\Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you!\Slay me now!\Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say! response:	Hold it, Inuyasha!
context: Otherwise, I will end up devouring Princess Tsuyu!\My lord!\I beg you!\Slay me now!\Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha! response:	What about the real lord?!
context: My lord!\I beg you!\Slay me now!\Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?! response:	Yes!
context: I beg you!\Slay me now!\Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?!\Yes! response:	He still has a human heart!
context: Slay me now!\Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?!\Yes!\He still has a human heart! response:	Will you stop yapping?!
context: Pretty noble words...\I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?!\Yes!\He still has a human heart!\Will you stop yapping?! response:	The REAL lord is asking me to slay him!
context: I gotta hand it to you, lord!\'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?!\Yes!\He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him! response:	This is no time for silly sentimentality!
context: 'Kay then, as you say!\Hold it, Inuyasha!\What about the real lord?!\Yes!\He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality! response:	Stop!
context: Hold it, Inuyasha!\What about the real lord?!\Yes!\He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop! response:	Sheathe your sword, Inuyasha!
context: What about the real lord?!\Yes!\He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha! response:	Inside this monster, the real lord's heart still beats!
context: Yes!\He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats! response:	Why you...!
context: He still has a human heart!\Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...! response:	If you don't move, you'll die, too!
context: Will you stop yapping?!\The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too! response:	I can't die.
context: The REAL lord is asking me to slay him!\This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too!\I can't die. response:	Then move!
context: This is no time for silly sentimentality!\Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too!\I can't die.\Then move! response:	I can't do that either!
context: Stop!\Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too!\I can't die.\Then move!\I can't do that either! response:	I cannot allow you to kill the monster while the lord's heart beats!
context: Sheathe your sword, Inuyasha!\Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too!\I can't die.\Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats! response:	Even if he weren't a lord, I despise the taking of life!
context: Inside this monster, the real lord's heart still beats!\Why you...!\If you don't move, you'll die, too!\I can't die.\Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life! response:	Nobunaga...
context: Why you...!\If you don't move, you'll die, too!\I can't die.\Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga... response:	This may sound naive considering the times in which we live...
context: If you don't move, you'll die, too!\I can't die.\Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live... response:	Laugh at me if you like.
context: I can't die.\Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like. response:	But I still... still!
context: Then move!\I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still! response:	All right!
context: I can't do that either!\I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still!\All right! response:	I won't lift another finger. You guys can settle this.
context: I cannot allow you to kill the monster while the lord's heart beats!\Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still!\All right!\I won't lift another finger. You guys can settle this. response:	Humph!
context: Even if he weren't a lord, I despise the taking of life!\Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still!\All right!\I won't lift another finger. You guys can settle this.\Humph! response:	Inuyasha...
context: Nobunaga...\This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still!\All right!\I won't lift another finger. You guys can settle this.\Humph!\Inuyasha... response:	Thanks for sparing me.
context: This may sound naive considering the times in which we live...\Laugh at me if you like.\But I still... still!\All right!\I won't lift another finger. You guys can settle this.\Humph!\Inuyasha...\Thanks for sparing me. response:	Nobunaga!
context: Laugh at me if you like.\But I still... still!\All right!\I won't lift another finger. You guys can settle this.\Humph!\Inuyasha...\Thanks for sparing me.\Nobunaga! response:	The toad demon is back!
context: But I still... still!\All right!\I won't lift another finger. You guys can settle this.\Humph!\Inuyasha...\Thanks for sparing me.\Nobunaga!\The toad demon is back! response:	Nobunaga!
context: All right!\I won't lift another finger. You guys can settle this.\Humph!\Inuyasha...\Thanks for sparing me.\Nobunaga!\The toad demon is back!\Nobunaga! response:	Inuyasha!
context: I won't lift another finger. You guys can settle this.\Humph!\Inuyasha...\Thanks for sparing me.\Nobunaga!\The toad demon is back!\Nobunaga!\Inuyasha! response:	If I help, the lord will die.
context: Humph!\Inuyasha...\Thanks for sparing me.\Nobunaga!\The toad demon is back!\Nobunaga!\Inuyasha!\If I help, the lord will die. response:	Princess Tsuyu!
context: Inuyasha...\Thanks for sparing me.\Nobunaga!\The toad demon is back!\Nobunaga!\Inuyasha!\If I help, the lord will die.\Princess Tsuyu! response:	Kagome... Pay me no heed.
context: Thanks for sparing me.\Nobunaga!\The toad demon is back!\Nobunaga!\Inuyasha!\If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed. response:	You must take the princess and escape!
context: Nobunaga!\The toad demon is back!\Nobunaga!\Inuyasha!\If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape! response:	All right! Let's go!
context: The toad demon is back!\Nobunaga!\Inuyasha!\If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go! response:	Nobunaga!
context: Nobunaga!\Inuyasha!\If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go!\Nobunaga! response:	Move!
context: Inuyasha!\If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go!\Nobunaga!\Move! response:	Now do you see?
context: If I help, the lord will die.\Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go!\Nobunaga!\Move!\Now do you see? response:	Do NOT kill him!
context: Princess Tsuyu!\Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go!\Nobunaga!\Move!\Now do you see?\Do NOT kill him! response:	You!
context: Kagome... Pay me no heed.\You must take the princess and escape!\All right! Let's go!\Nobunaga!\Move!\Now do you see?\Do NOT kill him!\You! response:	Princess...
context: You must take the princess and escape!\All right! Let's go!\Nobunaga!\Move!\Now do you see?\Do NOT kill him!\You!\Princess... response:	Isn't there something we can do?!
context: All right! Let's go!\Nobunaga!\Move!\Now do you see?\Do NOT kill him!\You!\Princess...\Isn't there something we can do?! response:	Though a demon, he's still just toad.
context: Nobunaga!\Move!\Now do you see?\Do NOT kill him!\You!\Princess...\Isn't there something we can do?!\Though a demon, he's still just toad. response:	He should have an aversion to heat.
context: Move!\Now do you see?\Do NOT kill him!\You!\Princess...\Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat. response:	Heat?
context: Now do you see?\Do NOT kill him!\You!\Princess...\Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat.\Heat? response:	Throw some hot water on him.
context: Do NOT kill him!\You!\Princess...\Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat.\Heat?\Throw some hot water on him. response:	Hot water?
context: You!\Princess...\Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat.\Heat?\Throw some hot water on him.\Hot water? response:	Then the toad will be in agony and...
context: Princess...\Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat.\Heat?\Throw some hot water on him.\Hot water?\Then the toad will be in agony and... response:	the real lord will be released.
context: Isn't there something we can do?!\Though a demon, he's still just toad.\He should have an aversion to heat.\Heat?\Throw some hot water on him.\Hot water?\Then the toad will be in agony and...\the real lord will be released. response:	And just how do we get hot water?!
context: Though a demon, he's still just toad.\He should have an aversion to heat.\Heat?\Throw some hot water on him.\Hot water?\Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?! response:	Stop!
context: He should have an aversion to heat.\Heat?\Throw some hot water on him.\Hot water?\Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?!\Stop! response:	He's coming!
context: Heat?\Throw some hot water on him.\Hot water?\Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?!\Stop!\He's coming! response:	Something hot!
context: Throw some hot water on him.\Hot water?\Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?!\Stop!\He's coming!\Something hot! response:	I know, fire!
context: Hot water?\Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?!\Stop!\He's coming!\Something hot!\I know, fire! response:	Is there something like a large torch?
context: Then the toad will be in agony and...\the real lord will be released.\And just how do we get hot water?!\Stop!\He's coming!\Something hot!\I know, fire!\Is there something like a large torch? response:	Huh?
context: the real lord will be released.\And just how do we get hot water?!\Stop!\He's coming!\Something hot!\I know, fire!\Is there something like a large torch?\Huh? response:	Hiyoshimaru! When'd you appear?!
context: And just how do we get hot water?!\Stop!\He's coming!\Something hot!\I know, fire!\Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?! response:	I'll gobble both of you!
context: Stop!\He's coming!\Something hot!\I know, fire!\Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you! response:	Fire! Good work, Hiyoshimaru!
context: He's coming!\Something hot!\I know, fire!\Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru! response:	It's too small.
context: Something hot!\I know, fire!\Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small. response:	Wait up, repulsive toad!
context: I know, fire!\Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad! response:	Inuyasha!
context: Is there something like a large torch?\Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad!\Inuyasha! response:	Kagome, the time for niceties is over!
context: Huh?\Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over! response:	I'll gonna get'im!
context: Hiyoshimaru! When'd you appear?!\I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im! response:	Niceties?
context: I'll gobble both of you!\Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties? response:	I know... hairspray!
context: Fire! Good work, Hiyoshimaru!\It's too small.\Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties?\I know... hairspray! response:	It'll work... this will drive the toad out!
context: It's too small.\Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties?\I know... hairspray!\It'll work... this will drive the toad out! response:	I'm gonna get'im!
context: Wait up, repulsive toad!\Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties?\I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im! response:	Sit!
context: Inuyasha!\Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties?\I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im!\Sit! response:	Wh-whaa!
context: Kagome, the time for niceties is over!\I'll gonna get'im!\Niceties?\I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im!\Sit!\Wh-whaa! response:	It worked!
context: I'll gonna get'im!\Niceties?\I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im!\Sit!\Wh-whaa!\It worked! response:	Inuyasha, get the fragment!
context: Niceties?\I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im!\Sit!\Wh-whaa!\It worked!\Inuyasha, get the fragment! response:	I don't need you to tell me that!
context: I know... hairspray!\It'll work... this will drive the toad out!\I'm gonna get'im!\Sit!\Wh-whaa!\It worked!\Inuyasha, get the fragment!\I don't need you to tell me that! response:	Die!
context: It'll work... this will drive the toad out!\I'm gonna get'im!\Sit!\Wh-whaa!\It worked!\Inuyasha, get the fragment!\I don't need you to tell me that!\Die! response:	Inuyasha!
context: I'm gonna get'im!\Sit!\Wh-whaa!\It worked!\Inuyasha, get the fragment!\I don't need you to tell me that!\Die!\Inuyasha! response:	Inuyasha!
context: Sit!\Wh-whaa!\It worked!\Inuyasha, get the fragment!\I don't need you to tell me that!\Die!\Inuyasha!\Inuyasha! response:	Huh?
context: Wh-whaa!\It worked!\Inuyasha, get the fragment!\I don't need you to tell me that!\Die!\Inuyasha!\Inuyasha!\Huh? response:	Well done!
context: It worked!\Inuyasha, get the fragment!\I don't need you to tell me that!\Die!\Inuyasha!\Inuyasha!\Huh?\Well done! response:	The lord is alive!
context: Inuyasha, get the fragment!\I don't need you to tell me that!\Die!\Inuyasha!\Inuyasha!\Huh?\Well done!\The lord is alive! response:	You waited until the toad was driven out! Good work!
context: I don't need you to tell me that!\Die!\Inuyasha!\Inuyasha!\Huh?\Well done!\The lord is alive!\You waited until the toad was driven out! Good work! response:	No, I...
context: Die!\Inuyasha!\Inuyasha!\Huh?\Well done!\The lord is alive!\You waited until the toad was driven out! Good work!\No, I... response:	Just let him believe that.
context: Inuyasha!\Inuyasha!\Huh?\Well done!\The lord is alive!\You waited until the toad was driven out! Good work!\No, I...\Just let him believe that. response:	Nobunaga...
context: Inuyasha!\Huh?\Well done!\The lord is alive!\You waited until the toad was driven out! Good work!\No, I...\Just let him believe that.\Nobunaga... response:	Princess Tsuyu!
context: Huh?\Well done!\The lord is alive!\You waited until the toad was driven out! Good work!\No, I...\Just let him believe that.\Nobunaga...\Princess Tsuyu! response:	Nobunaga!
context: Well done!\The lord is alive!\You waited until the toad was driven out! Good work!\No, I...\Just let him believe that.\Nobunaga...\Princess Tsuyu!\Nobunaga! response:	Thank you for protecting my lord husband!
context: The lord is alive!\You waited until the toad was driven out! Good work!\No, I...\Just let him believe that.\Nobunaga...\Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband! response:	Princess Tsuyu!
context: You waited until the toad was driven out! Good work!\No, I...\Just let him believe that.\Nobunaga...\Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu! response:	My lord, you are your old self once more.
context: No, I...\Just let him believe that.\Nobunaga...\Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more. response:	Forgive me for all that has happened.
context: Just let him believe that.\Nobunaga...\Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened. response:	He seems like a very kind lord.
context: Nobunaga...\Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord. response:	The toad demon's spell was broken...
context: Princess Tsuyu!\Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken... response:	and all the women have been saved.
context: Nobunaga!\Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved. response:	I'm so glad!
context: Thank you for protecting my lord husband!\Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved.\I'm so glad! response:	Umm...
context: Princess Tsuyu!\My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved.\I'm so glad!\Umm... response:	Please cheer up, Nobunaga.
context: My lord, you are your old self once more.\Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved.\I'm so glad!\Umm...\Please cheer up, Nobunaga. response:	I knew it... He IS a first-class fool!
context: Forgive me for all that has happened.\He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved.\I'm so glad!\Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool! response:	He was almost killed...
context: He seems like a very kind lord.\The toad demon's spell was broken...\and all the women have been saved.\I'm so glad!\Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed... response:	yet he saved the life of his bitter rival in love!
context: The toad demon's spell was broken...\and all the women have been saved.\I'm so glad!\Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love! response:	That's true...
context: and all the women have been saved.\I'm so glad!\Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love!\That's true... response:	I am the world's biggest fool.
context: I'm so glad!\Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool. response:	Oh well... But thanks to you, many were saved.
context: Umm...\Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved. response:	Why not keep it at that?
context: Please cheer up, Nobunaga.\I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that? response:	Okay! I'm feeling quite chipper now!
context: I knew it... He IS a first-class fool!\He was almost killed...\yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now! response:	I'm off!
context: He was almost killed...\yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off! response:	Off to where?
context: yet he saved the life of his bitter rival in love!\That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off!\Off to where? response:	Nobunaga, that's...
context: That's true...\I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off!\Off to where?\Nobunaga, that's... response:	the ledge!
context: I am the world's biggest fool.\Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off!\Off to where?\Nobunaga, that's...\the ledge! response:	He really is a fool.
context: Oh well... But thanks to you, many were saved.\Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off!\Off to where?\Nobunaga, that's...\the ledge!\He really is a fool. response:	Beyond this well is the age of the warring states.
context: Why not keep it at that?\Okay! I'm feeling quite chipper now!\I'm off!\Off to where?\Nobunaga, that's...\the ledge!\He really is a fool.\Beyond this well is the age of the warring states. response:	Perhaps, I'll get to meet some real-life warlords...
context: Okay! I'm feeling quite chipper now!\I'm off!\Off to where?\Nobunaga, that's...\the ledge!\He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords... response:	like Nobunaga, Hideyoshi and leyasu!
context: I'm off!\Off to where?\Nobunaga, that's...\the ledge!\He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu! response:	I know my history grades have gone up...
context: Off to where?\Nobunaga, that's...\the ledge!\He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up... response:	but these days, I don't go anywhere without my autograph book!
context: Nobunaga, that's...\the ledge!\He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book! response:	I think a camera would be useful, too!
context: the ledge!\He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book!\I think a camera would be useful, too! response:	But I don't think I'll want to take a look...
context: He really is a fool.\Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book!\I think a camera would be useful, too!\But I don't think I'll want to take a look... response:	at photos of demons and things.
context: Beyond this well is the age of the warring states.\Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book!\I think a camera would be useful, too!\But I don't think I'll want to take a look...\at photos of demons and things. response:	Now here's a cute demon!
context: Perhaps, I'll get to meet some real-life warlords...\like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book!\I think a camera would be useful, too!\But I don't think I'll want to take a look...\at photos of demons and things.\Now here's a cute demon! response:	Next on Inuyasha: Shippo and the Thunder Brothers.
context: like Nobunaga, Hideyoshi and leyasu!\I know my history grades have gone up...\but these days, I don't go anywhere without my autograph book!\I think a camera would be useful, too!\But I don't think I'll want to take a look...\at photos of demons and things.\Now here's a cute demon!\Next on Inuyasha: Shippo and the Thunder Brothers. response:	Don't miss it!
