context: The appearance of defectors aboard the Macross response:	has raised the possibility of coexistence with the Zentradi.
context: Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose! response:	I'm sure the Zentradi will negotiate without us having to use this.
context: Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this. response:	So now a born soldier like you is going to start talking so idealistically?
context: Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically? response:	Do you think the ones who attacked your shuttle are interested in your peace?
context: This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace? response:	Their blood and genes may be the same as ours, but they're still aliens.
context: When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens. response:	Reaching an understanding with them won't be easy.
context: Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy. response:	Father!
context: Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!\This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father! response:	Misa, how many thousands of years did humans fight among themselves
context: This weapon will only make the war worse! It won't serve any purpose!\I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves response:	before the formation of the Earth UN Government?
context: I'm sure the Zentradi will negotiate without us having to use this.\So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government? response:	The day has been set for the firing of the Grand Cannon.
context: So now a born soldier like you is going to start talking so idealistically?\Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon. response:	Negotiations will start after that.
context: Do you think the ones who attacked your shuttle are interested in your peace?\Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that. response:	So, is it true you haven't left his side for over a week, Miss Minmay?
context: Their blood and genes may be the same as ours, but they're still aliens.\Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay? response:	Uh, yes...
context: Reaching an understanding with them won't be easy.\Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes... response:	There are rumors the two of you are going to get married.
context: Father!\Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married. response:	We haven't even considered that!
context: Misa, how many thousands of years did humans fight among themselves\before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that! response:	Miss Minmay, what about your old boyfriend?
context: before the formation of the Earth UN Government?\The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend? response:	Old boyfriend...?
context: The day has been set for the firing of the Grand Cannon.\Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...? response:	You're good at feigning ignorance!
context: Negotiations will start after that.\So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance! response:	Would you know who I mean if I mention a certain First Lieutenant?
context: So, is it true you haven't left his side for over a week, Miss Minmay?\Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant? response:	You mean Hikaru?!
context: Uh, yes...\There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?! response:	He's just a good friend!
context: There are rumors the two of you are going to get married.\We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend! response:	A friend...
context: We haven't even considered that!\Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend!\A friend... response:	Anyway, you and Kaifun have been rather close.
context: Miss Minmay, what about your old boyfriend?\Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close. response:	It's strange that you've never considered marriage.
context: Old boyfriend...?\You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage. response:	Loli, sir, what is this marriage?
context: You're good at feigning ignorance!\Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage? response:	Well, marriage...
context: Would you know who I mean if I mention a certain First Lieutenant?\You mean Hikaru?!\He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage... response:	It's incredible! They do things even more amazing than kissing!
context: You mean Hikaru?!\He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing! response:	More amazing than kissing!?
context: He's just a good friend!\A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!? response:	Like what?!
context: A friend...\Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?! response:	Kaifun, you really haven't proposed to her?
context: Anyway, you and Kaifun have been rather close.\It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her? response:	Correct.
context: It's strange that you've never considered marriage.\Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her?\Correct. response:	I don't buy it. Quit hiding the truth and fess up!
context: Loli, sir, what is this marriage?\Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up! response:	We aren't getting married, however...
context: Well, marriage...\It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however... response:	However?
context: It's incredible! They do things even more amazing than kissing!\More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However? response:	Personally, I would not be adverse to the idea.
context: More amazing than kissing!?\Like what?!\Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However?\Personally, I would not be adverse to the idea. response:	What?
context: Like what?!\Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However?\Personally, I would not be adverse to the idea.\What? response:	Oh, stop! You're always joking!
context: Kaifun, you really haven't proposed to her?\Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However?\Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking! response:	I thought something was up!
context: Correct.\I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However?\Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking!\I thought something was up! response:	What a scoop!
context: I don't buy it. Quit hiding the truth and fess up!\We aren't getting married, however...\However?\Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking!\I thought something was up!\What a scoop! response:	Look over here! Over here!
context: We aren't getting married, however...\However?\Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking!\I thought something was up!\What a scoop!\Look over here! Over here! response:	A picture, please!
context: However?\Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking!\I thought something was up!\What a scoop!\Look over here! Over here!\A picture, please! response:	Look this way!
context: Personally, I would not be adverse to the idea.\What?\Oh, stop! You're always joking!\I thought something was up!\What a scoop!\Look over here! Over here!\A picture, please!\Look this way! response:	Come in.
context: What?\Oh, stop! You're always joking!\I thought something was up!\What a scoop!\Look over here! Over here!\A picture, please!\Look this way!\Come in. response:	Sir, I need your opinion.
context: Oh, stop! You're always joking!\I thought something was up!\What a scoop!\Look over here! Over here!\A picture, please!\Look this way!\Come in.\Sir, I need your opinion. response:	Does this tie look good on me?
context: I thought something was up!\What a scoop!\Look over here! Over here!\A picture, please!\Look this way!\Come in.\Sir, I need your opinion.\Does this tie look good on me? response:	I was thinking of wearing it on my date tomorrow!
context: What a scoop!\Look over here! Over here!\A picture, please!\Look this way!\Come in.\Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow! response:	You mean Hikaru?!
context: Look over here! Over here!\A picture, please!\Look this way!\Come in.\Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?! response:	He's just a good friend!
context: A picture, please!\Look this way!\Come in.\Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend! response:	So, what are you doing brooding in a place like this?
context: Look this way!\Come in.\Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this? response:	Claudia...
context: Come in.\Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia... response:	You saw Minmay on TV?
context: Sir, I need your opinion.\Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV? response:	Yeah, pretty much.
context: Does this tie look good on me?\I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV?\Yeah, pretty much. response:	Still, I envy you.
context: I was thinking of wearing it on my date tomorrow!\You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you. response:	Huh?
context: You mean Hikaru?!\He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you.\Huh? response:	You've already got someone who's a better match for you than that girl.
context: He's just a good friend!\So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl. response:	I don't have anyone like that!
context: So, what are you doing brooding in a place like this?\Claudia...\You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that! response:	Oh, really?
context: Claudia...\You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really? response:	Couldn't it be that you just haven't noticed yet?
context: You saw Minmay on TV?\Yeah, pretty much.\Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet? response:	Lots of times, people don't see what's too close to them.
context: Yeah, pretty much.\Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them. response:	They can get into selfish fights with each other,
context: Still, I envy you.\Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other, response:	but deep in their hearts it's a different story.
context: Huh?\You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story. response:	That's how it was with Roy and me.
context: You've already got someone who's a better match for you than that girl.\I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me. response:	You don't find someone like that very often.
context: I don't have anyone like that!\Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often. response:	That's all I wanted to say to you.
context: Oh, really?\Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you. response:	And if you spend all your time here, you'll catch a cold.
context: Couldn't it be that you just haven't noticed yet?\Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold. response:	Next Episode
context: Lots of times, people don't see what's too close to them.\They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode response:	Preview
context: They can get into selfish fights with each other,\but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode\Preview response:	Max and Milia move closer to their third battle.
context: but deep in their hearts it's a different story.\That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode\Preview\Max and Milia move closer to their third battle. response:	Milia appears before Max at the appointed place and pulls out a dagger.
context: That's how it was with Roy and me.\You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode\Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger. response:	And reflected in her eyes,
context: You don't find someone like that very often.\That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode\Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes, response:	there is burning hatred for an enemy that has already defeated her twice.
context: That's all I wanted to say to you.\And if you spend all your time here, you'll catch a cold.\Next Episode\Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice. response:	VIRGIN ROAD
context: And if you spend all your time here, you'll catch a cold.\Next Episode\Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD response:	Piercing through the Macro sky,
context: Next Episode\Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Preview\Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Max and Milia move closer to their third battle.\Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Milia appears before Max at the appointed place and pulls out a dagger.\And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: And reflected in her eyes,\there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: there is burning hatred for an enemy that has already defeated her twice.\VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: VIRGIN ROAD\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	I won't follow it anymore
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore response:	The shadow you cast as you run away
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away response:	We all keep running to the end
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end response:	But we still can't see the goal
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal response:	What awaits us after today?
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today? response:	What awaits us beyond tomorrow?
context: Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow? response:	Even now, I keep running toward
context: Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow?\Even now, I keep running toward response:	The light that shines so far away
context: I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow?\Even now, I keep running toward\The light that shines so far away response:	VIRGIN ROAD
